match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,local__accurate_through_passes,local__ball_possession,local__big_chances,local__blocked_shots,local__clearances,local__corner_kicks,local__crosses,local__duels_won,local__errors_leading_to_goal,local__errors_leading_to_shot,local__expected_assists_xa,local__expected_goals_xg,local__fouls,local__free_kicks,local__goalkeeper_saves,local__goals_prevented,local__hit_the_woodwork,local__interceptions,local__long_passes,local__offsides,local__passes,local__passes_in_final_third,local__red_cards,local__shots_inside_the_box,local__shots_off_target,local__shots_on_target,local__shots_outside_the_box,local__tackles,local__throw_ins,local__total_shots,local__touches_in_opposition_box,local__xg_on_target_xgot,local__xgot_faced,local__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards,visitante__accurate_through_passes,visitante__ball_possession,visitante__big_chances,visitante__blocked_shots,visitante__clearances,visitante__corner_kicks,visitante__crosses,visitante__duels_won,visitante__errors_leading_to_goal,visitante__errors_leading_to_shot,visitante__expected_assists_xa,visitante__expected_goals_xg,visitante__fouls,visitante__free_kicks,visitante__goalkeeper_saves,visitante__goals_prevented,visitante__hit_the_woodwork,visitante__interceptions,visitante__long_passes,visitante__offsides,visitante__passes,visitante__passes_in_final_third,visitante__red_cards,visitante__shots_inside_the_box,visitante__shots_off_target,visitante__shots_on_target,visitante__shots_outside_the_box,visitante__tackles,visitante__throw_ins,visitante__total_shots,visitante__touches_in_opposition_box,visitante__xg_on_target_xgot,visitante__xgot_faced,visitante__yellow_cards
dOR51pNF,alemania,06.06.2026 18:30,Football / World / Friendly International,USA,Germany,1,2,0,49%,0,4,10,8,22%(2/9),29,0,0,0.37,0.79,6,2,1,0.08,0,0,4,53%(9/17),2,87%(183/211),81%(46/57),7,6,1,4,68%(13/19),8,11,12,0.10,1.08,,0,58%,0,1,8,2,20%(1/5),23,0,0,0.21,0.20,5,8,1,0.08,,0,10,40%(10/25),1,83%(237/285),68%(44/65),2,1,3,3,50%(4/8),16,5,8,0.45,1.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51%,1,1,5,1,25%(1/4),34,0,1,0.61,0.79,2,6,0,-0.90,1,0,3,52%(14/27),3,87%(199/230),78%(56/72),2,1,2,2,78%(14/18),15,4,8,1.08,0.10,,0,42%,0,1,8,1,25%(1/4),26,0,0,1.08,0.75,8,5,3,0.45,,0,3,44%(11/25),1,76%(159/208),75%(63/84),3,5,2,5,64%(7/11),10,8,16,1.08,0.45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6avr2Jf5,alemania,31.05.2026 18:45,Football / World / Friendly International,Germany,Finland,4,0,1,72%,3,3,0,6,9%(1/11),19,0,0,2.03,1.49,5,6,0,0.00,1,0,4,58%(15/26),0,91%(374/411),83%(136/164),9,2,6,2,75%(6/8),11,11,32,2.99,0.00,,2,56%,4,0,7,4,29%(2/7),10,0,0,1.31,2.28,7,0,0,0.00,,1,4,61%(11/18),1,94%(256/273),90%(87/97),9,5,6,2,60%(3/5),8,11,21,2.82,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28%,0,2,22,1,100%(1/1),14,0,2,0.06,0.22,6,5,5,1.99,0,0,4,46%(13/28),0,78%(123/157),53%(10/19),1,1,0,2,50%(3/6),11,3,5,0.00,2.99,,0,44%,0,3,10,2,17%(1/6),20,1,0,0.07,0.18,0,7,1,-0.18,,0,4,50%(9/18),1,90%(194/215),71%(29/41),1,2,0,4,75%(6/8),4,5,7,0.00,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6waiW2Rj,alemania,30.03.2026 18:45,Football / World / Friendly International,Germany,Ghana,2,1,0,67%,3,4,7,5,31%(4/13),19,0,1,1.37,1.77,4,4,0,0.00,,1,2,29%(4/14),2,92%(324/354),86%(115/133),9,4,3,2,50%(4/8),14,11,33,1.37,0.00,0,0,71%,5,3,2,4,43%(3/7),16,0,1,1.53,1.13,4,6,0,-0.06,,1,2,69%(9/13),0,93%(318/343),86%(106/123),6,6,3,6,100%(3/3),10,12,27,0.88,0.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33%,0,0,21,1,25%(1/4),21,0,0,0.11,0.01,4,4,2,0.37,,0,8,48%(10/21),0,83%(146/176),60%(18/30),0,1,0,1,100%(10/10),5,1,4,0.00,1.37,1,0,29%,1,2,12,3,0%(0/3),19,0,0,0.57,0.55,6,4,2,-0.13,,1,4,43%(6/14),2,82%(113/138),67%(10/15),5,2,1,0,100%(4/4),4,5,8,0.94,0.88,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xMB436h3,alemania,27.03.2026 19:45,Football / World / Friendly International,Switzerland,Germany,3,4,0,48%,2,0,18,0,50%(2/4),21,0,0,0.54,0.49,4,6,2,-0.86,1,1,7,47%(18/38),0,85%(231/271),77%(33/43),2,1,2,1,60%(3/5),7,3,6,0.49,1.14,,0,44%,0,2,13,0,17%(1/6),27,0,0,0.08,0.10,2,6,3,-0.08,,0,6,32%(7/22),0,85%(204/240),65%(24/37),1,1,1,3,58%(7/12),7,4,7,0.56,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52%,5,2,8,4,15%(2/13),18,0,0,0.74,1.35,6,4,0,-1.51,1,0,2,47%(8/17),1,88%(252/288),79%(81/103),8,3,4,1,67%(6/9),8,9,19,1.14,0.49,,0,56%,3,5,11,6,18%(2/11),27,0,0,1.07,1.28,6,2,0,-0.44,,0,3,53%(10/19),0,89%(269/301),86%(85/99),9,3,5,4,69%(11/16),10,13,21,1.92,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x21OTMSp,alemania,17.11.2025 19:45,Football / Europe / World Championship - Qualification,Germany,Slovakia,6,0,3,69%,6,1,4,4,44%(8/18),14,0,0,2.57,3.25,3,2,1,0.77,1,0,1,73%(19/26),0,92%(337/367),86%(96/111),11,4,6,0,50%(4/8),10,11,27,4.45,0.77,,0,74%,1,4,4,4,18%(2/11),6,0,0,1.00,0.77,8,1,1,0.13,,0,3,70%(7/10),0,94%(420/448),87%(162/186),8,3,4,3,67%(2/3),6,11,24,1.28,0.13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31%,1,2,18,2,33%(1/3),19,1,0,0.16,0.36,2,3,2,0.45,0,0,7,32%(6/19),0,78%(131/168),42%(5/12),4,2,1,1,57%(4/7),5,5,6,0.77,4.45,,0,26%,0,0,19,1,0%(0/2),16,0,0,0.01,0.03,1,8,2,-0.72,,0,3,53%(8/15),0,83%(129/156),71%(5/7),0,0,1,1,75%(3/4),7,1,0,0.13,1.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6FvinVrC,alemania,14.11.2025 19:45,Football / Europe / World Championship - Qualification,Luxembourg,Germany,0,2,0,33%,1,1,19,4,13%(1/8),18,0,1,0.34,0.30,7,2,3,1.48,,0,6,77%(20/26),0,81%(122/150),66%(31/47),3,2,1,1,70%(7/10),11,4,7,0.06,1.48,1,1,36%,1,1,10,0,20%(1/5),25,0,0,0.62,0.50,4,8,2,-0.13,,0,3,40%(12/30),0,76%(119/157),64%(23/36),3,2,0,0,60%(3/5),6,3,7,0.00,1.87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67%,1,1,21,3,0%(0/8),21,0,0,0.59,0.68,2,7,1,0.06,,0,2,39%(7/18),0,88%(271/308),77%(46/60),6,2,3,0,43%(3/7),12,6,18,1.48,0.06,1,1,64%,2,2,8,1,0%(0/8),22,0,0,0.93,0.97,8,4,0,0.00,,1,6,50%(12/24),2,89%(251/283),86%(54/63),4,2,4,4,50%(3/6),12,8,7,1.87,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmorliEa,alemania,13.10.2025 18:45,Football / Europe / World Championship - Qualification,Northern Ireland,Germany,0,1,0,28%,0,1,19,0,0%(0/1),23,0,2,0.05,0.15,9,7,0,-0.36,,0,1,35%(8/23),1,60%(60/100),45%(14/31),1,2,0,2,67%(6/9),7,3,3,0.00,0.64,2,0,37%,0,3,16,4,0%(0/12),34,0,0,0.17,0.45,9,7,1,0.23,,0,3,44%(17/39),0,64%(98/153),44%(28/63),4,3,3,5,67%(6/9),9,9,10,0.40,0.23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72%,1,4,7,4,33%(4/12),25,0,0,0.60,0.56,7,9,0,0.00,,0,2,40%(12/30),0,82%(209/254),74%(60/81),4,3,1,4,75%(3/4),11,8,16,0.64,0.00,0,1,63%,1,0,22,1,0%(0/4),28,0,2,0.26,0.56,7,9,3,0.40,,0,3,42%(15/36),0,87%(246/283),70%(39/56),3,2,1,0,20%(1/5),6,3,6,0.23,0.40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2NszjDqm,alemania,10.10.2025 18:45,Football / Europe / World Championship - Qualification,Germany,Luxembourg,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,84%,7,6,4,7,32%(10/31),33,0,0,3.71,3.86,10,5,1,0.13,1,6,67%(16/24),2,91%(735/810),85%(399/467),0,21,17,8,10,36%(4/11),24,31,63,2.60,0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16%,0,0,48,0,0%(0/2),34,1,0,0.03,0.01,5,10,4,-1.40,0,17,31%(16/51),0,57%(87/153),30%(10/33),1,1,0,1,0,50%(8/16),9,1,1,0.13,2.60,1
Ik63eZLP,alemania,07.09.2025 18:45,Football / Europe / World Championship - Qualification,Germany,Northern Ireland,3,1,0,78%,1,0,13,2,0%(0/8),17,0,0,0.20,0.71,7,2,0,-0.38,,0,3,40%(8/20),2,90%(331/368),64%(32/50),2,1,1,0,100%(3/3),12,2,10,0.72,0.62,1,2,81%,3,2,9,1,29%(2/7),31,0,0,1.17,1.90,2,11,0,0.00,,1,3,46%(12/26),0,91%(348/383),78%(65/83),5,2,5,4,67%(4/6),12,9,13,1.86,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22%,1,0,17,3,20%(2/10),27,1,0,0.13,0.28,2,7,0,-0.28,,0,8,26%(6/23),0,61%(58/95),37%(14/38),3,2,1,0,45%(5/11),10,3,4,0.62,0.72,0,0,19%,0,0,12,2,0%(0/4),22,1,0,0.02,0.00,11,2,3,-0.14,,0,4,27%(6/22),1,65%(57/88),42%(11/26),0,0,0,0,90%(9/10),11,0,2,0.00,1.86,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61aIXVTI,alemania,04.09.2025 18:45,Football / Europe / World Championship - Qualification,Slovakia,Germany,2,0,3,35%,3,2,14,4,22%(2/9),22,0,1,0.83,1.09,4,8,3,0.83,,1,3,48%(11/23),1,85%(133/157),77%(23/30),6,1,3,0,88%(7/8),10,6,15,0.90,0.83,,1,25%,0,0,26,1,17%(1/6),24,0,0,0.11,0.19,8,10,2,0.21,,0,2,48%(13/27),0,75%(80/106),66%(19/29),1,0,2,1,30%(3/10),8,2,3,0.97,0.21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65%,1,1,8,4,20%(1/5),15,0,1,0.77,0.74,8,4,2,-0.10,,0,0,55%(11/20),0,89%(271/304),76%(60/79),4,2,3,2,67%(2/3),7,6,17,0.83,0.90,,0,75%,1,3,5,4,17%(3/18),27,0,0,0.73,1.00,10,8,1,-0.03,,0,4,54%(13/24),0,88%(276/312),76%(65/86),5,4,1,3,63%(5/8),15,8,16,0.21,0.97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
