match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
l0r76kyJ,arabia_saudita,local,41/46 (89%),Mendy E.Goalkeeper,1,-,7.9,-,-,-,55
l0r76kyJ,arabia_saudita,local,11/24 (46%),Al Owais M.Goalkeeper,-,-,7.9,-,-,-,34
l0r76kyJ,arabia_saudita,local,8/8 (100%),Al Dawsari S.Winger,5,-,7.7,-,-,2,14
l0r76kyJ,arabia_saudita,local,42/47 (89%),Diatta K.Fullback,6,0.10,7.0,0/1 (0%),1,1,63
l0r76kyJ,arabia_saudita,local,19/22 (86%),Abdulhamid S.Fullback,7,0.04,6.8,1/1 (100%),1,1,37
l0r76kyJ,arabia_saudita,local,80/86 (93%),Niakhate M.Centre back,3,-,6.8,-,-,-,92
l0r76kyJ,arabia_saudita,local,32/38 (84%),Camara L.Midfielder,7,0.03,6.7,0/1 (0%),1,1,48
l0r76kyJ,arabia_saudita,local,17/22 (77%),Jakobs I.Defender,4,-,6.7,-,-,-,32
l0r76kyJ,arabia_saudita,local,17/19 (89%),Yahya A.Forward,8,0.02,6.7,0/3 (0%),1,-,28
l0r76kyJ,arabia_saudita,local,8/8 (100%),Al Ghannam K.Forward,4,-,6.6,-,-,-,13
l0r76kyJ,arabia_saudita,local,11/14 (79%),Al Hamdan A.Forward,4,0.04,6.6,1/1 (100%),1,1,20
l0r76kyJ,arabia_saudita,local,11/15 (73%),Hejji A.Midfielder,6,-,6.6,1/1 (100%),-,-,21
l0r76kyJ,arabia_saudita,local,19/20 (95%),Diarra H.Attacking midfielder,6,-,6.5,0/2 (0%),-,1,31
l0r76kyJ,arabia_saudita,local,23/27 (85%),Kanno M.Midfielder,2,-,6.5,0/1 (0%),-,1,30
l0r76kyJ,arabia_saudita,local,19/21 (90%),Lajami A.Defender,3,-,6.5,-,-,-,27
l0r76kyJ,arabia_saudita,local,17/17 (100%),Sarr P. M.Midfielder,5,-,6.5,1/2 (50%),-,-,23
l0r76kyJ,arabia_saudita,local,14/17 (82%),Thakri J.Defender,2,-,6.5,0/1 (0%),-,-,21
l0r76kyJ,arabia_saudita,local,13/16 (81%),Al Amri A.Centre back,2,-,6.4,-,-,-,21
l0r76kyJ,arabia_saudita,local,24/30 (80%),Al Juwayr M.Striker,9,0.16,6.4,-,3,2,40
l0r76kyJ,arabia_saudita,local,43/50 (86%),Ciss P.Midfielder,9,-,6.4,1/1 (100%),-,-,60
l0r76kyJ,arabia_saudita,local,19/22 (86%),Diouf M.Fullback,9,0.03,6.4,1/2 (50%),1,3,39
l0r76kyJ,arabia_saudita,local,16/19 (84%),Al Dawsari N.Midfielder,4,0.14,6.3,-,1,1,24
l0r76kyJ,arabia_saudita,local,3/4 (75%),Sarr I.Forward,3,0.04,6.3,-,1,1,8
l0r76kyJ,arabia_saudita,local,68/74 (92%),Sarr M.Centre back,3,0.02,6.3,-,1,1,82
l0r76kyJ,arabia_saudita,local,19/22 (86%),Tambakti H.Centre back,2,-,6.3,-,-,-,28
l0r76kyJ,arabia_saudita,local,8/9 (89%),Kadesh H.Defender,1,-,6.2,-,-,-,12
l0r76kyJ,arabia_saudita,local,10/12 (83%),Mandash S.Forward,4,-,6.2,-,-,-,20
l0r76kyJ,arabia_saudita,local,8/10 (80%),Al Buraikan F.Striker,5,0.20,6.1,-,1,1,18
l0r76kyJ,arabia_saudita,local,10/14 (71%),Boushal N.Defender,7,-,6.1,-,-,-,25
l0r76kyJ,arabia_saudita,local,19/21 (90%),Abu Al Shamat M.Winger,7,0.53,6.0,1/1 (100%),1,1,30
l0r76kyJ,arabia_saudita,local,18/23 (78%),Al Harbi M.Fullback,-,-,6.0,-,-,-,24
l0r76kyJ,arabia_saudita,local,32/39 (82%),Mane S.Winger,3,0.05,6.0,0/1 (0%),1,1,47
l0r76kyJ,arabia_saudita,local,5/9 (56%),Ndiaye C.Striker,3,0.14,6.0,0/1 (0%),1,1,17
l0r76kyJ,arabia_saudita,local,19/22 (86%),Al Khaibari A.Midfielder,1,-,5.9,-,-,-,24
l0r76kyJ,arabia_saudita,local,21/23 (91%),Ndiaye I.Winger,7,-,5.6,1/3 (33%),-,1,35
l0r76kyJ,arabia_saudita,local,1/1 (100%),Jackson N.Forward,6,-,5.0,-,-,-,7
l0r76kyJ,arabia_saudita,local,3/3 (100%),Dieng B.Forward,2,-,-,-,-,1,4
l0r76kyJ,arabia_saudita,local,9/9 (100%),Gueye I.Midfielder,-,-,-,-,-,-,10
l0r76kyJ,arabia_saudita,local,8/9 (89%),Koulibaly K.Defender,-,-,-,-,-,-,10
l0r76kyJ,arabia_saudita,local,4/8 (50%),Mbaye I.Forward,3,-,-,1/1 (100%),-,1,12
l0r76kyJ,arabia_saudita,local,3/3 (100%),Mendy A.Defender,3,-,-,1/3 (33%),-,1,10
vRl9PJMM,arabia_saudita,local,14/15 (93%),Al Hamdan A.Striker,10,0.31,8.0,1/4 (25%),4,5,30
vRl9PJMM,arabia_saudita,local,22/26 (85%),Al Dawsari S.Midfielder,2,0.24,7.6,-,3,5,34
vRl9PJMM,arabia_saudita,local,33/35 (94%),Yahya A.Forward,1,-,7.4,-,-,1,44
vRl9PJMM,arabia_saudita,local,14/15 (93%),Al Kassar A.Goalkeeper,-,-,7.3,-,-,-,17
