match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
l0r76kyJ,arabia_saudita,09.06.2026 23:00,Football / World / Friendly International,Saudi Arabia,Senegal,0,0,,0,36%,3,1,5,1,33%(1/3),24,0,0,0.83,1.07,7,8,3,0.77,,0,8,32%(9/28),2,80%(131/163),55%(12/22),4,3,3,3,67%(6/9),4,7,8,0.48,0.77,1,0,47%,0,0,9,0,0%(0/4),21,0,0,0.10,0.06,7,8,2,0.43,,0,6,42%(11/26),1,83%(174/210),67%(33/49),0,1,2,0,1,100%(10/10),8,2,2,0.00,0.43,2,0,64%,0,1,3,2,20%(1/5),13,0,2,0.35,0.35,8,7,4,0.48,,0,5,64%(14/22),0,89%(266/298),81%(77/95),3,1,3,2,100%(1/1),10,5,7,0.77,0.48,1,0,53%,0,0,5,1,25%(2/8),25,0,0,0.27,0.06,8,7,0,0.00,,1,4,78%(14/18),2,87%(201/232),78%(49/63),1,2,0,2,0,80%(8/10),8,2,7,0.43,0.00,2
vRl9PJMM,arabia_saudita,05.06.2026 23:00,Football / World / Friendly International,Puerto Rico,Saudi Arabia,0,3,,0,36%,0,2,15,0,0%(0/2),21,1,1,0.07,0.16,6,8,2,-0.51,,0,3,38%(10/26),0,79%(124/157),46%(13/28),1,0,1,2,50%(5/10),8,3,4,0.81,0.49,,0,40%,0,0,12,2,33%(2/6),19,1,0,0.53,0.12,5,8,1,-1.39,,0,4,52%(13/25),0,79%(144/182),50%(11/22),,1,1,0,0,60%(3/5),7,1,6,0.00,0.61,,0,64%,3,4,2,3,23%(3/13),20,0,0,0.41,0.72,8,6,1,0.81,,0,1,53%(16/30),0,89%(247/276),75%(57/76),5,4,3,6,67%(6/9),8,11,11,0.49,0.81,,0,60%,0,1,9,2,22%(2/9),21,0,0,0.51,0.63,8,5,0,0.00,,0,3,74%(17/23),1,90%(242/269),77%(47/61),,5,5,3,4,100%(5/5),8,9,17,0.61,0.00,
zXYgLzxo,arabia_saudita,31.05.2026 00:00,Football / World / Friendly International,Ecuador,Saudi Arabia,2,1,,0,39%,1,1,9,0,33%(1/3),15,0,0,0.36,0.53,7,6,1,0.40,1,0,8,43%(10/23),0,80%(156/194),77%(17/22),3,1,3,2,86%(6/7),6,5,4,1.18,0.40,1,0,45%,2,0,7,2,0%(0/7),20,0,0,0.28,0.89,9,5,0,-0.81,,0,5,68%(13/19),2,91%(192/212),84%(42/50),,3,3,3,3,83%(5/6),9,6,7,1.15,0.19,0,1,61%,2,1,5,0,0%(0/3),34,0,1,0.71,1.03,6,7,2,0.18,0,0,7,53%(10/19),0,84%(252/299),67%(46/69),5,5,1,2,65%(13/20),14,7,10,0.40,1.18,0,0,55%,1,1,7,2,25%(1/4),30,1,0,0.15,0.18,5,9,2,0.15,,0,5,67%(16/24),0,83%(214/258),69%(35/51),,3,3,1,2,54%(7/13),9,5,9,0.19,1.15,1
pGMUK6wS,arabia_saudita,31.03.2026 16:00,Football / World / Friendly International,Serbia,Saudi Arabia,2,1,,0,71%,2,4,2,6,17%(3/18),27,1,0,0.72,1.18,4,7,0,-0.01,,0,2,62%(8/13),1,88%(244/277),73%(69/94),8,3,4,3,100%(5/5),9,11,25,0.60,0.99,0,0,50%,1,3,4,4,33%(4/12),23,0,0,1.04,1.04,7,1,0,0.00,1,0,7,55%(11/20),2,83%(200/240),68%(53/78),,9,3,6,3,78%(7/9),10,12,29,2.36,0.00,,0,29%,1,0,26,0,0%(0/1),18,0,1,0.04,1.09,7,4,4,0.60,,0,3,28%(9/32),1,68%(79/117),47%(7/15),2,1,1,0,50%(4/8),7,2,4,0.99,0.60,2,1,50%,1,0,17,1,0%(0/2),19,0,1,0.85,0.35,1,7,4,0.36,0,0,5,43%(12/28),0,85%(214/251),64%(23/36),,1,1,0,0,44%(4/9),12,1,7,0.00,2.36,
KjQUOcYo,arabia_saudita,27.03.2026 17:30,Football / World / Friendly International,Saudi Arabia,Egypt,0,4,,0,68%,1,1,2,3,13%(1/8),14,0,0,0.17,0.31,5,4,2,-0.44,0,0,1,64%(14/22),0,89%(321/362),70%(62/88),3,2,0,0,83%(5/6),8,3,8,0.00,2.56,1,0,52%,0,3,9,1,0%(0/5),25,1,0,0.10,0.08,7,9,2,-0.76,,0,2,71%(22/31),1,84%(183/218),62%(38/61),,0,1,0,4,83%(10/12),13,4,5,0.00,0.24,1,1,32%,3,0,12,0,50%(1/2),14,0,0,0.67,0.80,4,5,0,0.00,1,0,7,71%(15/21),2,85%(148/174),80%(37/46),4,1,5,2,75%(3/4),8,6,13,2.56,0.00,0,0,48%,0,3,9,1,0%(0/4),22,0,0,0.22,0.42,9,7,0,0.00,,0,3,64%(14/22),3,89%(178/201),75%(24/32),,3,1,3,4,63%(5/8),16,7,9,0.24,0.00,0
UL1pp98c,arabia_saudita,15.12.2025 17:30,Football / World / FIFA Arab Cup - Play Offs - Semi-finals,Saudi Arabia,Jordan,0,1,,0,66%,0,0,9,1,17%(1/6),27,0,1,0.21,0.04,6,6,1,0.10,,0,6,52%(13/25),0,81%(205/252),52%(33/63),0,2,0,2,56%(5/9),17,2,5,0.00,0.10,1,0,72%,1,1,9,3,15%(3/20),30,0,0,0.81,0.91,3,3,3,0.20,0,0,4,58%(14/24),1,87%(241/278),78%(62/80),1,3,4,1,3,60%(9/15),13,6,16,0.33,1.20,0,0,34%,0,0,14,1,0%(0/4),24,0,0,0.08,0.03,6,6,0,0.00,,0,6,21%(6/28),2,68%(88/129),46%(12/26),1,0,1,0,58%(7/12),12,1,2,0.10,0.00,0,0,28%,1,1,28,3,11%(1/9),28,0,1,0.25,0.63,3,3,1,0.33,1,0,5,35%(8/23),0,72%(79/109),62%(28/45),0,3,0,4,2,50%(5/10),12,5,7,1.20,0.33,1
zVdHsRiL,arabia_saudita,11.12.2025 17:30,Football / World / FIFA Arab Cup - Play Offs - Quarter-finals,Palestine,Saudi Arabia,1,2,,0,29%,0,0,16,0,0%(0/4),15,0,0,0.03,0.02,7,2,0,0.00,,0,8,30%(10/33),0,68%(74/109),43%(16/37),0,1,0,1,91%(10/11),11,1,0,0.00,0.00,1,0,45%,1,0,14,2,22%(2/9),22,0,0,0.10,0.30,6,6,1,0.29,,0,3,38%(12/32),1,69%(93/135),63%(30/48),,2,3,2,3,88%(7/8),5,5,3,0.77,1.29,2,0,71%,0,2,11,2,20%(1/5),26,0,0,0.22,0.08,2,7,0,0.00,,0,2,50%(14/28),1,86%(236/274),72%(60/83),1,2,0,3,78%(7/9),19,4,7,0.00,0.00,0,0,55%,1,0,18,1,14%(1/7),30,0,0,0.27,1.02,6,6,1,-0.23,,1,2,32%(6/19),2,81%(138/171),69%(36/52),,3,2,2,1,60%(3/5),17,4,9,1.29,0.77,2
2RauuHtH,arabia_saudita,08.12.2025 17:00,Football / World / FIFA Arab Cup - Round 3,Morocco,Saudi Arabia,1,0,,0,39%,1,0,19,1,0%(0/2),21,0,0,0.36,0.30,7,2,0,0.00,,0,5,53%(9/17),1,78%(124/158),47%(9/19),1,0,1,0,71%(5/7),16,1,3,0.40,0.00,1,0,40%,1,0,32,2,33%(3/9),31,0,1,0.76,0.32,3,3,1,0.10,,0,7,35%(11/31),0,69%(101/146),61%(25/41),,2,1,2,1,30%(3/10),14,3,9,0.20,0.10,,1,61%,1,0,5,2,0%(0/8),29,1,0,0.41,0.18,2,7,0,-0.60,,1,7,44%(14/32),0,85%(203/240),68%(45/66),1,2,0,1,83%(10/12),14,2,4,0.00,0.40,0,0,60%,3,1,8,3,21%(3/14),20,0,0,0.80,1.95,3,3,2,0.20,,0,12,52%(12/23),0,83%(178/215),73%(51/70),,6,8,1,4,57%(4/7),10,10,19,0.10,0.20,
KE2LYqu1,arabia_saudita,05.12.2025 18:30,Football / World / FIFA Arab Cup - Round 2,Comoros,Saudi Arabia,1,3,,0,40%,1,1,25,0,20%(1/5),23,0,0,0.37,0.42,6,7,0,-0.62,0,0,3,50%(12/24),1,77%(105/136),67%(22/33),1,1,0,1,67%(4/6),9,2,1,0.00,0.38,2,0,28%,1,0,31,1,67%(2/3),21,1,0,0.53,0.87,7,2,2,-0.44,,0,7,25%(7/28),0,65%(81/124),43%(16/37),,1,2,2,3,63%(5/8),10,4,4,0.41,1.56,,1,60%,2,3,6,3,20%(2/10),35,0,0,0.97,1.09,7,6,0,0.00,1,0,6,61%(17/28),0,78%(160/206),57%(31/54),5,3,1,2,69%(11/16),10,7,16,0.38,0.00,1,0,72%,3,2,5,8,25%(3/12),30,0,0,0.59,1.69,2,7,1,-0.59,,0,6,41%(13/32),0,85%(266/313),67%(58/86),,9,5,4,2,62%(8/13),10,11,25,1.56,0.41,
bNCoGeD6,arabia_saudita,02.12.2025 17:00,Football / World / FIFA Arab Cup - Round 1,Saudi Arabia,Oman,2,1,,0,67%,0,1,9,1,33%(1/3),36,0,0,0.30,0.18,9,5,1,0.03,,0,8,55%(21/38),1,77%(223/288),68%(59/87),2,1,2,2,60%(9/15),12,4,13,0.19,0.03,,2,61%,4,2,19,3,27%(3/11),26,0,1,1.54,2.04,8,5,0,-0.16,1,1,6,55%(18/33),0,81%(170/211),76%(65/85),,6,5,3,4,71%(10/14),9,10,13,1.77,0.84,1,0,33%,0,0,19,0,50%(1/2),24,0,0,0.08,0.14,5,9,2,0.19,,0,11,20%(7/35),1,59%(82/138),24%(11/45),1,2,1,2,63%(5/8),8,3,3,0.03,0.19,,0,39%,2,1,14,3,11%(1/9),30,0,0,0.22,0.33,5,8,1,-0.23,1,0,4,43%(13/30),0,70%(91/130),45%(17/38),,3,0,2,0,67%(6/9),10,3,8,0.84,1.77,0
