match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
fqGrfvc5,argelia,local,25/39 (64%),Zidane L.Goalkeeper,-,-,8.8,-,-,-,51
fqGrfvc5,argelia,local,17/27 (63%),Hadj Moussa A.Forward,6,0.02,8.1,1/2 (50%),1,2,38
fqGrfvc5,argelia,local,78/85 (92%),van Hecke J. P.Centre back,6,0.07,7.9,-,1,3,99
fqGrfvc5,argelia,local,60/65 (92%),Bentaleb N.Midfielder,6,0.02,7.3,-,1,-,82
fqGrfvc5,argelia,local,28/29 (97%),Ait-Nouri R.Fullback,9,-,7.1,2/3 (67%),-,1,47
fqGrfvc5,argelia,local,44/45 (98%),Ake N.Defender,3,-,7.1,-,-,-,51
fqGrfvc5,argelia,local,53/56 (95%),de Jong F.Midfielder,6,-,7.1,0/1 (0%),-,-,66
fqGrfvc5,argelia,local,19/22 (86%),Reijnders T.Midfielder,4,0.10,7.1,0/1 (0%),2,1,33
fqGrfvc5,argelia,local,14/19 (74%),Chaibi F.Forward,2,0.02,6.9,-,1,1,26
fqGrfvc5,argelia,local,16/22 (73%),Mahrez R.Winger,4,-,6.9,1/1 (100%),-,1,29
fqGrfvc5,argelia,local,36/37 (97%),van Dijk V.Centre back,5,-,6.9,-,-,-,43
fqGrfvc5,argelia,local,19/20 (95%),Belghali R.Defender,5,-,6.8,1/1 (100%),-,-,32
fqGrfvc5,argelia,local,18/19 (95%),Gakpo C.Winger,6,0.51,6.8,-,4,9,35
fqGrfvc5,argelia,local,12/16 (75%),Hadjam J.Defender,2,-,6.7,0/2 (0%),-,1,27
fqGrfvc5,argelia,local,13/17 (76%),Maza I.Midfielder,5,0.02,6.7,0/1 (0%),1,-,24
fqGrfvc5,argelia,local,10/15 (67%),Summerville C.Winger,3,-,6.7,-,-,2,19
fqGrfvc5,argelia,local,26/28 (93%),Tougai M.Defender,2,-,6.7,-,-,-,34
