match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
p28Hg2qn,argelia,11.06.2026 00:00,Football / World / Friendly International,Bolivia,Algeria,0,4,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fqGrfvc5,argelia,03.06.2026 18:45,Football / World / Friendly International,Netherlands,Algeria,0,1,,0,48%,2,2,9,3,25%(2/8),19,0,0,0.94,1.62,3,2,1,0.02,,1,6,62%(8/13),2,88%(202/229),76%(57/75),,6,2,4,2,83%(5/6),17,8,15,0.95,0.02,,0,57%,1,4,8,3,13%(1/8),15,0,1,0.56,0.57,8,7,0,-0.52,,0,3,40%(8/20),0,86%(241/281),75%(66/88),4,3,2,5,25%(2/8),12,9,11,0.67,0.48,,1,52%,0,1,11,2,25%(1/4),18,0,2,0.46,0.26,2,3,4,0.95,,0,1,52%(15/29),2,87%(214/247),68%(23/34),,1,0,1,1,67%(6/9),10,2,6,0.02,0.95,,0,43%,0,3,10,1,0%(0/2),22,0,1,0.54,0.22,7,8,2,0.67,,0,6,55%(18/33),0,81%(178/220),64%(42/66),3,2,1,3,50%(4/8),9,6,6,0.48,0.67,
pzOUljac,argelia,31.03.2026 18:30,Football / World / Friendly International,Algeria,Uruguay,0,0,,0,41%,0,0,5,2,67%(2/3),19,0,0,0.14,0.02,6,9,1,0.05,,0,8,39%(7/18),1,85%(158/186),64%(29/45),,1,1,0,0,60%(3/5),11,1,5,0.00,0.05,2,0,41%,1,1,5,3,40%(2/5),21,0,0,0.27,0.43,6,7,0,0.00,,0,2,31%(5/16),2,79%(122/154),61%(20/33),3,5,0,2,67%(4/6),7,6,8,0.00,0.00,2,0,59%,1,2,4,4,33%(3/9),23,0,0,0.30,0.27,9,6,0,0.00,,0,4,55%(12/22),0,88%(231/263),65%(24/37),,1,1,1,3,79%(11/14),7,4,6,0.05,0.00,1,0,59%,1,0,7,2,17%(1/6),21,0,0,0.75,0.71,7,6,0,0.00,,0,5,47%(7/15),2,87%(194/222),77%(43/56),6,7,0,1,89%(8/9),3,7,14,0.00,0.00,2
ENV2fW3n,argelia,27.03.2026 19:30,Football / World / Friendly International,Algeria,Guatemala,7,0,,,63%,,,,5,,,,,,,,,,,,,,,,,,,,7,4,,,,11,,,,,,59%,,,,3,,,,,,,,,,,,,,,,,,,9,5,,,,14,,,,,,37%,,,,3,,,,,,,,,,,,,,,,,,,,2,1,,,,3,,,,,,41%,,,,1,,,,,,,,,,,,,,,,,,,0,2,,,,2,,,,
E7lTculI,argelia,10.01.2026 16:00,Football / Africa / Africa Cup of Nations - Play Offs - Quarter-finals,Algeria,Nigeria,0,2,,0,33%,0,0,21,0,0%(0/5),29,0,2,0.02,0.00,10,8,2,0.28,,0,5,29%(6/21),1,68%(76/111),55%(11/20),,0,0,0,0,56%(9/16),7,0,2,0.00,0.28,2,0,51%,0,1,10,2,10%(1/10),20,0,0,0.15,0.13,13,6,1,0.62,0,0,8,50%(14/28),1,81%(160/197),65%(31/48),2,2,0,1,56%(5/9),11,3,8,0.00,2.62,3,0,67%,4,0,4,3,37%(7/19),25,0,0,1.19,1.44,8,10,0,0.00,,0,3,55%(12/22),1,88%(197/225),76%(52/68),,6,5,2,1,50%(3/6),11,7,19,0.28,0.00,0,0,49%,3,1,14,1,60%(3/5),34,0,0,1.20,1.92,6,13,0,0.00,1,1,3,41%(13/32),1,78%(146/188),63%(37/59),6,2,3,0,82%(9/11),4,6,22,2.62,0.00,3
A5pTYVlJ,argelia,06.01.2026 16:00,Football / Africa / Africa Cup of Nations - Play Offs - 1/8-finals,Algeria,D.R. Congo,1,0,,1,59%,0,0,8,2,7%(1/14),23,0,0,0.23,0.04,7,10,1,0.10,,0,1,45%(10/22),0,86%(189/220),67%(43/64),,0,1,0,1,75%(6/8),6,1,10,0.00,0.10,,0,58%,0,1,11,1,25%(2/8),19,0,0,0.27,0.39,3,8,1,0.07,,0,2,42%(8/19),0,89%(188/211),62%(28/45),5,3,3,2,50%(3/6),10,7,8,0.31,0.07,,0,41%,0,0,21,2,33%(2/6),20,0,0,0.14,0.11,10,7,0,0.00,,0,3,59%(13/22),1,85%(135/158),68%(26/38),,3,2,1,0,43%(3/7),10,3,4,0.10,0.00,,0,42%,0,1,10,4,11%(1/9),16,0,0,0.11,0.04,8,3,3,0.31,,0,2,70%(14/20),0,86%(125/145),71%(22/31),1,0,1,1,75%(3/4),9,2,3,0.07,0.31,
vDAbDpjD,argelia,31.12.2025 16:00,Football / Africa / Africa Cup of Nations - Round 3,Equatorial Guinea,Algeria,1,3,,0,46%,0,0,3,2,0%(0/3),17,0,1,0.07,0.05,6,6,3,-0.64,0,0,5,56%(9/16),0,87%(208/238),59%(19/32),,1,1,0,0,71%(5/7),10,1,2,0.00,2.36,,1,45%,1,2,7,2,14%(1/7),20,0,0,0.43,0.45,7,9,0,0.00,,0,4,60%(6/10),1,87%(169/195),70%(37/53),2,4,3,7,80%(4/5),8,9,4,0.87,0.00,4,1,54%,4,4,10,2,71%(5/7),26,0,0,1.36,1.76,6,6,0,0.00,2,0,9,75%(3/4),0,93%(261/281),91%(61/67),,11,3,6,2,58%(7/12),7,13,17,2.36,0.00,,2,55%,0,1,8,3,50%(1/2),17,0,0,0.29,0.14,9,7,2,-0.13,,1,6,48%(10/21),0,89%(223/251),71%(29/41),2,2,0,1,33%(2/6),14,3,8,0.00,0.87,1
zLDsHSjl,argelia,28.12.2025 17:30,Football / Africa / Africa Cup of Nations - Round 2,Algeria,Burkina Faso,1,0,,0,56%,2,2,12,1,0%(0/3),20,0,1,0.21,1.25,15,11,0,0.00,,0,5,35%(7/20),0,86%(178/207),73%(24/33),,4,1,3,2,75%(6/8),6,6,7,1.16,0.00,1,0,43%,3,0,13,1,20%(1/5),26,0,0,0.77,0.75,9,8,2,0.77,,0,7,52%(15/29),1,80%(143/178),74%(34/46),4,2,2,0,57%(4/7),3,4,8,0.45,0.77,1,0,44%,1,4,1,3,33%(3/9),35,0,0,0.37,0.44,11,15,2,0.16,,1,4,25%(4/16),0,83%(128/154),59%(29/49),,5,4,0,3,67%(6/9),7,8,13,0.00,1.16,2,0,57%,2,0,6,3,17%(2/12),34,0,0,0.59,0.58,8,9,2,0.45,,0,3,50%(10/20),0,84%(193/231),74%(62/84),3,4,2,3,50%(5/10),10,6,7,0.77,0.45,1
buK3OAbE,argelia,24.12.2025 15:00,Football / Africa / Africa Cup of Nations - Round 1,Algeria,Sudan,3,0,,0,61%,0,1,4,6,0%(0/11),25,0,0,0.19,0.21,7,6,2,0.43,,0,3,36%(9/25),3,87%(215/247),62%(34/55),0,1,0,1,1,63%(5/8),7,2,9,0.58,0.43,0,1,55%,5,1,5,5,23%(3/13),19,0,0,0.71,1.99,9,3,0,0.00,,1,10,50%(10/20),0,89%(190/213),78%(46/59),10,5,6,2,40%(2/5),3,12,19,1.39,0.00,0,0,39%,0,0,12,0,50%(2/4),19,0,0,0.15,0.30,6,7,0,-0.42,,0,8,35%(8/23),1,81%(131/162),78%(21/27),1,3,2,2,1,57%(4/7),10,4,7,0.43,0.58,2,0,45%,0,0,8,1,33%(2/6),23,0,0,0.07,0.01,3,9,4,-0.61,,0,3,33%(9/27),1,79%(140/177),46%(12/26),0,1,0,1,57%(4/7),13,1,6,0.00,1.39,1
zmUdzhL5,argelia,12.12.2025 17:30,Football / World / FIFA Arab Cup - Play Offs - Quarter-finals,Algeria,United Arab Emirates,1,1,,0,57%,0,0,7,0,,31,0,0,0.03,0.00,9,13,0,0.00,,0,6,32%(9/28),3,82%(177/217),54%(19/35),,0,0,0,0,57%(4/7),11,0,3,0.00,0.00,1,0,49%,2,1,16,0,43%(3/7),27,0,0,0.59,0.53,9,6,2,-0.68,,0,2,50%(10/20),1,82%(151/185),63%(31/49),3,2,2,2,33%(1/3),7,5,7,0.87,0.32,,0,43%,0,1,13,1,,26,0,0,0.09,0.02,13,9,0,0.00,,0,1,44%(11/25),1,74%(125/168),52%(25/48),,1,0,0,0,88%(7/8),8,1,6,0.00,0.00,2,0,51%,1,2,8,4,38%(3/8),22,1,0,0.41,0.69,6,9,1,-0.13,,0,2,39%(11/28),2,77%(147/190),58%(28/48),4,0,2,0,80%(4/5),10,4,11,0.32,0.87,
