match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
hI4787v8,argentina,local,24/26 (92%),Barco V.Winger,4,0.21,8.0,-,2,1,31
hI4787v8,argentina,local,15/16 (94%),Almada T.Forward,2,0.56,7.8,-,1,1,20
hI4787v8,argentina,local,35/37 (95%),de Paul R.Midfielder,3,-,7.8,1/1 (100%),-,3,43
hI4787v8,argentina,local,15/19 (79%),Messi L.Forward,-,0.79,7.5,-,1,1,21
hI4787v8,argentina,local,22/27 (81%),Paz N.Striker,8,0.31,7.3,1/1 (100%),4,4,42
hI4787v8,argentina,local,44/46 (96%),Lo Celso G.Midfielder,4,-,7.2,1/1 (100%),-,-,54
hI4787v8,argentina,local,9/9 (100%),Martinez L.Forward,4,0.28,7.1,-,1,4,13
hI4787v8,argentina,local,45/47 (96%),Martinez Li.Centre back,1,-,7.0,-,-,1,49
hI4787v8,argentina,local,28/32 (88%),Rulli G.Goalkeeper,-,-,7.0,-,-,-,35
hI4787v8,argentina,local,28/32 (88%),Mac Allister A.Midfielder,4,0.50,6.9,-,3,3,38
hI4787v8,argentina,local,71/73 (97%),Palacios E.Midfielder,4,-,6.9,-,-,-,77
hI4787v8,argentina,local,39/42 (93%),Fernandez E.Midfielder,6,0.04,6.8,2/3 (67%),1,3,49
hI4787v8,argentina,local,9/10 (90%),Thorsteinsson J.Forward,3,-,6.8,1/1 (100%),-,-,14
hI4787v8,argentina,local,45/50 (90%),Giay A.Fullback,6,-,6.7,1/1 (100%),-,-,59
hI4787v8,argentina,local,9/10 (90%),Lopez J.Striker,9,-,6.7,0/1 (0%),-,4,18
hI4787v8,argentina,local,19/21 (90%),Gudmundsson A.Winger,7,-,6.6,2/2 (100%),-,2,33
hI4787v8,argentina,local,39/43 (91%),Romero C.Defender,3,-,6.6,-,-,-,46
hI4787v8,argentina,local,21/26 (81%),Simeone G.Winger,7,0.17,6.6,1/1 (100%),2,7,34
hI4787v8,argentina,local,9/10 (90%),Montiel G.Defender,1,-,6.4,-,-,-,15
hI4787v8,argentina,local,50/53 (94%),Otamendi N.Centre back,2,-,6.4,-,-,1,55
hI4787v8,argentina,local,13/13 (100%),Gonzalez N.Forward,4,-,6.3,-,-,-,19
hI4787v8,argentina,local,10/12 (83%),Gunnarsson A.Midfielder,1,0.05,6.3,-,1,1,15
hI4787v8,argentina,local,56/68 (82%),Magnusson H.Centre back,6,-,6.3,-,-,-,75
hI4787v8,argentina,local,9/11 (82%),Thorhallsson D.Defender,1,-,6.1,-,-,-,13
hI4787v8,argentina,local,16/20 (80%),Tomasson L.Fullback,7,-,6.1,-,-,-,27
hI4787v8,argentina,local,31/37 (84%),Olafsson E.Goalkeeper,1,-,6.0,-,-,-,43
hI4787v8,argentina,local,22/24 (92%),Baldursson A. F.Midfielder,4,-,5.9,-,-,-,28
hI4787v8,argentina,local,3/6 (50%),Hlynsson K.Midfielder,4,-,5.9,0/1 (0%),-,-,10
hI4787v8,argentina,local,45/48 (94%),Johannesson I.Midfielder,8,0.04,5.9,-,1,-,57
hI4787v8,argentina,local,58/68 (85%),Medina F.Fullback,5,-,5.9,-,-,-,79
hI4787v8,argentina,local,19/25 (76%),Palsson V.Fullback,6,-,5.8,-,-,-,36
hI4787v8,argentina,local,14/14 (100%),Ellertsson M. E.Winger,4,0.97,5.7,0/2 (0%),1,1,25
hI4787v8,argentina,local,35/39 (90%),Gretarsson D. L.Centre back,5,0.02,5.6,0/1 (0%),1,1,45
hI4787v8,argentina,local,9/14 (64%),Oskarsson O.Striker,5,-,5.6,1/1 (100%),-,-,21
hI4787v8,argentina,local,24/28 (86%),Haraldsson H.Striker,8,0.07,5.2,0/1 (0%),1,1,34
hI4787v8,argentina,local,1/1 (100%),Gudjohnsen D. T.Forward,2,0.53,-,-,1,1,5
hI4787v8,argentina,local,7/7 (100%),Hermannsson H.Defender,-,-,-,-,-,-,7
hI4787v8,argentina,local,0/1 (0%),Ingason K. M.Forward,1,-,-,-,-,-,3
hI4787v8,argentina,local,1/2 (50%),Sigurdsson A.Forward,1,-,-,-,-,1,2
hI4787v8,argentina,local,6/6 (100%),Sigurdsson G.Midfielder,1,-,-,-,-,-,6
hI4787v8,argentina,local,1/1 (100%),Thordarson G.Midfielder,2,-,-,-,-,-,1
QgmZkEjC,argentina,local,26/30 (87%),Martinez L.Striker,13,1.00,8.5,1/4 (25%),3,11,44
QgmZkEjC,argentina,local,31/33 (94%),Simeone G.Winger,11,0.56,8.3,1/6 (17%),4,8,53
QgmZkEjC,argentina,local,114/115 (99%),Palacios E.Midfielder,6,-,8.0,0/1 (0%),-,1,120
QgmZkEjC,argentina,local,60/62 (97%),Almada T.Attacking midfielder,4,0.39,7.9,0/1 (0%),2,6,70
QgmZkEjC,argentina,local,85/90 (94%),de Paul R.Midfielder,1,0.02,7.7,-,1,-,96
QgmZkEjC,argentina,local,63/63 (100%),Martinez Li.Centre back,4,0.04,7.4,-,1,1,66
QgmZkEjC,argentina,local,50/53 (94%),Giay A.Fullback,9,-,7.3,0/1 (0%),-,2,72
QgmZkEjC,argentina,local,51/59 (86%),Lo Celso G.Winger,4,0.22,7.2,0/1 (0%),4,4,73
QgmZkEjC,argentina,local,51/55 (93%),Barco V.Midfielder,7,-,7.1,0/1 (0%),-,-,66
QgmZkEjC,argentina,local,9/18 (50%),Menjivar E.Goalkeeper,1,-,7.1,-,-,-,34
QgmZkEjC,argentina,local,29/32 (91%),Rosales J.Fullback,15,-,7.1,2/4 (50%),-,-,62
QgmZkEjC,argentina,local,34/35 (97%),Medina F.Defender,6,0.04,7.0,-,1,1,43
QgmZkEjC,argentina,local,58/61 (95%),Otamendi N.Centre back,4,0.04,6.9,-,1,1,69
QgmZkEjC,argentina,local,22/23 (96%),Tagliafico N.Fullback,3,-,6.9,-,-,3,32
QgmZkEjC,argentina,local,14/16 (88%),Mac Allister A.Midfielder,3,0.12,6.8,-,1,2,23
QgmZkEjC,argentina,local,26/28 (93%),Fernandez E.Midfielder,3,-,6.7,-,-,-,31
QgmZkEjC,argentina,local,10/13 (77%),Musso J.Goalkeeper,-,-,6.7,-,-,-,13
