match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
ruc3zsQH,australia,local,12/18 (67%),Ndoye D.Winger,6,1.07,7.8,1/2 (50%),4,12,29
ruc3zsQH,australia,local,69/76 (91%),Xhaka G.Midfielder,5,-,7.6,-,-,-,82
ruc3zsQH,australia,local,11/16 (69%),Beach P.Goalkeeper,-,-,7.4,-,-,-,25
ruc3zsQH,australia,local,9/11 (82%),Yengi T.Striker,7,0.95,7.3,-,2,2,17
ruc3zsQH,australia,local,82/84 (98%),Elvedi N.Centre back,5,-,7.1,-,-,1,89
ruc3zsQH,australia,local,10/12 (83%),Metcalfe C.Forward,2,-,7.1,0/1 (0%),-,1,19
ruc3zsQH,australia,local,26/27 (96%),Aebischer M.Winger,1,-,7.0,-,-,-,34
ruc3zsQH,australia,local,26/29 (90%),Manzambi J.Striker,4,-,7.0,0/2 (0%),-,2,40
ruc3zsQH,australia,local,28/30 (93%),Jashari A.Midfielder,1,-,6.8,-,-,1,34
ruc3zsQH,australia,local,29/32 (91%),Amenda A.Defender,5,-,6.7,-,-,1,34
ruc3zsQH,australia,local,62/67 (93%),Rodriguez R.Fullback,1,-,6.7,-,-,-,84
ruc3zsQH,australia,local,46/52 (88%),Souttar H.Centre back,6,0.04,6.7,-,1,1,64
ruc3zsQH,australia,local,14/16 (88%),Zakaria D.Midfielder,3,0.07,6.7,1/1 (100%),1,1,21
ruc3zsQH,australia,local,18/20 (90%),Geria J.Defender,2,-,6.6,-,-,-,33
ruc3zsQH,australia,local,15/21 (71%),Italiano J.Midfielder,5,-,6.6,-,-,-,32
ruc3zsQH,australia,local,19/22 (86%),Comert E.Defender,-,-,6.5,-,-,-,24
ruc3zsQH,australia,local,3/5 (60%),Itten C.Forward,4,0.13,6.5,-,2,4,7
ruc3zsQH,australia,local,12/14 (86%),Muheim M.Defender,2,-,6.5,2/2 (100%),-,1,29
ruc3zsQH,australia,local,22/25 (88%),Circati A.Centre back,4,-,6.4,2/2 (100%),-,-,33
ruc3zsQH,australia,local,4/4 (100%),Fassnacht C.Forward,-,-,6.4,-,-,-,6
ruc3zsQH,australia,local,35/36 (97%),Herrington L.Centre back,2,-,6.4,-,-,-,41
ruc3zsQH,australia,local,4/5 (80%),Irvine J.Midfielder,2,-,6.4,0/1 (0%),-,-,8
ruc3zsQH,australia,local,19/24 (79%),Kobel G.Goalkeeper,2,-,6.4,1/1 (100%),-,-,29
ruc3zsQH,australia,local,7/7 (100%),Bos J.Defender,2,-,6.3,-,-,-,9
ruc3zsQH,australia,local,27/33 (82%),Burgess C.Defender,-,0.01,6.3,-,-,-,33
ruc3zsQH,australia,local,3/5 (60%),Leckie M.Forward,3,-,6.3,-,-,-,6
ruc3zsQH,australia,local,17/18 (94%),O'Neill A.Midfielder,3,-,6.3,-,-,-,23
ruc3zsQH,australia,local,5/5 (100%),Okafor N.Forward,3,-,6.3,0/1 (0%),-,1,10
ruc3zsQH,australia,local,21/22 (95%),Sow D.Midfielder,2,-,6.3,-,-,2,24
ruc3zsQH,australia,local,87/93 (94%),Akanji M.Centre back,8,-,6.2,-,-,-,98
ruc3zsQH,australia,local,14/20 (70%),Irankunda N.Attacking midfielder,8,0.03,6.2,2/2 (100%),1,1,33
ruc3zsQH,australia,local,1/3 (33%),Toure M.Forward,5,-,6.2,0/2 (0%),-,-,7
ruc3zsQH,australia,local,13/13 (100%),Amdouni Z.Striker,7,0.15,6.1,1/3 (33%),2,2,23
ruc3zsQH,australia,local,41/46 (89%),Okon-Engstler P.Midfielder,1,-,6.1,-,-,-,50
