match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
ruc3zsQH,australia,06.06.2026 19:00,Football / World / Friendly International,Switzerland,Australia,1,1,2,62%,3,1,3,5,13%(1/8),15,0,0,0.79,1.22,5,6,0,0.00,,0,5,53%(9/17),2,93%(323/348),82%(49/60),6,2,3,0,67%(2/3),9,6,15,1.86,0.00,2,0,64%,0,0,5,2,21%(3/14),21,0,1,0.48,0.20,5,8,1,0.03,,0,1,45%(10/22),2,90%(310/345),78%(81/104),,3,3,0,0,100%(5/5),12,3,16,0.00,1.03,1,0,38%,0,0,14,1,50%(1/2),18,0,0,0.08,0.11,6,5,2,0.86,,0,4,38%(5/13),0,86%(187/218),60%(9/15),2,2,0,0,80%(4/5),6,2,3,0.00,1.86,1,0,36%,1,0,14,1,0%(0/3),16,0,0,0.37,0.92,8,5,0,0.00,,1,7,52%(12/23),0,84%(167/200),57%(13/23),,1,0,2,1,60%(3/5),8,2,2,1.03,0.00,1
C8AbHNbh,australia,31.05.2026 02:00,Football / World / Friendly International,Mexico,Australia,1,0,0,76%,1,7,8,5,,13,0,1,0.37,0.36,2,4,0,0.00,1,0,2,59%(13/22),2,94%(375/400),82%(50/61),4,1,3,7,83%(5/6),8,11,10,0.79,0.00,0,0,42%,0,1,19,0,100%(1/1),22,0,0,0.26,0.23,5,6,1,0.12,,0,2,24%(4/17),2,82%(166/203),61%(19/31),,1,1,0,1,80%(4/5),6,2,1,0.00,0.12,1,0,24%,1,1,12,0,,18,0,0,0.11,0.17,4,2,2,-0.21,0,0,2,25%(5/20),1,78%(102/130),36%(5/14),1,2,0,2,86%(6/7),9,3,4,0.00,0.79,1,0,58%,1,2,4,3,13%(1/8),21,0,0,0.44,0.39,6,5,0,0.00,,0,0,43%(9/21),0,84%(236/281),72%(48/67),,3,1,1,1,86%(6/7),12,4,9,0.12,0.00,0
xYZOaL8b,australia,31.03.2026 09:10,Football / World / FIFA Series - Group Stage,Australia,Curacao,5,1,0,46%,1,1,12,1,33%(1/3),20,0,0,0.18,0.58,7,6,2,0.51,,1,2,42%(10/24),0,84%(204/244),61%(27/44),4,2,2,1,57%(4/7),6,5,7,0.52,0.51,,1,47%,3,0,7,0,33%(1/3),15,0,0,0.69,0.97,11,1,1,-0.47,1,0,9,57%(12/21),0,85%(158/186),80%(32/40),,4,2,4,2,83%(5/6),4,6,8,1.69,0.53,,0,54%,1,0,5,2,0%(0/7),15,1,0,0.11,0.18,6,7,1,-0.48,,0,4,50%(19/38),2,87%(246/282),76%(32/42),2,0,2,0,100%(5/5),11,2,6,0.51,0.52,,0,53%,2,2,3,0,17%(1/6),26,0,1,0.15,0.49,1,11,0,-2.31,0,0,5,72%(23/32),1,86%(185/214),75%(33/44),,4,1,2,1,50%(4/8),7,5,6,0.53,1.69,
U7WG1svn,australia,27.03.2026 09:10,Football / World / FIFA Series - Group Stage,Australia,Cameroon,1,0,0,52%,0,1,9,1,0%(0/3),24,0,0,0.11,0.02,7,6,1,0.08,,0,6,44%(7/16),1,86%(221/258),66%(25/38),0,0,0,1,20%(1/5),4,1,4,0.00,0.08,0,0,63%,2,0,9,2,33%(2/6),25,0,0,0.28,1.57,9,13,0,0.00,,0,6,45%(9/20),2,86%(204/236),66%(27/41),,6,3,4,1,67%(4/6),5,7,10,1.69,0.00,2,0,48%,0,3,5,3,22%(2/9),26,0,0,0.24,0.23,6,7,0,0.00,,0,6,32%(10/31),0,82%(198/241),52%(26/50),3,2,1,3,44%(4/9),8,6,6,0.08,0.00,1,0,37%,0,0,5,1,0%(0/6),21,1,0,0.05,0.03,13,9,3,0.69,,0,3,26%(7/27),0,73%(99/136),38%(12/32),,0,1,0,1,33%(3/9),8,1,1,0.00,1.69,1
2oYYd6K5,australia,19.11.2025 01:30,Football / World / Friendly International,Colombia,Australia,3,0,0,54%,0,0,1,0,60%(3/5),20,0,0,0.21,0.29,8,6,1,0.18,,0,2,63%(17/27),2,88%(266/302),58%(30/52),3,2,3,2,60%(3/5),15,5,10,0.60,0.18,0,0,77%,3,5,4,4,19%(3/16),26,0,0,0.61,1.55,6,6,0,0.00,,0,6,75%(24/32),0,93%(414/445),87%(98/113),,6,1,5,5,63%(5/8),15,11,18,2.53,0.00,2,0,46%,0,0,9,0,0%(0/1),23,0,0,0.02,0.04,6,8,3,0.60,,0,6,17%(3/18),2,86%(219/256),39%(9/23),0,0,1,1,88%(7/8),9,1,0,0.18,0.60,1,0,23%,0,0,18,0,0%(0/1),18,1,0,0.02,0.09,6,6,2,-0.47,,0,3,54%(7/13),0,80%(109/137),55%(11/20),,1,1,0,0,50%(2/4),6,1,1,0.00,2.53,1
dlVQbSkg,australia,15.11.2025 02:30,Football / World / Friendly International,Venezuela,Australia,1,0,0,67%,2,0,1,2,17%(1/6),15,0,0,0.31,0.94,2,3,1,0.18,,0,2,64%(16/25),0,90%(312/345),69%(41/59),4,2,4,2,60%(3/5),9,6,5,1.44,0.18,0,0,64%,0,1,3,3,50%(4/8),17,0,0,0.42,0.23,9,4,3,0.20,,0,1,57%(20/35),0,92%(324/354),88%(71/81),,3,2,1,1,50%(4/8),5,4,10,0.57,0.20,1,0,33%,0,1,8,0,0%(0/3),11,0,0,0.11,0.21,3,2,3,0.44,,0,6,48%(10/21),1,87%(143/165),77%(20/26),3,1,1,0,50%(2/4),5,3,6,0.18,1.44,1,1,36%,1,1,5,4,44%(4/9),19,0,1,0.53,0.47,4,9,1,0.57,,0,4,73%(11/15),0,90%(174/194),79%(27/34),,4,2,3,2,67%(4/6),5,6,8,0.20,0.57,0
zsJqSNNr,australia,15.10.2025 01:00,Football / World / Friendly International,USA,Australia,2,1,2,70%,1,1,3,2,,16,0,0,0.95,0.42,4,5,0,-0.28,,0,6,63%(15/24),2,88%(295/335),77%(70/91),3,3,2,3,67%(4/6),10,6,12,0.98,0.72,0,1,58%,3,0,9,1,100%(1/1),19,0,0,0.58,0.90,12,5,2,0.55,,0,2,35%(9/26),1,86%(226/264),68%(27/40),,5,3,2,0,40%(2/5),7,5,9,0.89,0.55,1,0,30%,1,0,6,0,,16,0,0,0.02,0.14,5,4,1,-0.02,,0,6,26%(5/19),2,73%(105/143),36%(9/25),1,0,1,0,71%(5/7),14,1,3,0.72,0.98,1,0,42%,0,4,6,2,43%(3/7),29,0,0,0.29,0.55,5,12,1,-0.11,,0,3,35%(6/17),2,81%(150/185),67%(36/54),,5,2,2,3,63%(5/8),11,8,5,0.55,0.89,0
Q7XDXq0L,australia,10.10.2025 23:30,Football / World / Friendly International,Canada,Australia,0,1,1,56%,0,2,2,3,25%(3/12),26,0,0,0.37,0.19,3,7,0,0.00,,0,8,53%(9/17),1,86%(213/249),77%(69/90),4,3,2,3,64%(7/11),11,7,12,0.42,0.00,1,2,66%,3,1,5,5,29%(5/17),30,1,0,1.60,1.57,4,11,0,-0.85,,1,1,54%(13/24),0,84%(221/263),72%(70/97),,7,3,6,3,67%(4/6),9,10,15,2.12,0.15,2,0,44%,0,1,17,1,0%(0/2),21,0,0,0.12,0.03,7,3,2,0.42,,0,4,61%(11/18),0,80%(159/198),53%(9/17),0,0,0,1,75%(6/8),13,1,3,0.00,0.42,1,0,34%,2,0,18,0,29%(2/7),18,0,0,0.85,0.53,11,4,6,2.12,,0,4,52%(12/23),0,78%(105/134),71%(12/17),,4,3,1,0,75%(3/4),10,4,10,0.15,2.12,2
4UdSdAIi,australia,09.09.2025 07:00,Football / World / Friendly International,New Zealand,Australia,1,3,0,52%,1,2,13,1,25%(2/8),29,1,0,0.40,0.86,6,6,1,0.14,,0,4,38%(9/24),0,81%(163/202),65%(48/74),4,2,2,2,69%(9/13),19,6,11,1.33,1.14,1,0,59%,1,0,4,1,13%(1/8),17,0,0,0.27,0.35,6,3,2,-1.43,,0,4,48%(13/27),2,87%(246/283),61%(31/51),,1,0,2,1,50%(5/10),6,2,5,0.85,0.57,2,1,48%,1,1,17,1,33%(1/3),29,0,0,0.28,0.37,6,6,2,1.33,,1,4,48%(12/25),0,78%(145/186),67%(18/27),3,3,2,3,67%(8/12),15,6,3,1.14,1.33,1,0,41%,1,1,10,1,25%(1/4),21,0,0,0.11,0.44,3,6,1,-0.15,,1,3,59%(13/22),2,84%(163/195),81%(30/37),,4,2,4,3,75%(6/8),6,7,9,0.57,0.85,0
K6O9vT2N,australia,05.09.2025 09:45,Football / World / Friendly International,Australia,New Zealand,1,0,0,43%,0,0,15,1,0%(0/5),24,0,0,0.06,0.07,4,4,2,0.88,,1,3,48%(14/29),0,85%(211/247),80%(32/40),0,1,1,2,63%(5/8),5,2,2,0.06,0.88,0,0,49%,0,1,22,1,22%(2/9),34,0,0,0.47,0.27,7,8,2,0.66,,0,7,64%(18/28),0,80%(178/222),54%(20/37),,4,2,2,0,44%(4/9),15,5,12,1.17,0.66,,1,57%,1,0,3,3,0%(0/9),18,0,0,0.35,0.35,4,4,1,0.06,,0,2,48%(19/40),0,87%(288/330),66%(44/67),0,3,2,5,57%(4/7),14,5,6,0.88,0.06,1,0,51%,1,1,18,2,8%(1/12),30,0,0,0.09,0.27,8,7,1,0.17,,0,4,18%(4/22),1,76%(174/228),57%(33/58),,3,1,2,1,50%(8/16),17,4,10,0.66,1.17,
