match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
C2OQdZsn,austria,local,32/38 (84%),Sabitzer M.Winger,7,0.30,8.2,0/1 (0%),3,3,61
C2OQdZsn,austria,local,49/52 (94%),Rekik O.Centre back,11,-,7.5,-,-,1,62
C2OQdZsn,austria,local,35/41 (85%),Schlager A.Goalkeeper,-,-,7.5,-,-,-,49
C2OQdZsn,austria,local,48/50 (96%),Alaba D.Centre back,4,-,7.4,1/1 (100%),-,-,56
C2OQdZsn,austria,local,18/20 (90%),Mejbri H.Attacking midfielder,10,0.10,7.1,1/2 (50%),3,2,37
C2OQdZsn,austria,local,8/11 (73%),Chamakh A.Goalkeeper,-,-,6.9,-,-,-,16
C2OQdZsn,austria,local,25/29 (86%),Posch S.Fullback,15,0.87,6.9,1/3 (33%),1,4,57
C2OQdZsn,austria,local,22/23 (96%),Schlager X.Midfielder,8,-,6.9,0/1 (0%),-,-,38
C2OQdZsn,austria,local,9/12 (75%),Kalajdzic S.Forward,14,0.09,6.8,1/1 (100%),1,1,27
C2OQdZsn,austria,local,52/57 (91%),Lienhart P.Centre back,4,-,6.8,-,-,-,65
C2OQdZsn,austria,local,24/27 (89%),Friedl M.Defender,2,0.18,6.7,-,2,1,33
C2OQdZsn,austria,local,20/21 (95%),Schmid R.Winger,7,0.04,6.7,1/2 (50%),1,1,30
C2OQdZsn,austria,local,20/23 (87%),Valery Y.Fullback,12,-,6.7,-,-,-,50
C2OQdZsn,austria,local,7/7 (100%),Wanner P.Midfielder,2,0.09,6.7,-,1,-,14
C2OQdZsn,austria,local,5/9 (56%),Arnautovic M.Striker,4,-,6.6,-,-,5,14
C2OQdZsn,austria,local,29/32 (91%),Danso K.Defender,3,-,6.6,-,-,1,38
C2OQdZsn,austria,local,11/12 (92%),Chukwuemeka C.Midfielder,4,-,6.5,1/1 (100%),-,1,16
C2OQdZsn,austria,local,17/21 (81%),Gharbi I.Winger,9,0.13,6.5,1/3 (33%),3,3,41
C2OQdZsn,austria,local,7/8 (88%),Mwene P.Defender,1,-,6.5,-,-,-,11
C2OQdZsn,austria,local,15/18 (83%),Tounekti S.Forward,6,-,6.5,2/2 (100%),-,4,26
C2OQdZsn,austria,local,34/42 (81%),Abdi A.Fullback,12,0.11,6.4,0/1 (0%),2,2,67
C2OQdZsn,austria,local,6/7 (86%),Ayari K.Forward,4,0.03,6.4,0/3 (0%),1,1,18
C2OQdZsn,austria,local,9/9 (100%),Belhadj M.Midfielder,-,-,6.4,-,-,1,10
C2OQdZsn,austria,local,9/11 (82%),Gregoritsch M.Attacking midfielder,4,-,6.3,0/1 (0%),-,1,15
C2OQdZsn,austria,local,56/60 (93%),Seiwald N.Midfielder,3,-,6.3,-,-,-,65
C2OQdZsn,austria,local,6/8 (75%),Chaouat F.Striker,4,0.45,6.2,-,2,4,19
C2OQdZsn,austria,local,3/4 (75%),Elloumi R.Forward,1,-,6.2,-,-,1,6
C2OQdZsn,austria,local,39/43 (91%),Talbi M.Centre back,4,0.17,5.9,-,1,1,51
C2OQdZsn,austria,local,12/14 (86%),Khedira R.Midfielder,2,-,5.8,-,-,2,18
C2OQdZsn,austria,local,12/17 (71%),Slimane A.Winger,2,0.04,5.8,-,1,1,22
C2OQdZsn,austria,local,30/34 (88%),Skhiri E.Midfielder,8,-,5.6,2/2 (100%),-,1,42
C2OQdZsn,austria,local,21/25 (84%),Laimer K.Fullback,3,-,4.9,2/2 (100%),-,4,31
C2OQdZsn,austria,local,2/3 (67%),Prass A.Midfielder,2,-,-,-,-,-,6
C2OQdZsn,austria,local,4/4 (100%),Saad E.Forward,2,0.05,-,-,1,-,7
fHhO66jf,austria,local,110/115 (96%),Danso K.Centre back,8,-,8.1,-,-,-,132
fHhO66jf,austria,local,106/114 (93%),Lienhart P.Centre back,6,0.11,8.0,-,1,1,130
fHhO66jf,austria,local,11/13 (85%),Tabakovic H.Striker,6,0.35,7.4,-,1,4,24
fHhO66jf,austria,local,27/30 (90%),Muharemovic T.Centre back,6,-,7.3,-,-,2,43
fHhO66jf,austria,local,13/25 (52%),Memic A.Winger,9,0.05,7.2,2/4 (50%),2,1,54
fHhO66jf,austria,local,46/51 (90%),Mwene P.Fullback,5,-,7.1,1/2 (50%),-,-,70
