match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error_2nd Half,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
4nYE6kxR,belgica,06.06.2026 13:00,Football / World / Friendly International,Belgium,Tunisia,5,0,,0,64%,3,2,5,9,29%(4/14),31,0,0,2.28,2.33,5,6,0,0.00,,0,7,68%(13/19),0,88%(234/267),80%(89/111),,7,4,5,4,82%(9/11),6,11,28,1.80,0.00,,1,68%,2,7,3,5,30%(3/10),27,0,0,1.66,1.53,4,3,1,0.04,1,0,3,72%(13/18),2,86%(260/302),80%(125/157),0,13,2,7,3,75%(6/8),7,16,53,2.75,0.04,1,0,36%,0,2,12,0,33%(1/3),21,0,0,0.12,0.22,6,5,3,0.80,,0,5,39%(11/28),0,78%(123/157),52%(17/33),,3,2,0,1,78%(7/9),9,4,8,0.00,1.80,,0,32%,0,0,19,0,0%(0/2),16,0,0,0.11,0.07,3,4,2,-1.25,0,1,4,30%(10/33),3,77%(113/147),72%(21/29),1,1,2,1,2,38%(3/8),6,3,4,0.04,2.75,2
EDo2e0I5,belgica,02.06.2026 16:00,Football / World / Friendly International,Croatia,Belgium,0,2,,0,52%,0,0,6,2,0%(0/6),21,1,0,0.34,0.13,8,7,2,-0.63,,0,8,52%(11/21),3,85%(201/237),75%(27/36),,2,1,1,0,67%(4/6),7,2,8,0.42,0.37,1,0,61%,1,1,8,1,33%(4/12),24,1,0,0.95,1.05,5,6,1,-0.76,,1,3,65%(11/17),1,89%(268/302),78%(61/78),,2,2,0,1,11%(1/9),10,3,5,0.00,0.24,1,0,48%,0,0,13,0,0%(0/2),18,0,0,0.08,0.27,7,8,1,0.42,,0,7,50%(10/20),1,86%(195/226),61%(27/44),,1,1,3,3,33%(1/3),4,4,9,0.37,0.42,0,1,39%,2,1,11,4,33%(2/6),19,0,0,0.66,0.65,6,5,0,0.00,,1,5,48%(12/25),1,79%(151/190),58%(29/50),,2,2,1,2,60%(3/5),8,4,10,0.24,0.00,2
0WvEOTM5,belgica,01.04.2026 01:00,Football / World / Friendly International,Mexico,Belgium,1,1,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[dat",0,48%,1,4,10,3,11%(1/9),49,0,0,0.46,0.90,14,20,1,-0.25,,0,12,40%(19/48),3,84%(424/503),71%(77/109),,6,3,3,4,60%(12/20),12,10,19,1.06,0.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52%,0,1,16,2,18%(2/11),41,0,0,0.46,0.29,20,14,2,0.06,,0,12,50%(22/44),1,86%(478/554),77%(87/113),,1,2,2,4,75%(9/12),9,5,10,0.75,1.06,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AkzS6uae,belgica,28.03.2026 19:30,Football / World / Friendly International,USA,Belgium,2,5,,0,41%,2,1,8,4,50%(4/8),13,0,0,0.44,0.87,2,4,3,-0.46,,0,4,47%(9/19),0,80%(145/182),67%(30/45),,5,3,4,3,83%(5/6),7,8,12,1.54,0.54,1,0,62%,1,0,2,2,18%(2/11),20,0,0,0.41,0.46,6,6,2,-0.50,,0,4,64%(7/11),1,89%(249/279),75%(54/72),,4,3,1,0,89%(8/9),9,4,15,0.85,3.50,1,0,59%,0,5,11,5,50%(4/8),18,0,0,0.33,0.71,4,2,3,0.54,,0,6,62%(18/29),2,87%(231/266),79%(77/98),,6,4,4,7,83%(5/6),7,13,21,0.54,1.54,0,0,38%,3,2,12,1,0%(0/1),21,1,0,0.38,1.63,6,6,0,-0.15,,0,3,52%(12/23),1,83%(148/179),72%(13/18),,8,0,6,0,75%(6/8),5,8,17,3.50,0.85,0
IXpmWMJ5,belgica,18.11.2025 19:45,Football / Europe / World Championship - Qualification,Belgium,Liechtenstein,7,0,,0,83%,2,4,3,8,,37,0,0,1.83,1.35,4,8,0,0.00,1,0,2,88%(14/16),1,94%(373/396),89%(171/193),,11,1,7,1,57%(4/7),8,12,37,2.10,0.00,,1,77%,4,1,2,7,21%(3/14),20,0,1,0.80,1.72,5,2,1,0.57,1,1,3,73%(8/11),0,89%(281/314),82%(117/143),,8,4,6,3,64%(7/11),11,11,33,1.89,0.57,0,0,17%,0,0,27,0,,17,2,0,0.01,0.00,8,4,3,-0.90,0,0,1,27%(4/15),0,71%(56/79),62%(8/13),,0,0,0,0,29%(2/7),8,0,0,0.00,2.10,,0,23%,0,0,18,0,0%(0/1),16,0,0,0.02,0.04,2,5,2,-2.11,0,0,4,36%(4/11),0,72%(68/94),50%(4/8),,1,1,1,1,70%(7/10),5,2,2,0.57,1.89,1
zTF7ZeQc,belgica,15.11.2025 14:00,Football / Europe / World Championship - Qualification,Kazakhstan,Belgium,1,1,,0,24%,0,2,28,5,0%(0/7),17,0,0,0.03,0.25,9,2,4,1.01,,0,5,45%(10/22),0,78%(79/101),71%(17/24),,3,2,3,4,58%(7/12),5,7,6,1.08,1.01,1,0,22%,0,1,28,0,0%(0/1),17,0,0,0.04,0.09,8,3,4,0.55,0,0,6,26%(5/19),0,70%(63/90),59%(19/32),1,2,1,0,0,63%(5/8),6,2,6,0.00,1.55,3,1,76%,1,0,9,7,31%(5/16),31,1,0,1.69,0.91,2,9,2,0.08,,0,2,45%(5/11),0,90%(293/324),85%(110/130),,6,4,4,2,33%(3/9),12,8,30,1.01,1.08,1,0,78%,3,4,1,5,22%(4/18),30,0,0,1.62,1.96,3,8,0,0.00,1,0,5,67%(10/15),0,89%(295/333),82%(130/159),0,7,4,4,5,80%(8/10),15,12,39,1.55,0.00,0
joqeU0lI,belgica,13.10.2025 18:45,Football / Europe / World Championship - Qualification,Wales,Belgium,2,4,,0,59%,1,1,11,4,27%(3/11),18,0,0,0.66,0.52,5,3,1,-0.97,1,0,1,9%(2/22),0,80%(170/213),63%(26/41),,5,2,2,0,75%(6/8),11,5,10,0.45,1.03,1,0,65%,1,2,7,2,33%(5/15),24,0,0,0.58,0.34,5,3,1,-0.60,,0,3,42%(8/19),0,87%(242/278),71%(62/87),,2,1,1,2,70%(7/10),9,4,11,0.37,1.40,1,0,41%,2,3,19,3,50%(2/4),19,0,0,0.34,1.49,3,5,1,-0.55,0,0,4,40%(12/30),1,75%(118/157),65%(36/55),,8,3,3,1,60%(3/5),9,9,18,1.03,0.45,0,1,35%,2,1,16,2,20%(1/5),24,1,0,0.61,1.60,3,5,0,-0.63,,0,1,54%(15/28),0,79%(124/156),84%(49/58),,5,3,3,2,86%(6/7),5,7,18,1.40,0.37,1
EulWZ4Kt,belgica,10.10.2025 18:45,Football / Europe / World Championship - Qualification,Belgium,North Macedonia,0,0,,0,81%,0,7,7,5,25%(4/16),18,0,0,1.71,0.87,9,5,0,0.00,,0,1,65%(15/23),2,88%(332/377),81%(151/186),,9,4,0,2,75%(3/4),12,11,38,0.00,0.00,1,1,75%,3,5,8,8,20%(5/25),27,0,0,1.56,2.33,6,3,0,0.00,,0,2,74%(20/27),0,88%(276/313),82%(118/144),,11,4,5,3,69%(9/13),10,14,46,1.24,0.00,2,0,19%,0,1,26,1,0%(0/2),15,0,0,0.03,0.03,5,9,0,0.00,,0,6,23%(6/26),0,60%(54/90),58%(11/19),,0,1,0,2,100%(5/5),4,2,2,0.00,0.00,1,0,25%,0,1,34,1,0%(0/1),24,0,0,0.03,0.03,3,6,5,1.24,,0,6,27%(8/30),0,65%(74/113),46%(13/28),,0,0,0,1,64%(7/11),11,1,3,0.00,1.24,1
M5ivYrkg,belgica,07.09.2025 18:45,Football / Europe / World Championship - Qualification,Belgium,Kazakhstan,6,0,,2,79%,2,6,4,9,44%(7/16),26,0,0,1.42,1.66,1,5,1,0.04,,0,0,79%(11/14),0,90%(281/312),82%(113/138),,13,6,8,7,50%(5/10),13,20,45,2.16,0.04,0,1,71%,4,4,3,2,13%(1/8),17,0,0,1.87,1.96,5,5,1,0.20,,1,3,78%(14/18),0,88%(299/340),83%(126/151),,9,4,7,6,100%(4/4),12,15,40,2.04,0.20,0,0,21%,0,0,20,1,0%(0/1),14,1,0,0.01,0.03,5,1,6,0.16,,0,4,35%(7/20),1,71%(60/85),0%(0/11),,0,1,1,2,50%(6/12),9,2,0,0.04,2.16,1,0,29%,0,2,19,0,100%(1/1),22,2,0,0.12,0.20,5,5,3,-1.96,,0,12,47%(9/19),1,72%(99/137),65%(20/31),,1,0,1,2,44%(4/9),4,3,6,0.20,2.04,1
dr4GXZfA,belgica,04.09.2025 18:45,Football / Europe / World Championship - Qualification,Liechtenstein,Belgium,0,6,,0,18%,0,0,22,0,0%(0/1),16,0,1,0.02,0.00,6,9,1,-0.83,0,0,5,21%(6/28),2,51%(39/77),21%(6/29),,0,0,0,0,25%(1/4),3,0,3,0.00,0.17,1,0,18%,0,0,25,0,0%(0/1),13,0,0,0.00,0.00,5,3,2,-1.20,0,0,3,9%(2/22),1,58%(47/81),56%(5/9),,0,0,0,0,63%(5/8),3,0,0,0.00,3.80,1,0,82%,1,3,6,3,25%(3/12),27,0,0,0.81,0.94,9,6,0,0.00,1,1,2,72%(28/39),2,88%(305/348),80%(134/167),,6,6,2,5,83%(5/6),12,11,25,0.17,0.00,0,0,82%,5,3,0,7,36%(8/22),19,0,0,1.87,2.19,3,5,0,0.00,1,0,1,78%(21/27),1,90%(323/360),83%(137/166),,11,3,7,2,100%(2/2),15,13,40,3.80,0.00,0
