match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
2B8dzIX9,bosnia,local,46/58 (79%),Bajraktarevic E.Winger,18,0.08,8.5,8/11 (73%),3,7,98
2B8dzIX9,bosnia,local,85/96 (89%),Muharemovic T.Centre back,10,0.01,8.1,2/2 (100%),1,1,116
2B8dzIX9,bosnia,local,99/108 (92%),Katic N.Centre back,20,0.14,8.0,2/2 (100%),3,5,136
2B8dzIX9,bosnia,local,40/43 (93%),Barella N.Midfielder,8,0.02,7.7,1/1 (100%),1,-,58
2B8dzIX9,bosnia,local,75/86 (87%),Dedic A.Fullback,8,0.09,7.7,1/2 (50%),4,8,112
2B8dzIX9,bosnia,local,73/76 (96%),Tahirovic B.Midfielder,5,0.11,7.7,-,2,2,84
2B8dzIX9,bosnia,local,34/44 (77%),Locatelli M.Midfielder,11,-,7.6,-,-,-,63
2B8dzIX9,bosnia,local,44/46 (96%),Alajbegovic K.Forward,7,0.07,7.5,2/6 (33%),3,5,74
2B8dzIX9,bosnia,local,20/49 (41%),Donnarumma G.Goalkeeper,-,-,7.5,-,-,-,68
2B8dzIX9,bosnia,local,3/5 (60%),Tabakovic H.Forward,4,0.67,7.1,-,1,2,6
2B8dzIX9,bosnia,local,32/35 (91%),Memic A.Winger,8,0.09,7.0,2/2 (100%),2,6,53
2B8dzIX9,bosnia,local,8/13 (62%),Demirovic E.Striker,9,0.34,6.8,0/2 (0%),6,6,28
2B8dzIX9,bosnia,local,18/24 (75%),Dzeko E.Striker,10,0.27,6.8,-,3,9,36
2B8dzIX9,bosnia,local,20/26 (77%),Sunjic I.Midfielder,10,-,6.7,0/3 (0%),-,1,42
2B8dzIX9,bosnia,local,13/14 (93%),Kolasinac S.Fullback,2,-,6.6,-,-,-,20
2B8dzIX9,bosnia,local,5/8 (63%),Palestra M.Defender,10,-,6.6,0/1 (0%),-,4,25
2B8dzIX9,bosnia,local,30/38 (79%),Tonali S.Midfielder,8,0.13,6.6,1/2 (50%),1,1,53
2B8dzIX9,bosnia,local,23/24 (96%),Burnic D.Defender,3,-,6.5,1/1 (100%),-,-,36
2B8dzIX9,bosnia,local,7/11 (64%),Kean M.Striker,6,0.29,6.5,0/1 (0%),2,-,23
2B8dzIX9,bosnia,local,49/56 (88%),Basic I.Midfielder,5,0.12,6.4,-,2,2,62
2B8dzIX9,bosnia,local,27/34 (79%),Calafiori R.Centre back,8,-,6.3,-,-,-,51
2B8dzIX9,bosnia,local,17/27 (63%),Dimarco F.Wingback,9,0.10,6.3,1/1 (100%),1,1,45
2B8dzIX9,bosnia,local,3/3 (100%),Frattesi D.Midfielder,4,-,6.3,-,-,-,9
2B8dzIX9,bosnia,local,7/11 (64%),Retegui M.Striker,8,0.05,6.3,-,1,-,19
2B8dzIX9,bosnia,local,2/4 (50%),Gatti F.Defender,6,-,6.1,-,-,1,16
2B8dzIX9,bosnia,local,16/18 (89%),Politano M.Wingback,6,-,6.1,0/1 (0%),-,3,29
2B8dzIX9,bosnia,local,23/27 (85%),Vasilj N.Goalkeeper,1,-,6.1,-,-,-,35
2B8dzIX9,bosnia,local,4/5 (80%),Spinazzola L.Defender,5,-,6.0,0/1 (0%),-,-,12
2B8dzIX9,bosnia,local,6/12 (50%),Cristante B.Midfielder,7,-,5.8,0/1 (0%),-,1,23
2B8dzIX9,bosnia,local,6/12 (50%),Esposito F.Forward,13,0.26,5.7,0/1 (0%),3,5,26
2B8dzIX9,bosnia,local,34/41 (83%),Mancini G.Centre back,9,-,5.7,0/1 (0%),-,2,66
2B8dzIX9,bosnia,local,28/30 (93%),Bastoni A.Centre back,3,-,4.2,-,-,-,33
2B8dzIX9,bosnia,local,4/5 (80%),Hadziahmetovic A.Midfielder,1,-,-,-,-,-,7
4lBawIAb,bosnia,local,84/96 (88%),Ampadu E.Midfielder,17,0.09,8.2,1/2 (50%),1,3,124
