match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
MJw4zC55,bosnia,06.06.2026 19:00,Football / World / Friendly International,Panama,Bosnia & Herzegovina,1,1,,42%,,,,4,,,,,,,,,,,,,,,,,,,,2,4,,,8.0,6,,,,,,46%,,,,5,,,,,,,,,,,,,,,,,,,,1,1,,,8.0,2,,,,1,,58%,,,,8,,,,,,,,,,,,,,,,,,,,2,1,,,5.0,3,,,,,,54%,,,,2,,,,,,,,,,,,,,,,,,,,1,4,,,12.0,5,,,,0
4lrOQdEN,bosnia,29.05.2026 18:30,Football / World / Friendly International,Bosnia & Herzegovina,North Macedonia,0,0,,74%,,6.0,6.0,2,,,,,,,3.0,8.0,,,,,,,1.0,93%(344/369),,,,3,3,,,15.0,12,,,,,,58%,,0.0,6.0,0,,,,,,,8.0,14.0,,,,,,,3.0,90%(277/308),,,,3,1,,,9.0,4,,,,0,,26%,,1.0,10.0,0,,,,,,,8.0,5.0,,,,,,,0.0,79%(88/112),,,,0,2,,,8.0,3,,,,,,42%,,0.0,14.0,1,,,,,,,13.0,12.0,,,,,,,1.0,79%(169/213),,,,1,0,,,12.0,1,,,,1
2B8dzIX9,bosnia,31.03.2026 18:45,Football / Europe / World Championship - Qualification - Promotion - Final,Bosnia & Herzegovina,Italy,1,1,0.0,45%,0.0,3.0,12.0,3,36%(5/14),28.0,1.0,0.0,0.73,0.58,7.0,5.0,1.0,-0.26,,0.0,1.0,59%(16/27),2.0,81%(160/198),73%(33/45),0.0,9.0,6,4,4.0,57%(4/7),3.0,13,24.0,0.2,0.74,,0.0,76%,1.0,3.0,10.0,4,18%(4/22),21.0,0.0,1.0,0.83,1.1,7.0,1.0,0.0,0.0,,0.0,1.0,77%(10/13),0.0,89%(259/290),88%(127/145),,7.0,3,6,5.0,63%(5/8),10.0,12,21.0,1.02,0.0,1,0.0,55%,1.0,0.0,12.0,1,0%(0/7),24.0,0.0,0.0,0.13,0.16,5.0,7.0,4.0,0.2,,0.0,4.0,60%(24/40),0.0,86%(219/255),78%(49/63),1.0,0.0,0,2,2.0,33%(2/6),10.0,2,4.0,0.74,0.2,,0.0,24%,1.0,0.0,18.0,1,50%(1/2),19.0,0.0,0.0,0.16,0.42,1.0,7.0,5.0,0.02,,0.0,8.0,10%(3/31),0.0,53%(49/93),46%(16/35),,2.0,4,0,2.0,57%(4/7),12.0,4,7.0,0.0,1.02,1
4lBawIAb,bosnia,26.03.2026 19:45,Football / Europe / World Championship - Qualification - Promotion - Semi-finals,Wales,Bosnia & Herzegovina,1,1,0.0,67%,0.0,1.0,14.0,4,25%(3/12),30.0,0.0,0.0,0.18,0.12,1.0,9.0,1.0,0.23,,1.0,1.0,21%(6/28),0.0,86%(268/313),63%(40/63),,1.0,2,1,3.0,89%(8/9),13.0,4,10.0,0.09,0.23,0.0,1.0,44%,0.0,1.0,16.0,1,17%(1/6),27.0,0.0,0.0,0.56,0.68,4.0,7.0,2.0,0.71,0.0,1.0,4.0,35%(9/26),0.0,75%(123/165),67%(38/57),,5.0,5,2,3.0,86%(6/7),4.0,8,12.0,0.48,1.71,1,0.0,33%,0.0,1.0,22.0,0,20%(1/5),19.0,0.0,0.0,0.19,0.19,9.0,1.0,1.0,0.09,,0.0,3.0,24%(5/21),0.0,72%(109/152),57%(21/37),,2.0,1,1,1.0,80%(4/5),8.0,3,6.0,0.23,0.09,3.0,0.0,56%,4.0,2.0,9.0,3,23%(3/13),18.0,2.0,0.0,0.72,0.55,7.0,4.0,1.0,-0.52,1.0,0.0,4.0,39%(14/36),1.0,75%(159/212),59%(45/76),,3.0,1,3,3.0,75%(3/4),10.0,6,13.0,1.71,0.48,0
fHhO66jf,bosnia,18.11.2025 19:45,Football / Europe / World Championship - Qualification,Austria,Bosnia & Herzegovina,1,1,0.0,68%,1.0,1.0,19.0,1,23%(3/13),12.0,0.0,0.0,0.68,0.66,5.0,1.0,0.0,-0.56,0.0,0.0,4.0,70%(14/20),1.0,91%(293/322),77%(59/77),,3.0,3,1,2.0,80%(4/5),6.0,5,11.0,0.18,0.44,1.0,0.0,72%,1.0,1.0,17.0,3,13%(2/15),27.0,0.0,1.0,0.44,0.54,3.0,8.0,0.0,0.0,,1.0,3.0,35%(8/23),1.0,82%(258/315),70%(82/117),,3.0,2,2,2.0,78%(7/9),16.0,5,11.0,0.71,0.0,0,0.0,32%,1.0,2.0,16.0,2,20%(1/5),25.0,0.0,0.0,0.19,0.61,1.0,5.0,1.0,0.18,1.0,0.0,3.0,35%(8/23),1.0,76%(116/153),59%(22/37),,4.0,3,1,2.0,57%(4/7),17.0,6,7.0,0.44,0.18,0.0,0.0,28%,0.0,1.0,41.0,0,0%(0/4),26.0,1.0,0.0,0.18,0.2,8.0,3.0,1.0,-0.29,,0.0,6.0,19%(5/27),0.0,63%(80/127),50%(16/32),,1.0,1,0,1.0,58%(7/12),14.0,2,7.0,0.0,0.71,2
K6ADiLSa,bosnia,15.11.2025 19:45,Football / Europe / World Championship - Qualification,Bosnia & Herzegovina,Romania,3,1,2.0,61%,1.0,1.0,5.0,0,25%(2/8),27.0,0.0,0.0,0.7,0.43,6.0,10.0,1.0,-0.48,,1.0,1.0,50%(12/24),1.0,84%(227/271),59%(36/61),,2.0,5,1,5.0,60%(3/5),8.0,7,8.0,0.04,0.52,3.0,0.0,57%,3.0,3.0,10.0,4,24%(4/17),23.0,0.0,0.0,0.57,1.36,9.0,6.0,1.0,0.01,,1.0,4.0,54%(13/24),1.0,85%(186/220),70%(43/61),0.0,5.0,3,3,4.0,0%(0/2),2.0,9,16.0,2.12,0.01,2,2.0,39%,3.0,0.0,10.0,0,100%(2/2),21.0,0.0,1.0,0.56,1.37,10.0,6.0,1.0,0.04,,0.0,4.0,30%(12/40),0.0,73%(131/180),57%(20/35),,4.0,4,2,2.0,86%(6/7),9.0,6,7.0,0.52,0.04,1.0,0.0,43%,0.0,1.0,13.0,1,20%(1/5),23.0,0.0,0.0,0.05,0.13,6.0,9.0,0.0,-0.88,,0.0,3.0,44%(15/34),1.0,75%(130/173),60%(24/40),1.0,1.0,1,1,2.0,86%(6/7),8.0,3,7.0,0.01,2.12,1
UwqDUI0E,bosnia,12.10.2025 17:00,Football / World / Friendly International,Malta,Bosnia & Herzegovina,1,4,,53%,,0.0,5.0,3,,,,,,,7.0,8.0,,,,,,,3.0,83%(190/228),,,,2,0,,,,2,,,,,,46%,,2.0,9.0,1,,,,,,,3.0,9.0,,,,,,,0.0,86%(202/235),,,,1,1,,,,4,,,,0,,47%,,3.0,9.0,0,,,,,,,8.0,10.0,,,,,,,0.0,85%(203/239),,,,2,2,,,,7,,,,,,54%,,3.0,6.0,4,,,,,,,10.0,4.0,,,,,,,1.0,85%(179/210),,,,3,7,,,,13,,,,3
2T8tefZi,bosnia,09.10.2025 18:45,Football / Europe / World Championship - Qualification,Cyprus,Bosnia & Herzegovina,2,2,1.0,63%,2.0,0.0,10.0,1,0%(0/6),23.0,1.0,1.0,0.54,1.19,7.0,9.0,2.0,-0.38,,1.0,8.0,27%(6/22),2.0,86%(226/264),57%(29/51),,6.0,6,1,1.0,43%(3/7),7.0,7,10.0,0.92,0.62,1.0,0.0,66%,1.0,4.0,16.0,2,18%(3/17),30.0,0.0,0.0,0.28,0.96,9.0,10.0,3.0,0.31,,0.0,4.0,56%(15/27),1.0,86%(216/252),72%(54/75),,5.0,1,2,2.0,43%(3/7),10.0,7,14.0,0.98,0.31,1,0.0,37%,1.0,2.0,14.0,1,33%(1/3),21.0,0.0,2.0,0.07,0.79,9.0,7.0,0.0,-0.08,,0.0,4.0,38%(10/26),1.0,71%(112/157),48%(15/31),,6.0,1,3,0.0,20%(1/5),10.0,6,9.0,0.62,0.92,2.0,0.0,34%,1.0,1.0,25.0,4,33%(3/9),24.0,0.0,0.0,0.5,0.71,10.0,9.0,1.0,-0.02,,0.0,2.0,38%(10/26),0.0,68%(89/130),64%(45/70),,6.0,4,3,2.0,50%(2/4),8.0,8,24.0,0.31,0.98,2
zkTdL55m,bosnia,09.09.2025 18:45,Football / Europe / World Championship - Qualification,Bosnia & Herzegovina,Austria,1,2,0.0,40%,1.0,1.0,20.0,2,80%(4/5),26.0,0.0,0.0,0.72,0.69,8.0,9.0,1.0,0.02,,0.0,2.0,55%(17/31),1.0,73%(114/157),58%(28/48),,7.0,7,0,1.0,67%(2/3),10.0,8,12.0,0.0,0.02,1.0,0.0,45%,2.0,2.0,21.0,1,36%(4/11),34.0,0.0,0.0,0.77,1.23,8.0,12.0,2.0,-0.21,,0.0,2.0,46%(16/35),1.0,70%(100/143),53%(24/45),0.0,6.0,3,3,2.0,50%(3/6),15.0,8,11.0,1.1,1.79,1,0.0,60%,0.0,2.0,12.0,2,17%(1/6),27.0,0.0,0.0,0.13,0.48,9.0,8.0,0.0,0.0,,0.0,2.0,29%(8/28),1.0,81%(190/234),59%(41/69),,4.0,3,1,2.0,67%(6/9),9.0,6,5.0,0.02,0.0,0.0,0.0,55%,1.0,1.0,28.0,0,0%(0/2),30.0,0.0,0.0,0.73,0.83,12.0,8.0,2.0,0.1,,0.0,1.0,28%(7/25),1.0,76%(143/189),67%(34/51),1.0,4.0,0,4,1.0,40%(4/10),13.0,5,11.0,1.79,1.1,5
zeMmgY34,bosnia,06.09.2025 18:45,Football / Europe / World Championship - Qualification,San Marino,Bosnia & Herzegovina,0,6,0.0,31%,0.0,1.0,13.0,0,100%(1/1),18.0,1.0,0.0,0.08,0.14,8.0,14.0,1.0,-0.21,,0.0,4.0,48%(11/23),1.0,75%(85/113),60%(9/15),1.0,1.0,2,1,3.0,50%(1/2),11.0,4,2.0,0.05,0.79,1.0,0.0,24%,0.0,0.0,10.0,0,0%(0/1),13.0,1.0,0.0,0.0,0.0,9.0,6.0,3.0,-1.19,,0.0,7.0,35%(7/20),1.0,73%(66/90),30%(3/10),,0.0,0,0,0.0,75%(3/4),4.0,0,1.0,0.0,3.81,1,1.0,69%,0.0,3.0,4.0,2,8%(1/12),21.0,0.0,0.0,1.3,0.54,14.0,8.0,1.0,0.05,,0.0,5.0,56%(10/18),2.0,91%(225/246),76%(54/71),0.0,5.0,2,2,2.0,25%(1/4),6.0,7,16.0,0.79,0.05,0.0,0.0,76%,4.0,4.0,3.0,4,40%(4/10),23.0,0.0,0.0,1.05,3.08,6.0,9.0,0.0,0.0,,0.0,1.0,64%(9/14),1.0,92%(263/285),83%(91/110),,10.0,3,8,5.0,71%(5/7),5.0,15,30.0,3.81,0.0,2
