match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
r3s2pV84,brasil,06.06.2026 22:00,Football / World / Friendly International,Brazil,Egypt,2,1,,0,57%,4,1,10,3,11%(1/9),18,1,0,0.51,2.02,7,3,0,-0.76,,0,3,64%(7/11),0,89%(227/256),64%(37/58),9,2,6,0,73%(8/11),7,9,14,2.10,0.24,1,0,45%,1,2,6,2,0%(0/5),21,0,0,0.40,0.46,3,7,1,0.02,,0,4,48%(12/25),0,83%(181/217),64%(41/64),,3,0,1,0,40%(4/10),9,3,15,0.84,0.02,,0,43%,1,0,12,1,0%(0/2),20,1,0,0.03,0.28,3,7,4,1.10,,0,2,52%(16/31),0,79%(154/194),50%(14/28),0,0,1,1,43%(3/7),8,1,1,0.24,2.10,1,0,55%,0,2,8,2,0%(0/1),18,0,0,0.30,0.14,7,3,0,-0.16,,0,7,61%(14/23),1,88%(240/273),80%(59/74),,1,1,1,3,71%(5/7),8,4,13,0.02,0.84,
4UXzDy1d,brasil,31.05.2026 21:30,Football / World / Friendly International,Brazil,Panama,6,2,,1,50%,2,1,5,1,0%(0/1),25,0,1,0.53,1.23,7,3,4,0.79,1,0,9,48%(10/21),0,84%(223/264),68%(52/77),6,3,4,2,70%(7/10),6,8,24,1.81,0.79,0,3,61%,4,1,10,0,0%(0/1),23,0,1,1.22,2.35,7,2,4,-0.69,,0,1,72%(18/25),1,91%(287/316),73%(33/45),,7,3,8,5,43%(3/7),4,12,15,3.71,0.31,,1,50%,0,0,11,0,0%(0/3),23,1,1,0.23,0.31,3,7,2,-0.19,0,0,3,46%(19/41),1,87%(226/261),69%(33/48),2,4,4,6,64%(7/11),6,8,6,0.79,1.81,1,0,39%,0,3,3,1,33%(2/6),19,1,0,0.12,0.27,2,7,4,-0.29,,0,4,56%(10/18),1,86%(168/195),66%(29/44),,2,0,5,6,60%(3/5),6,8,5,0.31,3.71,
A3LetXFE,brasil,01.04.2026 00:00,Football / World / Friendly International,Brazil,Croatia,3,1,,2,59%,1,4,5,2,0%(0/8),22,0,0,0.73,1.14,8,7,1,0.12,,0,1,67%(12/18),1,93%(262/281),81%(43/53),4,1,4,5,80%(4/5),6,9,10,1.52,0.12,1,1,33%,3,1,12,0,0%(0/2),27,1,0,0.21,1.04,4,6,1,-0.65,,0,4,59%(10/17),0,83%(141/169),45%(9/20),,4,0,3,0,80%(12/15),6,4,7,1.03,0.35,0,0,41%,0,2,8,1,33%(3/9),18,0,1,0.32,0.27,7,8,3,0.52,,0,2,47%(9/19),0,90%(174/193),86%(31/36),3,1,1,1,100%(6/6),5,4,6,0.12,1.52,2,0,67%,1,2,3,1,10%(1/10),19,0,0,0.34,0.69,6,4,1,-0.97,,0,3,55%(11/20),0,93%(324/347),85%(62/73),,2,4,2,6,88%(7/8),9,8,7,0.35,1.03,1
few9ITN7,brasil,26.03.2026 20:00,Football / World / Friendly International,Brazil,France,1,2,,0,35%,2,1,8,2,33%(1/3),17,0,0,0.21,0.43,9,7,0,-0.37,,0,5,28%(5/18),1,80%(129/162),55%(17/31),2,5,0,4,44%(4/9),6,6,5,0.00,0.63,2,2,57%,2,3,2,3,30%(3/10),22,0,0,1.56,1.57,3,5,1,-0.58,,0,3,92%(11/12),1,90%(235/261),80%(74/92),0,9,4,4,2,50%(3/6),9,11,25,0.98,0.42,2,1,65%,1,0,5,2,33%(2/6),22,0,2,0.94,0.76,7,9,0,0.00,,0,5,67%(10/15),2,87%(259/298),82%(87/106),4,4,1,1,75%(3/4),8,5,22,0.63,0.00,0,1,43%,1,0,7,0,100%(1/1),17,0,0,0.38,0.53,5,3,3,-0.02,,0,6,48%(11/23),0,82%(169/205),69%(18/26),1,2,0,2,0,38%(3/8),3,2,3,0.42,0.98,3
WbBoTNBE,brasil,18.11.2025 19:30,Football / World / Friendly International,Brazil,Tunisia,1,1,,0,73%,1,5,9,5,0%(0/11),23,0,0,0.27,1.53,5,7,1,-0.72,,0,3,56%(9/16),1,91%(241/266),72%(42/58),6,4,3,6,60%(6/10),8,12,10,1.47,0.28,1,0,74%,1,3,1,2,14%(1/7),19,0,0,0.42,1.16,7,8,0,0.00,,1,1,61%(14/23),0,91%(298/329),83%(85/102),,4,6,0,5,50%(2/4),5,9,24,0.00,0.00,,0,27%,1,1,23,1,0%(0/5),16,0,0,0.06,0.38,7,5,2,0.47,,0,4,26%(5/19),0,71%(69/97),55%(11/20),1,0,2,2,75%(3/4),11,3,3,0.28,1.47,1,0,26%,0,2,11,0,100%(2/2),11,0,0,0.07,0.20,8,7,0,0.00,,0,2,53%(10/19),2,74%(86/116),50%(9/18),,1,2,0,3,20%(1/5),6,4,3,0.00,0.00,
AeBovozo,brasil,15.11.2025 16:00,Football / World / Friendly International,Brazil,Senegal,2,0,,0,46%,2,1,12,3,25%(2/8),22,0,0,0.91,1.40,6,7,1,0.04,,2,5,58%(7/12),2,89%(152/170),81%(50/62),8,2,6,1,57%(4/7),7,9,15,2.17,0.04,,0,47%,0,3,10,4,17%(1/6),24,0,1,0.46,0.27,9,7,0,0.00,,0,1,45%(9/20),0,81%(136/168),70%(28/40),,3,2,0,2,60%(6/10),7,5,11,0.00,0.00,1,0,54%,0,4,9,3,14%(1/7),20,0,0,0.21,0.45,7,6,4,0.17,,0,1,53%(10/19),1,85%(166/196),78%(31/40),4,2,1,3,88%(7/8),7,7,12,0.04,2.17,,0,53%,0,0,4,4,25%(2/8),31,0,0,0.64,0.35,7,9,0,0.00,,1,5,69%(9/13),1,86%(159/184),79%(55/70),,3,4,0,1,56%(5/9),5,4,10,0.00,0.00,4
l4iAKLHs,brasil,14.10.2025 10:30,Football / World / Friendly International,Japan,Brazil,3,2,,2,32%,2,2,8,0,0%(0/8),16,0,0,0.58,0.89,3,4,0,-1.40,,0,9,38%(5/13),2,85%(161/190),75%(55/73),3,2,1,2,100%(4/4),12,5,10,0.01,0.60,,0,34%,1,5,13,4,45%(5/11),29,0,0,1.04,1.48,7,3,2,0.19,1,1,3,45%(10/22),1,83%(135/162),72%(38/53),,7,0,5,3,75%(9/12),5,10,16,2.34,0.19,1,2,68%,1,0,12,0,0%(0/2),16,0,0,0.70,0.44,4,3,1,0.01,,0,4,61%(14/23),1,90%(387/429),76%(65/85),2,1,2,1,60%(6/10),8,3,8,0.60,0.01,,1,66%,1,2,11,2,25%(2/8),26,1,0,0.97,0.83,3,7,2,-0.66,0,0,1,46%(6/13),2,91%(296/325),89%(76/85),,4,2,2,2,40%(2/5),11,6,17,0.19,2.34,1
UJAwQsfK,brasil,10.10.2025 11:00,Football / World / Friendly International,South Korea,Brazil,0,5,,0,43%,0,1,6,2,0%(0/4),17,0,0,0.08,0.04,4,6,1,-0.66,,0,5,38%(9/24),1,83%(210/253),61%(27/44),1,0,0,0,56%(5/9),3,1,3,0.00,1.34,2,0,40%,0,2,9,3,0%(0/4),18,1,0,0.10,0.11,9,3,1,-0.94,,0,4,36%(5/14),1,88%(155/177),87%(39/45),,1,0,1,2,63%(5/8),8,3,4,0.04,2.06,0,1,57%,1,2,7,2,40%(2/5),15,0,0,1.15,1.33,6,4,0,0.00,,0,8,77%(17/22),2,91%(309/341),78%(75/96),6,3,3,2,75%(3/4),11,8,12,1.34,0.00,0,0,60%,3,1,7,1,50%(2/4),25,0,0,0.34,1.67,3,9,1,0.04,,0,2,47%(7/15),0,89%(245/276),73%(44/60),,4,1,4,2,82%(9/11),8,6,9,2.06,0.04,1
zDXs3GMj,brasil,09.09.2025 23:30,Football / South America / World Championship - Qualification - Round 18,Bolivia,Brazil,1,0,,0,55%,2,4,5,3,17%(2/12),22,0,0,0.33,1.54,4,4,1,0.04,,0,4,73%(11/15),0,93%(214/230),87%(84/97),4,6,5,11,33%(1/3),10,15,10,0.96,0.04,,0,26%,0,1,10,2,33%(2/6),19,0,0,0.12,0.30,14,5,2,0.06,,0,5,36%(4/11),2,74%(58/78),68%(17/25),,2,2,5,6,38%(3/8),9,8,8,1.06,0.06,0,0,45%,0,2,9,2,0%(0/4),19,0,1,0.10,0.11,4,4,4,-0.04,,0,3,36%(5/14),0,88%(174/197),78%(28/36),3,1,1,1,22%(2/9),3,4,6,0.04,0.96,,0,74%,0,4,4,2,33%(3/9),25,0,0,0.24,0.23,5,14,5,1.06,,0,7,71%(12/17),0,90%(209/233),80%(33/41),,1,0,2,5,63%(5/8),7,6,8,0.06,1.06,2
0YDgP6wg,brasil,05.09.2025 00:30,Football / South America / World Championship - Qualification - Round 17,Brazil,Chile,3,0,,1,68%,2,6,4,3,15%(2/13),27,0,0,0.71,1.93,10,8,0,0.00,,0,3,73%(11/15),2,90%(252/280),79%(66/84),9,4,3,4,100%(6/6),1,13,26,1.54,0.00,1,1,60%,3,1,9,1,25%(1/4),30,0,0,1.10,2.21,4,3,0,0.00,1,1,7,65%(11/17),0,90%(275/307),82%(75/92),,6,4,4,3,44%(4/9),14,9,18,2.70,0.00,,0,32%,0,0,19,0,0%(0/2),26,0,0,0.00,0.02,8,10,1,0.54,,0,3,48%(13/27),5,80%(108/135),40%(2/5),0,1,0,1,38%(3/8),5,1,0,0.00,1.54,1,0,40%,0,0,9,3,0%(0/5),16,0,1,0.10,0.05,3,4,2,0.70,0,0,7,56%(20/36),0,80%(160/199),72%(33/46),,0,2,0,2,43%(3/7),6,2,1,0.00,2.70,
