match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
2iWPM2bd,cabo_verde,06.06.2026 20:00,Football / World / Friendly International,Cape Verde,Bermuda,3,0,,,75%,,,,6,,,,,,,7,6,,,,,,2,,,,,6,5,,,12,11,,,,,,75%,,,,3,,,,,,,7,5,,,,,,,0,,,,,8,9,,,12,17,,,,,,25%,,,,1,,,,,,,6,9,,,,,,0,,,,,0,1,,,5,1,,,,,,25%,,,,0,,,,,,,4,7,,,,,,,0,,,,,1,2,,,2,3,,,,
KtYL3IDd,cabo_verde,31.05.2026 15:00,Football / World / Friendly International,Cape Verde,Serbia,3,0,,,53%,,,,3,,,,,,,,,,,,,,,,,,,2,2,,,,4,,,,2,,22%,,,,0,,,,,,,,,,,,,,,,,,,,2,3,,,,5,,,,1,,47%,,,,2,,,,,,,,,,,,,,,,,,,3,0,,,,3,,,,1,,78%,,,,3,,,,,,,,,,,,,,,,,,,,5,2,,,,7,,,,2
tOPDOlv3,cabo_verde,30.03.2026 03:00,Football / World / FIFA Series - Group Stage,Cape Verde,Finland,1,1,,0,50%,1,3,9,4,57%(4/7),12,0,0,0.51,0.38,4,2,2,-0.72,1,5,83%(19/23),0,89%(213/240),84%(48/57),,5,5,1,4,50%(2/4),9,9,18,0.17,0.28,1,0,54%,1,1,6,4,20%(2/10),28,0,1,0.35,0.52,9,7,3,1.08,1,0,3,50%(11/22),0,82%(187/229),73%(30/41),,3,3,2,3,60%(6/10),5,6,8,0.57,1.08,1,0,50%,0,0,11,3,25%(2/8),15,0,1,0.33,0.36,2,4,1,0.17,0,0,53%(10/19),1,90%(214/238),78%(38/49),,2,1,3,2,57%(4/7),8,4,12,0.28,0.17,0,0,46%,3,1,7,3,44%(4/9),20,0,0,0.21,0.91,7,9,1,-0.43,0,2,9,35%(8/23),0,78%(153/196),54%(21/39),,4,4,4,4,60%(3/5),11,9,13,1.08,0.57,1
SGTxNy3b,cabo_verde,27.03.2026 03:00,Football / World / FIFA Series - Group Stage,Chile,Cape Verde,4,2,,1,53%,1,0,6,0,,20,0,0,0.23,0.74,3,8,1,-1.00,1,2,59%(13/22),0,88%(201/229),62%(26/42),0,2,1,2,1,83%(5/6),8,3,2,0.96,1.00,0,0,50%,1,1,12,1,14%(1/7),23,0,0,0.50,1.63,12,1,0,0.00,,0,7,50%(14/28),2,81%(155/191),53%(27/51),,4,2,3,2,85%(11/13),8,6,18,2.66,0.00,1,0,47%,3,0,2,2,,11,0,0,0.91,1.65,8,3,1,-0.04,0,5,42%(8/19),0,84%(160/190),75%(18/24),1,5,2,3,0,50%(3/6),8,5,7,1.00,0.96,1,0,50%,0,2,9,2,67%(2/3),25,2,0,0.10,0.08,1,12,0,-0.34,,0,3,57%(16/28),2,82%(157/192),58%(14/24),,2,2,0,2,80%(4/5),15,4,5,0.00,2.66,0
4n082fiD,cabo_verde,17.11.2025 16:00,Football / World / Friendly International,Egypt,Cape Verde,1,1,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MqQAB6E4,cabo_verde,13.11.2025 16:00,Football / World / Friendly International,Iran,Cape Verde,0,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1H0N1Ao,cabo_verde,13.10.2025 16:00,Football / Africa / World Championship - Qualification - Round 10,Cape Verde,Eswatini,3,0,,,59%,,,,4,,,,,,,2,1,,,,,,1,,,,,5,2,,,15,7,,,,,,80%,,,,3,,,,,,,5,3,,,,,,,1,,,,,1,4,,,7,5,,,,2,,41%,,,,1,,,,,,,0,3,,,,,,1,,,,,2,0,,,14,2,,,,,,20%,,,,0,,,,,,,3,6,,,,,,,0,,,,,1,0,,,3,1,,,,3
Kznj3bPT,cabo_verde,08.10.2025 13:00,Football / Africa / World Championship - Qualification - Round 9,Libya,Cape Verde,3,3,,,36%,,,,1,,,,,,,,11,,,,,,1,,,,,1,3,,,11,4,,,,,,49%,,,,5,,,,,,,,8,,,,,,,0,,,,,4,2,,,5,6,,,,2,,64%,,,,1,,,,,,,,8,,,,,,1,,,,,2,1,,,10,3,,,,,,51%,,,,4,,,,,,,,9,,,,,,,2,,,,,2,4,,,7,6,,,,1
jefZ6tQ4,cabo_verde,09.09.2025 16:00,Football / Africa / World Championship - Qualification - Round 8,Cape Verde,Cameroon,1,0,,,45%,,,,0,,,,,,,11,7,1,,,,,1,,,,,1,2,,,11,3,,,,1,,33%,,,,2,,,,,,,6,5,1,,,,,,0,,,,,4,2,,,7,6,,,,1,,55%,,,,1,,,,,,,6,12,2,,,,,0,,,,,1,1,,,11,2,,,,0,,67%,,,,6,,,,,,,5,6,1,,,,,,1,,,,,5,1,,,9,6,,,,2
pbiR82eh,cabo_verde,04.09.2025 16:00,Football / Africa / World Championship - Qualification - Round 7,Mauritius,Cape Verde,0,2,,,36%,,,,0,,,,,,,1,7,0,,,,,0,,,,,2,0,,,11,2,,,,,,38%,,,,4,,,,,,,3,10,1,,,,,,0,,,,,0,2,,,6,2,,,,,,64%,,,,1,,,,,,,5,1,0,,,,,2,,,,,6,1,,,6,7,,,,,,62%,,,,4,,,,,,,5,3,2,,,,,,3,,,,,2,2,,,13,4,,,,
