match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
CrFLkQpp,canada,local,22/30 (73%),Collins N.Centre back,9,-,7.5,-,-,2,48
CrFLkQpp,canada,local,54/60 (90%),De Fougerolles L.Centre back,6,-,7.4,-,-,1,68
CrFLkQpp,canada,local,57/63 (90%),Eustaquio S.Midfielder,7,-,7.4,1/1 (100%),-,-,82
CrFLkQpp,canada,local,60/65 (92%),Cornelius D.Centre back,10,0.23,7.3,-,3,1,80
CrFLkQpp,canada,local,32/38 (84%),Millar L.Winger,8,0.29,7.2,2/3 (67%),5,6,58
CrFLkQpp,canada,local,7/12 (58%),Crepeau M.Goalkeeper,1,-,7.1,-,-,-,15
CrFLkQpp,canada,local,70/76 (92%),Kone I.Midfielder,8,0.07,7.1,0/1 (0%),3,1,90
CrFLkQpp,canada,local,19/25 (76%),David J.Striker,5,0.29,7.0,1/2 (50%),3,4,38
CrFLkQpp,canada,local,19/25 (76%),Johnston A.Fullback,4,0.05,7.0,-,1,1,36
CrFLkQpp,canada,local,7/10 (70%),McGrath J.Midfielder,9,-,7.0,1/1 (100%),-,1,23
CrFLkQpp,canada,local,17/22 (77%),Abankwah J.Centre back,8,-,6.9,-,-,1,50
CrFLkQpp,canada,local,26/28 (93%),Buchanan T.Winger,13,0.01,6.9,1/5 (20%),1,3,54
CrFLkQpp,canada,local,16/18 (89%),Bassong Z.Defender,3,-,6.7,-,-,-,26
CrFLkQpp,canada,local,18/23 (78%),O'Brien J.Centre back,4,-,6.7,-,-,-,44
CrFLkQpp,canada,local,18/34 (53%),Travers M.Goalkeeper,-,-,6.6,-,-,-,37
CrFLkQpp,canada,local,1/4 (25%),David P.Forward,-,0.04,6.4,-,1,2,6
CrFLkQpp,canada,local,28/31 (90%),Laryea R.Fullback,2,-,6.4,1/1 (100%),-,-,39
CrFLkQpp,canada,local,4/7 (57%),Phillips K.Midfielder,5,-,6.4,-,-,-,14
CrFLkQpp,canada,local,7/15 (47%),Scales L.Defender,7,-,6.4,-,-,-,23
CrFLkQpp,canada,local,17/21 (81%),Sigur N.Midfielder,6,-,6.4,0/1 (0%),-,1,37
