match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
CrFLkQpp,canada,05.06.2026 23:30,Football / World / Friendly International,Canada,Ireland,1,1,0.0,66%,0.0,4.0,9,7,,20,0.0,0.0,0.38,0.44,4,6,0.0,0.0,,0.0,1,52%(11/21),2,87%(239/274),89%(87/98),,6.0,4,1,3,56%(5/9),6,9,15,0.09,0.0,,0.0,68%,0.0,5,13,5,14%(2/14),29,0.0,1.0,0.83,0.87,5,7,2.0,0.39,,0.0,4,18%(2/11),1,84%(188/223),76%(44/58),,8,6,1,4,75%(6/8),11,12,12,0.1,1.39,2.0,1.0,34%,1.0,1.0,14,0,,14,0.0,1.0,0.18,0.21,6,4,1.0,0.09,,0.0,2,37%(13/35),0,69%(101/147),39%(15/38),,1.0,1,0,1,100%(5/5),13,2,2,0.0,0.09,,0.0,32%,3.0,0,19,4,25%(2/8),21,0.0,0.0,0.09,1.35,7,5,1.0,0.1,,0.0,8,35%(9/26),1,67%(70/105),49%(17/35),,3,0,3,0,71%(5/7),7,3,7,1.39,0.1,1.0
0S4Q383T,canada,02.06.2026 01:00,Football / World / Friendly International,Canada,Uzbekistan,2,0,0.0,52%,0.0,1.0,8,2,11%(1/9),35,0.0,1.0,0.19,0.13,4,11,1.0,0.58,,0.0,6,43%(6/14),1,81%(190/234),67%(49/73),,1.0,1,1,2,30%(3/10),14,3,9,0.09,0.58,2.0,1.0,51%,2.0,2,8,5,0%(0/8),23,0.0,0.0,0.58,0.7,5,4,1.0,0.25,,0.0,11,47%(7/15),2,83%(194/235),73%(43/59),,5,2,3,2,64%(7/11),12,7,17,1.24,0.25,,0.0,48%,1.0,0.0,12,1,20%(1/5),22,0.0,0.0,0.07,0.81,11,4,1.0,0.09,,0.0,11,33%(8/24),3,80%(173/217),56%(24/43),,0.0,1,1,2,67%(6/9),12,2,4,0.58,0.09,2.0,0.0,49%,0.0,1,11,2,33%(1/3),22,1.0,0.0,0.08,0.18,4,5,1.0,-0.76,,0.0,13,52%(11/21),0,77%(174/226),58%(26/45),,1,2,1,3,54%(7/13),15,4,11,0.25,1.24,
d8eXienf,canada,31.03.2026 23:30,Football / World / Friendly International,Canada,Tunisia,0,0,0.0,61%,0.0,1.0,5,5,33%(5/15),20,0.0,0.0,0.81,0.62,5,6,1.0,0.4,,0.0,1,57%(8/14),0,87%(221/255),79%(63/80),,8.0,4,4,1,83%(5/6),10,9,18,0.49,0.4,1.0,0.0,54%,0.0,1,1,4,8%(1/12),26,0.0,0.0,0.37,0.26,11,8,0.0,0.0,,0.0,3,43%(6/14),0,85%(183/216),72%(59/82),,1,2,2,4,67%(6/9),13,5,20,0.11,0.0,3.0,0.0,39%,1.0,1.0,15,1,0%(0/3),17,0.0,0.0,0.26,0.25,6,5,4.0,0.49,,0.0,5,33%(8/24),0,79%(131/166),50%(14/28),,1.0,1,2,2,80%(4/5),10,4,2,0.4,0.49,1.0,0.0,46%,0.0,0,15,0,50%(1/2),27,0.0,0.0,0.07,0.04,8,11,2.0,0.11,,0.0,5,63%(15/24),0,84%(157/186),56%(15/27),,1,1,0,0,70%(7/10),6,1,5,0.0,0.11,1.0
AicPgHHs,canada,28.03.2026 17:00,Football / World / Friendly International,Canada,Iceland,2,2,0.0,60%,0.0,2.0,12,5,30%(3/10),20,1.0,0.0,0.47,0.42,6,9,0.0,-0.7,,0.0,4,44%(11/25),0,75%(183/243),70%(73/105),,4.0,3,2,3,40%(2/5),16,7,18,0.12,1.3,0.0,0.0,52%,3.0,2,8,3,25%(2/8),28,0.0,0.0,0.29,1.91,6,8,1.0,0.55,,0.0,4,60%(12/20),0,78%(145/186),70%(51/73),1.0,5,3,3,3,78%(7/9),10,8,11,1.81,0.55,0.0,0.0,40%,1.0,0.0,23,0,0%(0/1),29,0.0,0.0,0.05,0.53,9,6,2.0,0.12,,0.0,5,33%(15/45),2,64%(105/163),19%(5/26),,2.0,0,2,0,56%(5/9),9,2,2,1.3,0.12,1.0,0.0,48%,0.0,0,4,1,0%(0/2),24,0.0,0.0,0.11,0.15,8,6,1.0,-0.19,,0.0,7,41%(15/37),3,77%(135/175),54%(14/26),0.0,1,1,1,1,73%(8/11),4,2,4,0.55,1.81,1.0
YLQtdQEl,canada,18.01.2026 03:00,Football / World / Friendly International,Canada,Guatemala,1,0,0.0,64%,0.0,1.0,6,5,27%(3/11),18,0.0,0.0,0.34,0.44,7,7,2.0,0.12,,0.0,6,72%(23/32),0,84%(192/229),70%(54/77),,6.0,4,3,2,75%(3/4),13,8,13,1.07,0.12,1.0,0.0,53%,1.0,2,9,7,17%(2/12),17,0.0,0.0,0.14,0.68,7,5,1.0,0.03,1.0,0.0,3,42%(10/24),1,83%(162/195),55%(29/53),,4,0,4,2,67%(6/9),12,6,8,1.31,0.03,1.0,0.0,36%,0.0,0.0,20,3,29%(2/7),29,0.0,0.0,0.07,0.04,7,7,3.0,1.07,,0.0,3,35%(7/20),3,71%(90/127),43%(9/21),,1.0,0,2,1,87%(13/15),7,2,5,0.12,1.07,1.0,0.0,47%,0.0,2,14,2,13%(1/8),20,0.0,0.0,0.07,0.11,5,7,3.0,0.31,0.0,0.0,0,56%(14/25),1,80%(139/173),58%(15/26),,0,1,1,4,80%(8/10),12,4,3,0.03,1.31,1.0
691AJsDT,canada,19.11.2025 01:30,Football / World / Friendly International,Canada,Venezuela,2,0,0.0,62%,0.0,0.0,2,1,25%(1/4),16,0.0,0.0,0.11,0.07,6,9,1.0,-0.17,,0.0,4,54%(15/28),1,87%(242/278),50%(17/34),,1.0,1,1,1,100%(4/4),8,2,2,0.01,0.83,1.0,0.0,56%,0.0,0,7,1,50%(3/6),20,0.0,0.0,0.29,0.46,14,12,1.0,-0.2,,1.0,0,48%(10/21),0,86%(165/191),73%(24/33),1.0,7,6,2,1,67%(2/3),8,8,9,0.16,0.8,4.0,0.0,38%,1.0,0.0,1,2,0%(0/7),19,0.0,0.0,0.13,0.44,9,6,1.0,0.01,,0.0,2,41%(9/22),1,78%(125/160),63%(35/56),,4.0,3,2,1,75%(6/8),8,5,11,0.83,0.01,0.0,0.0,44%,1.0,1,8,1,29%(2/7),28,0.0,0.0,0.18,0.71,12,14,2.0,0.16,,0.0,2,65%(11/17),2,85%(122/144),78%(40/51),1.0,2,0,2,1,64%(7/11),7,3,3,0.8,0.16,2.0
fPhfOq77,canada,14.11.2025 00:30,Football / World / Friendly International,Canada,Ecuador,0,0,0.0,21%,1.0,1.0,13,3,14%(1/7),24,0.0,0.0,0.3,0.53,5,9,0.0,0.0,,0.0,3,32%(6/19),0,63%(50/80),41%(12/29),1.0,2.0,1,1,1,40%(4/10),7,3,8,0.63,0.0,,0.0,28%,0.0,1,9,1,20%(1/5),27,0.0,0.0,0.09,0.13,4,11,0.0,0.0,,0.0,5,43%(10/23),3,70%(74/106),71%(20/28),,1,0,0,0,70%(7/10),11,1,2,0.0,0.0,1.0,0.0,79%,0.0,0.0,13,2,17%(1/6),16,0.0,0.0,0.22,0.05,9,5,1.0,0.63,,0.0,3,48%(11/23),0,91%(308/340),67%(37/55),0.0,1.0,1,0,0,83%(5/6),5,1,5,0.0,0.63,,0.0,72%,2.0,1,8,0,50%(3/6),18,0.0,0.0,0.53,0.37,11,4,0.0,0.0,,0.0,5,43%(9/21),0,89%(256/289),65%(37/57),,2,3,0,1,50%(4/8),10,4,10,0.0,0.0,3.0
4CckdLu2,canada,15.10.2025 00:30,Football / World / Friendly International,Canada,Colombia,0,0,,44%,,,5,2,14%(1/7),30,,0.0,0.09,0.02,13,10,,0.0,,,3,32%(7/22),0,81%(142/176),57%(31/54),,,0,1,1,62%(8/13),5,1,2,0.07,0.0,2.0,,36%,0.0,1,9,0,0%(0/4),34,,0.0,0.15,0.07,5,10,,0.08,,0.0,7,30%(7/23),1,71%(110/155),64%(38/59),,0,2,0,3,87%(13/15),11,3,4,0.0,0.08,1.0,,56%,,,14,1,0%(0/4),29,,1.0,0.04,0.0,10,13,,0.07,,,4,59%(13/22),0,86%(196/229),57%(13/23),,,0,0,0,57%(4/7),14,0,1,0.0,0.07,0.0,,64%,3.0,1,11,1,29%(2/7),23,,0.0,0.34,1.15,10,5,,0.0,,1.0,6,57%(16/28),0,86%(235/274),70%(40/57),,4,4,1,2,75%(6/8),17,6,7,0.08,0.0,0.0
Q7XDXq0L,canada,10.10.2025 23:30,Football / World / Friendly International,Canada,Australia,0,1,1.0,56%,0.0,2.0,2,3,25%(3/12),26,0.0,0.0,0.37,0.19,3,7,0.0,0.0,,0.0,8,53%(9/17),1,86%(213/249),77%(69/90),,4.0,3,2,3,64%(7/11),11,7,12,0.42,0.0,1.0,2.0,66%,3.0,1,5,5,29%(5/17),30,1.0,0.0,1.6,1.57,4,11,0.0,-0.85,,1.0,1,54%(13/24),0,84%(221/263),72%(70/97),,7,3,6,3,67%(4/6),9,10,15,2.12,0.15,2.0,0.0,44%,0.0,1.0,17,1,0%(0/2),21,0.0,0.0,0.12,0.03,7,3,2.0,0.42,,0.0,4,61%(11/18),0,80%(159/198),53%(9/17),,0.0,0,0,1,75%(6/8),13,1,3,0.0,0.42,1.0,0.0,34%,2.0,0,18,0,29%(2/7),18,0.0,0.0,0.85,0.53,11,4,6.0,2.12,,0.0,4,52%(12/23),0,78%(105/134),71%(12/17),,4,3,1,0,75%(3/4),10,4,10,0.15,2.12,2.0
6XZuSBWH,canada,09.09.2025 18:45,Football / World / Friendly International,Wales,Canada,0,1,0.0,62%,0.0,0.0,11,0,0%(0/3),15,0.0,2.0,0.15,0.09,7,9,0.0,-0.58,,0.0,2,48%(13/27),0,85%(217/255),57%(26/46),,1.0,0,1,0,60%(3/5),8,1,4,0.08,0.42,3.0,0.0,64%,1.0,2,21,3,50%(4/8),30,0.0,1.0,0.59,0.73,9,7,1.0,0.08,,0.0,4,60%(18/30),1,81%(183/225),58%(30/52),,3,1,2,2,63%(5/8),11,5,8,0.33,0.08,1.0,0.0,38%,1.0,0.0,11,2,22%(2/9),26,0.0,0.0,0.55,0.53,9,7,1.0,0.08,,2.0,1,47%(7/15),2,80%(118/147),81%(54/67),,5.0,6,1,2,78%(7/9),10,7,25,0.42,0.08,2.0,0.0,36%,0.0,2,13,2,33%(3/9),29,0.0,0.0,0.44,0.19,7,9,2.0,0.33,,0.0,9,36%(8/22),2,70%(85/121),53%(26/49),,2,2,1,3,53%(8/15),9,5,11,0.08,0.33,1.0
