match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
IuITm4Fd,colombia,07.06.2026 23:00,Football / World / Friendly International,Colombia,Jordan,2,0,,0,67%,2,0,7,1,75%(3/4),27,0,1,0.52,0.41,4,6,0,0.00,,0,4,50%(11/22),3,86%(281/327),70%(62/88),4,1,3,0,75%(9/12),7,4,10,0.75,0.00,,1,60%,3,2,3,2,33%(2/6),26,0,2,0.98,1.28,3,11,2,0.02,1,0,6,44%(12/27),0,85%(251/294),65%(33/51),0,8,6,2,2,100%(4/4),7,10,14,0.59,0.02,0,0,33%,0,1,11,1,50%(2/4),12,0,1,0.12,0.09,6,4,1,-0.25,,1,6,33%(6/18),0,77%(120/155),64%(21/33),2,3,0,2,17%(1/6),10,4,4,0.00,0.75,,1,40%,2,1,9,0,0%(0/5),22,0,1,0.57,0.74,11,3,1,-0.41,0,0,5,36%(5/14),0,81%(160/197),76%(31/41),1,1,3,2,5,47%(7/15),9,6,1,0.02,0.59,2
hQpHo1w9,colombia,01.06.2026 23:00,Football / World / Friendly International,Colombia,Costa Rica,3,1,,0,66%,2,1,13,4,25%(3/12),23,0,0,0.74,1.31,5,7,2,-0.72,1,0,2,50%(10/20),0,86%(205/238),72%(49/68),5,3,4,3,100%(7/7),6,8,17,1.60,0.28,1,1,71%,1,1,11,1,17%(1/6),24,0,0,0.42,0.62,7,5,0,0.00,,0,1,75%(18/24),0,91%(282/309),87%(55/63),,4,3,2,2,75%(6/8),6,6,6,0.09,0.00,1,0,34%,1,1,9,2,20%(1/5),25,1,0,0.30,0.31,7,5,2,-0.40,1,0,0,35%(8/23),0,79%(96/122),59%(19/32),3,2,3,3,60%(3/5),15,6,5,0.28,1.60,1,0,29%,1,2,1,2,29%(2/7),22,0,0,0.13,0.24,5,7,1,-0.91,,0,3,41%(9/22),0,76%(92/121),72%(36/50),,2,0,1,1,63%(5/8),14,3,6,0.00,0.09,1
h6y6Qkhg,colombia,29.03.2026 19:00,Football / World / Friendly International,Colombia,France,1,3,,0,34%,0,1,11,3,22%(2/9),19,0,0,0.38,0.22,5,4,1,-1.21,0,0,4,15%(3/20),2,78%(112/144),61%(22/36),1,2,1,3,50%(5/10),7,4,13,0.20,0.79,0,1,57%,1,4,2,6,,20,0,0,0.59,0.97,8,10,1,-0.47,,0,4,37%(7/19),0,86%(196/229),73%(44/60),,7,1,4,2,67%(4/6),19,9,18,1.30,0.53,1,0,66%,1,3,8,5,25%(2/8),20,0,0,0.42,0.59,4,5,1,0.20,1,0,4,67%(8/12),1,89%(250/281),81%(54/67),4,2,3,4,43%(3/7),10,8,16,0.79,0.20,1,0,43%,1,2,23,0,,29,0,1,0.21,0.71,10,8,3,0.30,,0,5,53%(10/19),2,84%(158/187),78%(28/36),,3,2,2,3,56%(9/16),10,6,8,0.53,1.30,2
hbcgcMmg,colombia,26.03.2026 23:30,Football / World / Friendly International,Colombia,Croatia,1,2,,0,60%,1,1,6,1,29%(2/7),15,1,0,1.47,1.63,1,5,1,-0.91,0,1,1,63%(12/19),2,93%(299/320),87%(96/110),7,4,3,1,29%(2/7),8,8,13,1.15,1.09,0,1,56%,1,2,5,5,9%(1/11),25,0,0,0.39,0.44,6,13,0,0.00,,0,2,75%(21/28),1,87%(251/287),78%(66/85),,4,2,2,2,29%(2/7),11,6,9,0.04,0.00,0,0,40%,1,3,11,3,25%(2/8),12,0,1,0.32,0.72,5,1,2,0.15,1,0,3,50%(7/14),1,92%(189/205),92%(24/26),6,2,3,2,100%(6/6),5,8,13,1.09,1.15,1,1,44%,1,2,17,1,0%(0/2),14,0,0,0.39,0.50,13,6,2,0.04,,2,7,46%(13/28),0,85%(201/236),63%(20/32),,3,2,0,1,33%(2/6),5,4,6,0.00,0.04,2
2oYYd6K5,colombia,19.11.2025 01:30,Football / World / Friendly International,Colombia,Australia,3,0,,0,54%,0,0,1,0,60%(3/5),20,0,0,0.21,0.29,8,6,1,0.18,,0,2,63%(17/27),2,88%(266/302),58%(30/52),3,2,3,2,60%(3/5),15,5,10,0.60,0.18,0,0,77%,3,5,4,4,19%(3/16),26,0,0,0.61,1.55,6,6,0,0.00,,0,6,75%(24/32),0,93%(414/445),87%(98/113),,6,1,5,5,63%(5/8),15,11,18,2.53,0.00,2,0,46%,0,0,9,0,0%(0/1),23,0,0,0.02,0.04,6,8,3,0.60,,0,6,17%(3/18),2,86%(219/256),39%(9/23),0,0,1,1,88%(7/8),9,1,0,0.18,0.60,1,0,23%,0,0,18,0,0%(0/1),18,1,0,0.02,0.09,6,6,2,-0.47,,0,3,54%(7/13),0,80%(109/137),55%(11/20),,1,1,0,0,50%(2/4),6,1,1,0.00,2.53,1
lnWjjwX8,colombia,16.11.2025 00:30,Football / World / Friendly International,Colombia,New Zealand,2,1,,0,63%,0,3,13,3,13%(1/8),20,0,0,0.92,0.68,8,7,2,0.48,,0,2,48%(10/21),2,92%(276/301),83%(74/89),5,2,3,3,50%(3/6),5,8,17,0.63,0.48,,1,66%,0,3,6,4,33%(2/6),18,0,0,0.83,1.22,8,6,0,-0.87,,0,4,48%(10/21),2,89%(221/247),82%(61/74),,6,6,5,8,83%(5/6),7,14,9,1.07,0.13,0,0,37%,0,4,10,5,13%(1/8),20,0,0,0.26,0.25,7,8,2,-0.37,,0,5,48%(10/21),1,85%(141/166),72%(33/46),3,0,2,3,100%(7/7),3,6,10,0.48,0.63,,0,34%,1,0,9,2,0%(0/2),15,0,0,0.53,0.30,6,8,4,0.07,,0,5,30%(7/23),1,72%(92/127),30%(8/27),,2,3,1,2,43%(3/7),9,4,5,0.13,1.07,1
4CckdLu2,colombia,15.10.2025 00:30,Football / World / Friendly International,Canada,Colombia,0,0,,,44%,,,5,2,14%(1/7),30,,0,0.09,0.02,13,10,,0.00,,,3,32%(7/22),0,81%(142/176),57%(31/54),,0,1,1,62%(8/13),5,1,2,0.07,0.00,2,,36%,0,1,9,0,0%(0/4),34,,0,0.15,0.07,5,10,,0.08,,0,7,30%(7/23),1,71%(110/155),64%(38/59),,0,2,0,3,87%(13/15),11,3,4,0.00,0.08,1,,56%,,,14,1,0%(0/4),29,,1,0.04,0.00,10,13,,0.07,,,4,59%(13/22),0,86%(196/229),57%(13/23),,0,0,0,57%(4/7),14,0,1,0.00,0.07,0,,64%,3,1,11,1,29%(2/7),23,,0,0.34,1.15,10,5,,0.00,,1,6,57%(16/28),0,86%(235/274),70%(40/57),,4,4,1,2,75%(6/8),17,6,7,0.08,0.00,0
4MA0OuN7,colombia,12.10.2025 01:00,Football / World / Friendly International,Mexico,Colombia,0,4,,0,49%,0,3,16,1,11%(1/9),22,0,0,0.27,0.14,4,8,0,-0.63,,0,3,40%(6/15),0,83%(157/190),63%(25/40),1,1,0,3,50%(5/10),13,4,9,0.00,0.37,1,0,68%,1,1,4,1,20%(1/5),18,0,0,0.37,0.71,9,9,0,-1.69,,1,2,57%(16/28),0,87%(252/291),69%(41/59),,4,3,2,2,67%(2/3),11,6,11,0.27,1.31,2,0,51%,1,0,12,2,10%(1/10),24,0,0,0.41,0.57,8,4,0,0.00,,0,5,55%(18/33),0,82%(163/198),70%(35/50),2,2,1,1,64%(7/11),18,3,9,0.37,0.00,0,0,32%,2,1,6,0,0%(0/2),20,0,0,0.09,0.38,9,9,2,0.27,,0,8,29%(9/31),2,70%(94/135),47%(14/30),,3,0,3,1,83%(5/6),4,4,6,1.31,0.27,1
M9Tw4d7p,colombia,09.09.2025 23:30,Football / South America / World Championship - Qualification - Round 18,Venezuela,Colombia,3,6,,0,28%,1,0,23,1,33%(1/3),24,0,0,0.13,0.38,8,8,1,-1.20,0,1,11,42%(11/26),0,71%(79/112),57%(20/35),5,1,4,0,71%(5/7),12,5,7,1.03,0.80,,0,44%,2,1,13,2,30%(3/10),25,0,0,0.34,0.84,6,8,2,-1.41,,0,2,43%(9/21),1,82%(144/175),55%(28/51),,4,1,4,2,86%(6/7),8,6,12,1.39,2.59,1,0,72%,2,1,3,1,38%(3/8),22,1,0,0.41,0.40,8,8,2,-0.97,1,0,5,48%(16/33),0,82%(230/282),63%(38/60),4,1,3,1,100%(3/3),15,5,6,0.80,1.03,,3,56%,3,0,20,1,0%(0/1),23,0,1,1.37,1.74,8,6,3,0.39,,0,2,36%(9/25),0,86%(202/235),74%(25/34),,5,2,6,3,57%(4/7),6,8,10,2.59,1.39,0
lbAkQnOn,colombia,04.09.2025 23:30,Football / South America / World Championship - Qualification - Round 17,Colombia,Bolivia,3,0,,0,72%,2,0,3,4,39%(7/18),17,0,0,1.08,0.93,5,4,1,0.04,,0,2,73%(30/41),0,88%(242/276),74%(64/86),7,3,5,1,63%(5/8),12,8,16,0.51,0.04,,0,55%,1,0,9,0,50%(1/2),21,0,0,0.32,0.52,5,3,2,0.24,,0,5,64%(16/25),1,90%(195/217),75%(43/57),,2,1,3,2,88%(7/8),7,4,9,1.79,0.24,1,0,28%,0,1,19,0,17%(1/6),18,0,0,0.09,0.09,4,5,4,-0.49,,0,6,43%(10/23),2,75%(80/107),66%(19/29),0,1,1,3,71%(5/7),8,3,2,0.04,0.51,,0,45%,2,2,5,2,17%(1/6),14,0,0,0.18,0.34,3,5,1,-0.21,,0,3,53%(9/17),1,88%(148/168),83%(29/35),,2,2,2,4,20%(1/5),9,6,4,0.24,1.79,1
