match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
MVBloMFO,corea_sur,local,26/30 (87%),Lee Dong-GyeongAttacking midfielder,3,0.49,7.8,0/1 (0%),3,2,41
MVBloMFO,corea_sur,local,56/59 (95%),Hwang In-BeomMidfielder,5,0.09,7.7,-,2,-,70
MVBloMFO,corea_sur,local,41/48 (85%),Lee Tae-SeokWingback,12,-,7.7,-,-,1,66
MVBloMFO,corea_sur,local,12/30 (40%),Gonzalez M.Goalkeeper,1,-,7.3,-,-,-,40
MVBloMFO,corea_sur,local,49/53 (92%),Lee Gi-HyukCentre back,4,0.03,7.2,0/1 (0%),1,1,62
MVBloMFO,corea_sur,local,58/63 (92%),Lee Jae-SungMidfielder,5,-,7.0,-,-,-,71
MVBloMFO,corea_sur,local,8/9 (89%),Castrop J.Midfielder,3,0.02,6.8,-,1,1,15
MVBloMFO,corea_sur,local,22/27 (81%),Clavel R.Centre back,8,-,6.8,-,-,-,38
MVBloMFO,corea_sur,local,20/21 (95%),Lee Kang-InMidfielder,3,0.04,6.8,-,1,1,26
MVBloMFO,corea_sur,local,22/22 (100%),Paik Seung-HoMidfielder,2,0.01,6.8,-,1,-,24
MVBloMFO,corea_sur,local,9/9 (100%),Son Heung-MinForward,3,0.30,6.8,0/1 (0%),3,2,15
MVBloMFO,corea_sur,local,7/10 (70%),Cerritos M.Midfielder,8,-,6.7,-,-,-,20
MVBloMFO,corea_sur,local,18/20 (90%),Cho Wi-JeDefender,3,0.05,6.7,-,1,1,26
MVBloMFO,corea_sur,local,19/22 (86%),Kim Jin-GyuMidfielder,2,-,6.7,-,-,2,26
MVBloMFO,corea_sur,local,54/59 (92%),Kim Min-JaeCentre back,4,-,6.7,-,-,-,64
MVBloMFO,corea_sur,local,27/32 (84%),Hwang Hee-ChanAttacking midfielder,7,0.04,6.6,0/1 (0%),1,1,42
MVBloMFO,corea_sur,local,13/13 (100%),Kim Seung-GyuGoalkeeper,-,-,6.6,-,-,-,15
MVBloMFO,corea_sur,local,42/46 (91%),Lee Han-BeomCentre back,2,-,6.6,-,-,-,52
MVBloMFO,corea_sur,local,26/30 (87%),Seol Young-WooWingback,2,0.09,6.6,-,1,3,37
MVBloMFO,corea_sur,local,14/18 (78%),Park Jin-SeobMidfielder,3,-,6.5,-,-,-,21
MVBloMFO,corea_sur,local,10/10 (100%),Yang Hyun-JunMidfielder,3,-,6.5,0/1 (0%),-,1,19
MVBloMFO,corea_sur,local,10/11 (91%),Song Bum-KeunGoalkeeper,-,-,6.4,-,-,-,11
MVBloMFO,corea_sur,local,21/26 (81%),Cruz J.Centre back,4,-,6.3,1/1 (100%),-,1,42
MVBloMFO,corea_sur,local,5/6 (83%),Oh Hyeon-GyuForward,5,-,6.3,-,-,1,10
