match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
MVBloMFO,corea_sur,04.06.2026 01:00,Football / World / Friendly International,South Korea,El Salvador,1,0,0.0,73%,0.0,1,1.0,3,50%(4/8),20.0,0.0,0.0,0.46,0.55,6,11,0,0.0,,0.0,3,61%(11/18),0.0,92%(311/339),83%(81/98),,3.0,2,3,3.0,75%(3/4),10.0,6,5.0,0.77,0.0,1.0,0.0,71%,0.0,3,8.0,5,10%(1/10),21.0,0.0,0.0,0.44,0.6,13,11,0,0.0,,0.0,3,61%(14/23),0.0,89%(221/249),84%(85/101),3.0,2,4,6.0,100%(2/2),4.0,9,12.0,1.03,0.0,3.0,1.0,27%,0.0,0,13.0,0,0%(0/1),13.0,0.0,0.0,0.15,0.14,11,6,3,0.77,,0.0,2,37%(10/27),2.0,76%(97/127),55%(12/22),,2.0,3,0,1.0,100%(5/5),9.0,3,4.0,0.0,0.77,1.0,0.0,29%,0.0,0,13.0,2,0%(0/4),22.0,0.0,0.0,0.03,0.0,11,13,3,0.03,,0.0,7,38%(9/24),2.0,73%(73/100),52%(16/31),0.0,0,0,0.0,100%(3/3),7.0,0,1.0,0.0,1.03,0.0
tSWLzA4M,corea_sur,31.05.2026 01:00,Football / World / Friendly International,South Korea,Trinidad & Tobago,5,0,0.0,67%,2.0,4,4.0,5,15%(2/13),17.0,0.0,0.0,1.14,1.72,7,5,0,0.0,,1.0,0,53%(9/17),1.0,92%(252/275),82%(83/101),,3.0,0,3,4.0,57%(4/7),4.0,7,11.0,1.93,0.0,1.0,0.0,76%,3.0,2,3.0,2,,11.0,0.0,0.0,1.75,2.04,5,5,1,0.01,1.0,1.0,1,72%(13/18),0.0,92%(284/308),83%(93/112),8.0,2,8,4.0,,5.0,12,23.0,2.97,0.01,0.0,0.0,33%,0.0,1,17.0,1,33%(1/3),20.0,0.0,0.0,0.03,0.03,5,7,1,-0.07,,0.0,0,35%(8/23),0.0,84%(119/142),59%(10/17),,0.0,0,0,1.0,86%(6/7),7.0,1,3.0,0.0,1.93,0.0,0.0,24%,0.0,0,17.0,0,,11.0,0.0,0.0,0.04,0.04,5,5,4,-0.03,0.0,0.0,2,46%(12/26),0.0,70%(67/96),29%(5/17),0.0,0,1,1.0,,6.0,1,0.0,0.01,2.97,3.0
zJGkMkBc,corea_sur,31.03.2026 18:45,Football / World / Friendly International,Austria,South Korea,1,0,0.0,59%,0.0,0,13.0,3,13%(1/8),26.0,0.0,0.0,0.44,0.14,7,6,1,0.27,,0.0,4,44%(11/25),1.0,85%(211/247),64%(36/56),,1.0,1,0,0.0,50%(6/12),8.0,1,7.0,0.0,0.27,1.0,0.0,52%,0.0,1,8.0,1,0%(0/5),17.0,0.0,0.0,0.31,0.25,4,3,1,0.23,,0.0,3,60%(15/25),2.0,82%(196/240),82%(45/55),2.0,2,1,2.0,67%(4/6),11.0,4,10.0,0.75,0.23,,0.0,41%,0.0,3,9.0,4,33%(2/6),18.0,0.0,0.0,0.11,0.24,6,7,0,0.0,,0.0,5,42%(11/26),0.0,76%(131/172),61%(27/44),,4.0,2,1,2.0,83%(5/6),11.0,6,10.0,0.27,0.0,0.0,0.0,48%,1.0,1,10.0,2,25%(2/8),21.0,0.0,0.0,0.12,0.47,3,4,0,-0.25,,0.0,8,42%(13/31),1.0,79%(168/214),56%(22/39),4.0,3,1,1.0,64%(7/11),8.0,5,4.0,0.23,0.75,
Ua91qRCr,corea_sur,28.03.2026 14:00,Football / World / Friendly International,South Korea,Ivory Coast,0,4,1.0,43%,1.0,1,9.0,2,33%(1/3),13.0,0.0,0.0,0.33,0.79,4,3,3,-0.5,,2.0,3,46%(6/13),0.0,89%(195/219),71%(22/31),,4.0,4,1,2.0,44%(4/9),6.0,6,10.0,0.3,1.5,,0.0,58%,0.0,2,2.0,5,15%(2/13),23.0,1.0,1.0,0.39,0.28,4,4,1,-0.12,,1.0,9,31%(4/13),0.0,88%(279/316),74%(68/92),1.0,3,1,5.0,57%(8/14),8.0,6,13.0,0.04,1.88,,0.0,57%,4.0,3,1.0,2,29%(2/7),14.0,0.0,0.0,0.47,1.7,3,4,1,0.3,,0.0,3,47%(8/17),0.0,92%(264/287),80%(41/51),,5.0,0,5,3.0,100%(2/2),13.0,8,8.0,1.5,0.3,,0.0,42%,3.0,1,10.0,3,0%(0/3),16.0,0.0,0.0,0.48,1.52,4,4,1,0.04,,0.0,12,43%(6/14),2.0,87%(200/231),80%(37/46),4.0,1,3,1.0,83%(5/6),5.0,5,14.0,1.88,0.04,
ltH5hbvJ,corea_sur,18.11.2025 11:00,Football / World / Friendly International,South Korea,Ghana,1,0,0.0,62%,0.0,0,3.0,3,20%(1/5),12.0,0.0,0.0,0.11,0.05,8,4,1,0.02,,0.0,8,64%(16/25),0.0,87%(223/257),59%(20/34),,1.0,0,1,0.0,50%(3/6),7.0,1,3.0,0.15,0.02,,0.0,52%,2.0,1,6.0,2,43%(3/7),21.0,0.0,0.0,0.61,1.18,3,8,0,0.0,1.0,1.0,7,36%(8/22),0.0,79%(155/196),76%(32/42),5.0,2,3,1.0,80%(4/5),3.0,6,13.0,1.44,0.0,1.0,0.0,38%,0.0,2,6.0,1,33%(1/3),18.0,0.0,0.0,0.03,0.07,4,8,1,0.15,,0.0,6,35%(6/17),0.0,82%(131/160),52%(12/23),,2.0,0,1,1.0,100%(3/3),7.0,3,3.0,0.02,0.15,,0.0,48%,0.0,2,10.0,2,17%(1/6),18.0,0.0,0.0,0.31,0.42,8,3,2,0.44,0.0,1.0,4,24%(4/17),2.0,82%(166/203),68%(27/40),6.0,7,0,3.0,80%(4/5),2.0,9,8.0,0.0,1.44,2.0
lQ6TaS54,corea_sur,14.11.2025 11:00,Football / World / Friendly International,South Korea,Bolivia,2,0,0.0,64%,1.0,2,8.0,4,13%(1/8),24.0,0.0,0.0,0.34,0.52,10,9,3,0.13,,0.0,4,54%(13/24),0.0,83%(220/266),70%(44/63),,3.0,1,2,2.0,90%(9/10),9.0,5,10.0,0.96,0.13,2.0,1.0,52%,2.0,3,3.0,4,14%(1/7),22.0,0.0,0.0,0.4,1.03,8,8,1,0.48,,0.0,2,45%(9/20),5.0,78%(137/175),68%(41/60),5.0,1,3,2.0,89%(8/9),8.0,7,12.0,1.1,0.48,0.0,0.0,36%,0.0,0,9.0,2,0%(0/5),24.0,0.0,0.0,0.06,0.15,9,10,2,0.96,,0.0,5,33%(5/15),1.0,78%(114/146),61%(23/38),,2.0,1,3,2.0,67%(4/6),14.0,4,4.0,0.13,0.96,0.0,0.0,48%,0.0,1,8.0,3,0%(0/4),17.0,1.0,0.0,0.06,0.09,8,8,1,-0.9,,0.0,0,54%(7/13),2.0,78%(131/168),65%(15/23),1.0,0,1,1.0,57%(4/7),7.0,2,4.0,0.48,1.1,2.0
fsx18kCr,corea_sur,14.10.2025 11:00,Football / World / Friendly International,South Korea,Paraguay,2,0,0.0,63%,1.0,1,4.0,1,20%(1/5),14.0,0.0,1.0,0.37,0.76,10,2,1,0.73,,0.0,2,64%(29/45),1.0,89%(304/340),73%(65/89),,2.0,1,1,1.0,60%(3/5),7.0,3,7.0,0.9,0.73,,1.0,51%,2.0,0,18.0,0,0%(0/4),16.0,0.0,0.0,0.5,1.28,10,6,0,0.0,,1.0,1,62%(28/45),0.0,87%(199/229),84%(36/43),3.0,3,2,2.0,0%(0/1),8.0,5,4.0,1.51,0.0,2.0,0.0,37%,1.0,0,8.0,1,0%(0/2),16.0,1.0,0.0,0.03,0.38,2,10,0,-0.1,,0.0,3,32%(7/22),2.0,84%(171/203),65%(15/23),,1.0,1,1,1.0,50%(2/4),7.0,2,3.0,0.73,0.9,,0.0,49%,1.0,2,3.0,0,29%(2/7),20.0,0.0,0.0,0.35,1.28,6,10,1,0.51,,1.0,5,44%(8/18),0.0,81%(175/216),65%(33/51),5.0,6,0,3.0,100%(5/5),5.0,8,15.0,0.0,1.51,1.0
UJAwQsfK,corea_sur,10.10.2025 11:00,Football / World / Friendly International,South Korea,Brazil,0,5,0.0,43%,0.0,1,6.0,2,0%(0/4),17.0,0.0,0.0,0.08,0.04,4,6,1,-0.66,,0.0,5,38%(9/24),1.0,83%(210/253),61%(27/44),,1.0,0,0,0.0,56%(5/9),3.0,1,3.0,0.0,1.34,2.0,0.0,40%,0.0,2,9.0,3,0%(0/4),18.0,1.0,0.0,0.1,0.11,9,3,1,-0.94,,0.0,4,36%(5/14),1.0,88%(155/177),87%(39/45),1.0,0,1,2.0,63%(5/8),8.0,3,4.0,0.04,2.06,0.0,1.0,57%,1.0,2,7.0,2,40%(2/5),15.0,0.0,0.0,1.15,1.33,6,4,0,0.0,,0.0,8,77%(17/22),2.0,91%(309/341),78%(75/96),,6.0,3,3,2.0,75%(3/4),11.0,8,12.0,1.34,0.0,0.0,0.0,60%,3.0,1,7.0,1,50%(2/4),25.0,0.0,0.0,0.34,1.67,3,9,1,0.04,,0.0,2,47%(7/15),0.0,89%(245/276),73%(44/60),4.0,1,4,2.0,82%(9/11),8.0,6,9.0,2.06,0.04,1.0
nw4HFBLj,corea_sur,10.09.2025 01:30,Football / World / Friendly International,Mexico,South Korea,2,2,,50%,0.0,1,6.0,1,29%(2/7),19.0,,1.0,0.4,0.22,6,7,1,0.09,1.0,,1,41%(9/22),0.0,84%(201/238),69%(29/42),,3.0,2,3,3.0,88%(7/8),9.0,6,6.0,0.59,0.09,1.0,1.0,58%,0.0,6,5.0,2,13%(1/8),23.0,,0.0,0.73,0.44,6,7,0,-1.51,,,4,39%(7/18),0.0,88%(245/280),80%(67/84),3.0,2,3,8.0,100%(6/6),8.0,11,12.0,1.21,0.49,,,50%,0.0,0,8.0,0,25%(1/4),16.0,,1.0,0.13,0.28,7,6,2,-0.41,0.0,,3,52%(12/23),1.0,86%(208/242),80%(37/46),,3.0,2,1,0.0,83%(5/6),9.0,3,6.0,0.09,0.59,0.0,0.0,42%,0.0,1,14.0,1,33%(2/6),19.0,,0.0,0.24,0.32,7,6,2,0.21,,,6,39%(7/18),0.0,86%(168/195),79%(27/34),5.0,2,2,1.0,100%(3/3),8.0,5,9.0,0.49,1.21,
pzV3qmue,corea_sur,06.09.2025 21:00,Football / World / Friendly International,USA,South Korea,0,2,0.0,52%,0.0,0,5.0,1,0%(0/3),15.0,0.0,0.0,0.84,0.28,3,0,1,-0.25,,0.0,2,31%(5/16),1.0,88%(278/315),74%(55/74),,1.0,2,1,2.0,57%(4/7),12.0,3,12.0,0.06,1.75,,1.0,55%,3.0,5,11.0,5,15%(2/13),18.0,0.0,0.0,1.01,1.95,5,4,1,0.32,,1.0,2,55%(6/11),0.0,88%(227/259),84%(105/125),10.0,5,4,4.0,40%(2/5),14.0,14,26.0,2.14,0.32,1.0,2.0,48%,2.0,0,7.0,1,0%(0/1),20.0,0.0,1.0,1.08,0.71,0,3,1,0.06,,0.0,9,64%(16/25),0.0,90%(265/293),75%(38/51),,4.0,1,3,0.0,45%(5/11),7.0,4,15.0,1.75,0.06,,0.0,45%,0.0,0,17.0,2,14%(1/7),19.0,0.0,0.0,0.09,0.03,4,5,4,2.14,,0.0,7,30%(8/27),0.0,81%(172/213),68%(26/38),1.0,0,1,0.0,10%(1/10),8.0,1,2.0,0.32,2.14,0.0
