match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
Aat1lJu0,costa_marfil,local,39/46 (85%),Doue G.Fullback,8,0.60,8.1,2/2 (100%),1,1,64
Aat1lJu0,costa_marfil,local,65/71 (92%),Cherki R.Midfielder,6,0.13,7.9,1/3 (33%),3,8,84
Aat1lJu0,costa_marfil,local,14/16 (88%),Diallo A.Forward,9,0.14,7.5,1/3 (33%),1,1,28
Aat1lJu0,costa_marfil,local,20/28 (71%),Fofana Y.Goalkeeper,-,-,7.4,-,-,-,46
Aat1lJu0,costa_marfil,local,17/19 (89%),Pepe N.Forward,1,-,7.3,0/1 (0%),-,1,24
Aat1lJu0,costa_marfil,local,56/61 (92%),Agbadou E.Centre back,8,-,7.1,1/1 (100%),-,-,75
Aat1lJu0,costa_marfil,local,21/22 (95%),Akliouche M.Forward,5,-,7.1,1/1 (100%),-,1,37
Aat1lJu0,costa_marfil,local,58/59 (98%),Konate I.Centre back,3,0.13,6.9,-,1,2,64
Aat1lJu0,costa_marfil,local,42/42 (100%),Tchouameni A.Midfielder,7,0.04,6.9,-,1,1,47
Aat1lJu0,costa_marfil,local,43/45 (96%),Upamecano D.Centre back,3,-,6.9,1/1 (100%),-,-,50
Aat1lJu0,costa_marfil,local,15/16 (94%),Inao Oulai C.Midfielder,6,-,6.8,-,-,-,23
Aat1lJu0,costa_marfil,local,35/37 (95%),Kante N.Midfielder,7,-,6.8,1/1 (100%),-,-,48
Aat1lJu0,costa_marfil,local,17/21 (81%),Mbappe K.Striker,2,0.05,6.8,-,1,5,29
Aat1lJu0,costa_marfil,local,18/21 (86%),Thuram M.Winger,14,0.27,6.8,2/3 (67%),5,7,37
Aat1lJu0,costa_marfil,local,7/8 (88%),Toure B.Midfielder,3,0.25,6.8,-,1,1,13
Aat1lJu0,costa_marfil,local,2/2 (100%),Bonny A.Forward,1,-,6.7,-,-,1,6
Aat1lJu0,costa_marfil,local,19/20 (95%),Hernandez L.Defender,1,-,6.7,-,-,-,21
Aat1lJu0,costa_marfil,local,29/33 (88%),Maignan M.Goalkeeper,-,-,6.7,-,-,-,41
Aat1lJu0,costa_marfil,local,32/37 (86%),Olise M.Winger,2,0.08,6.7,1/1 (100%),1,2,43
Aat1lJu0,costa_marfil,local,6/7 (86%),Diakite O.Winger,17,-,6.6,1/4 (25%),-,-,21
Aat1lJu0,costa_marfil,local,11/17 (65%),Operi C.Defender,2,-,6.6,-,-,-,24
Aat1lJu0,costa_marfil,local,13/14 (93%),Adingra S.Striker,2,0.30,6.5,1/1 (100%),2,2,20
Aat1lJu0,costa_marfil,local,33/36 (92%),Fofana S.Midfielder,8,0.02,6.5,-,1,1,48
Aat1lJu0,costa_marfil,local,20/22 (91%),Kone M.Midfielder,4,-,6.5,0/1 (0%),-,1,27
Aat1lJu0,costa_marfil,local,49/53 (92%),Kounde J.Fullback,6,-,6.5,1/1 (100%),-,1,61
Aat1lJu0,costa_marfil,local,9/11 (82%),Mateta J.Forward,7,0.04,6.5,0/2 (0%),2,5,18
Aat1lJu0,costa_marfil,local,18/20 (90%),Sangare I.Midfielder,4,-,6.5,-,-,-,27
Aat1lJu0,costa_marfil,local,29/30 (97%),Singo W.Centre back,5,-,6.5,-,-,-,45
Aat1lJu0,costa_marfil,local,14/15 (93%),Diomande O.Defender,-,-,6.4,-,-,-,18
Aat1lJu0,costa_marfil,local,18/21 (86%),Diomande Y.Winger,7,-,6.4,2/2 (100%),-,3,31
Aat1lJu0,costa_marfil,local,35/40 (88%),Kessie F.Midfielder,5,-,6.4,-,-,-,47
Aat1lJu0,costa_marfil,local,32/35 (91%),Lacroix M.Defender,2,-,6.4,-,-,-,39
Aat1lJu0,costa_marfil,local,39/42 (93%),Rabiot A.Midfielder,7,0.02,6.4,0/1 (0%),1,1,56
Aat1lJu0,costa_marfil,local,6/7 (86%),Zaire-Emery W.Midfielder,2,-,6.4,-,-,1,10
Aat1lJu0,costa_marfil,local,24/27 (89%),Digne L.Defender,7,-,6.3,0/4 (0%),-,1,45
Aat1lJu0,costa_marfil,local,27/32 (84%),Hernandez T.Fullback,6,-,6.3,-,-,2,43
Aat1lJu0,costa_marfil,local,24/31 (77%),Konan G.Fullback,4,-,6.3,0/1 (0%),-,-,39
Aat1lJu0,costa_marfil,local,9/11 (82%),Gusto M.Defender,1,-,6.2,-,-,-,18
Aat1lJu0,costa_marfil,local,11/13 (85%),Wahi E.Striker,2,0.02,6.1,-,1,2,15
Aat1lJu0,costa_marfil,local,5/6 (83%),Barcola B.Forward,-,-,-,-,-,-,6
4xgGM7WG,costa_marfil,local,24/25 (96%),Rabia R.Centre back,11,0.10,8.2,-,1,1,42
4xgGM7WG,costa_marfil,local,12/16 (75%),Ashour E.Attacking midfielder,11,0.03,8.0,1/3 (33%),1,-,33
4xgGM7WG,costa_marfil,local,55/64 (86%),Doue G.Fullback,11,0.34,7.6,1/2 (50%),1,2,101
4xgGM7WG,costa_marfil,local,30/36 (83%),Fathy H.Midfielder,9,-,7.5,-,-,-,52
4xgGM7WG,costa_marfil,local,17/20 (85%),Salah M.Striker,9,0.33,7.5,0/1 (0%),1,2,39
4xgGM7WG,costa_marfil,local,13/17 (76%),Ibrahim Y.Centre back,12,-,7.3,1/1 (100%),-,-,37
4xgGM7WG,costa_marfil,local,16/21 (76%),Marmoush O.Striker,26,0.26,7.3,3/10 (30%),1,2,58
4xgGM7WG,costa_marfil,local,12/14 (86%),Abdelmaguid H.Centre back,6,-,6.8,-,-,-,26
4xgGM7WG,costa_marfil,local,56/62 (90%),Inao Oulai C.Midfielder,13,0.01,6.8,2/4 (50%),1,-,79
4xgGM7WG,costa_marfil,local,6/6 (100%),Krasso J.Forward,3,-,6.8,-,-,1,7
4xgGM7WG,costa_marfil,local,7/15 (47%),El Shenawy M.Goalkeeper,2,-,6.7,-,-,-,21
4xgGM7WG,costa_marfil,local,21/30 (70%),Attia M.Midfielder,6,0.02,6.6,-,1,-,37
4xgGM7WG,costa_marfil,local,2/2 (100%),Bayo V.Forward,1,0.04,6.6,-,1,1,3
4xgGM7WG,costa_marfil,local,73/80 (91%),Sangare I.Midfielder,14,0.37,6.6,0/1 (0%),2,1,98
4xgGM7WG,costa_marfil,local,35/39 (90%),Diallo A.Winger,16,0.15,6.5,5/9 (56%),2,7,77
4xgGM7WG,costa_marfil,local,13/20 (65%),Hany M.Wingback,7,0.04,6.5,-,1,2,38
4xgGM7WG,costa_marfil,local,44/48 (92%),Diomande Y.Winger,17,0.02,6.4,3/10 (30%),1,4,77
4xgGM7WG,costa_marfil,local,9/12 (75%),Guessand E.Striker,12,0.07,6.4,1/1 (100%),2,5,22
4xgGM7WG,costa_marfil,local,16/22 (73%),Fatouh A.Wingback,5,-,6.3,-,-,1,50
4xgGM7WG,costa_marfil,local,59/68 (87%),Konan G.Fullback,5,-,6.2,0/2 (0%),-,-,89
4xgGM7WG,costa_marfil,local,59/60 (98%),Kossounou O.Centre back,8,0.06,6.1,-,1,2,67
4xgGM7WG,costa_marfil,local,75/78 (96%),Ndicka E.Centre back,3,0.19,5.9,-,1,1,85
4xgGM7WG,costa_marfil,local,1/3 (33%),TrezeguetMidfielder,3,-,5.8,-,-,-,5
4xgGM7WG,costa_marfil,local,14/19 (74%),Fofana Y.Goalkeeper,1,-,5.7,-,-,-,27
4xgGM7WG,costa_marfil,local,23/29 (79%),Kessie F.Midfielder,4,0.05,5.2,-,1,1,37
4xgGM7WG,costa_marfil,local,3/3 (100%),Fofana S.Midfielder,-,-,-,-,-,-,6
4xgGM7WG,costa_marfil,local,1/1 (100%),Mostafa MohamedForward,2,-,-,-,-,-,2
4xgGM7WG,costa_marfil,local,2/2 (100%),Toure B.Midfielder,1,-,-,0/1 (0%),-,-,3
WOj41pSF,costa_marfil,local,32/38 (84%),Diomande Y.Winger,14,0.31,8.8,6/9 (67%),3,6,65
WOj41pSF,costa_marfil,local,39/42 (93%),Diallo A.Winger,10,0.75,8.0,-,5,5,59
WOj41pSF,costa_marfil,local,35/40 (88%),Doue G.Fullback,10,0.19,7.8,-,2,3,65
WOj41pSF,costa_marfil,local,46/50 (92%),Inao Oulai C.Midfielder,11,0.06,7.7,-,2,1,67
