match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
YJdxGTw9,costa_marfil,08.06.2026 23:00,Football / World / Friendly International,Philadelphia Union II,Ivory Coast,0,2,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aat1lJu0,costa_marfil,04.06.2026 19:10,Football / World / Friendly International,France,Ivory Coast,1,2,,1,63%,1,1,5,3,33%(1/3),21,0,1,1.05,0.61,4,7,1,0.70,,0,7,88%(14/16),1,92%(320/348),81%(89/110),7,3,5,2,60%(3/5),5,9,25,1.40,0.70,0,0,56%,0,2,4,5,25%(3/12),24,0,0,0.47,0.27,4,2,0,-0.39,,0,5,63%(12/19),2,91%(279/306),82%(63/77),4,3,1,2,73%(8/11),8,6,13,0.04,1.61,,0,37%,2,0,12,2,29%(2/7),20,0,0,0.22,0.26,7,4,4,0.40,,0,4,29%(6/21),0,86%(166/192),73%(29/40),2,1,1,0,57%(4/7),3,2,7,0.70,1.40,1,1,44%,2,0,12,0,100%(1/1),27,0,0,0.41,1.05,2,4,1,0.04,,0,6,60%(9/15),3,87%(216/248),55%(12/22),3,3,2,2,56%(10/18),6,5,6,1.61,0.04,
OQQVWHwC,costa_marfil,31.03.2026 18:30,Football / World / Friendly International,Scotland,Ivory Coast,0,1,,0,45%,1,2,6,3,17%(1/6),18,0,1,0.17,0.90,2,4,3,-0.17,,1,3,40%(8/20),0,91%(283/310),81%(30/37),4,2,2,2,50%(1/2),9,6,7,0.83,0.18,,0,51%,0,2,10,4,28%(5/18),24,0,0,1.22,0.02,7,5,0,0.61,,0,8,36%(4/11),0,85%(152/178),68%(57/84),6,4,2,2,,4,8,15,0.00,1.26,,0,55%,0,1,9,1,0%(0/3),13,0,1,0.17,0.40,4,2,1,-0.17,,0,5,57%(17/30),0,88%(228/258),68%(43/63),4,3,3,3,60%(6/10),6,7,8,0.18,0.83,,0,49%,2,3,18,4,25%(2/8),22,0,0,1.31,1.61,5,7,0,0.39,,2,3,46%(13/28),1,92%(273/298),144%(23/16),4,2,0,1,,10,5,7,1.26,0.00,
Ua91qRCr,costa_marfil,28.03.2026 14:00,Football / World / Friendly International,South Korea,Ivory Coast,0,4,,1,43%,1,1,9,2,33%(1/3),13,0,0,0.33,0.79,4,3,3,-0.50,,2,3,46%(6/13),0,89%(195/219),71%(22/31),4,4,1,2,44%(4/9),6,6,10,0.30,1.50,,0,58%,0,2,2,5,15%(2/13),23,1,1,0.39,0.28,4,4,1,-0.12,,1,9,31%(4/13),0,88%(279/316),74%(68/92),1,3,1,5,57%(8/14),8,6,13,0.04,1.88,,0,57%,4,3,1,2,29%(2/7),14,0,0,0.47,1.70,3,4,1,0.30,,0,3,47%(8/17),0,92%(264/287),80%(41/51),5,0,5,3,100%(2/2),13,8,8,1.50,0.30,,0,42%,3,1,10,3,0%(0/3),16,0,0,0.48,1.52,4,4,1,0.04,,0,12,43%(6/14),2,87%(200/231),80%(37/46),4,1,3,1,83%(5/6),5,5,14,1.88,0.04,
4xgGM7WG,costa_marfil,10.01.2026 19:00,Football / Africa / Africa Cup of Nations - Play Offs - Quarter-finals,Egypt,Ivory Coast,3,2,,0,30%,1,0,15,1,25%(1/4),26,0,0,0.15,0.39,4,6,1,0.05,1,0,8,47%(8/17),2,82%(111/135),65%(15/23),2,1,2,1,54%(7/13),8,3,4,0.71,0.05,,1,28%,1,1,26,2,0%(0/2),33,0,0,0.57,0.39,6,9,2,0.42,,0,2,32%(7/22),0,69%(72/105),44%(8/18),2,0,2,1,71%(10/14),10,3,4,0.93,1.42,2,0,70%,1,4,5,3,42%(5/12),26,1,0,0.75,0.45,6,4,0,-1.29,0,0,4,67%(12/18),1,90%(285/316),74%(58/78),5,1,1,1,67%(6/9),9,6,14,0.05,0.71,,0,72%,2,2,4,4,18%(3/17),24,0,0,0.82,0.72,9,6,1,-0.07,,0,2,43%(9/21),0,90%(230/256),82%(67/82),5,2,3,2,38%(3/8),15,7,11,1.42,0.93,0
WOj41pSF,costa_marfil,06.01.2026 19:00,Football / Africa / Africa Cup of Nations - Play Offs - 1/8-finals,Ivory Coast,Burkina Faso,3,0,,0,66%,1,4,10,3,15%(2/13),38,0,0,0.45,0.92,8,9,1,0.01,,0,1,65%(11/17),0,92%(290/314),80%(57/71),8,7,2,5,67%(8/12),8,13,21,1.30,0.01,0,0,47%,2,1,20,2,38%(3/8),27,0,0,0.31,1.10,12,8,1,0.22,,0,3,50%(11/22),0,85%(139/164),66%(19/29),8,5,2,0,83%(5/6),5,8,12,0.38,0.22,2,0,34%,0,0,14,1,25%(1/4),20,0,2,0.05,0.05,9,8,0,-0.70,,1,7,48%(10/21),0,80%(129/162),53%(19/36),1,1,1,1,86%(6/7),6,2,3,0.01,1.30,1,0,53%,0,2,7,1,0%(0/6),23,0,1,0.38,0.36,8,12,1,-0.62,,0,2,33%(7/21),0,83%(161/193),64%(39/61),1,3,1,5,75%(3/4),8,6,10,0.22,0.38,0
I1zhXvsn,costa_marfil,31.12.2025 19:00,Football / Africa / Africa Cup of Nations - Round 3,Gabon,Ivory Coast,2,3,,0,32%,1,1,13,0,0%(0/3),23,0,0,0.03,0.52,8,7,2,0.18,,1,2,23%(5/22),0,79%(124/157),50%(13/26),3,2,3,3,43%(3/7),4,6,5,1.29,1.18,2,0,35%,1,0,12,2,14%(1/7),32,0,0,0.30,0.35,7,12,0,-0.70,0,0,6,38%(13/34),0,71%(96/135),55%(17/31),2,3,0,1,75%(6/8),6,3,4,0.00,1.30,0,0,68%,1,3,2,6,33%(6/18),22,1,2,1.33,1.29,7,8,1,-0.71,,1,2,75%(15/20),2,92%(291/316),84%(65/77),10,5,3,1,67%(4/6),6,11,21,1.18,1.29,0,0,65%,1,3,7,2,31%(4/13),34,0,0,0.36,0.55,12,7,0,0.00,2,0,5,22%(2/9),1,91%(232/254),77%(34/44),5,5,2,5,38%(3/8),10,10,15,1.30,0.00,1
bNQXRq56,costa_marfil,28.12.2025 20:00,Football / Africa / Africa Cup of Nations - Round 2,Ivory Coast,Cameroon,1,1,,1,54%,1,3,10,3,43%(6/14),19,0,0,0.67,0.47,7,10,1,0.31,,1,1,35%(7/20),0,85%(180/211),73%(37/51),5,4,0,2,50%(2/4),7,7,10,0.00,0.31,1,0,47%,1,2,20,4,13%(1/8),23,0,1,0.63,0.51,11,5,1,0.07,,0,3,50%(11/22),0,79%(101/128),80%(28/35),3,2,2,3,33%(1/3),8,6,12,1.26,0.07,1,0,46%,0,0,12,2,43%(3/7),20,0,0,0.40,0.18,10,7,0,0.00,,1,6,39%(7/18),0,83%(157/189),48%(15/31),2,2,1,1,20%(1/5),11,3,9,0.31,0.00,1,0,53%,1,3,10,1,0%(0/8),22,0,0,0.16,0.44,5,11,1,0.26,,1,2,33%(7/21),0,81%(120/149),64%(29/45),3,5,1,6,71%(5/7),6,9,9,0.07,1.26,1
UsZGVR5s,costa_marfil,24.12.2025 17:30,Football / Africa / Africa Cup of Nations - Round 1,Ivory Coast,Mozambique,1,0,,0,55%,1,1,2,4,19%(3/16),19,0,0,0.23,0.50,9,5,1,0.04,,0,2,62%(8/13),0,92%(243/265),83%(59/71),5,4,2,2,100%(5/5),7,7,13,0.36,0.04,0,0,53%,5,2,8,5,33%(3/9),18,0,0,0.73,0.80,8,2,1,0.25,,0,5,75%(15/20),0,92%(243/265),82%(49/60),5,3,3,3,100%(8/8),5,8,15,0.81,0.25,1,0,45%,0,1,11,2,14%(1/7),20,0,1,0.07,0.11,5,9,2,0.36,,0,7,48%(11/23),0,88%(193/219),64%(16/25),1,0,1,1,100%(6/6),5,2,3,0.04,0.36,1,0,47%,0,1,5,1,25%(2/8),24,0,1,0.16,0.13,2,8,1,-0.19,,0,2,53%(9/17),0,89%(211/236),76%(32/42),1,1,1,1,36%(4/11),9,3,6,0.25,0.81,1
Mg36bm94,costa_marfil,18.11.2025 15:00,Football / World / Friendly International,Oman,Ivory Coast,0,2,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
