match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
MwkAgvmI,croacia,local,15/20 (75%),Perisic I.Winger,6,0.10,7.8,1/4 (25%),2,5,39
MwkAgvmI,croacia,local,53/59 (90%),Stanisic J.Fullback,4,0.02,7.7,-,1,1,85
MwkAgvmI,croacia,local,57/63 (90%),Gvardiol J.Fullback,7,-,7.6,1/1 (100%),-,1,80
MwkAgvmI,croacia,local,21/27 (78%),Pasalic M.Winger,6,0.03,7.6,2/2 (100%),1,1,40
MwkAgvmI,croacia,local,65/69 (94%),Erlic M.Centre back,4,-,7.5,-,-,-,79
MwkAgvmI,croacia,local,31/33 (94%),Pasalic M.Midfielder,-,0.17,7.5,-,2,2,37
MwkAgvmI,croacia,local,17/20 (85%),Livakovic D.Goalkeeper,-,-,7.4,-,-,-,26
MwkAgvmI,croacia,local,63/68 (93%),Pongracic M.Centre back,9,-,7.3,-,-,-,79
MwkAgvmI,croacia,local,4/7 (57%),Budimir A.Striker,6,0.55,7.1,0/1 (0%),3,9,17
MwkAgvmI,croacia,local,10/15 (67%),Matanovic I.Forward,3,0.42,7.1,-,5,5,23
MwkAgvmI,croacia,local,44/50 (88%),Modric L.Midfielder,3,0.12,7.1,-,1,-,61
MwkAgvmI,croacia,local,5/7 (71%),Sporar A.Forward,5,0.58,7.1,-,1,1,14
MwkAgvmI,croacia,local,28/35 (80%),Drkusic V.Centre back,4,-,6.9,-,-,-,51
MwkAgvmI,croacia,local,34/40 (85%),Sucic P.Midfielder,2,0.04,6.9,1/1 (100%),1,-,47
MwkAgvmI,croacia,local,22/26 (85%),Baturina M.Midfielder,6,-,6.8,1/4 (25%),-,-,38
MwkAgvmI,croacia,local,21/22 (95%),Kramaric A.Attacking midfielder,-,0.09,6.8,-,1,4,27
MwkAgvmI,croacia,local,32/33 (97%),Sucic L.Midfielder,1,0.03,6.8,0/1 (0%),2,-,40
MwkAgvmI,croacia,local,38/44 (86%),Kovacic M.Midfielder,3,0.09,6.6,-,2,-,51
MwkAgvmI,croacia,local,12/15 (80%),Begic T.Midfielder,9,0.19,6.5,0/2 (0%),1,3,31
MwkAgvmI,croacia,local,10/13 (77%),Vipotnik Z.Striker,3,0.63,6.5,1/1 (100%),3,4,20
MwkAgvmI,croacia,local,14/15 (93%),Vlasic N.Midfielder,6,0.03,6.5,-,1,-,19
MwkAgvmI,croacia,local,23/29 (79%),Bijol J.Centre back,3,-,6.4,-,-,1,37
MwkAgvmI,croacia,local,22/26 (85%),Gnezda Cerin A.Midfielder,13,0.05,6.4,-,2,-,38
MwkAgvmI,croacia,local,37/41 (90%),Lovric S.Midfielder,7,0.23,6.3,1/1 (100%),1,2,54
MwkAgvmI,croacia,local,20/34 (59%),Oblak J.Goalkeeper,-,-,6.3,-,-,-,47
MwkAgvmI,croacia,local,4/4 (100%),Brekalo D.Defender,-,-,6.2,-,-,-,7
MwkAgvmI,croacia,local,1/2 (50%),Karnicnik Z.Wingback,1,-,6.2,-,-,-,4
MwkAgvmI,croacia,local,-,Matko A.Forward,1,-,6.2,-,-,-,3
MwkAgvmI,croacia,local,14/20 (70%),Sturm D.Midfielder,8,0.22,6.1,1/7 (14%),4,6,41
MwkAgvmI,croacia,local,26/34 (76%),Ratnik M.Centre back,5,-,6.0,-,-,1,47
MwkAgvmI,croacia,local,23/27 (85%),Janza E.Wingback,2,0.04,5.9,0/1 (0%),1,1,47
MwkAgvmI,croacia,local,13/18 (72%),Kuzmic S.Defender,6,-,5.8,0/1 (0%),-,1,31
MwkAgvmI,croacia,local,12/12 (100%),Sutalo J.Defender,1,-,-,-,-,-,14
MwkAgvmI,croacia,local,1/1 (100%),Zec D.Defender,-,-,-,-,-,-,1
EDo2e0I5,croacia,local,48/49 (98%),Onana A.Centre back,10,-,7.9,1/1 (100%),-,-,65
