match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
MwkAgvmI,croacia,07.06.2026 18:45,Football / World / Friendly International,Croatia,Slovenia,2,1,0,68%,1,1,6,4,29%(6/21),20,0,2,0.81,0.78,3,4,1,0.13,,0,6,65%(15/23),0,89%(272/306),81%(73/90),,5,4,2,2,56%(5/9),8,7,18,0.44,0.13,,0,66%,1,5,11,4,33%(4/12),22,1,0,0.66,0.92,2,7,2,0.66,,0,2,64%(16/25),0,89%(281/317),84%(90/107),,6,6,4,9,100%(3/3),8,15,10,0.75,1.66,,0,32%,0,1,19,2,57%(4/7),10,0,0,0.23,0.57,4,3,2,0.44,,0,4,50%(10/20),0,80%(115/144),66%(23/35),,6,6,1,2,40%(2/5),6,8,14,0.13,0.44,,0,34%,2,2,14,2,33%(2/6),15,0,0,0.22,1.38,7,2,2,-1.25,,0,1,39%(11/28),0,77%(124/162),63%(20/32),,4,0,3,1,67%(2/3),9,5,6,1.66,0.75,
EDo2e0I5,croacia,02.06.2026 16:00,Football / World / Friendly International,Croatia,Belgium,0,2,0,52%,0,0,6,2,0%(0/6),21,1,0,0.34,0.13,8,7,2,-0.63,,0,8,52%(11/21),3,85%(201/237),75%(27/36),,2,1,1,0,67%(4/6),7,2,8,0.42,0.37,1,0,61%,1,1,8,1,33%(4/12),24,1,0,0.95,1.05,5,6,1,-0.76,,1,3,65%(11/17),1,89%(268/302),78%(61/78),,2,2,0,1,11%(1/9),10,3,5,0.00,0.24,1,0,48%,0,0,13,0,0%(0/2),18,0,0,0.08,0.27,7,8,1,0.42,,0,7,50%(10/20),1,86%(195/226),61%(27/44),,1,1,3,3,33%(1/3),4,4,9,0.37,0.42,0,1,39%,2,1,11,4,33%(2/6),19,0,0,0.66,0.65,6,5,0,0.00,,1,5,48%(12/25),1,79%(151/190),58%(29/50),,2,2,1,2,60%(3/5),8,4,10,0.24,0.00,2
A3LetXFE,croacia,01.04.2026 00:00,Football / World / Friendly International,Brazil,Croatia,3,1,2,59%,1,4,5,2,0%(0/8),22,0,0,0.73,1.14,8,7,1,0.12,,0,1,67%(12/18),1,93%(262/281),81%(43/53),,4,1,4,5,80%(4/5),6,9,10,1.52,0.12,1,1,33%,3,1,12,0,0%(0/2),27,1,0,0.21,1.04,4,6,1,-0.65,,0,4,59%(10/17),0,83%(141/169),45%(9/20),,4,0,3,0,80%(12/15),6,4,7,1.03,0.35,0,0,41%,0,2,8,1,33%(3/9),18,0,1,0.32,0.27,7,8,3,0.52,,0,2,47%(9/19),0,90%(174/193),86%(31/36),,3,1,1,1,100%(6/6),5,4,6,0.12,1.52,2,0,67%,1,2,3,1,10%(1/10),19,0,0,0.34,0.69,6,4,1,-0.97,,0,3,55%(11/20),0,93%(324/347),85%(62/73),,2,4,2,6,88%(7/8),9,8,7,0.35,1.03,1
hbcgcMmg,croacia,26.03.2026 23:30,Football / World / Friendly International,Colombia,Croatia,1,2,0,60%,1,1,6,1,29%(2/7),15,1,0,1.47,1.63,1,5,1,-0.91,0,1,1,63%(12/19),2,93%(299/320),87%(96/110),,7,4,3,1,29%(2/7),8,8,13,1.15,1.09,0,1,56%,1,2,5,5,9%(1/11),25,0,0,0.39,0.44,6,13,0,0.00,,0,2,75%(21/28),1,87%(251/287),78%(66/85),,4,2,2,2,29%(2/7),11,6,9,0.04,0.00,0,0,40%,1,3,11,3,25%(2/8),12,0,1,0.32,0.72,5,1,2,0.15,1,0,3,50%(7/14),1,92%(189/205),92%(24/26),,6,2,3,2,100%(6/6),5,8,13,1.09,1.15,1,1,44%,1,2,17,1,0%(0/2),14,0,0,0.39,0.50,13,6,2,0.04,,2,7,46%(13/28),0,85%(201/236),63%(20/32),,3,2,0,1,33%(2/6),5,4,6,0.00,0.04,2
OU5qCXKO,croacia,17.11.2025 19:45,Football / Europe / World Championship - Qualification,Montenegro,Croatia,2,3,0,37%,0,0,18,2,40%(2/5),23,0,1,0.06,0.29,11,10,1,0.03,,0,2,58%(14/24),2,76%(96/127),47%(9/19),,3,2,3,2,43%(3/7),4,5,4,0.58,1.03,2,0,37%,1,1,8,3,33%(3/9),21,1,1,0.36,0.69,6,6,3,-0.48,,1,1,46%(17/37),0,79%(125/158),54%(21/39),,1,4,2,6,33%(3/9),7,7,7,0.98,1.52,1,0,63%,3,4,8,2,33%(4/12),26,1,0,0.68,1.70,10,11,1,-1.42,,0,1,50%(8/16),0,86%(187/217),71%(40/56),,8,3,2,1,80%(4/5),5,9,18,1.03,0.58,1,0,63%,2,1,14,1,25%(3/12),25,0,0,0.53,1.00,6,6,2,0.98,,1,3,73%(19/26),0,92%(251/274),84%(87/103),,6,2,5,2,50%(4/8),10,8,23,1.52,0.98,0
jH7yEgjC,croacia,14.11.2025 19:45,Football / Europe / World Championship - Qualification,Croatia,Faroe Islands,3,1,0,80%,0,4,4,7,24%(4/17),28,0,0,0.54,0.73,2,7,1,-0.24,,0,4,69%(18/26),1,88%(274/313),79%(102/129),,6,5,2,5,50%(4/8),6,11,20,0.57,0.76,0,2,81%,5,0,10,4,27%(4/15),18,0,0,1.53,1.95,7,4,2,0.35,,2,0,69%(18/26),0,88%(291/331),82%(136/166),,8,7,2,1,,13,9,27,1.25,0.35,0,0,20%,1,0,29,0,100%(1/1),10,0,0,0.06,0.26,7,2,1,-0.43,,0,2,21%(6/28),1,46%(37/80),24%(5/21),,1,0,2,1,0%(0/2),8,2,3,0.76,0.57,1,0,19%,2,0,27,2,17%(1/6),16,0,0,0.07,0.19,4,7,0,-0.75,,0,10,27%(6/22),0,58%(42/73),44%(8/18),,2,0,2,0,,5,2,6,0.35,1.25,1
dIESFFLa,croacia,12.10.2025 18:45,Football / Europe / World Championship - Qualification,Croatia,Gibraltar,3,0,1,83%,2,1,2,7,,26,0,0,1.11,1.66,3,6,0,0.00,1,1,0,89%(16/18),1,90%(285/317),87%(156/180),,10,8,4,3,63%(5/8),9,13,34,2.21,0.00,,0,78%,3,3,3,11,,20,0,0,1.56,2.04,4,1,0,0.00,1,0,1,80%(20/25),5,88%(260/296),83%(122/147),,12,6,6,3,50%(2/4),7,15,43,2.39,0.00,,0,17%,0,0,24,0,,20,0,1,0.00,0.05,6,3,3,1.21,0,0,4,40%(10/25),2,49%(34/70),25%(3/12),,0,1,0,1,38%(3/8),4,1,0,0.00,2.21,,0,22%,0,0,28,0,,17,0,0,0.01,0.00,1,4,3,0.39,0,0,5,39%(11/28),0,62%(57/92),50%(12/24),,0,0,0,0,33%(1/3),4,0,0,0.00,2.39,
lhBKHyim,croacia,09.10.2025 18:45,Football / Europe / World Championship - Qualification,Czech Republic,Croatia,0,0,0,46%,0,2,7,2,17%(1/6),23,0,0,0.31,0.28,8,5,0,0.00,,0,7,42%(11/26),4,77%(134/174),64%(41/64),,2,1,2,3,78%(7/9),7,5,13,0.43,0.00,,0,38%,0,2,23,3,44%(4/9),37,0,0,0.42,0.35,9,3,2,0.09,,0,3,50%(15/30),0,68%(89/130),65%(32/49),,3,4,0,3,73%(11/15),12,6,8,0.00,0.09,0,0,54%,0,0,13,1,17%(1/6),37,0,0,0.18,0.20,5,8,2,0.43,,0,8,52%(17/33),0,79%(164/207),48%(15/31),,2,2,0,0,45%(5/11),11,2,4,0.00,0.43,,1,62%,3,4,17,5,7%(1/14),22,0,0,0.50,0.57,3,9,0,0.00,,0,3,30%(7/23),0,84%(178/211),81%(46/57),,3,2,2,5,67%(2/3),17,8,14,0.09,0.00,2
4KZmNcTP,croacia,08.09.2025 18:45,Football / Europe / World Championship - Qualification,Croatia,Montenegro,4,0,1,74%,0,3,6,3,33%(4/12),22,0,0,0.58,0.51,5,4,0,0.00,,0,2,74%(14/19),2,90%(309/345),78%(97/124),0,7,7,2,5,63%(5/8),13,12,17,0.37,0.00,1,3,75%,6,3,8,4,27%(3/11),19,0,0,2.78,2.81,5,2,1,0.04,,0,6,78%(14/18),0,89%(319/359),88%(216/246),,15,6,11,5,60%(3/5),8,20,51,3.94,0.04,,0,26%,0,0,12,0,0%(0/4),14,0,0,0.02,0.00,4,5,1,-0.63,,0,6,30%(10/33),1,63%(77/123),39%(7/18),1,0,0,0,0,40%(2/5),6,0,2,0.00,0.37,3,0,25%,0,1,14,3,25%(1/4),18,0,0,0.08,0.16,2,5,8,1.94,,0,1,30%(10/33),1,62%(69/112),63%(19/30),,1,1,1,2,67%(2/3),4,3,3,0.04,3.94,
xEs2afyJ,croacia,05.09.2025 18:45,Football / Europe / World Championship - Qualification,Faroe Islands,Croatia,0,1,0,19%,1,0,32,1,33%(2/6),29,0,0,0.22,0.95,7,3,3,0.37,0,0,7,35%(7/20),1,60%(52/87),43%(13/30),,2,1,2,1,57%(8/14),5,3,6,0.51,1.37,,0,34%,0,1,18,2,0%(0/12),26,0,0,0.07,0.10,5,5,5,1.87,,0,2,44%(11/25),1,72%(94/130),64%(35/55),,2,1,1,1,75%(6/8),12,3,8,0.06,1.87,2,0,81%,2,5,10,7,15%(4/26),23,0,0,1.05,1.53,3,7,2,0.51,1,1,1,48%(10/21),1,91%(327/361),85%(113/133),,11,6,4,4,50%(1/2),9,15,23,1.37,0.51,,1,66%,1,4,22,10,42%(8/19),30,0,0,1.82,1.12,5,5,1,0.06,,0,3,55%(12/22),1,89%(222/249),84%(46/55),,11,3,4,0,100%(3/3),12,11,21,1.87,0.06,1
