match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
GvuTpll2,curazao,local,23/29 (79%),Shankland L.Striker,5,0.51,9.2,1/1 (100%),6,8,39
GvuTpll2,curazao,local,58/59 (98%),Robertson A.Fullback,2,0.08,8.6,-,2,2,78
GvuTpll2,curazao,local,49/54 (91%),Christie R.Winger,11,0.85,8.4,0/1 (0%),3,8,75
GvuTpll2,curazao,local,66/69 (96%),McLean K.Midfielder,7,0.03,8.4,0/1 (0%),1,1,83
GvuTpll2,curazao,local,32/35 (91%),Curtis F.Midfielder,6,0.10,8.3,1/1 (100%),1,4,49
GvuTpll2,curazao,local,8/10 (80%),Dykes L.Forward,-,0.13,7.8,-,2,3,15
GvuTpll2,curazao,local,16/18 (89%),Chong T.Midfielder,17,0.28,7.1,4/7 (57%),2,1,39
GvuTpll2,curazao,local,29/31 (94%),Hickey A.Fullback,8,-,7.1,1/2 (50%),-,1,49
GvuTpll2,curazao,local,33/38 (87%),Fletcher T.Midfielder,4,-,7.0,-,-,-,42
GvuTpll2,curazao,local,22/22 (100%),Hanley G.Defender,4,-,7.0,-,-,-,30
GvuTpll2,curazao,local,24/24 (100%),Hyam D.Defender,6,-,6.9,-,-,-,30
GvuTpll2,curazao,local,31/35 (89%),Obispo A.Centre back,5,-,6.9,1/1 (100%),-,1,46
GvuTpll2,curazao,local,48/54 (89%),Souttar J.Centre back,4,-,6.9,-,-,-,58
GvuTpll2,curazao,local,34/39 (87%),Gilmour B.Midfielder,4,-,6.8,0/1 (0%),-,-,44
GvuTpll2,curazao,local,35/37 (95%),McKenna S.Centre back,6,-,6.8,-,-,-,42
GvuTpll2,curazao,local,29/33 (88%),Patterson N.Defender,3,0.05,6.8,-,1,3,48
GvuTpll2,curazao,local,16/21 (76%),Gannon-Doak B.Winger,8,-,6.7,3/5 (60%),-,3,38
GvuTpll2,curazao,local,15/38 (39%),Room E.Goalkeeper,1,-,6.7,-,-,-,53
GvuTpll2,curazao,local,18/21 (86%),Bazoer R.Centre back,2,-,6.6,-,-,-,28
GvuTpll2,curazao,local,4/5 (80%),Hirst G.Striker,5,0.24,6.6,1/2 (50%),2,4,12
GvuTpll2,curazao,local,3/3 (100%),Antonisse J.Forward,1,0.03,6.5,-,1,-,13
GvuTpll2,curazao,local,11/13 (85%),Ralston A.Defender,2,-,6.5,-,-,-,16
GvuTpll2,curazao,local,7/9 (78%),Kastaneer G.Forward,11,-,6.4,-,-,-,18
GvuTpll2,curazao,local,2/5 (40%),Wilson J.Forward,1,-,6.4,-,-,2,8
GvuTpll2,curazao,local,11/11 (100%),Gordon C.Goalkeeper,-,-,6.3,-,-,-,13
GvuTpll2,curazao,local,1/1 (100%),Kelly L.Goalkeeper,-,-,6.3,-,-,-,3
GvuTpll2,curazao,local,4/5 (80%),Noslin T.Defender,4,0.11,6.3,0/1 (0%),2,1,16
GvuTpll2,curazao,local,4/5 (80%),Roemeratoe G.Midfielder,1,-,6.1,-,-,-,9
GvuTpll2,curazao,local,19/23 (83%),Bacuna L.Midfielder,6,0.03,6.0,0/1 (0%),1,-,31
GvuTpll2,curazao,local,12/15 (80%),Bacuna J.Midfielder,13,0.01,5.9,1/2 (50%),1,1,38
GvuTpll2,curazao,local,21/23 (91%),Comenencia L.Midfielder,5,-,5.9,1/2 (50%),-,2,32
GvuTpll2,curazao,local,28/32 (88%),Floranus S.Wingback,5,-,5.9,2/3 (67%),-,-,50
GvuTpll2,curazao,local,15/20 (75%),Fonville D.Wingback,8,0.25,5.8,1/2 (50%),2,2,41
GvuTpll2,curazao,local,37/43 (86%),Gaari J.Centre back,4,-,4.8,-,-,-,51
GvuTpll2,curazao,local,6/10 (60%),Locadia J.Striker,3,-,3.9,-,-,3,12
WrPF5sAt,curazao,local,46/69 (67%),King R.Centre back,12,0.02,8.0,3/4 (75%),1,-,93
