match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
hnYs0nU6,ecuador,local,10/13 (77%),Angulo N.Forward,5,0.52,7.7,0/1 (0%),1,1,17
hnYs0nU6,ecuador,local,25/29 (86%),Arevalo J.Attacking midfielder,4,0.22,7.6,2/3 (67%),1,3,35
hnYs0nU6,ecuador,local,52/55 (95%),Franco A.Centre back,4,-,7.6,-,-,3,67
hnYs0nU6,ecuador,local,53/53 (100%),Ordonez J.Defender,-,-,7.6,-,-,-,58
hnYs0nU6,ecuador,local,67/70 (96%),Caicedo M.Midfielder,4,-,7.5,0/1 (0%),-,-,77
hnYs0nU6,ecuador,local,9/9 (100%),Estupinan P.Defender,2,0.07,7.4,0/1 (0%),1,1,15
hnYs0nU6,ecuador,local,19/24 (79%),Medina Y.Wingback,8,0.07,7.4,1/1 (100%),2,2,44
hnYs0nU6,ecuador,local,77/82 (94%),Porozo J.Centre back,12,0.07,7.4,-,1,3,95
hnYs0nU6,ecuador,local,57/63 (90%),Alcivar J.Midfielder,1,0.01,7.3,-,1,-,68
hnYs0nU6,ecuador,local,37/41 (90%),Valencia A.Midfielder,5,0.09,7.3,1/1 (100%),1,1,57
hnYs0nU6,ecuador,local,31/36 (86%),Minda A.Wingback,5,0.32,7.2,2/2 (100%),2,4,46
hnYs0nU6,ecuador,local,45/50 (90%),Torres F.Centre back,3,0.10,7.1,0/1 (0%),2,2,56
hnYs0nU6,ecuador,local,43/47 (91%),Paez K.Striker,3,0.05,7.0,0/1 (0%),2,1,55
hnYs0nU6,ecuador,local,62/67 (93%),Vite P.Midfielder,2,-,7.0,-,-,-,71
hnYs0nU6,ecuador,local,9/15 (60%),Galindez H.Goalkeeper,-,-,6.7,-,-,-,15
hnYs0nU6,ecuador,local,39/41 (95%),Hincapie P.Defender,1,0.18,6.7,-,1,1,46
hnYs0nU6,ecuador,local,6/6 (100%),Caicedo J.Striker,3,0.79,6.6,-,1,1,11
hnYs0nU6,ecuador,local,24/26 (92%),Preciado A.Defender,2,0.14,6.6,1/1 (100%),2,5,40
hnYs0nU6,ecuador,local,18/21 (86%),Yeboah J.Midfielder,3,-,6.5,1/3 (33%),-,1,28
hnYs0nU6,ecuador,local,29/30 (97%),Hernandez M.Centre back,3,-,6.4,-,-,-,40
hnYs0nU6,ecuador,local,5/9 (56%),Recinos A.Defender,1,-,6.4,-,-,-,12
hnYs0nU6,ecuador,local,13/14 (93%),Evans M.Midfielder,7,-,6.3,1/3 (33%),-,-,30
hnYs0nU6,ecuador,local,6/6 (100%),Fajardo W.Midfielder,8,0.04,6.3,-,1,-,18
hnYs0nU6,ecuador,local,27/31 (87%),Herrera A.Wingback,5,-,6.3,0/3 (0%),-,1,57
hnYs0nU6,ecuador,local,3/4 (75%),Ordonez A.Forward,5,-,6.3,2/2 (100%),-,2,11
hnYs0nU6,ecuador,local,6/8 (75%),Plata G.Forward,-,-,6.3,-,-,-,8
hnYs0nU6,ecuador,local,2/2 (100%),Valle G.Goalkeeper,-,-,6.3,-,-,-,2
hnYs0nU6,ecuador,local,6/8 (75%),Escobar O.Midfielder,1,-,6.2,0/1 (0%),-,-,11
hnYs0nU6,ecuador,local,11/12 (92%),Mendez J.Midfielder,1,-,6.2,-,-,-,18
hnYs0nU6,ecuador,local,27/29 (93%),Rosales J.Midfielder,2,-,6.2,-,-,-,37
hnYs0nU6,ecuador,local,41/45 (91%),Pinto J.Centre back,5,-,6.1,-,-,-,56
hnYs0nU6,ecuador,local,54/69 (78%),Samayoa N.Centre back,3,-,6.0,-,-,-,85
hnYs0nU6,ecuador,local,30/36 (83%),Franco J.Midfielder,6,-,5.6,-,-,-,45
hnYs0nU6,ecuador,local,31/43 (72%),Hagen N.Goalkeeper,-,-,5.4,-,-,-,49
hnYs0nU6,ecuador,local,2/8 (25%),Lom D.Striker,14,0.18,5.4,0/3 (0%),1,2,25
hnYs0nU6,ecuador,local,25/33 (76%),Morales J.Wingback,6,0.05,4.6,0/1 (0%),1,-,45
hnYs0nU6,ecuador,local,-,Castellanos O.Defender,-,-,-,-,-,-,-
hnYs0nU6,ecuador,local,3/3 (100%),Ramirez K.Midfielder,-,-,-,-,-,-,3
