match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
hnYs0nU6,ecuador,07.06.2026 20:00,Football / World / Friendly International,Ecuador,Guatemala,3,0,,1,69%,2,4,4,4,29%(4/14),23,0,1,0.93,1.72,7,1,0,0.00,,2,6,56%(10/18),0,89%(340/380),81%(121/149),,9,4,4,3,80%(8/10),4,12,19,1.02,0.00,2,0,65%,3,1,2,2,,12,0,0,0.43,0.93,4,2,0,0.00,1,0,7,41%(7/17),2,93%(350/378),85%(100/118),,4,3,2,2,71%(5/7),7,6,10,1.72,0.00,1,0,31%,0,1,20,0,33%(1/3),15,0,0,0.19,0.22,1,7,2,0.02,,0,5,30%(6/20),0,82%(145/176),70%(19/27),,1,1,0,1,75%(3/4),4,2,3,0.00,1.02,1,0,35%,0,0,11,0,,16,1,0,0.07,0.05,2,4,0,-0.28,0,0,5,38%(6/16),1,83%(170/206),57%(13/23),,0,1,0,1,78%(7/9),6,1,2,0.00,1.72,0
zXYgLzxo,ecuador,31.05.2026 00:00,Football / World / Friendly International,Ecuador,Saudi Arabia,2,1,,0,39%,1,1,9,0,33%(1/3),15,0,0,0.36,0.53,7,6,1,0.40,1,0,8,43%(10/23),0,80%(156/194),77%(17/22),,3,1,3,2,86%(6/7),6,5,4,1.18,0.40,1,0,45%,2,0,7,2,0%(0/7),20,0,0,0.28,0.89,9,5,0,-0.81,,0,5,68%(13/19),2,91%(192/212),84%(42/50),,3,3,3,3,83%(5/6),9,6,7,1.15,0.19,0,1,61%,2,1,5,0,0%(0/3),34,0,1,0.71,1.03,6,7,2,0.18,0,0,7,53%(10/19),0,84%(252/299),67%(46/69),,5,5,1,2,65%(13/20),14,7,10,0.40,1.18,0,0,55%,1,1,7,2,25%(1/4),30,1,0,0.15,0.18,5,9,2,0.15,,0,5,67%(16/24),0,83%(214/258),69%(35/51),,3,3,1,2,54%(7/13),9,5,9,0.19,1.15,1
2PWJ81Ur,ecuador,31.03.2026 18:45,Football / World / Friendly International,Netherlands,Ecuador,1,1,,0,33%,1,0,10,1,33%(1/3),25,0,3,0.14,0.02,3,11,2,0.64,,0,4,35%(8/23),2,73%(108/148),57%(16/28),1,0,0,1,1,75%(6/8),4,1,3,0.03,1.64,0,0,23%,0,1,12,1,0%(0/1),21,0,0,0.03,0.11,3,5,0,0.00,,0,3,48%(10/21),0,69%(68/99),41%(13/32),,1,0,0,0,56%(5/9),5,1,1,0.00,0.00,0,0,67%,2,1,8,1,14%(1/7),17,0,1,0.45,1.15,11,3,1,0.03,,1,3,20%(3/15),2,89%(264/296),81%(89/110),0,3,2,3,3,0%(0/6),10,6,6,1.64,0.03,1,0,77%,0,5,12,9,23%(3/13),20,0,0,0.73,0.43,5,3,0,0.00,,0,3,56%(9/16),1,92%(291/316),87%(122/141),,5,5,0,5,50%(3/6),6,10,20,0.00,0.00,1
v17JEQCb,ecuador,27.03.2026 20:15,Football / World / Friendly International,Morocco,Ecuador,1,1,,1,52%,0,2,7,0,0%(0/2),23,0,2,0.46,0.31,7,11,1,0.05,,0,3,35%(6/17),0,89%(231/261),88%(35/40),,3,4,0,3,100%(8/8),5,6,4,0.00,0.05,,0,55%,2,3,20,2,14%(1/7),29,0,0,0.25,1.06,8,6,0,-0.46,1,0,4,55%(6/11),3,89%(181/203),74%(35/47),,3,0,3,3,71%(5/7),6,6,13,1.50,0.54,1,0,48%,1,1,7,1,50%(2/4),21,0,1,0.29,0.36,11,7,0,0.00,,0,5,57%(13/23),1,89%(213/240),71%(29/41),,3,4,1,3,67%(6/9),7,6,7,0.05,0.00,,0,45%,0,0,7,0,25%(1/4),21,0,0,0.23,0.13,6,8,2,0.50,0,0,2,21%(6/29),0,77%(127/166),55%(18/33),,2,1,1,0,20%(2/10),6,2,11,0.54,1.50,0
pAyQLUqL,ecuador,19.11.2025 01:30,Football / World / Friendly International,Ecuador,New Zealand,2,0,,0,72%,0,2,1,3,17%(2/12),25,0,0,0.55,0.50,6,6,1,0.45,,0,3,56%(18/32),0,85%(262/309),75%(67/89),,3,5,1,5,67%(6/9),11,8,11,0.01,0.45,1,0,73%,2,6,3,5,7%(1/14),15,0,0,0.61,2.19,1,4,1,0.02,,1,1,69%(27/39),0,88%(293/334),76%(77/101),,9,3,7,7,71%(5/7),8,16,23,2.56,0.02,,0,28%,0,1,13,1,50%(3/6),18,0,0,0.13,0.12,6,6,1,0.01,,0,5,13%(3/24),0,58%(67/116),36%(14/39),,3,2,1,1,100%(8/8),6,4,3,0.45,0.01,0,0,27%,0,4,20,2,0%(0/4),13,0,0,0.05,0.34,4,1,6,0.56,,0,7,47%(8/17),0,77%(96/124),50%(11/22),,3,1,1,3,80%(4/5),1,6,3,0.02,2.56,
fPhfOq77,ecuador,14.11.2025 00:30,Football / World / Friendly International,Canada,Ecuador,0,0,,0,21%,1,1,13,3,14%(1/7),24,0,0,0.30,0.53,5,9,0,0.00,,0,3,32%(6/19),0,63%(50/80),41%(12/29),1,2,1,1,1,40%(4/10),7,3,8,0.63,0.00,,0,28%,0,1,9,1,20%(1/5),27,0,0,0.09,0.13,4,11,0,0.00,,0,5,43%(10/23),3,70%(74/106),71%(20/28),,1,0,0,0,70%(7/10),11,1,2,0.00,0.00,1,0,79%,0,0,13,2,17%(1/6),16,0,0,0.22,0.05,9,5,1,0.63,,0,3,48%(11/23),0,91%(308/340),67%(37/55),0,1,1,0,0,83%(5/6),5,1,5,0.00,0.63,,0,72%,2,1,8,0,50%(3/6),18,0,0,0.53,0.37,11,4,0,0.00,,0,5,43%(9/21),0,89%(256/289),65%(37/57),,2,3,0,1,50%(4/8),10,4,10,0.00,0.00,3
GlhFgpml,ecuador,15.10.2025 02:30,Football / World / Friendly International,Mexico,Ecuador,1,1,,0,59%,3,2,2,3,33%(2/6),23,0,0,0.84,1.20,3,7,1,-0.10,,0,3,62%(21/34),0,85%(190/224),70%(30/43),,6,4,3,3,67%(8/12),11,9,15,0.39,0.90,0,0,49%,0,1,8,2,50%(2/4),23,0,0,0.21,0.14,8,7,3,0.26,,0,9,39%(7/18),0,81%(168/208),70%(32/46),,3,2,1,1,55%(6/11),12,4,7,0.09,0.26,2,0,41%,1,0,8,1,0%(0/2),13,1,1,0.03,0.83,7,3,2,-0.61,,0,5,43%(9/21),0,82%(127/154),52%(13/25),,2,1,2,1,57%(4/7),7,3,7,0.90,0.39,1,0,51%,1,0,6,4,17%(1/6),20,0,0,0.15,0.23,7,8,1,0.09,,0,1,50%(16/32),1,80%(169/211),61%(20/33),,2,1,3,2,33%(2/6),11,4,5,0.26,0.09,3
W8ChQ1he,ecuador,11.10.2025 00:30,Football / World / Friendly International,USA,Ecuador,1,1,,0,66%,0,3,5,7,29%(4/14),17,0,0,0.58,0.57,4,5,0,-0.13,,1,6,54%(13/24),3,89%(227/256),84%(43/51),,5,1,2,1,100%(4/4),4,6,15,1.01,0.87,2,0,66%,1,1,11,1,0%(0/6),22,0,0,0.83,0.52,5,8,3,0.82,,0,4,35%(6/17),0,87%(289/333),76%(58/76),,3,1,3,2,88%(7/8),8,5,10,1.21,0.82,0,0,34%,0,1,9,1,0%(0/2),13,0,0,0.05,0.34,5,4,3,1.01,,0,5,41%(13/32),1,76%(105/139),40%(10/25),,2,2,1,2,57%(4/7),5,4,6,0.87,1.01,0,0,34%,0,1,9,3,25%(2/8),21,1,0,0.19,0.15,8,5,2,0.21,,0,9,28%(8/29),1,73%(120/165),47%(18/38),,2,0,3,2,63%(5/8),10,4,4,0.82,1.21,2
G8AUQJEc,ecuador,09.09.2025 23:00,Football / South America / World Championship - Qualification - Round 18,Ecuador,Argentina,1,0,,2,61%,3,3,9,2,40%(2/5),17,0,0,0.71,1.50,8,5,0,0.00,,0,2,44%(7/16),2,89%(209/235),67%(33/49),0,5,2,3,3,33%(2/6),12,8,9,1.37,0.00,3,0,31%,1,0,15,0,,21,0,0,0.05,0.19,5,5,0,0.00,,0,8,42%(11/26),0,82%(150/183),68%(25/37),1,2,2,1,1,55%(6/11),5,3,2,0.22,0.00,1,0,39%,0,1,12,3,14%(1/7),23,0,0,0.11,0.08,5,8,2,0.37,,0,3,50%(11/22),1,85%(126/148),58%(14/24),1,1,2,0,2,44%(4/9),2,3,2,0.00,1.37,1,0,69%,0,3,4,5,,21,0,1,0.52,0.33,5,5,1,0.22,,0,3,70%(14/20),0,91%(362/398),84%(117/139),0,2,2,0,3,50%(3/6),8,5,11,0.00,0.22,2
feDcOQha,ecuador,04.09.2025 23:30,Football / South America / World Championship - Qualification - Round 17,Paraguay,Ecuador,0,0,,0,40%,1,1,8,5,0%(0/9),32,0,0,0.24,0.46,7,4,1,0.01,,0,3,35%(9/26),1,68%(78/114),40%(12/30),,2,0,2,1,60%(6/10),10,3,6,0.39,0.01,1,0,36%,0,2,6,1,33%(3/9),25,0,0,0.14,0.17,8,4,0,0.00,,1,7,33%(8/24),0,72%(98/136),53%(20/38),,2,1,1,2,75%(9/12),6,4,5,0.04,0.00,2,0,60%,0,3,13,1,25%(1/4),21,0,0,0.06,0.08,4,7,2,0.39,,0,1,32%(6/19),2,83%(151/183),67%(18/27),,1,0,1,3,63%(5/8),7,4,3,0.01,0.39,0,0,64%,1,1,12,0,0%(0/3),28,0,0,0.13,0.16,4,8,1,0.04,,0,6,47%(8/17),0,87%(221/254),64%(14/22),,2,1,0,0,43%(3/7),9,2,3,0.00,0.04,1
