match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
r3s2pV84,egipto,local,33/35 (94%),Bruno GuimaraesMidfielder,6,0.18,8.2,1/2 (50%),1,1,45
r3s2pV84,egipto,local,8/12 (67%),EndrickForward,3,0.41,7.8,-,2,4,17
r3s2pV84,egipto,local,46/46 (100%),IbanezCentre back,5,-,7.8,-,-,-,57
r3s2pV84,egipto,local,19/23 (83%),RaphinhaAttacking midfielder,9,0.10,7.5,0/6 (0%),2,6,41
r3s2pV84,egipto,local,30/38 (79%),Shobeir O.Goalkeeper,2,-,7.5,-,-,-,53
r3s2pV84,egipto,local,33/39 (85%),DaniloDefender,7,-,7.4,-,-,-,59
r3s2pV84,egipto,local,12/18 (67%),Danilo SantosMidfielder,7,-,7.1,1/2 (50%),-,1,25
r3s2pV84,egipto,local,34/37 (92%),Douglas SantosCentre back,1,-,7.0,-,-,2,49
r3s2pV84,egipto,local,7/10 (70%),Vinicius JuniorWinger,6,1.18,6.9,2/3 (67%),2,3,20
r3s2pV84,egipto,local,44/48 (92%),Ibrahim Y.Centre back,6,-,6.8,-,-,-,62
r3s2pV84,egipto,local,26/26 (100%),Leo PereiraDefender,1,-,6.8,-,-,-,31
r3s2pV84,egipto,local,7/15 (47%),WevertonGoalkeeper,-,-,6.8,-,-,-,18
r3s2pV84,egipto,local,17/23 (74%),CasemiroMidfielder,5,0.31,6.7,-,1,1,27
r3s2pV84,egipto,local,24/27 (89%),Lucas PaquetaAttacking midfielder,3,0.03,6.7,0/1 (0%),1,1,35
r3s2pV84,egipto,local,27/27 (100%),BremerDefender,3,-,6.6,-,-,-,31
r3s2pV84,egipto,local,14/18 (78%),Cunha M.Forward,5,0.06,6.6,-,1,2,26
r3s2pV84,egipto,local,22/24 (92%),FabinhoMidfielder,5,-,6.6,-,-,1,30
r3s2pV84,egipto,local,35/40 (88%),Fathy H.Centre back,5,-,6.6,-,-,-,52
r3s2pV84,egipto,local,10/11 (91%),Ashour E.Midfielder,1,0.04,6.5,1/1 (100%),1,-,13
r3s2pV84,egipto,local,9/12 (75%),Luiz HenriqueForward,3,-,6.5,1/2 (50%),-,3,22
r3s2pV84,egipto,local,16/18 (89%),Salah M.Forward,5,0.06,6.5,1/2 (50%),1,1,26
r3s2pV84,egipto,local,3/7 (43%),Thiago I.Striker,3,0.22,6.5,-,2,3,13
r3s2pV84,egipto,local,10/10 (100%),Hafez K.Defender,3,-,6.4,-,-,-,15
r3s2pV84,egipto,local,4/7 (57%),Martinelli G.Forward,2,-,6.4,-,-,1,8
r3s2pV84,egipto,local,7/9 (78%),Adel I.Forward,5,-,6.3,1/3 (33%),-,1,16
r3s2pV84,egipto,local,6/8 (75%),Alaa T.Midfielder,1,-,6.3,-,-,-,11
r3s2pV84,egipto,local,8/8 (100%),Alex SandroDefender,1,-,6.3,-,-,-,12
r3s2pV84,egipto,local,42/43 (98%),MarquinhosCentre back,1,-,6.3,-,-,-,47
r3s2pV84,egipto,local,6/7 (86%),Wesley FrancaWinger,1,-,6.3,-,-,-,8
r3s2pV84,egipto,local,8/10 (80%),Ziko M.Attacking midfielder,6,0.28,6.3,-,1,-,20
r3s2pV84,egipto,local,33/33 (100%),Abdelmonem M.Defender,3,-,6.1,-,-,-,39
r3s2pV84,egipto,local,50/64 (78%),Attia M.Midfielder,5,-,6.1,-,-,1,73
r3s2pV84,egipto,local,15/18 (83%),TrezeguetWinger,3,-,6.1,0/1 (0%),-,-,23
r3s2pV84,egipto,local,7/9 (78%),AlissonGoalkeeper,-,-,6.0,-,-,-,11
r3s2pV84,egipto,local,11/12 (92%),Hassan H.Winger,2,-,6.0,0/1 (0%),-,-,16
r3s2pV84,egipto,local,32/44 (73%),Hany M.Fullback,8,-,5.9,1/2 (50%),-,1,59
r3s2pV84,egipto,local,33/36 (92%),Lasheen M.Midfielder,9,-,5.9,-,-,-,45
r3s2pV84,egipto,local,18/20 (90%),Marmoush O.Striker,11,-,5.9,1/4 (25%),-,7,37
r3s2pV84,egipto,local,29/40 (73%),Fatouh A.Fullback,1,0.02,5.5,-,1,3,48
r3s2pV84,egipto,local,0/1 (0%),Abdelkarim H.Forward,1,-,-,-,-,-,3
r3s2pV84,egipto,local,7/7 (100%),ZizoForward,-,0.03,-,-,1,-,8
4nleUY9m,egipto,local,42/52 (81%),Chukwueze S.Winger,18,0.14,7.7,2/4 (50%),1,4,83
4nleUY9m,egipto,local,27/33 (82%),Shobeir O.Goalkeeper,-,-,7.4,-,-,-,47
4nleUY9m,egipto,local,23/24 (96%),Osayi-Samuel B.Fullback,5,-,7.3,1/2 (50%),-,-,48
4nleUY9m,egipto,local,52/58 (90%),Fathy H.Centre back,13,-,7.1,-,-,2,76
4nleUY9m,egipto,local,44/48 (92%),Ajayi S.Centre back,3,-,7.0,-,-,1,56
4nleUY9m,egipto,local,43/49 (88%),Hany M.Fullback,9,-,6.9,1/2 (50%),-,1,64
4nleUY9m,egipto,local,18/23 (78%),Nwabali S.Goalkeeper,-,-,6.9,-,-,-,28
4nleUY9m,egipto,local,34/39 (87%),Onyemaechi B.Fullback,5,-,6.9,-,-,1,57
4nleUY9m,egipto,local,39/40 (98%),Rabia R.Centre back,6,-,6.9,-,-,2,55
4nleUY9m,egipto,local,33/40 (83%),Sobhi K.Fullback,9,-,6.9,0/2 (0%),-,1,59
4nleUY9m,egipto,local,25/27 (93%),Iwobi A.Midfielder,-,-,6.8,-,-,-,34
4nleUY9m,egipto,local,43/46 (93%),Lasheen M.Midfielder,5,-,6.8,1/1 (100%),-,-,62
4nleUY9m,egipto,local,39/43 (91%),Ogbu I.Centre back,6,-,6.8,-,-,-,53
4nleUY9m,egipto,local,43/51 (84%),Onyedika R.Midfielder,6,0.02,6.7,1/2 (50%),1,-,62
4nleUY9m,egipto,local,17/21 (81%),Simon M.Winger,15,0.02,6.7,4/6 (67%),1,2,46
4nleUY9m,egipto,local,48/55 (87%),Ashour E.Attacking midfielder,9,0.02,6.5,0/2 (0%),1,-,79
4nleUY9m,egipto,local,32/33 (97%),Dele-Bashiru F.Midfielder,5,-,6.5,1/3 (33%),-,1,42
4nleUY9m,egipto,local,30/36 (83%),ZizoMidfielder,4,-,6.4,1/1 (100%),-,1,46
4nleUY9m,egipto,local,7/9 (78%),Adel I.Forward,1,-,6.3,-,-,-,11
4nleUY9m,egipto,local,13/16 (81%),Lookman A.Forward,4,-,6.3,0/2 (0%),-,3,24
4nleUY9m,egipto,local,14/16 (88%),TrezeguetWinger,10,0.02,6.3,0/2 (0%),1,-,28
4nleUY9m,egipto,local,5/7 (71%),Adams A.Striker,5,0.02,6.2,0/2 (0%),1,4,16
4nleUY9m,egipto,local,14/14 (100%),Saber M.Midfielder,3,-,6.2,1/1 (100%),-,1,21
4nleUY9m,egipto,local,4/7 (57%),Onuachu P.Striker,10,-,5.9,0/1 (0%),-,-,17
4nleUY9m,egipto,local,7/9 (78%),Marmoush O.Forward,4,-,5.7,0/1 (0%),-,1,18
4nleUY9m,egipto,local,8/12 (67%),Mostafa MohamedStriker,9,-,5.7,0/1 (0%),-,-,21
4nleUY9m,egipto,local,27/42 (64%),Salah M.Winger,1,0.26,5.7,-,3,3,51
4nleUY9m,egipto,local,1/1 (100%),Awaziem C.Defender,1,-,-,-,-,-,3
4nleUY9m,egipto,local,1/1 (100%),Ejuke C.Forward,-,-,-,-,-,-,2
pEDFPKdt,egipto,local,35/41 (85%),Mane S.Winger,22,0.05,7.8,2/11 (18%),1,3,80
pEDFPKdt,egipto,local,71/84 (85%),Diatta K.Fullback,7,0.01,7.5,1/1 (100%),1,-,104
pEDFPKdt,egipto,local,53/60 (88%),Gueye I.Midfielder,9,-,7.1,-,-,-,68
pEDFPKdt,egipto,local,66/69 (96%),Niakhate M.Centre back,4,-,7.1,-,-,-,74
pEDFPKdt,egipto,local,27/38 (71%),Abdelmaguid H.Centre back,8,-,7.0,2/2 (100%),-,1,58
pEDFPKdt,egipto,local,33/40 (83%),Diouf M.Fullback,9,-,7.0,0/2 (0%),-,-,74
pEDFPKdt,egipto,local,19/27 (70%),Ibrahim Y.Centre back,13,-,7.0,-,-,-,49
