match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
r3s2pV84,egipto,06.06.2026 22:00,Football / World / Friendly International,Brazil,Egypt,2,1,,0,57%,4,1,10,3,11%(1/9),18,1,0,0.51,2.02,7,3,0,-0.76,,0,3,64%(7/11),0,89%(227/256),64%(37/58),,9,2,6,0,73%(8/11),7,9,14,2.10,0.24,1,0,45%,1,2,6,2,0%(0/5),21,0,0,0.40,0.46,3,7,1,0.02,,0,4,48%(12/25),0,83%(181/217),64%(41/64),,3,0,1,0,40%(4/10),9,3,15,0.84,0.02,,0,43%,1,0,12,1,0%(0/2),20,1,0,0.03,0.28,3,7,4,1.10,,0,2,52%(16/31),0,79%(154/194),50%(14/28),,0,0,1,1,43%(3/7),8,1,1,0.24,2.10,1,0,55%,0,2,8,2,0%(0/1),18,0,0,0.30,0.14,7,3,0,-0.16,,0,7,61%(14/23),1,88%(240/273),80%(59/74),,1,1,1,3,71%(5/7),8,4,13,0.02,0.84,
lILzY6G6,egipto,28.05.2026 18:00,Football / World / Friendly International,Egypt,Russia,1,0,,0,56%,1,0,11,1,33%(2/6),19,0,0,0.37,0.42,7,6,0,0.00,,0,5,53%(16/30),1,85%(239/280),69%(44/64),,2,3,0,1,88%(7/8),12,3,8,0.00,0.00,0,0,51%,2,1,12,4,22%(2/9),21,0,0,0.72,0.70,6,13,1,0.10,1,0,4,44%(8/18),1,87%(163/187),76%(25/33),,5,3,4,3,50%(1/2),7,8,9,0.90,0.10,1,0,44%,0,1,9,4,14%(1/7),21,0,0,0.06,0.05,6,7,0,0.00,,0,4,42%(11/26),1,84%(179/214),57%(21/37),,0,1,0,2,63%(5/8),10,2,3,0.00,0.00,1,0,49%,2,2,9,2,33%(2/6),15,0,0,0.33,0.47,13,6,3,-0.10,0,0,6,78%(18/23),1,87%(155/179),72%(38/53),,5,3,1,1,88%(7/8),8,6,12,0.10,0.90,1
Op2f19Yr,egipto,31.03.2026 19:00,Football / World / Friendly International,Spain,Egypt,0,0,,3,52%,0,3,2,5,0%(0/11),16,0,1,0.61,0.35,7,4,1,0.09,,0,2,61%(11/18),1,90%(282/313),76%(65/85),,4,1,1,1,25%(1/4),8,5,17,0.07,0.09,,2,72%,4,8,5,6,,29,0,0,1.53,2.15,4,5,0,0.00,,1,7,75%(6/8),1,92%(314/341),86%(130/151),0,14,7,5,6,46%(6/13),8,20,32,1.66,0.00,0,0,48%,0,1,11,0,0%(0/2),27,0,1,0.05,0.10,4,7,1,0.07,,1,6,52%(13/25),0,88%(258/294),61%(19/31),,0,1,1,3,77%(10/13),5,3,1,0.09,0.07,,0,28%,0,0,28,0,,20,0,0,0.01,0.05,5,4,5,1.66,,0,5,41%(11/27),0,76%(107/141),50%(6/12),1,0,1,0,1,71%(5/7),10,1,0,0.00,1.66,5
KjQUOcYo,egipto,27.03.2026 17:30,Football / World / Friendly International,Saudi Arabia,Egypt,0,4,,0,68%,1,1,2,3,13%(1/8),14,0,0,0.17,0.31,5,4,2,-0.44,0,0,1,64%(14/22),0,89%(321/362),70%(62/88),,3,2,0,0,83%(5/6),8,3,8,0.00,2.56,1,0,52%,0,3,9,1,0%(0/5),25,1,0,0.10,0.08,7,9,2,-0.76,,0,2,71%(22/31),1,84%(183/218),62%(38/61),,0,1,0,4,83%(10/12),13,4,5,0.00,0.24,1,1,32%,3,0,12,0,50%(1/2),14,0,0,0.67,0.80,4,5,0,0.00,1,0,7,71%(15/21),2,85%(148/174),80%(37/46),,4,1,5,2,75%(3/4),8,6,13,2.56,0.00,0,0,48%,0,3,9,1,0%(0/4),22,0,0,0.22,0.42,9,7,0,0.00,,0,3,64%(14/22),3,89%(178/201),75%(24/32),,3,1,3,4,63%(5/8),16,7,9,0.24,0.00,0
4nleUY9m,egipto,17.01.2026 16:00,Football / Africa / Africa Cup of Nations - Play Offs - 3rd place,Egypt,Nigeria,0,0,,0,60%,2,1,10,2,0%(0/8),23,0,0,0.49,0.20,8,10,2,-0.35,0,0,2,57%(12/21),0,86%(206/239),74%(37/50),,2,0,1,0,78%(7/9),9,2,9,0.19,0.65,0,0,47%,0,1,15,0,100%(1/1),21,0,0,0.10,0.09,7,6,2,0.02,,0,4,48%(12/25),3,85%(186/220),69%(41/59),,0,2,0,3,50%(6/12),5,3,3,0.00,0.02,0,0,40%,2,1,13,2,9%(1/11),26,0,0,0.14,0.16,10,8,1,0.19,1,0,4,59%(13/22),1,86%(134/155),64%(23/36),,2,0,2,0,67%(6/9),9,3,9,0.65,0.19,2,0,53%,0,0,4,2,0%(0/10),13,0,0,0.73,0.04,6,7,0,0.00,,0,6,61%(11/18),3,87%(207/238),71%(52/73),,0,0,2,2,75%(3/4),12,2,7,0.02,0.00,1
pEDFPKdt,egipto,14.01.2026 17:00,Football / Africa / Africa Cup of Nations - Play Offs - Semi-finals,Senegal,Egypt,1,0,,0,70%,0,0,5,2,11%(1/9),21,0,0,0.13,0.07,5,6,0,0.00,,0,2,61%(19/31),1,89%(239/269),76%(34/45),,1,2,2,3,71%(5/7),13,4,5,0.20,0.00,2,1,58%,0,4,10,4,0%(0/11),23,0,0,0.27,0.26,5,5,1,0.05,,0,3,67%(16/24),0,86%(229/265),77%(75/98),,2,2,2,6,67%(4/6),12,8,10,0.22,0.05,,0,30%,0,0,14,0,0%(0/2),24,0,1,0.03,0.00,6,5,2,0.20,,0,2,16%(3/19),1,65%(73/113),62%(13/21),,0,0,0,0,45%(5/11),11,0,0,0.00,0.20,1,0,42%,0,1,14,1,60%(3/5),29,0,0,0.24,0.12,5,5,1,-0.78,,0,3,43%(19/44),0,74%(142/192),64%(30/47),,1,1,1,2,62%(8/13),12,3,9,0.05,0.22,
4xgGM7WG,egipto,10.01.2026 19:00,Football / Africa / Africa Cup of Nations - Play Offs - Quarter-finals,Egypt,Ivory Coast,3,2,,0,30%,1,0,15,1,25%(1/4),26,0,0,0.15,0.39,4,6,1,0.05,1,0,8,47%(8/17),2,82%(111/135),65%(15/23),,2,1,2,1,54%(7/13),8,3,4,0.71,0.05,,1,28%,1,1,26,2,0%(0/2),33,0,0,0.57,0.39,6,9,2,0.42,,0,2,32%(7/22),0,69%(72/105),44%(8/18),,2,0,2,1,71%(10/14),10,3,4,0.93,1.42,2,0,70%,1,4,5,3,42%(5/12),26,1,0,0.75,0.45,6,4,0,-1.29,0,0,4,67%(12/18),1,90%(285/316),74%(58/78),,5,1,1,1,67%(6/9),9,6,14,0.05,0.71,,0,72%,2,2,4,4,18%(3/17),24,0,0,0.82,0.72,9,6,1,-0.07,,0,2,43%(9/21),0,90%(230/256),82%(67/82),,5,2,3,2,38%(3/8),15,7,11,1.42,0.93,0
EwiKzhK6,egipto,05.01.2026 16:00,Football / Africa / Africa Cup of Nations - Play Offs - 1/8-finals,Egypt,Benin,3,1,,1,58%,1,1,15,0,17%(1/6),29,0,0,0.53,0.14,7,6,1,0.01,,0,4,63%(12/19),2,87%(224/257),73%(48/66),,2,0,1,0,58%(7/12),11,2,14,0.00,0.01,2,0,57%,2,0,18,4,0%(0/8),27,0,1,0.19,0.81,3,7,2,0.24,,0,7,34%(10/29),1,82%(197/239),65%(45/69),,3,1,4,2,50%(6/12),8,5,9,0.70,1.24,1,0,42%,0,0,13,0,0%(0/4),30,0,0,0.06,0.05,6,7,0,0.00,,0,6,34%(11/32),0,78%(149/190),59%(20/34),,0,1,1,2,38%(5/13),5,2,8,0.01,0.00,1,0,43%,2,2,11,4,0%(0/9),18,0,0,0.10,1.11,7,3,2,-0.30,,0,3,38%(10/26),0,76%(133/176),47%(24/51),,3,0,2,1,82%(9/11),12,4,6,1.24,0.70,0
foMDDYSb,egipto,29.12.2025 16:00,Football / Africa / Africa Cup of Nations - Round 3,Angola,Egypt,0,0,,0,38%,1,1,18,2,15%(2/13),28,0,0,0.14,0.37,9,5,0,0.00,,0,5,35%(8/23),0,67%(88/132),54%(26/48),,5,3,3,2,55%(6/11),8,7,14,0.18,0.00,1,0,51%,0,1,13,2,14%(2/14),30,0,0,0.17,0.39,6,6,2,0.26,,1,5,52%(11/21),0,83%(156/189),84%(53/63),,2,7,1,7,44%(4/9),7,9,9,0.07,0.26,0,0,62%,1,0,16,1,9%(1/11),32,0,0,0.08,0.51,5,9,3,0.18,,0,5,44%(15/34),1,78%(183/236),52%(24/46),,2,2,0,0,14%(1/7),12,2,6,0.00,0.18,1,0,49%,1,0,10,1,0%(0/5),26,0,0,0.18,0.11,6,6,2,0.07,,0,5,44%(15/34),1,74%(141/191),66%(37/56),,1,1,2,2,60%(6/10),9,3,7,0.26,0.07,1
8fmeeiDU,egipto,26.12.2025 15:00,Football / Africa / Africa Cup of Nations - Round 2,Egypt,South Africa,1,0,,0,48%,1,0,5,2,17%(1/6),15,0,0,0.09,0.89,5,6,1,0.25,,0,3,48%(12/25),0,86%(166/194),64%(23/36),1,1,1,1,1,33%(2/6),10,2,4,0.92,0.25,2,1,26%,0,1,40,2,20%(1/5),32,0,0,0.17,0.13,5,3,5,1.14,,0,4,53%(17/32),0,69%(79/115),69%(20/29),,3,1,2,1,47%(9/19),8,4,4,0.05,1.14,,0,52%,0,0,5,0,0%(0/4),13,0,0,0.04,0.04,6,5,0,-0.08,,0,2,52%(13/25),2,86%(187/217),48%(11/23),0,1,0,1,0,60%(3/5),7,1,2,0.25,0.92,3,2,74%,1,3,5,7,13%(3/24),29,0,0,1.36,0.71,3,5,2,0.05,,0,4,55%(12/22),2,90%(288/320),82%(120/147),,6,9,5,11,64%(7/11),11,17,22,1.14,0.05,
