match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
hQSR9x0K,escocia,local,10/13 (77%),Adams C.Striker,4,0.62,9.3,1/1 (100%),5,7,24
hQSR9x0K,escocia,local,40/40 (100%),McTominay S.Midfielder,8,0.25,8.0,2/3 (67%),2,3,51
hQSR9x0K,escocia,local,9/11 (82%),Shankland L.Striker,6,0.43,7.9,-,2,4,20
hQSR9x0K,escocia,local,13/15 (87%),Gannon-Doak B.Winger,12,0.19,7.7,1/3 (33%),3,3,37
hQSR9x0K,escocia,local,10/13 (77%),McGinn J.Midfielder,8,0.05,7.5,4/4 (100%),2,5,25
hQSR9x0K,escocia,local,20/23 (87%),Gunn A.Goalkeeper,-,-,7.2,-,-,-,28
hQSR9x0K,escocia,local,26/29 (90%),Tierney K.Defender,-,-,7.1,-,-,-,38
hQSR9x0K,escocia,local,7/10 (70%),Curtis F.Midfielder,7,-,6.9,1/2 (50%),-,1,20
hQSR9x0K,escocia,local,19/23 (83%),Christie R.Winger,6,0.13,6.8,0/2 (0%),2,3,36
hQSR9x0K,escocia,local,6/7 (86%),Ralston A.Defender,1,-,6.8,-,-,-,13
hQSR9x0K,escocia,local,37/44 (84%),Fernandez R.Fullback,13,-,6.7,1/2 (50%),-,-,71
hQSR9x0K,escocia,local,25/27 (93%),Hickey A.Fullback,2,-,6.7,-,-,2,41
hQSR9x0K,escocia,local,16/18 (89%),Robertson A.Fullback,3,0.64,6.7,-,1,3,29
hQSR9x0K,escocia,local,48/52 (92%),Hanley G.Centre back,-,0.10,6.6,-,1,2,59
hQSR9x0K,escocia,local,2/4 (50%),Hirst G.Forward,5,0.07,6.6,-,1,1,10
hQSR9x0K,escocia,local,7/9 (78%),McLean K.Midfielder,2,-,6.6,-,-,-,11
hQSR9x0K,escocia,local,40/42 (95%),Ferguson L.Midfielder,7,-,6.3,-,-,2,49
hQSR9x0K,escocia,local,43/44 (98%),Hendry J.Centre back,-,-,6.3,-,-,1,46
hQSR9x0K,escocia,local,20/23 (87%),Melgar C. A.Defender,8,0.08,6.3,0/1 (0%),2,-,35
hQSR9x0K,escocia,local,30/33 (91%),MiguelitoStriker,6,0.07,6.3,2/3 (67%),2,-,50
hQSR9x0K,escocia,local,7/10 (70%),Torrez M.Defender,3,0.04,6.3,-,1,-,16
