match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
hQSR9x0K,escocia,06.06.2026 20:00,Football / World / Friendly International,Bolivia,Scotland,0,4,0,55%,0,2,8,3,0%(0/8),21,0,0,0.12,0.08,7,6,3,-1.35,0,0,3,55%(11/20),1,90%(220/244),85%(44/52),,0,0,1,3,56%(5/9),7,3,0,0.07,2.65,1,0,52%,0,1,7,0,0%(0/1),15,0,0,0.10,0.14,6,10,1,0.07,,0,4,20%(2/10),1,90%(221/246),60%(15/25),,0,1,2,4,100%(4/4),5,4,1,0.10,0.07,2,0,45%,3,2,6,1,50%(3/6),17,0,0,1.23,1.66,6,7,1,0.07,1,0,7,62%(13/21),0,90%(180/199),78%(31/40),,7,3,7,5,75%(3/4),11,12,18,2.65,0.07,0,0,48%,2,3,6,5,50%(4/8),24,0,1,0.87,1.46,10,6,2,0.10,,0,2,76%(16/21),0,89%(195/218),73%(35/48),,8,4,1,0,86%(6/7),9,8,20,0.07,0.10,1
GvuTpll2,escocia,30.05.2026 12:00,Football / World / Friendly International,Scotland,Curacao,4,1,1,62%,1,0,6,1,13%(2/15),27,0,0,0.85,0.41,8,8,0,-0.21,,0,2,74%(14/19),0,89%(274/308),76%(78/102),0,4,3,2,1,71%(5/7),10,5,14,0.95,0.79,0,1,72%,2,2,6,7,33%(7/21),18,0,1,1.50,1.58,9,3,2,0.35,,0,6,92%(11/12),0,93%(261/282),91%(97/107),,10,2,9,3,88%(7/8),11,13,25,3.23,0.35,2,0,38%,1,0,17,0,33%(1/3),20,0,0,0.21,0.24,8,8,1,-0.05,,0,4,45%(18/40),0,82%(154/188),72%(26/36),1,1,1,1,1,33%(2/6),9,2,5,0.79,0.95,1,0,28%,0,2,5,2,50%(3/6),21,0,1,0.32,0.47,3,9,6,0.23,,0,2,33%(9/27),0,72%(81/112),47%(9/19),,3,3,2,4,67%(2/3),4,7,6,0.35,3.23,1
OQQVWHwC,escocia,31.03.2026 18:30,Football / World / Friendly International,Scotland,Ivory Coast,0,1,0,45%,1,2,6,3,17%(1/6),18,0,1,0.17,0.90,2,4,3,-0.17,,1,3,40%(8/20),0,91%(283/310),81%(30/37),,4,2,2,2,50%(1/2),9,6,7,0.83,0.18,,0,51%,0,2,10,4,28%(5/18),24,0,0,1.22,0.02,7,5,0,0.61,,0,8,36%(4/11),0,85%(152/178),68%(57/84),,6,4,2,2,,4,8,15,0.00,1.26,,0,55%,0,1,9,1,0%(0/3),13,0,1,0.17,0.40,4,2,1,-0.17,,0,5,57%(17/30),0,88%(228/258),68%(43/63),,4,3,3,3,60%(6/10),6,7,8,0.18,0.83,,0,49%,2,3,18,4,25%(2/8),22,0,0,1.31,1.61,5,7,0,0.39,,2,3,46%(13/28),1,92%(273/298),144%(23/16),,4,2,0,1,,10,5,7,1.26,0.00,
rDRLnAJk,escocia,28.03.2026 17:00,Football / World / Friendly International,Scotland,Japan,0,1,0,45%,1,0,15,0,50%(2/4),12,0,2,0.36,0.65,3,4,4,0.42,,1,3,33%(9/27),0,83%(231/279),42%(8/19),,2,1,1,0,80%(4/5),9,2,3,0.25,0.42,,0,45%,0,1,15,3,25%(2/8),25,0,0,0.18,0.24,4,12,2,-0.54,,0,5,50%(10/20),0,83%(179/216),69%(25/36),,4,3,2,2,75%(3/4),4,6,7,0.19,0.46,0,0,55%,1,2,5,6,33%(4/12),23,0,0,0.64,1.27,4,3,1,0.25,,1,7,39%(9/23),0,89%(306/343),73%(52/71),,9,5,4,2,56%(5/9),7,11,16,0.42,0.25,,2,55%,2,1,11,2,22%(2/9),20,0,0,0.67,0.86,12,4,2,0.19,,0,5,27%(6/22),1,86%(229/265),73%(48/66),,6,3,3,1,100%(5/5),7,7,16,0.46,0.19,2
IF1lMyQr,escocia,18.11.2025 19:45,Football / Europe / World Championship - Qualification,Scotland,Denmark,4,2,0,21%,0,0,15,0,17%(1/6),31,0,0,0.16,0.18,9,8,0,0.00,,0,10,29%(8/28),1,60%(61/101),50%(18/36),,1,0,1,0,58%(7/12),9,1,5,0.90,0.00,0,0,41%,2,3,23,2,30%(3/10),26,0,0,0.27,1.58,6,4,1,0.37,,0,2,47%(9/19),0,80%(127/158),63%(15/24),0,6,2,4,3,86%(12/14),7,9,9,1.29,2.37,1,0,79%,1,4,6,5,25%(5/20),31,0,0,0.80,0.84,8,9,0,-0.10,,0,2,53%(10/19),1,89%(337/377),81%(81/100),,5,6,0,5,67%(6/9),7,10,17,0.00,0.90,2,0,59%,1,3,14,4,23%(3/13),30,1,0,0.83,1.35,4,6,1,-1.71,,0,5,35%(8/23),0,87%(199/230),85%(86/101),1,5,2,3,3,82%(9/11),12,8,23,2.37,1.29,1
buW8sMn2,escocia,15.11.2025 19:45,Football / Europe / World Championship - Qualification,Greece,Scotland,3,2,0,57%,1,3,7,3,20%(2/10),26,0,0,0.60,1.36,4,9,1,0.58,,0,1,41%(9/22),0,88%(248/282),77%(50/65),,10,2,6,1,75%(6/8),9,11,15,1.70,0.58,0,0,39%,0,1,20,3,33%(2/6),22,0,1,0.20,0.57,5,5,2,-0.24,0,1,4,32%(9/28),1,75%(121/161),67%(20/30),1,5,2,4,2,44%(4/9),8,7,9,0.62,1.76,2,0,43%,2,1,8,4,67%(6/9),27,0,2,0.46,0.91,9,4,5,0.70,,1,4,37%(7/19),1,84%(175/208),50%(18/36),,4,3,1,1,43%(3/7),5,5,11,0.58,1.70,2,0,61%,4,1,8,4,33%(6/18),20,0,0,1.26,1.45,5,5,2,-1.38,1,0,2,40%(10/25),1,85%(204/240),75%(54/72),0,6,1,5,1,33%(1/3),14,7,25,1.76,0.62,1
8AcLnHOs,escocia,12.10.2025 16:00,Football / Europe / World Championship - Qualification,Scotland,Belarus,2,1,1,56%,2,1,12,4,7%(1/15),24,0,0,0.61,0.76,6,6,2,0.39,,0,1,62%(18/29),0,88%(222/252),77%(55/71),,4,1,3,1,60%(3/5),11,5,16,1.25,0.39,,0,54%,1,0,13,3,36%(4/11),21,0,1,0.42,0.47,4,8,0,-0.49,,0,1,29%(7/24),2,82%(177/215),61%(33/54),,3,4,3,4,100%(3/3),12,7,16,0.48,0.51,0,0,44%,0,2,17,3,30%(3/10),22,0,0,0.17,0.26,6,6,2,0.25,,0,5,47%(15/32),0,82%(164/199),65%(30/46),,3,4,2,5,50%(3/6),11,8,9,0.39,1.25,,0,46%,1,9,10,3,43%(6/14),23,0,0,0.45,1.02,8,4,2,-0.52,,0,4,59%(13/22),0,88%(162/184),85%(46/54),,11,4,1,3,29%(2/7),3,14,19,0.51,0.48,2
Gz1Tpegf,escocia,09.10.2025 18:45,Football / Europe / World Championship - Qualification,Scotland,Greece,3,1,0,41%,0,2,10,1,25%(1/4),18,0,0,0.07,0.06,6,10,1,0.15,,0,6,41%(9/22),0,86%(189/219),54%(15/28),,1,0,0,1,100%(2/2),6,2,5,0.00,0.15,0,0,22%,2,1,17,3,30%(3/10),21,0,0,0.24,1.24,6,9,1,0.20,,0,4,65%(13/20),0,76%(58/76),69%(18/26),,6,2,3,0,33%(1/3),2,6,10,1.73,1.20,2,0,59%,1,2,7,1,0%(0/7),18,0,0,0.15,1.10,10,6,0,0.00,,0,2,52%(14/27),2,91%(290/319),76%(52/68),,3,2,1,2,60%(3/5),7,5,11,0.15,0.00,2,0,78%,0,3,7,3,15%(2/13),17,1,0,0.80,0.57,9,6,0,-1.27,,0,2,71%(20/28),1,91%(263/289),80%(67/84),,6,5,2,4,67%(2/3),9,10,17,1.20,1.73,2
pGhpsDhJ,escocia,08.09.2025 18:45,Football / Europe / World Championship - Qualification,Belarus,Scotland,0,2,0,18%,0,0,16,1,56%(5/9),21,0,0,0.16,0.24,6,7,2,0.13,,0,3,31%(10/32),2,59%(47/80),42%(8/19),,3,1,2,0,50%(3/6),10,3,7,0.63,1.13,,0,35%,0,0,13,1,0%(0/8),25,0,0,0.04,0.09,8,3,4,0.98,,0,4,45%(15/33),0,77%(140/182),56%(24/43),,1,2,1,2,58%(7/12),7,3,1,0.01,0.98,2,0,82%,1,2,9,1,27%(4/15),28,0,0,1.06,1.32,7,6,2,0.63,,1,1,76%(19/25),0,92%(368/398),83%(66/80),,6,2,3,1,67%(2/3),9,7,20,1.13,0.63,,0,65%,3,0,9,1,50%(3/6),26,0,0,0.62,0.83,3,8,1,0.01,,0,3,41%(12/29),1,86%(305/356),71%(72/102),,5,2,5,2,75%(3/4),9,7,15,0.98,0.01,1
8tjqDbmS,escocia,05.09.2025 18:45,Football / Europe / World Championship - Qualification,Denmark,Scotland,0,0,0,71%,1,4,11,5,19%(4/21),25,0,1,0.44,0.63,8,7,0,0.00,,0,2,59%(13/22),0,88%(276/312),76%(63/83),,3,0,1,2,63%(5/8),6,5,9,0.18,0.00,1,0,77%,0,5,12,8,22%(6/27),20,0,0,0.88,0.56,4,8,1,0.09,,0,2,59%(10/17),2,92%(267/290),90%(125/139),,6,5,1,5,50%(2/4),13,11,19,0.09,0.09,2,0,29%,0,1,20,1,33%(3/9),29,0,0,0.37,0.27,7,8,1,0.18,,0,6,37%(11/30),0,70%(90/129),64%(30/47),,3,4,0,2,25%(1/4),3,5,6,0.00,0.18,2,0,23%,0,3,32,3,33%(4/12),24,0,0,0.25,0.35,8,4,1,0.09,,0,4,44%(11/25),1,67%(55/82),69%(29/42),,6,2,1,0,100%(6/6),11,6,17,0.09,0.09,3
