match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
ph1aAT9e,espana,local,45/45 (100%),PedriMidfielder,4,0.91,8.4,1/1 (100%),1,1,52
ph1aAT9e,espana,local,11/16 (69%),Velez J.Striker,10,0.66,7.8,2/2 (100%),1,2,28
ph1aAT9e,espana,local,79/80 (99%),Cubarsi P.Centre back,-,-,7.5,-,-,-,80
ph1aAT9e,espana,local,26/34 (76%),Lopez M.Fullback,6,0.06,7.5,1/4 (25%),1,1,51
ph1aAT9e,espana,local,18/21 (86%),Torres F.Winger,4,0.69,7.5,1/2 (50%),2,6,31
ph1aAT9e,espana,local,57/60 (95%),RodriMidfielder,3,-,7.4,-,-,-,62
ph1aAT9e,espana,local,6/9 (67%),Oyarzabal M.Striker,2,0.28,7.2,-,2,3,14
ph1aAT9e,espana,local,50/50 (100%),Garcia E.Defender,3,-,7.0,-,-,-,54
ph1aAT9e,espana,local,15/15 (100%),GaviMidfielder,3,-,7.0,-,-,2,18
ph1aAT9e,espana,local,55/56 (98%),Laporte A.Centre back,1,-,7.0,-,-,-,60
ph1aAT9e,espana,local,12/12 (100%),Simon U.Goalkeeper,-,-,6.9,-,-,-,19
ph1aAT9e,espana,local,19/21 (90%),Olmo D.Midfielder,7,0.04,6.8,2/3 (67%),1,5,30
ph1aAT9e,espana,local,15/22 (68%),Pino Y.Forward,4,-,6.7,-,-,2,29
ph1aAT9e,espana,local,33/39 (85%),Ruiz F.Midfielder,1,-,6.7,-,-,2,43
ph1aAT9e,espana,local,16/16 (100%),Grimaldo A.Defender,-,0.03,6.6,-,1,1,24
ph1aAT9e,espana,local,3/4 (75%),Iglesias B.Forward,1,-,6.6,-,-,2,7
ph1aAT9e,espana,local,11/12 (92%),Merino M.Midfielder,1,-,6.6,0/1 (0%),-,-,16
ph1aAT9e,espana,local,16/16 (100%),Porro P.Defender,3,-,6.6,-,-,1,22
ph1aAT9e,espana,local,27/29 (93%),Pubill M.Defender,2,-,6.6,-,-,-,33
ph1aAT9e,espana,local,55/59 (93%),Llorente M.Fullback,2,-,6.5,-,-,-,71
