match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
ph1aAT9e,espana,09.06.2026 02:00,Football / World / Friendly International,Peru,Spain,1,3,2,35%,1,2,7,2,50%(1/2),6,0,0,0.32,0.42,0,3,0,-0.92,,1,6,52%(13/25),2,88%(173/197),68%(21/31),,4,2,1,1,100%(2/2),8,5,6,0.22,1.08,,1,41%,1,1,9,2,25%(1/4),17,1,0,0.22,0.81,4,4,0,0.00,,0,4,48%(11/23),1,85%(176/208),78%(21/27),,4,3,1,1,80%(4/5),9,5,6,0.92,0.00,1,0,65%,2,0,4,2,0%(0/2),6,0,1,0.89,1.24,3,0,1,0.22,,0,1,75%(18/24),2,93%(345/371),79%(55/70),,3,2,2,1,50%(1/2),10,4,10,1.08,0.22,,0,59%,1,2,5,4,9%(1/11),17,0,0,0.79,0.69,4,4,0,-0.08,,0,2,75%(6/8),1,94%(282/300),83%(63/76),,3,2,0,1,14%(1/7),7,4,17,0.00,0.92,0
4E3Spdio,espana,04.06.2026 19:00,Football / World / Friendly International,Spain,Iraq,1,1,2,72%,2,1,2,3,31%(5/16),21,1,0,0.44,0.76,3,4,0,-0.74,,2,7,61%(11/18),2,89%(325/367),71%(60/84),,6,2,4,1,75%(6/8),7,7,18,1.05,0.26,2,0,60%,1,2,8,2,22%(2/9),25,0,0,0.72,0.66,5,6,1,0.26,,0,3,69%(11/16),2,93%(291/314),82%(60/73),,2,4,0,4,64%(9/14),4,6,7,0.00,0.26,0,0,28%,0,0,21,0,0%(0/3),9,0,0,0.02,0.12,4,3,3,0.05,,0,6,42%(8/19),1,81%(117/145),74%(17/23),,0,1,1,2,40%(2/5),7,2,1,0.26,1.05,0,0,40%,0,0,6,3,0%(0/9),18,0,0,0.05,0.09,6,5,0,0.00,,0,2,58%(18/31),0,85%(170/201),68%(25/37),,1,0,1,0,63%(5/8),7,1,4,0.26,0.00,2
Op2f19Yr,espana,31.03.2026 19:00,Football / World / Friendly International,Spain,Egypt,0,0,3,52%,0,3,2,5,0%(0/11),16,0,1,0.61,0.35,7,4,1,0.09,,0,2,61%(11/18),1,90%(282/313),76%(65/85),,4,1,1,1,25%(1/4),8,5,17,0.07,0.09,,2,72%,4,8,5,6,,29,0,0,1.53,2.15,4,5,0,0.00,,1,7,75%(6/8),1,92%(314/341),86%(130/151),0,14,7,5,6,46%(6/13),8,20,32,1.66,0.00,0,0,48%,0,1,11,0,0%(0/2),27,0,1,0.05,0.10,4,7,1,0.07,,1,6,52%(13/25),0,88%(258/294),61%(19/31),,0,1,1,3,77%(10/13),5,3,1,0.09,0.07,,0,28%,0,0,28,0,,20,0,0,0.01,0.05,5,4,5,1.66,,0,5,41%(11/27),0,76%(107/141),50%(6/12),1,0,1,0,1,71%(5/7),10,1,0,0.00,1.66,5
xMtre3GO,espana,27.03.2026 20:00,Football / World / Friendly International,Spain,Serbia,3,0,0,72%,0,1,7,2,0%(0/4),20,0,0,0.60,0.43,7,3,1,0.02,,1,2,53%(9/17),2,92%(339/370),82%(112/136),,3,3,3,4,40%(2/5),7,7,22,0.35,0.02,,0,71%,2,1,10,3,25%(1/4),9,0,0,0.67,0.91,5,5,1,0.04,,0,4,65%(13/20),0,94%(403/429),83%(82/99),,7,1,5,0,33%(1/3),6,7,15,1.43,0.04,,0,28%,0,0,11,1,0%(0/6),18,0,0,0.04,0.05,3,7,1,-1.65,,0,6,46%(11/24),0,78%(108/139),48%(10/21),,1,0,1,0,100%(4/4),8,1,5,0.02,0.35,,1,29%,0,0,7,0,25%(1/4),17,0,1,0.34,0.06,5,5,4,0.43,,0,6,56%(18/32),1,82%(144/176),41%(13/32),,1,0,1,0,86%(6/7),8,1,6,0.04,1.43,
Eu6koqaB,espana,18.11.2025 19:45,Football / Europe / World Championship - Qualification,Spain,Turkey,2,2,0,78%,2,4,0,4,33%(3/9),11,0,0,1.05,1.11,2,4,1,-0.16,,0,3,56%(9/16),1,92%(407/441),78%(119/152),,8,3,5,4,67%(2/3),8,12,23,1.04,0.84,0,0,67%,3,1,7,2,15%(2/13),16,0,0,0.54,1.47,3,4,4,-0.10,,0,2,83%(5/6),2,92%(298/325),85%(104/123),,8,4,4,1,40%(2/5),8,9,18,1.24,0.90,1,0,22%,1,1,19,1,100%(1/1),11,0,1,0.07,0.62,4,2,4,0.04,,0,7,45%(10/22),1,79%(96/121),71%(12/17),,2,0,2,1,80%(4/5),5,3,4,0.84,1.04,1,0,33%,0,4,20,2,33%(3/9),15,0,1,0.31,0.52,4,3,2,0.24,,0,3,50%(15/30),0,82%(134/163),77%(46/60),,5,1,5,5,57%(4/7),3,10,12,0.90,1.24,4
hQHtm5Ub,espana,15.11.2025 17:00,Football / Europe / World Championship - Qualification,Georgia,Spain,0,4,0,35%,0,1,9,2,0%(0/5),14,0,0,0.15,0.07,4,4,1,-0.17,,0,6,26%(6/23),0,77%(134/173),62%(24/39),,1,0,0,0,71%(5/7),6,1,10,0.00,2.83,,1,43%,0,0,12,2,0%(0/8),16,0,0,0.26,0.21,5,5,2,0.21,0,1,6,59%(13/22),1,91%(207/227),81%(35/43),,2,3,2,3,50%(2/4),6,5,8,0.11,1.21,0,3,65%,4,1,8,2,13%(1/8),13,0,0,1.97,2.61,4,4,0,0.00,,1,4,63%(10/16),0,92%(304/332),79%(70/89),,5,1,4,1,80%(4/5),8,6,16,2.83,0.00,,0,57%,2,3,12,4,31%(4/13),17,0,0,0.78,0.91,5,5,2,0.11,1,0,1,73%(11/15),0,91%(276/302),82%(71/87),,7,2,3,1,60%(3/5),10,8,18,1.21,0.11,1
nTEYlRan,espana,14.10.2025 18:45,Football / Europe / World Championship - Qualification,Spain,Bulgaria,4,0,0,83%,4,8,4,6,10%(2/20),12,0,0,1.76,1.99,2,3,0,0.00,1,1,1,94%(15/16),3,94%(454/481),90%(220/245),,15,7,5,5,33%(1/3),12,20,44,1.39,0.00,,0,71%,4,2,0,5,25%(3/12),11,0,0,1.21,1.97,5,3,0,0.00,1,0,2,62%(8/13),0,90%(303/336),82%(100/122),,9,5,6,4,60%(3/5),5,13,22,1.25,0.00,,0,17%,0,0,36,0,0%(0/1),15,0,3,0.01,0.12,3,2,4,0.39,0,0,4,48%(12/25),0,70%(71/102),48%(11/23),,1,1,0,0,43%(3/7),2,1,1,0.00,1.39,,1,29%,1,0,17,0,0%(0/2),17,0,1,0.23,0.26,3,5,4,-0.75,0,0,3,50%(12/24),0,76%(104/137),47%(8/17),,1,2,0,1,25%(1/4),4,2,1,0.00,1.25,
82qOUNEU,espana,11.10.2025 18:45,Football / Europe / World Championship - Qualification,Spain,Georgia,2,0,1,82%,4,2,4,6,,17,0,0,1.96,1.89,4,2,0,0.00,,0,6,80%(20/25),0,93%(359/388),85%(96/113),,8,6,3,3,50%(4/8),11,11,21,1.34,0.00,1,0,84%,6,3,2,4,15%(2/13),28,0,0,0.54,1.94,8,6,1,0.04,,2,5,88%(15/17),2,93%(396/426),85%(117/138),,10,6,4,3,92%(12/13),8,13,25,1.19,0.04,,0,18%,0,0,14,0,,12,0,0,0.02,0.00,2,4,2,0.34,,0,6,35%(9/26),1,63%(57/91),42%(11/26),,0,0,0,0,20%(1/5),6,0,0,0.00,1.34,0,0,16%,0,0,17,0,0%(0/1),21,0,1,0.01,0.01,6,8,2,0.19,,0,4,45%(9/20),0,66%(53/80),50%(8/16),,0,0,1,1,50%(4/8),6,1,0,0.04,1.19,
zkoGWqpI,espana,07.09.2025 18:45,Football / Europe / World Championship - Qualification,Turkey,Spain,0,6,0,44%,0,2,6,2,0%(0/2),17,0,0,0.21,0.12,3,5,5,-1.41,,0,9,54%(14/26),4,86%(195/226),69%(27/39),,2,0,2,2,60%(3/5),10,4,13,0.37,1.59,,0,55%,0,6,6,6,7%(1/14),19,0,0,0.33,0.42,3,4,1,-1.39,,0,3,50%(11/22),1,88%(250/283),80%(74/93),,0,1,0,7,75%(6/8),11,7,12,0.00,1.61,,0,56%,6,2,9,2,0%(0/3),25,0,0,1.19,1.45,5,3,2,0.37,,0,1,50%(9/18),0,88%(258/292),77%(57/74),,12,3,8,1,27%(4/15),12,13,24,1.59,0.37,,3,45%,4,3,22,2,50%(2/4),24,0,1,1.30,1.31,4,3,0,0.00,,0,6,53%(8/15),3,90%(210/233),89%(68/76),,7,1,4,1,45%(5/11),6,8,16,1.61,0.00,
vNi7Y5F5,espana,04.09.2025 18:45,Football / Europe / World Championship - Qualification,Bulgaria,Spain,0,3,0,23%,0,1,22,1,33%(1/3),19,0,0,0.05,0.03,4,4,4,-0.35,0,1,2,34%(10/29),0,70%(73/104),31%(5/16),,2,1,0,0,33%(2/6),7,2,2,0.00,2.65,0,0,22%,0,1,13,0,0%(0/2),29,0,2,0.02,0.07,2,13,4,1.13,,0,2,39%(12/31),4,69%(86/124),51%(19/37),,1,0,0,0,64%(7/11),6,1,1,0.00,1.13,,2,77%,5,2,6,5,18%(2/11),18,0,0,1.46,2.32,4,4,0,0.00,1,0,1,83%(19/23),1,91%(332/366),84%(148/177),,9,4,8,5,100%(2/2),8,14,26,2.65,0.00,1,0,78%,1,5,6,1,25%(1/4),14,0,0,1.03,1.19,13,2,0,0.00,,1,2,76%(13/17),0,93%(421/452),89%(162/183),,7,1,4,3,33%(1/3),12,10,29,1.13,0.00,
