match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error_2nd Half,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
dOR51pNF,estados_unidos,06.06.2026 18:30,Football / World / Friendly International,USA,Germany,1,2,,0,49%,0,4,10,8,22%(2/9),29,0,0,0.37,0.79,6,2,1,0.08,0,0,4,53%(9/17),2,87%(183/211),81%(46/57),,7,6,1,4,68%(13/19),8,11,12,0.10,1.08,,0,58%,0,1,8,2,20%(1/5),23,0,0,0.21,0.20,5,8,1,0.08,,0,10,40%(10/25),1,83%(237/285),68%(44/65),,2,1,3,3,50%(4/8),16,5,8,0.45,1.08,1,0,51%,1,1,5,1,25%(1/4),34,0,1,0.61,0.79,2,6,0,-0.90,1,0,3,52%(14/27),3,87%(199/230),78%(56/72),,2,1,2,2,78%(14/18),15,4,8,1.08,0.10,,0,42%,0,1,8,1,25%(1/4),26,0,0,1.08,0.75,8,5,3,0.45,,0,3,44%(11/25),1,76%(159/208),75%(63/84),,3,5,2,5,64%(7/11),10,8,16,1.08,0.45,3
OCQLSMLE,estados_unidos,31.05.2026 19:30,Football / World / Friendly International,USA,Senegal,3,2,,0,55%,2,5,8,1,25%(1/4),32,0,1,0.76,1.20,11,5,2,-0.08,,0,5,62%(13/21),0,85%(198/233),78%(63/81),,6,1,2,2,50%(5/10),7,8,18,0.95,0.92,,1,38%,3,1,11,3,25%(1/4),24,1,0,0.63,1.42,10,4,0,-0.01,,1,6,16%(3/19),1,77%(117/152),78%(40/51),,8,5,3,1,58%(7/12),8,9,14,1.68,0.99,1,2,45%,2,0,6,3,0%(0/9),22,0,0,1.05,0.97,5,11,0,-1.04,,0,7,47%(9/19),0,84%(153/183),67%(20/30),,3,2,2,1,43%(3/7),12,4,10,0.92,0.95,,0,62%,1,0,5,4,14%(1/7),25,1,1,0.39,0.69,4,10,2,0.68,,0,6,43%(10/23),2,86%(214/248),80%(47/59),,2,2,1,1,50%(3/6),13,3,11,0.99,1.68,0
W4Oz5JT7,estados_unidos,31.03.2026 23:00,Football / World / Friendly International,USA,Portugal,0,2,,0,38%,0,2,12,2,40%(2/5),12,0,0,0.35,0.47,6,2,1,0.17,,0,1,44%(8/18),2,83%(166/199),76%(32/42),,3,4,2,5,33%(2/6),5,8,10,0.56,1.17,1,0,39%,0,1,13,0,33%(1/3),12,0,0,0.16,0.21,9,4,2,0.31,,0,0,42%(8/19),0,82%(154/187),72%(34/47),,1,2,1,3,100%(5/5),8,4,8,0.03,1.31,,0,62%,1,0,7,3,18%(2/11),17,0,1,0.25,0.26,2,6,2,0.56,,0,5,39%(7/18),1,89%(287/324),84%(65/77),,3,1,2,0,75%(6/8),14,3,6,1.17,0.56,1,1,61%,0,1,4,5,0%(0/7),19,0,1,0.40,0.47,4,9,1,0.03,,0,5,50%(13/26),0,88%(256/291),70%(50/71),,3,4,3,5,25%(1/4),10,8,6,1.31,0.03,
AkzS6uae,estados_unidos,28.03.2026 19:30,Football / World / Friendly International,USA,Belgium,2,5,,0,41%,2,1,8,4,50%(4/8),13,0,0,0.44,0.87,2,4,3,-0.46,,0,4,47%(9/19),0,80%(145/182),67%(30/45),,5,3,4,3,83%(5/6),7,8,12,1.54,0.54,1,0,62%,1,0,2,2,18%(2/11),20,0,0,0.41,0.46,6,6,2,-0.50,,0,4,64%(7/11),1,89%(249/279),75%(54/72),,4,3,1,0,89%(8/9),9,4,15,0.85,3.50,1,0,59%,0,5,11,5,50%(4/8),18,0,0,0.33,0.71,4,2,3,0.54,,0,6,62%(18/29),2,87%(231/266),79%(77/98),,6,4,4,7,83%(5/6),7,13,21,0.54,1.54,0,0,38%,3,2,12,1,0%(0/1),21,1,0,0.38,1.63,6,6,0,-0.15,,0,3,52%(12/23),1,83%(148/179),72%(13/18),,8,0,6,0,75%(6/8),5,8,17,3.50,0.85,0
rs11mfPp,estados_unidos,19.11.2025 00:00,Football / World / Friendly International,USA,Uruguay,5,1,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[dat",0,48%,3,3,14,7,36%(4/11),33,0,1,0.88,0.74,10,10,1,-0.61,2,0,13,53%(17/32),2,85%(326/385),66%(65/98),0,7,0,7,3,75%(9/12),12,10,20,3.09,0.39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52%,1,4,14,5,27%(3/11),40,1,0,0.65,0.59,10,10,2,-1.91,0,1,7,61%(27/44),1,83%(353/425),69%(54/78),1,5,3,2,4,80%(12/15),17,9,14,0.39,3.09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rRpNY1Oj,estados_unidos,15.11.2025 22:00,Football / World / Friendly International,USA,Paraguay,2,1,,0,54%,1,2,5,2,14%(1/7),23,0,0,0.52,0.46,11,6,0,-0.02,1,0,4,53%(8/15),0,88%(262/299),71%(63/89),,3,0,2,1,67%(4/6),11,4,8,0.57,0.98,2,0,58%,2,1,18,3,0%(0/5),31,0,0,0.16,0.65,2,5,2,0.11,,0,3,38%(8/21),1,83%(222/268),65%(46/71),0,3,1,2,1,75%(9/12),6,4,15,0.89,0.11,1,0,46%,1,2,12,1,25%(1/4),27,0,0,0.32,0.55,6,11,1,-0.43,1,0,7,60%(21/35),1,87%(219/253),53%(8/15),,2,0,1,1,67%(8/12),8,3,3,0.98,0.57,1,0,42%,0,2,17,7,29%(4/14),20,0,0,0.18,0.15,5,2,0,-0.11,,0,8,47%(15/32),2,72%(134/186),58%(32/55),1,2,1,2,3,60%(6/10),13,5,8,0.11,0.89,2
zsJqSNNr,estados_unidos,15.10.2025 01:00,Football / World / Friendly International,USA,Australia,2,1,,2,70%,1,1,3,2,,16,0,0,0.95,0.42,4,5,0,-0.28,,0,6,63%(15/24),2,88%(295/335),77%(70/91),,3,3,2,3,67%(4/6),10,6,12,0.98,0.72,0,1,58%,3,0,9,1,100%(1/1),19,0,0,0.58,0.90,12,5,2,0.55,,0,2,35%(9/26),1,86%(226/264),68%(27/40),,5,3,2,0,40%(2/5),7,5,9,0.89,0.55,1,0,30%,1,0,6,0,,16,0,0,0.02,0.14,5,4,1,-0.02,,0,6,26%(5/19),2,73%(105/143),36%(9/25),,1,0,1,0,71%(5/7),14,1,3,0.72,0.98,1,0,42%,0,4,6,2,43%(3/7),29,0,0,0.29,0.55,5,12,1,-0.11,,0,3,35%(6/17),2,81%(150/185),67%(36/54),,5,2,2,3,63%(5/8),11,8,5,0.55,0.89,0
W8ChQ1he,estados_unidos,11.10.2025 00:30,Football / World / Friendly International,USA,Ecuador,1,1,,0,66%,0,3,5,7,29%(4/14),17,0,0,0.58,0.57,4,5,0,-0.13,,1,6,54%(13/24),3,89%(227/256),84%(43/51),,5,1,2,1,100%(4/4),4,6,15,1.01,0.87,2,0,66%,1,1,11,1,0%(0/6),22,0,0,0.83,0.52,5,8,3,0.82,,0,4,35%(6/17),0,87%(289/333),76%(58/76),,3,1,3,2,88%(7/8),8,5,10,1.21,0.82,0,0,34%,0,1,9,1,0%(0/2),13,0,0,0.05,0.34,5,4,3,1.01,,0,5,41%(13/32),1,76%(105/139),40%(10/25),,2,2,1,2,57%(4/7),5,4,6,0.87,1.01,0,0,34%,0,1,9,3,25%(2/8),21,1,0,0.19,0.15,8,5,2,0.21,,0,9,28%(8/29),1,73%(120/165),47%(18/38),,2,0,3,2,63%(5/8),10,4,4,0.82,1.21,2
88Gb5U1E,estados_unidos,09.09.2025 23:30,Football / World / Friendly International,USA,Japan,2,0,,0,62%,2,3,6,1,33%(1/3),14,0,1,0.40,0.85,2,6,4,1.42,,0,3,42%(14/33),0,89%(294/331),75%(56/75),,6,1,4,2,67%(2/3),10,8,18,1.05,1.42,1,0,47%,2,1,17,2,0%(0/4),30,0,0,0.94,1.12,6,7,2,0.13,,1,5,38%(8/21),1,85%(193/228),79%(48/61),,9,3,7,2,86%(6/7),6,11,23,2.13,0.13,0,1,38%,1,1,5,3,27%(3/11),23,1,1,0.90,0.88,6,2,3,0.05,,0,3,57%(17/30),2,84%(159/189),79%(30/38),,5,2,4,2,100%(6/6),5,7,12,1.42,1.05,1,0,53%,0,0,15,3,33%(5/15),28,0,0,0.52,0.20,7,6,6,1.13,,1,5,59%(13/22),0,85%(210/246),76%(65/85),,2,2,2,2,91%(10/11),8,4,14,0.13,2.13,1
pzV3qmue,estados_unidos,06.09.2025 21:00,Football / World / Friendly International,USA,South Korea,0,2,,0,52%,0,0,5,1,0%(0/3),15,0,0,0.84,0.28,3,0,1,-0.25,,0,2,31%(5/16),1,88%(278/315),74%(55/74),,1,2,1,2,57%(4/7),12,3,12,0.06,1.75,,1,55%,3,5,11,5,15%(2/13),18,0,0,1.01,1.95,5,4,1,0.32,,1,2,55%(6/11),0,88%(227/259),84%(105/125),,10,5,4,4,40%(2/5),14,14,26,2.14,0.32,1,2,48%,2,0,7,1,0%(0/1),20,0,1,1.08,0.71,0,3,1,0.06,,0,9,64%(16/25),0,90%(265/293),75%(38/51),,4,1,3,0,45%(5/11),7,4,15,1.75,0.06,,0,45%,0,0,17,2,14%(1/7),19,0,0,0.09,0.03,4,5,4,2.14,,0,7,30%(8/27),0,81%(172/213),68%(26/38),,1,0,1,0,10%(1/10),8,1,2,0.32,2.14,0
