match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
h6AZ5xIP,francia,local,51/59 (86%),Olise M.Winger,12,0.53,9.8,3/8 (38%),5,4,89
h6AZ5xIP,francia,local,82/84 (98%),Tchouameni A.Midfielder,7,0.07,8.8,-,2,-,103
h6AZ5xIP,francia,local,54/64 (84%),Mbappe K.Striker,9,1.07,8.0,5/6 (83%),6,17,81
h6AZ5xIP,francia,local,95/100 (95%),Upamecano D.Centre back,7,0.19,8.0,-,2,1,107
h6AZ5xIP,francia,local,75/81 (93%),Rabiot A.Midfielder,7,0.02,7.6,0/1 (0%),1,1,89
h6AZ5xIP,francia,local,45/48 (94%),Doue D.Winger,6,0.08,7.4,2/6 (33%),1,4,66
h6AZ5xIP,francia,local,51/55 (93%),Hernandez T.Fullback,6,0.04,7.4,-,2,3,76
h6AZ5xIP,francia,local,14/17 (82%),Kelly P.Attacking midfielder,9,1.02,7.4,1/3 (33%),2,5,33
h6AZ5xIP,francia,local,49/51 (96%),Saliba W.Centre back,3,-,7.4,-,-,-,55
h6AZ5xIP,francia,local,32/36 (89%),Charles S.Midfielder,6,0.04,7.2,0/1 (0%),1,1,52
h6AZ5xIP,francia,local,45/49 (92%),Cherki R.Midfielder,3,0.18,7.1,2/2 (100%),2,6,53
h6AZ5xIP,francia,local,32/35 (91%),Gusto M.Defender,1,-,7.1,-,-,1,42
h6AZ5xIP,francia,local,34/36 (94%),Lacroix M.Defender,4,0.20,7.0,-,1,1,41
h6AZ5xIP,francia,local,17/18 (94%),Barcola B.Forward,2,0.04,6.8,-,1,4,21
h6AZ5xIP,francia,local,26/31 (84%),Digne L.Defender,5,0.03,6.8,-,1,3,40
h6AZ5xIP,francia,local,41/43 (95%),Kounde J.Fullback,2,-,6.8,-,-,3,50
h6AZ5xIP,francia,local,28/31 (90%),Dembele O.Attacking midfielder,3,0.18,6.7,0/1 (0%),1,1,37
h6AZ5xIP,francia,local,14/15 (93%),Maignan M.Goalkeeper,-,-,6.6,-,-,-,24
h6AZ5xIP,francia,local,35/45 (78%),Hume T.Centre back,6,-,6.5,0/1 (0%),-,-,70
h6AZ5xIP,francia,local,3/4 (75%),Magennis J.Forward,2,-,6.4,1/1 (100%),-,-,6
h6AZ5xIP,francia,local,3/3 (100%),McDonnell J.Midfielder,-,-,6.4,-,-,-,3
h6AZ5xIP,francia,local,5/5 (100%),Galbraith E.Midfielder,4,-,6.3,1/1 (100%),-,-,10
h6AZ5xIP,francia,local,1/1 (100%),O'Neill C.Forward,2,-,6.3,-,-,-,4
h6AZ5xIP,francia,local,20/25 (80%),Price I.Attacking midfielder,5,-,6.1,1/3 (33%),-,-,35
h6AZ5xIP,francia,local,21/23 (91%),McConville R.Centre back,4,-,6.0,-,-,-,32
h6AZ5xIP,francia,local,18/34 (53%),Charles P.Goalkeeper,-,-,5.9,-,-,-,38
h6AZ5xIP,francia,local,22/29 (76%),Spencer B.Wingback,12,-,5.8,1/1 (100%),-,-,47
h6AZ5xIP,francia,local,26/29 (90%),Brown C.Centre back,2,-,5.5,-,-,-,39
h6AZ5xIP,francia,local,19/25 (76%),Devenny J.Wingback,10,0.01,5.4,0/2 (0%),1,1,43
h6AZ5xIP,francia,local,11/15 (73%),Donley J.Striker,8,-,5.1,0/3 (0%),-,-,25
h6AZ5xIP,francia,local,26/29 (90%),McCann A.Midfielder,10,-,5.0,-,-,-,39
h6AZ5xIP,francia,local,11/12 (92%),Akliouche M.Forward,-,0.23,-,-,2,3,15
h6AZ5xIP,francia,local,2/2 (100%),Kante N.Midfielder,2,-,-,0/1 (0%),-,-,4
h6AZ5xIP,francia,local,18/18 (100%),Kone M.Midfielder,1,-,-,-,-,-,19
Aat1lJu0,francia,local,39/46 (85%),Doue G.Fullback,8,0.60,8.1,2/2 (100%),1,1,64
Aat1lJu0,francia,local,65/71 (92%),Cherki R.Midfielder,6,0.13,7.9,1/3 (33%),3,8,84
Aat1lJu0,francia,local,14/16 (88%),Diallo A.Forward,9,0.14,7.5,1/3 (33%),1,1,28
Aat1lJu0,francia,local,20/28 (71%),Fofana Y.Goalkeeper,-,-,7.4,-,-,-,46
Aat1lJu0,francia,local,17/19 (89%),Pepe N.Forward,1,-,7.3,0/1 (0%),-,1,24
Aat1lJu0,francia,local,56/61 (92%),Agbadou E.Centre back,8,-,7.1,1/1 (100%),-,-,75
Aat1lJu0,francia,local,21/22 (95%),Akliouche M.Forward,5,-,7.1,1/1 (100%),-,1,37
Aat1lJu0,francia,local,58/59 (98%),Konate I.Centre back,3,0.13,6.9,-,1,2,64
Aat1lJu0,francia,local,42/42 (100%),Tchouameni A.Midfielder,7,0.04,6.9,-,1,1,47
Aat1lJu0,francia,local,43/45 (96%),Upamecano D.Centre back,3,-,6.9,1/1 (100%),-,-,50
Aat1lJu0,francia,local,15/16 (94%),Inao Oulai C.Midfielder,6,-,6.8,-,-,-,23
Aat1lJu0,francia,local,35/37 (95%),Kante N.Midfielder,7,-,6.8,1/1 (100%),-,-,48
Aat1lJu0,francia,local,17/21 (81%),Mbappe K.Striker,2,0.05,6.8,-,1,5,29
Aat1lJu0,francia,local,18/21 (86%),Thuram M.Winger,14,0.27,6.8,2/3 (67%),5,7,37
Aat1lJu0,francia,local,7/8 (88%),Toure B.Midfielder,3,0.25,6.8,-,1,1,13
Aat1lJu0,francia,local,2/2 (100%),Bonny A.Forward,1,-,6.7,-,-,1,6
Aat1lJu0,francia,local,19/20 (95%),Hernandez L.Defender,1,-,6.7,-,-,-,21
Aat1lJu0,francia,local,29/33 (88%),Maignan M.Goalkeeper,-,-,6.7,-,-,-,41
Aat1lJu0,francia,local,32/37 (86%),Olise M.Winger,2,0.08,6.7,1/1 (100%),1,2,43
Aat1lJu0,francia,local,6/7 (86%),Diakite O.Winger,17,-,6.6,1/4 (25%),-,-,21
Aat1lJu0,francia,local,11/17 (65%),Operi C.Defender,2,-,6.6,-,-,-,24
Aat1lJu0,francia,local,13/14 (93%),Adingra S.Striker,2,0.30,6.5,1/1 (100%),2,2,20
Aat1lJu0,francia,local,33/36 (92%),Fofana S.Midfielder,8,0.02,6.5,-,1,1,48
Aat1lJu0,francia,local,20/22 (91%),Kone M.Midfielder,4,-,6.5,0/1 (0%),-,1,27
Aat1lJu0,francia,local,49/53 (92%),Kounde J.Fullback,6,-,6.5,1/1 (100%),-,1,61
Aat1lJu0,francia,local,9/11 (82%),Mateta J.Forward,7,0.04,6.5,0/2 (0%),2,5,18
Aat1lJu0,francia,local,18/20 (90%),Sangare I.Midfielder,4,-,6.5,-,-,-,27
Aat1lJu0,francia,local,29/30 (97%),Singo W.Centre back,5,-,6.5,-,-,-,45
Aat1lJu0,francia,local,14/15 (93%),Diomande O.Defender,-,-,6.4,-,-,-,18
Aat1lJu0,francia,local,18/21 (86%),Diomande Y.Winger,7,-,6.4,2/2 (100%),-,3,31
Aat1lJu0,francia,local,35/40 (88%),Kessie F.Midfielder,5,-,6.4,-,-,-,47
Aat1lJu0,francia,local,32/35 (91%),Lacroix M.Defender,2,-,6.4,-,-,-,39
Aat1lJu0,francia,local,39/42 (93%),Rabiot A.Midfielder,7,0.02,6.4,0/1 (0%),1,1,56
Aat1lJu0,francia,local,6/7 (86%),Zaire-Emery W.Midfielder,2,-,6.4,-,-,1,10
Aat1lJu0,francia,local,24/27 (89%),Digne L.Defender,7,-,6.3,0/4 (0%),-,1,45
Aat1lJu0,francia,local,27/32 (84%),Hernandez T.Fullback,6,-,6.3,-,-,2,43
