match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
h6AZ5xIP,francia,08.06.2026 19:10,Football / World / Friendly International,France,Northern Ireland,3,1,1,70%,1,2,7,3,9%(1/11),27,0,0,0.72,0.92,5,5,0,0.00,,1,4,82%(9/11),2,92%(366/399),86%(137/160),4,5,3,6,50%(5/10),9,10,15,1.12,0.00,,1,75%,1,7,6,2,0%(0/5),23,0,0,1.53,1.94,1,2,1,0.08,,0,6,81%(13/16),3,93%(404/433),88%(167/189),,11,8,2,6,73%(8/11),5,17,37,1.46,1.08,,1,30%,0,0,14,0,0%(0/1),16,0,2,0.18,0.12,5,5,2,0.12,,0,5,43%(13/30),0,78%(137/175),45%(13/29),1,1,0,0,67%(6/9),7,1,3,0.00,1.12,,0,25%,1,0,11,1,0%(0/3),14,0,1,0.63,0.95,2,1,0,-0.54,,0,4,44%(7/16),0,82%(119/145),50%(11/22),,2,1,2,1,40%(2/5),4,3,4,1.08,1.46,
Aat1lJu0,francia,04.06.2026 19:10,Football / World / Friendly International,France,Ivory Coast,1,2,1,63%,1,1,5,3,33%(1/3),21,0,1,1.05,0.61,4,7,1,0.70,,0,7,88%(14/16),1,92%(320/348),81%(89/110),7,3,5,2,60%(3/5),5,9,25,1.40,0.70,0,0,56%,0,2,4,5,25%(3/12),24,0,0,0.47,0.27,4,2,0,-0.39,,0,5,63%(12/19),2,91%(279/306),82%(63/77),,4,3,1,2,73%(8/11),8,6,13,0.04,1.61,,0,37%,2,0,12,2,29%(2/7),20,0,0,0.22,0.26,7,4,4,0.40,,0,4,29%(6/21),0,86%(166/192),73%(29/40),2,1,1,0,57%(4/7),3,2,7,0.70,1.40,1,1,44%,2,0,12,0,100%(1/1),27,0,0,0.41,1.05,2,4,1,0.04,,0,6,60%(9/15),3,87%(216/248),55%(12/22),,3,3,2,2,56%(10/18),6,5,6,1.61,0.04,
h6y6Qkhg,francia,29.03.2026 19:00,Football / World / Friendly International,Colombia,France,1,3,0,34%,0,1,11,3,22%(2/9),19,0,0,0.38,0.22,5,4,1,-1.21,0,0,4,15%(3/20),2,78%(112/144),61%(22/36),1,2,1,3,50%(5/10),7,4,13,0.20,0.79,0,1,57%,1,4,2,6,,20,0,0,0.59,0.97,8,10,1,-0.47,,0,4,37%(7/19),0,86%(196/229),73%(44/60),,7,1,4,2,67%(4/6),19,9,18,1.30,0.53,1,0,66%,1,3,8,5,25%(2/8),20,0,0,0.42,0.59,4,5,1,0.20,1,0,4,67%(8/12),1,89%(250/281),81%(54/67),4,2,3,4,43%(3/7),10,8,16,0.79,0.20,1,0,43%,1,2,23,0,,29,0,1,0.21,0.71,10,8,3,0.30,,0,5,53%(10/19),2,84%(158/187),78%(28/36),,3,2,2,3,56%(9/16),10,6,8,0.53,1.30,2
few9ITN7,francia,26.03.2026 20:00,Football / World / Friendly International,Brazil,France,1,2,0,35%,2,1,8,2,33%(1/3),17,0,0,0.21,0.43,9,7,0,-0.37,,0,5,28%(5/18),1,80%(129/162),55%(17/31),2,5,0,4,44%(4/9),6,6,5,0.00,0.63,2,2,57%,2,3,2,3,30%(3/10),22,0,0,1.56,1.57,3,5,1,-0.58,,0,3,92%(11/12),1,90%(235/261),80%(74/92),0,9,4,4,2,50%(3/6),9,11,25,0.98,0.42,2,1,65%,1,0,5,2,33%(2/6),22,0,2,0.94,0.76,7,9,0,0.00,,0,5,67%(10/15),2,87%(259/298),82%(87/106),4,4,1,1,75%(3/4),8,5,22,0.63,0.00,0,1,43%,1,0,7,0,100%(1/1),17,0,0,0.38,0.53,5,3,3,-0.02,,0,6,48%(11/23),0,82%(169/205),69%(18/26),1,2,0,2,0,38%(3/8),3,2,3,0.42,0.98,3
lWZq5b7s,francia,16.11.2025 17:00,Football / Europe / World Championship - Qualification,Azerbaijan,France,1,3,1,30%,1,0,5,1,0%(0/3),27,0,0,0.24,0.15,4,8,1,-0.13,0,0,4,33%(7/21),1,63%(71/113),49%(17/35),2,1,1,0,67%(8/12),8,2,3,0.16,1.87,1,0,23%,0,0,18,0,,21,0,0,0.02,0.00,6,4,1,0.22,,0,4,19%(3/16),0,71%(77/108),53%(16/30),,0,0,0,0,42%(5/12),6,0,1,0.00,0.22,1,0,70%,4,3,7,2,60%(6/10),31,0,0,2.22,2.06,8,4,0,-0.84,1,0,5,45%(9/20),0,88%(228/259),83%(48/58),6,2,3,2,45%(5/11),8,8,16,1.87,0.16,0,0,77%,2,5,2,6,,26,0,0,1.41,0.64,4,6,0,0.00,,0,2,65%(11/17),0,91%(321/351),85%(117/137),,6,3,1,3,57%(4/7),13,9,29,0.22,0.00,0
ImqEAKqK,francia,13.11.2025 19:45,Football / Europe / World Championship - Qualification,France,Ukraine,4,0,1,75%,0,5,4,4,,22,0,0,1.03,0.35,5,5,0,0.00,,1,3,64%(9/14),0,93%(423/455),91%(213/233),0,2,3,10,60%(3/5),9,10,21,0.48,0.00,1,4,64%,8,2,4,3,33%(1/3),18,0,0,1.69,3.46,4,5,0,0.00,,1,5,54%(7/13),0,91%(240/263),87%(80/92),,11,6,7,4,80%(4/5),10,15,27,3.95,0.00,0,0,25%,0,0,13,0,,22,0,0,0.01,0.00,5,5,3,0.48,,0,7,43%(12/28),0,74%(110/149),40%(8/20),0,0,0,0,62%(8/13),8,0,0,0.00,0.48,0,0,36%,0,1,10,0,0%(0/1),16,0,1,0.07,0.04,5,4,3,-0.05,,0,4,42%(11/26),1,75%(112/150),50%(10/20),,1,0,0,0,50%(3/6),6,1,2,0.00,3.95,2
xh6RnHiD,francia,13.10.2025 18:45,Football / Europe / World Championship - Qualification,Iceland,France,2,2,0,35%,2,1,24,0,100%(1/1),20,0,0,0.35,0.65,8,6,4,0.68,,0,6,50%(11/22),1,87%(172/198),67%(12/18),3,1,1,0,43%(3/7),7,3,5,0.90,0.68,,0,24%,1,0,25,0,0%(0/3),21,0,0,0.05,0.46,8,6,2,-0.08,,0,4,23%(6/26),0,63%(75/119),47%(18/38),,1,0,1,0,33%(2/6),7,1,3,0.81,1.92,1,0,65%,3,2,4,6,18%(3/17),19,0,0,0.65,0.92,6,8,0,-0.10,,0,5,71%(12/17),0,92%(329/356),86%(94/109),6,4,5,5,100%(2/2),10,11,14,0.68,0.90,,0,76%,2,1,9,3,15%(4/27),23,0,0,1.15,1.05,6,8,0,-0.19,,0,4,63%(15/24),1,90%(325/361),87%(124/143),,7,4,4,2,100%(4/4),13,9,19,1.92,0.81,1
pplKlwN0,francia,10.10.2025 18:45,Football / Europe / World Championship - Qualification,France,Azerbaijan,3,0,1,76%,1,5,3,6,25%(5/20),27,0,0,0.96,1.05,3,7,0,0.00,,0,1,93%(14/15),0,90%(308/344),88%(143/163),11,5,5,4,60%(3/5),12,15,29,0.89,0.00,0,0,78%,1,6,4,4,33%(3/9),32,0,0,1.42,1.35,5,7,0,0.00,1,1,3,88%(14/16),0,91%(341/373),87%(144/165),,12,8,4,6,75%(3/4),9,18,39,1.25,0.00,1,0,24%,0,0,20,0,0%(0/1),26,0,1,0.02,0.00,7,3,4,-0.11,,0,3,31%(11/35),0,64%(74/116),45%(9/20),0,0,0,0,62%(8/13),11,0,0,0.00,0.89,1,0,22%,0,0,15,0,50%(1/2),23,0,1,0.05,0.04,7,5,2,-0.75,0,0,5,26%(6/23),1,70%(74/106),50%(7/14),,1,1,0,0,71%(10/14),3,1,1,0.00,1.25,1
lIfBjahl,francia,09.09.2025 18:45,Football / Europe / World Championship - Qualification,France,Iceland,2,1,2,78%,6,4,3,3,27%(4/15),18,1,0,1.29,1.93,6,4,1,-0.58,,0,2,74%(20/27),1,94%(389/412),93%(187/201),10,4,6,4,43%(3/7),10,14,28,1.98,0.42,1,1,45%,1,0,4,0,0%(0/2),26,0,0,0.82,1.07,6,9,0,0.00,,1,1,19%(4/21),2,81%(171/211),79%(54/68),1,3,4,2,3,86%(6/7),9,6,19,1.05,0.00,2,0,22%,1,0,23,0,0%(0/1),27,0,0,0.06,0.48,4,6,5,0.98,,0,2,35%(9/26),1,72%(83/115),49%(17/35),1,0,2,1,50%(7/14),2,2,4,0.42,1.98,1,0,55%,0,1,11,2,33%(2/6),22,0,1,0.18,0.19,9,6,1,0.05,,0,4,48%(13/27),0,86%(217/251),75%(44/59),0,2,4,0,3,50%(4/8),4,5,4,0.00,1.05,1
hn9udLUQ,francia,05.09.2025 18:45,Football / Europe / World Championship - Qualification,Ukraine,France,0,2,0,38%,0,1,16,2,0%(0/7),21,0,1,0.03,0.02,7,3,2,0.47,,0,3,52%(12/23),1,85%(164/194),61%(17/28),1,0,0,0,62%(8/13),6,1,2,0.00,1.47,,1,53%,4,0,3,2,11%(1/9),17,0,0,0.39,1.32,3,5,2,0.47,,1,3,55%(11/20),0,88%(189/215),80%(37/46),,5,4,3,2,71%(5/7),8,7,9,0.33,1.47,,1,62%,1,4,4,3,14%(1/7),25,0,0,0.95,0.85,3,7,0,0.00,,0,6,63%(15/24),0,91%(304/335),80%(92/115),6,2,3,3,88%(7/8),11,9,21,1.47,0.00,,3,47%,4,0,11,1,0%(0/2),20,0,0,0.84,1.57,5,3,2,0.33,,0,1,52%(11/21),0,85%(173/203),74%(51/69),,3,4,3,4,64%(7/11),10,7,8,1.47,0.33,
