match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
0KmSaHsI,ghana,local,57/64 (89%),Williams N.Fullback,13,0.03,8.1,2/3 (67%),1,1,89
0KmSaHsI,ghana,local,65/66 (98%),Dasilva J.Fullback,4,-,8.0,2/2 (100%),-,1,81
0KmSaHsI,ghana,local,35/37 (95%),Darlow K.Goalkeeper,-,-,7.4,-,-,-,53
0KmSaHsI,ghana,local,12/12 (100%),Yirenkyi C.Midfielder,1,0.86,7.3,-,1,1,16
0KmSaHsI,ghana,local,7/12 (58%),Ati Zigi L.Goalkeeper,-,-,7.2,-,-,-,15
0KmSaHsI,ghana,local,76/86 (88%),Ampadu E.Midfielder,9,0.25,7.1,1/1 (100%),2,1,101
0KmSaHsI,ghana,local,19/20 (95%),Brooks D.Attacking midfielder,5,0.10,7.1,0/3 (0%),2,4,34
0KmSaHsI,ghana,local,12/17 (71%),James D.Winger,7,0.53,7.1,1/2 (50%),4,9,30
0KmSaHsI,ghana,local,7/9 (78%),Koumas L.Forward,4,0.65,7.1,1/1 (100%),3,3,14
0KmSaHsI,ghana,local,36/43 (84%),Mensah G.Fullback,7,-,7.1,1/1 (100%),-,-,72
0KmSaHsI,ghana,local,29/32 (91%),Opoku J.Centre back,5,0.07,6.9,-,1,2,39
0KmSaHsI,ghana,local,16/17 (94%),Ayew J.Striker,10,0.21,6.7,-,2,3,35
0KmSaHsI,ghana,local,18/21 (86%),Owusu E.Midfielder,4,-,6.7,-,-,-,30
0KmSaHsI,ghana,local,8/11 (73%),Congreve C.Midfielder,2,-,6.6,1/1 (100%),-,-,19
0KmSaHsI,ghana,local,6/7 (86%),Davies I.Forward,2,0.17,6.6,-,2,4,12
0KmSaHsI,ghana,local,40/43 (93%),Sheehan J.Midfielder,5,0.04,6.6,-,1,-,54
0KmSaHsI,ghana,local,26/26 (100%),Mepham C.Defender,-,-,6.5,-,-,-,29
0KmSaHsI,ghana,local,8/10 (80%),Seidu A.Defender,2,-,6.5,-,-,-,14
0KmSaHsI,ghana,local,13/18 (72%),Senaya M.Fullback,10,0.02,6.5,1/2 (50%),2,1,41
0KmSaHsI,ghana,local,24/31 (77%),Thomas S.Winger,8,0.06,6.5,0/1 (0%),1,1,48
0KmSaHsI,ghana,local,12/18 (67%),Asare B.Goalkeeper,-,-,6.4,-,-,-,19
0KmSaHsI,ghana,local,8/9 (89%),Broadhead N.Midfielder,2,0.06,6.4,1/1 (100%),1,2,15
0KmSaHsI,ghana,local,13/15 (87%),Mumin A.Defender,-,-,6.4,-,-,-,19
0KmSaHsI,ghana,local,10/10 (100%),Partey T.Midfielder,3,-,6.4,-,-,-,17
0KmSaHsI,ghana,local,9/10 (90%),Bonsu Baah C.Forward,4,-,6.3,-,-,-,15
0KmSaHsI,ghana,local,5/7 (71%),Fatawu I.Winger,6,0.03,6.3,0/1 (0%),1,2,12
0KmSaHsI,ghana,local,6/9 (67%),Nuamah E.Forward,2,0.34,6.3,0/1 (0%),1,1,13
0KmSaHsI,ghana,local,13/14 (93%),Sibo K.Midfielder,1,-,6.3,-,-,-,19
0KmSaHsI,ghana,local,2/5 (40%),Williams I.Forward,-,-,6.3,-,-,-,5
0KmSaHsI,ghana,local,2/8 (25%),Adu P.Winger,6,-,6.2,-,-,-,14
0KmSaHsI,ghana,local,75/84 (89%),Lawlor D.Centre back,5,-,6.2,-,-,-,89
0KmSaHsI,ghana,local,3/4 (75%),Thomas-Asante B.Forward,6,0.09,6.2,-,1,1,16
0KmSaHsI,ghana,local,3/6 (50%),Moore K.Striker,4,0.02,6.1,-,1,3,15
0KmSaHsI,ghana,local,91/96 (95%),Rodon J.Centre back,5,-,6.0,-,-,-,103
0KmSaHsI,ghana,local,9/12 (75%),Sulemana K.Attacking midfielder,5,0.02,6.0,1/3 (33%),1,1,21
0KmSaHsI,ghana,local,35/43 (81%),Adjetey J.Centre back,3,0.15,5.9,-,1,1,58
0KmSaHsI,ghana,local,4/5 (80%),Andrews K.Midfielder,1,-,-,-,-,1,8
0KmSaHsI,ghana,local,2/2 (100%),Baba A.Defender,1,-,-,-,-,-,3
0KmSaHsI,ghana,local,8/8 (100%),Norrington-Davies R.Defender,-,-,-,-,-,-,12
EiTNwQjd,ghana,local,32/33 (97%),Gutierrez B.Midfielder,3,0.18,8.2,1/1 (100%),2,1,39
EiTNwQjd,ghana,local,6/7 (86%),Martinez G.Forward,3,0.19,7.4,-,2,3,10
EiTNwQjd,ghana,local,48/50 (96%),Gomez A.Centre back,3,-,7.3,-,-,-,53
EiTNwQjd,ghana,local,9/11 (82%),Acevedo C.Goalkeeper,-,-,7.2,-,-,-,15
EiTNwQjd,ghana,local,35/39 (90%),Alvarado R.Winger,9,0.21,7.1,0/2 (0%),3,5,55
EiTNwQjd,ghana,local,17/28 (61%),Asare B.Goalkeeper,-,-,7.1,-,-,-,40
EiTNwQjd,ghana,local,20/20 (100%),Mora G.Midfielder,9,0.14,7.1,2/3 (67%),3,6,38
EiTNwQjd,ghana,local,47/50 (94%),Romo L.Centre back,3,-,7.1,-,-,-,57
EiTNwQjd,ghana,local,54/59 (92%),Lira E.Midfielder,6,-,7.0,-,-,-,65
EiTNwQjd,ghana,local,36/39 (92%),Reyes I.Fullback,3,-,7.0,-,-,3,48
EiTNwQjd,ghana,local,25/27 (93%),Vega A.Winger,4,0.07,7.0,-,2,-,37
