match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
b5QfdnOP,haiti,local,72/75 (96%),Garces R.Centre back,3,0.82,7.8,-,1,1,82
b5QfdnOP,haiti,local,14/15 (93%),Velez J.Attacking midfielder,12,0.38,7.6,1/2 (50%),4,3,36
b5QfdnOP,haiti,local,25/34 (74%),Concha J.Winger,3,0.06,7.4,2/2 (100%),1,1,43
b5QfdnOP,haiti,local,52/58 (90%),Noriega E.Midfielder,8,0.02,7.2,-,1,-,66
b5QfdnOP,haiti,local,9/14 (64%),Deedson L.Winger,3,-,7.0,0/2 (0%),-,2,26
b5QfdnOP,haiti,local,43/47 (91%),Lopez M.Fullback,2,-,7.0,-,-,1,59
b5QfdnOP,haiti,local,2/2 (100%),Isidor W.Striker,4,0.23,6.9,-,2,2,9
b5QfdnOP,haiti,local,8/9 (89%),Quiroz A.Midfielder,4,-,6.9,-,-,-,14
b5QfdnOP,haiti,local,45/51 (88%),Sonne O.Fullback,1,-,6.9,-,-,1,68
b5QfdnOP,haiti,local,11/16 (69%),Cabrera Nakamura K. G.Winger,5,-,6.8,0/1 (0%),-,2,23
b5QfdnOP,haiti,local,23/24 (96%),Yotun Y.Midfielder,2,-,6.7,-,-,-,29
b5QfdnOP,haiti,local,21/21 (100%),Gruber F.Defender,5,0.07,6.6,-,1,1,31
b5QfdnOP,haiti,local,5/5 (100%),Pretell J.Midfielder,5,-,6.6,-,-,-,10
b5QfdnOP,haiti,local,10/12 (83%),Ugarriza A.Forward,4,-,6.6,-,-,-,17
b5QfdnOP,haiti,local,6/6 (100%),Paugain W.Defender,7,-,6.5,-,-,-,18
b5QfdnOP,haiti,local,23/28 (82%),Placide J.Goalkeeper,-,-,6.5,-,-,-,37
b5QfdnOP,haiti,local,28/30 (93%),Barco A.Centre back,8,-,6.4,-,-,-,35
b5QfdnOP,haiti,local,2/2 (100%),Joseph L.Forward,5,-,6.4,1/1 (100%),-,-,9
b5QfdnOP,haiti,local,42/45 (93%),Delcroix H.Centre back,5,-,6.3,-,-,-,53
b5QfdnOP,haiti,local,23/23 (100%),Duverne J.Defender,2,-,6.3,-,-,-,24
b5QfdnOP,haiti,local,10/12 (83%),Simon D.Midfielder,7,0.21,6.3,0/1 (0%),1,-,19
b5QfdnOP,haiti,local,44/54 (81%),Bellegarde J.Midfielder,4,0.04,6.2,-,1,-,69
b5QfdnOP,haiti,local,4/6 (67%),Casimir J.Forward,2,-,6.2,1/1 (100%),-,1,10
b5QfdnOP,haiti,local,28/32 (88%),Gallese P.Goalkeeper,1,-,6.2,-,-,-,38
b5QfdnOP,haiti,local,28/29 (97%),Jean Jacques D.Midfielder,4,0.08,6.2,1/1 (100%),2,-,37
b5QfdnOP,haiti,local,7/7 (100%),Lacroix D.Defender,2,-,6.2,-,-,-,11
b5QfdnOP,haiti,local,11/12 (92%),Providence R.Winger,2,0.14,6.2,0/2 (0%),2,2,22
b5QfdnOP,haiti,local,28/30 (93%),Ade R.Centre back,2,-,6.1,-,-,-,35
b5QfdnOP,haiti,local,21/25 (84%),Arcus C.Fullback,2,-,6.1,-,-,-,37
b5QfdnOP,haiti,local,0/2 (0%),Castro M.Forward,7,-,6.1,0/2 (0%),-,1,7
b5QfdnOP,haiti,local,23/28 (82%),Experience M.Fullback,7,-,6.1,-,-,-,43
b5QfdnOP,haiti,local,9/13 (69%),Pierrot F.Striker,16,-,6.1,1/2 (50%),-,2,23
b5QfdnOP,haiti,local,12/14 (86%),Vidales J.Striker,4,-,6.1,-,-,-,24
b5QfdnOP,haiti,local,3/5 (60%),Nazon D.Forward,3,-,5.9,-,-,-,8
b5QfdnOP,haiti,local,40/42 (95%),Carrillo A.Midfielder,4,0.17,5.8,0/1 (0%),2,2,50
b5QfdnOP,haiti,local,4/4 (100%),Etienne D.Forward,1,-,-,-,-,-,11
b5QfdnOP,haiti,local,1/1 (100%),Vilca R.Midfielder,-,-,-,-,-,-,1
b5QfdnOP,haiti,local,-,Zegarra M.Forward,-,-,-,-,-,-,-
0dhM87Mk,haiti,local,17/21 (81%),Providence R.Winger,14,0.46,8.2,3/6 (50%),2,2,48
0dhM87Mk,haiti,local,36/43 (84%),Arcus C.Fullback,11,-,7.8,1/2 (50%),-,2,68
0dhM87Mk,haiti,local,31/36 (86%),Casimir J.Attacking midfielder,15,-,7.7,4/6 (67%),-,3,52
0dhM87Mk,haiti,local,13/16 (81%),Deedson L.Winger,9,0.20,7.7,1/4 (25%),1,7,31
0dhM87Mk,haiti,local,24/26 (92%),Placide J.Goalkeeper,2,-,7.6,-,-,-,34
0dhM87Mk,haiti,local,49/56 (88%),Ade R.Centre back,3,-,7.1,-,-,1,65
0dhM87Mk,haiti,local,32/39 (82%),Hernandez B.Winger,12,0.11,7.1,3/3 (100%),3,1,61
0dhM87Mk,haiti,local,33/43 (77%),Bellegarde J.Midfielder,12,-,7.0,2/3 (67%),-,2,63
0dhM87Mk,haiti,local,35/40 (88%),Pierre L.Midfielder,7,0.03,7.0,0/1 (0%),1,4,54
0dhM87Mk,haiti,local,30/33 (91%),Lacroix D.Fullback,5,-,6.8,2/2 (100%),-,3,54
0dhM87Mk,haiti,local,5/11 (45%),Nazon D.Forward,11,0.77,6.8,1/3 (33%),3,7,26
0dhM87Mk,haiti,local,14/15 (93%),Bonilla B.Forward,9,-,6.7,-,-,1,29
0dhM87Mk,haiti,local,4/6 (67%),Pierrot F.Striker,4,0.16,6.7,2/2 (100%),1,3,11
0dhM87Mk,haiti,local,34/38 (89%),Arteaga J.Midfielder,6,-,6.6,3/3 (100%),-,-,45
0dhM87Mk,haiti,local,17/24 (71%),Velásquez A.Player,6,0.03,6.6,0/1 (0%),1,2,35
0dhM87Mk,haiti,local,47/52 (90%),Delcroix H.Centre back,6,-,6.5,-,-,1,62
0dhM87Mk,haiti,local,7/7 (100%),Experience M.Defender,-,-,6.5,-,-,-,10
0dhM87Mk,haiti,local,10/13 (77%),Acevedo O.Fullback,5,0.02,6.3,-,1,-,25
0dhM87Mk,haiti,local,17/22 (77%),Coronel J.Midfielder,5,-,6.3,-,-,-,25
0dhM87Mk,haiti,local,15/15 (100%),Moncada J.Midfielder,5,-,6.3,-,-,1,21
0dhM87Mk,haiti,local,13/15 (87%),Arauz A.Attacking midfielder,2,-,6.2,0/1 (0%),-,-,19
0dhM87Mk,haiti,local,12/17 (71%),Barrera J.Winger,6,-,6.1,-,-,1,22
0dhM87Mk,haiti,local,8/10 (80%),Talavera W.Forward,6,-,6.1,0/1 (0%),-,-,17
0dhM87Mk,haiti,local,6/10 (60%),Moreno Ciorciari J. J.Striker,10,0.02,5.9,1/1 (100%),1,3,22
0dhM87Mk,haiti,local,13/18 (72%),Nino H.Midfielder,5,-,5.9,-,-,-,24
0dhM87Mk,haiti,local,26/33 (79%),Quijano J.Fullback,7,0.02,5.9,1/1 (100%),2,-,63
0dhM87Mk,haiti,local,29/32 (91%),Reyes C.Centre back,8,-,5.9,-,-,-,44
0dhM87Mk,haiti,local,21/28 (75%),Lopez A.Goalkeeper,-,-,5.8,-,-,-,35
0dhM87Mk,haiti,local,36/42 (86%),Cano J.Centre back,9,0.21,5.2,-,1,1,53
0dhM87Mk,haiti,local,-,Lambese S.Forward,1,-,-,-,-,-,1
0dhM87Mk,haiti,local,5/6 (83%),Sainte C.Midfielder,1,0.02,-,-,1,-,10
EaKYHBa3,haiti,local,10/30 (33%),Placide J.Goalkeeper,2,-,9.2,-,-,-,47
EaKYHBa3,haiti,local,10/13 (77%),Pierrot F.Striker,21,1.07,8.6,3/4 (75%),3,6,30
EaKYHBa3,haiti,local,50/60 (83%),Vargas J.Centre back,9,-,7.7,-,-,-,71
EaKYHBa3,haiti,local,27/31 (87%),Ade R.Centre back,7,-,7.6,-,-,-,54
EaKYHBa3,haiti,local,46/62 (74%),Waston K.Centre back,16,0.06,7.5,-,2,7,77
EaKYHBa3,haiti,local,56/71 (79%),Borges C.Midfielder,7,0.03,7.3,0/1 (0%),1,-,86
EaKYHBa3,haiti,local,34/41 (83%),Lacroix D.Fullback,10,-,7.3,1/2 (50%),-,-,73
EaKYHBa3,haiti,local,13/20 (65%),Providence R.Winger,10,-,7.1,0/1 (0%),-,4,43
EaKYHBa3,haiti,local,38/50 (76%),Calvo F.Wingback,10,0.17,6.8,-,3,4,81
EaKYHBa3,haiti,local,10/15 (67%),Ugalde M.Forward,9,0.33,6.8,0/1 (0%),3,5,27
EaKYHBa3,haiti,local,15/29 (52%),Arcus C.Fullback,6,-,6.7,-,-,-,51
EaKYHBa3,haiti,local,39/47 (83%),Delcroix H.Centre back,11,-,6.7,-,-,-,65
EaKYHBa3,haiti,local,42/50 (84%),Jean Jacques D.Midfielder,6,-,6.7,0/1 (0%),-,1,58
EaKYHBa3,haiti,local,14/16 (88%),Mora C.Forward,6,-,6.7,2/3 (67%),-,-,29
EaKYHBa3,haiti,local,13/17 (76%),Navas K.Goalkeeper,-,-,6.7,-,-,-,23
EaKYHBa3,haiti,local,0/3 (0%),Deedson L.Forward,8,0.01,6.6,-,1,1,14
EaKYHBa3,haiti,local,19/19 (100%),Perez C.Forward,1,-,6.6,-,-,-,27
EaKYHBa3,haiti,local,12/19 (63%),Quiros H.Wingback,7,0.02,6.6,0/1 (0%),1,1,40
EaKYHBa3,haiti,local,22/28 (79%),Casimir J.Winger,3,0.20,6.5,0/1 (0%),2,4,35
EaKYHBa3,haiti,local,47/58 (81%),Pierre L.Midfielder,10,0.02,6.5,1/1 (100%),1,1,71
EaKYHBa3,haiti,local,31/37 (84%),Bellegarde J.Attacking midfielder,11,0.03,6.4,2/4 (50%),1,-,64
EaKYHBa3,haiti,local,10/13 (77%),Martinez A.Striker,8,0.53,6.4,0/2 (0%),2,7,24
EaKYHBa3,haiti,local,8/13 (62%),Campbell J.Forward,2,-,6.3,-,-,-,16
EaKYHBa3,haiti,local,3/5 (60%),Nazon D.Forward,3,-,6.3,-,-,-,7
EaKYHBa3,haiti,local,6/15 (40%),Vargas K.Midfielder,13,-,6.3,1/3 (33%),-,2,29
EaKYHBa3,haiti,local,7/9 (78%),Zamora A.Midfielder,4,-,6.3,0/1 (0%),-,1,18
EaKYHBa3,haiti,local,7/10 (70%),Murillo A.Midfielder,4,-,6.2,-,-,-,18
EaKYHBa3,haiti,local,14/15 (93%),Alcocer J.Midfielder,7,0.06,5.7,0/4 (0%),2,2,34
EaKYHBa3,haiti,local,41/45 (91%),Gamboa A.Centre back,7,-,5.5,-,-,-,52
EaKYHBa3,haiti,local,1/4 (25%),Attys C.Midfielder,-,-,-,-,-,-,6
EaKYHBa3,haiti,local,0/2 (0%),Lambese S.Forward,2,-,-,-,-,-,7
ngSnf87d,haiti,local,28/34 (82%),Arriaga K.Midfielder,15,0.22,8.6,1/1 (100%),3,2,50
ngSnf87d,haiti,local,17/20 (85%),Palma L.Midfielder,7,0.02,8.0,1/3 (33%),1,-,34
ngSnf87d,haiti,local,22/29 (76%),Flores D.Midfielder,13,0.02,7.5,0/1 (0%),-,1,50
ngSnf87d,haiti,local,17/22 (77%),Montes G.Centre back,9,0.39,7.5,-,1,1,37
ngSnf87d,haiti,local,20/28 (71%),Najar A.Fullback,9,0.04,7.5,0/1 (0%),1,3,48
ngSnf87d,haiti,local,8/12 (67%),Lozano C.Striker,12,0.35,7.3,1/1 (100%),2,3,25
ngSnf87d,haiti,local,23/32 (72%),Rosales J.Fullback,8,0.05,7.3,1/2 (50%),2,2,74
ngSnf87d,haiti,local,9/24 (38%),Menjivar E.Goalkeeper,1,-,7.2,-,-,-,31
ngSnf87d,haiti,local,17/21 (81%),Quioto R.Winger,7,0.31,7.2,-,2,3,26
ngSnf87d,haiti,local,20/28 (71%),Placide J.Goalkeeper,-,-,7.1,-,-,-,42
ngSnf87d,haiti,local,27/34 (79%),Pierre L.Midfielder,7,0.03,7.0,-,1,-,40
ngSnf87d,haiti,local,20/21 (95%),Delcroix H.Defender,5,-,6.9,-,-,-,26
ngSnf87d,haiti,local,6/6 (100%),Pinto J.Forward,-,0.09,6.9,-,2,2,9
ngSnf87d,haiti,local,15/17 (88%),Rivas R.Winger,7,0.18,6.7,0/1 (0%),2,2,26
ngSnf87d,haiti,local,15/16 (94%),Pineda C.Midfielder,-,-,6.5,-,-,-,17
ngSnf87d,haiti,local,3/7 (43%),Vega L.Midfielder,1,-,6.5,-,-,-,9
ngSnf87d,haiti,local,24/29 (83%),Casimir J.Winger,11,0.03,6.4,0/2 (0%),1,3,55
ngSnf87d,haiti,local,37/44 (84%),Jean Jacques D.Midfielder,8,0.04,6.4,-,1,1,58
ngSnf87d,haiti,local,20/20 (100%),Metusala G.Fullback,3,-,6.4,-,-,-,38
ngSnf87d,haiti,local,6/10 (60%),Pierrot F.Striker,14,-,6.4,-,-,2,21
ngSnf87d,haiti,local,1/4 (25%),Providence R.Forward,2,0.07,6.4,1/2 (50%),2,4,12
ngSnf87d,haiti,local,25/29 (86%),Experience M.Fullback,11,-,6.3,-,-,1,51
ngSnf87d,haiti,local,27/31 (87%),Santos M.Centre back,3,-,6.3,1/1 (100%),-,-,44
ngSnf87d,haiti,local,39/44 (89%),Bellegarde J.Midfielder,17,0.07,6.2,0/2 (0%),3,2,67
ngSnf87d,haiti,local,12/16 (75%),Etienne D.Winger,2,0.05,6.0,0/1 (0%),1,1,21
ngSnf87d,haiti,local,14/19 (74%),Nazon D.Striker,9,0.10,6.0,-,2,1,30
ngSnf87d,haiti,local,29/37 (78%),Duverne J.Centre back,2,-,5.9,-,-,-,57
ngSnf87d,haiti,local,49/54 (91%),Ade R.Centre back,4,-,5.6,-,-,-,56
ngSnf87d,haiti,local,2/3 (67%),Benguche J.Forward,2,-,-,-,-,-,4
ngSnf87d,haiti,local,1/2 (50%),Deedson L.Forward,2,0.03,-,1/3 (33%),1,1,7
ngSnf87d,haiti,local,-,Pacius W.Forward,-,-,-,-,-,-,2
ngSnf87d,haiti,local,2/3 (67%),Vega Orellana A. N.Midfielder,3,0.18,-,0/2 (0%),2,1,8
AgzFExgB,haiti,local,20/24 (83%),Lacroix D.Fullback,1,0.05,7.7,-,1,1,31
AgzFExgB,haiti,local,18/22 (82%),Jean Jacques D.Midfielder,8,0.11,7.6,-,1,1,34
AgzFExgB,haiti,local,35/42 (83%),Bellegarde J.Midfielder,6,0.04,7.5,-,2,-,58
AgzFExgB,haiti,local,29/33 (88%),Hernandez B.Midfielder,11,0.03,7.5,2/3 (67%),2,2,54
AgzFExgB,haiti,local,24/27 (89%),Ade R.Centre back,4,-,7.4,-,-,-,47
