match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
b5QfdnOP,haiti,06.06.2026 00:00,Football / World / Friendly International,Haiti,Peru,1,2,,0,42%,1,0,14,2,17%(1/6),16,0,0,0.13,0.26,6,7,0,0.00,,0,4,74%(14/19),0,89%(173/195),82%(36/44),,2,3,1,2,100%(1/1),8,4,6,0.70,0.00,0,0,41%,1,1,7,1,0%(0/8),23,0,0,0.06,0.43,8,11,3,-0.62,,0,0,52%(13/25),1,84%(126/150),71%(27/38),,1,3,0,3,50%(4/8),8,4,3,0.00,1.38,1,0,58%,0,1,2,1,13%(1/8),18,1,0,0.45,0.20,7,6,0,-0.30,,0,4,77%(23/30),1,89%(237/265),77%(47/61),,1,2,0,2,75%(6/8),10,3,6,0.00,0.70,1,0,59%,3,0,9,2,25%(2/8),21,0,1,0.19,0.79,11,8,0,0.00,,0,3,73%(24/33),1,90%(201/223),75%(44/59),,5,2,5,2,33%(2/6),6,7,7,1.38,0.00,3
63JNxuGi,haiti,03.06.2026 00:00,Football / World / Friendly International,Haiti,New Zealand,4,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viDN2C0C,haiti,31.03.2026 17:30,Football / World / Friendly International,Haiti,Iceland,1,1,,,35%,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,11,0,,,,1,,54%,,,,1,,,,,,,,,,,,,,,,,,,,6,3,,,7,9,,,,1,,65%,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,5,0,,,,0,,46%,,,,0,,,,,,,,,,,,,,,,,,,,3,1,,,3,4,,,,0
WQ9F4YVa,haiti,29.03.2026 00:00,Football / World / Friendly International,Haiti,Tunisia,0,1,,,49%,,,,5,,,,,,,,,,,,,,,,,,,,2,0,,,,2,,,,1,,53%,,,,2,,,,,,,,,,,,,,,,,,1,,5,2,,,,7,,,,2,,51%,,,,3,,,,,,,,,,,,,,,,,,,,3,1,,,,4,,,,0,,47%,,,,0,,,,,,,,,,,,,,,,,,0,,1,2,,,,3,,,,2
0dhM87Mk,haiti,19.11.2025 01:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 6,Haiti,Nicaragua,2,0,,1,59%,3,0,9,1,50%(2/4),24,0,0,1.27,1.46,6,4,2,0.24,1,0,0,48%(11/23),1,88%(217/248),70%(39/56),,4,2,3,1,100%(7/7),8,5,17,1.34,0.24,1,0,41%,0,1,18,2,29%(2/7),31,0,0,0.46,0.19,14,9,1,0.19,,0,5,62%(13/21),1,80%(119/148),72%(41/57),,2,2,1,2,100%(4/4),9,4,18,0.01,0.19,3,0,41%,0,0,6,2,17%(1/6),17,0,1,0.15,0.10,4,6,0,-0.66,0,0,3,38%(9/24),0,80%(133/166),63%(31/49),,1,2,2,3,67%(4/6),8,4,2,0.24,1.34,1,0,59%,1,2,11,2,7%(1/15),29,0,0,0.43,0.30,9,14,1,0.01,,0,3,46%(13/28),1,83%(170/205),83%(52/63),,1,2,1,4,67%(6/9),10,5,8,0.19,0.01,2
EaKYHBa3,haiti,14.11.2025 02:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 5,Haiti,Costa Rica,1,0,,0,58%,2,2,9,1,20%(1/5),25,0,0,0.80,1.30,7,5,2,0.59,,0,9,41%(13/32),0,83%(223/270),69%(42/61),,5,2,2,1,64%(7/11),15,6,15,1.35,0.59,,0,33%,0,0,26,0,0%(0/1),26,0,0,0.02,0.03,13,7,4,1.63,,0,7,19%(6/32),1,55%(71/128),39%(13/33),,0,1,1,2,56%(5/9),13,2,2,0.03,1.63,2,0,42%,1,1,8,2,20%(1/5),23,0,1,0.08,0.55,5,7,1,0.35,,0,4,31%(9/29),0,74%(144/194),48%(24/50),,3,1,2,1,60%(6/10),13,4,5,0.59,1.35,,0,67%,1,5,5,5,20%(3/15),36,0,0,0.81,0.66,7,13,1,0.03,,1,5,38%(10/26),2,81%(207/255),64%(54/85),,8,1,4,2,67%(4/6),13,10,24,1.63,0.03,1
ngSnf87d,haiti,14.10.2025 00:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 4,Honduras,Haiti,3,0,,2,46%,2,2,10,3,22%(2/9),21,0,0,0.60,1.04,9,7,1,0.05,,0,6,50%(17/34),1,79%(132/167),65%(33/51),,8,4,5,3,50%(3/6),10,11,11,1.86,0.05,,0,41%,2,0,10,4,29%(2/7),29,0,0,0.29,0.81,9,9,2,0.06,,0,10,43%(15/35),0,72%(99/138),65%(31/48),,5,4,3,2,70%(7/10),8,7,9,1.36,0.06,3,1,54%,0,3,18,2,10%(1/10),23,1,0,0.47,0.22,7,9,2,-1.14,,0,4,40%(8/20),0,84%(163/195),63%(27/43),,1,1,1,4,57%(4/7),12,5,7,0.05,1.86,,0,59%,0,2,7,0,20%(2/10),24,0,0,0.48,0.20,9,9,3,1.36,,0,1,54%(13/24),0,82%(161/196),68%(42/62),,4,3,2,3,56%(5/9),12,7,9,0.06,1.36,1
AgzFExgB,haiti,10.10.2025 00:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 3,Nicaragua,Haiti,0,3,,0,54%,1,3,18,5,28%(5/18),15,1,0,0.26,0.34,6,7,0,-1.15,0,0,4,53%(20/38),0,80%(128/160),58%(31/53),,4,2,0,1,33%(1/3),13,5,8,0.00,0.85,1,0,59%,0,1,8,2,35%(6/17),17,0,0,0.58,0.27,5,8,3,-0.07,,0,5,61%(14/23),0,88%(194/221),75%(44/59),,3,3,3,4,100%(5/5),8,7,13,0.04,0.93,0,0,46%,3,2,13,5,25%(2/8),17,0,1,0.32,0.55,7,6,0,0.00,1,1,5,24%(6/25),1,73%(106/145),55%(31/56),,4,1,2,1,80%(4/5),10,5,6,0.85,0.00,0,1,41%,1,0,15,2,33%(1/3),15,0,0,0.76,0.42,8,5,3,0.04,,0,3,56%(15/27),0,80%(131/163),75%(38/51),,1,1,4,4,50%(3/6),4,5,6,0.93,0.04,2
2mDmbH8U,haiti,10.09.2025 02:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 2,Costa Rica,Haiti,3,3,,2,33%,2,3,12,2,20%(1/5),18,0,0,0.90,1.28,5,3,2,0.31,,0,4,50%(13/26),2,75%(94/126),65%(37/57),,8,5,7,7,100%(7/7),14,15,11,1.26,0.31,0,0,62%,1,3,6,8,19%(4/21),26,0,0,0.84,0.78,8,6,2,0.12,,0,4,19%(3/16),1,79%(152/192),68%(57/84),,5,2,4,4,57%(4/7),26,9,20,0.87,3.12,2,0,67%,1,1,12,2,0%(0/8),23,1,0,0.21,0.32,3,5,5,-0.74,,0,3,33%(5/15),1,88%(227/259),76%(44/58),,3,1,3,2,100%(6/6),9,5,7,0.31,1.26,1,0,38%,3,0,28,2,25%(1/4),30,0,0,0.54,1.69,6,8,3,-0.13,,0,2,44%(12/27),0,75%(94/126),62%(21/34),,6,1,5,0,91%(10/11),6,6,13,3.12,0.87,2
djAu0wvI,haiti,06.09.2025 00:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 1,Haiti,Honduras,0,0,,0,48%,2,0,11,3,50%(4/8),14,0,0,0.39,0.54,6,4,3,0.86,,0,4,54%(15/28),1,86%(174/202),64%(27/42),,3,3,2,2,80%(4/5),4,5,13,0.38,0.86,,0,42%,0,3,9,5,29%(4/14),17,0,0,0.60,0.50,6,3,0,0.00,,0,2,74%(14/19),0,85%(131/154),76%(41/54),,5,2,5,5,100%(5/5),5,10,15,0.72,0.00,,1,52%,0,1,6,3,17%(1/6),16,0,0,0.27,0.23,4,6,2,0.38,,0,4,50%(12/24),1,88%(200/228),62%(26/42),,4,3,3,3,83%(5/6),5,7,9,0.86,0.38,,0,58%,2,2,9,2,83%(5/6),18,0,0,0.66,0.80,3,6,5,0.72,,1,1,46%(17/37),1,84%(189/226),68%(38/56),,6,5,0,1,75%(6/8),8,7,10,0.00,0.72,
