match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
KjB2DklK,inglaterra,local,38/42 (90%),Rice D.Midfielder,-,0.15,8.4,-,2,1,53
KjB2DklK,inglaterra,local,75/81 (93%),Anderson E.Midfielder,11,-,8.0,-,-,1,95
KjB2DklK,inglaterra,local,19/24 (79%),Gordon A.Winger,8,0.79,8.0,3/4 (75%),1,6,37
KjB2DklK,inglaterra,local,44/45 (98%),Konsa E.Centre back,4,0.24,8.0,-,1,3,53
KjB2DklK,inglaterra,local,35/38 (92%),Bellingham J.Attacking midfielder,5,0.06,7.7,3/3 (100%),2,4,52
KjB2DklK,inglaterra,local,3/3 (100%),Watkins O.Forward,1,1.29,7.7,-,3,6,10
KjB2DklK,inglaterra,local,18/20 (90%),Eze E.Midfielder,2,0.32,7.6,-,5,2,29
KjB2DklK,inglaterra,local,17/19 (89%),Kane H.Striker,5,0.09,7.3,0/1 (0%),3,4,24
KjB2DklK,inglaterra,local,34/42 (81%),O'Reilly N.Fullback,6,0.17,7.3,0/2 (0%),2,2,57
KjB2DklK,inglaterra,local,35/40 (88%),James R.Fullback,7,-,7.2,-,-,1,52
KjB2DklK,inglaterra,local,26/27 (96%),Madueke N.Winger,8,1.07,7.2,3/4 (75%),3,3,44
KjB2DklK,inglaterra,local,49/50 (98%),Stones J.Centre back,1,-,7.2,-,-,-,52
KjB2DklK,inglaterra,local,17/17 (100%),Mainoo K.Midfielder,7,0.04,7.1,1/1 (100%),1,-,27
KjB2DklK,inglaterra,local,11/13 (85%),Saka B.Forward,2,0.05,7.1,-,2,3,20
KjB2DklK,inglaterra,local,10/12 (83%),Rashford M.Forward,4,0.10,7.0,1/2 (50%),1,2,19
KjB2DklK,inglaterra,local,13/15 (87%),Rogers M.Midfielder,4,0.55,6.8,-,3,7,21
KjB2DklK,inglaterra,local,14/14 (100%),Burn D.Defender,1,-,6.6,-,-,1,16
KjB2DklK,inglaterra,local,16/17 (94%),Guehi M.Defender,4,-,6.6,1/1 (100%),-,-,22
KjB2DklK,inglaterra,local,3/9 (33%),Sequeira P.Goalkeeper,1,-,6.6,-,-,-,18
KjB2DklK,inglaterra,local,9/12 (75%),Spence D.Defender,2,-,6.5,1/2 (50%),-,-,16
KjB2DklK,inglaterra,local,10/12 (83%),Quansah J.Defender,3,-,6.4,-,-,-,18
KjB2DklK,inglaterra,local,7/8 (88%),Henderson D.Goalkeeper,-,-,6.3,-,-,-,9
KjB2DklK,inglaterra,local,9/11 (82%),Pickford J.Goalkeeper,-,-,6.3,-,-,-,12
KjB2DklK,inglaterra,local,1/1 (100%),Quiros H.Midfielder,2,-,6.3,-,-,-,11
KjB2DklK,inglaterra,local,4/6 (67%),Galo O.Midfielder,9,0.03,6.2,-,1,-,21
KjB2DklK,inglaterra,local,3/6 (50%),Johnson S.Fullback,6,-,6.2,0/1 (0%),-,-,16
KjB2DklK,inglaterra,local,12/25 (48%),Faerron F.Centre back,2,-,6.1,-,-,-,38
KjB2DklK,inglaterra,local,7/8 (88%),Nunez C.Midfielder,4,-,6.1,1/1 (100%),-,-,12
KjB2DklK,inglaterra,local,7/10 (70%),Mitchell J.Centre back,6,-,5.9,1/1 (100%),-,-,23
KjB2DklK,inglaterra,local,4/8 (50%),Alcocer J.Winger,19,-,5.8,1/4 (25%),-,-,27
KjB2DklK,inglaterra,local,3/8 (38%),Madriz A.Goalkeeper,-,-,5.8,-,-,-,12
KjB2DklK,inglaterra,local,3/8 (38%),Mora C.Winger,8,-,5.7,-,-,1,19
KjB2DklK,inglaterra,local,8/10 (80%),Salazar A.Midfielder,7,-,5.6,-,-,-,16
KjB2DklK,inglaterra,local,5/8 (63%),Soto A.Midfielder,6,-,5.6,-,-,-,13
KjB2DklK,inglaterra,local,4/7 (57%),Ugalde M.Striker,6,-,5.3,-,-,-,16
KjB2DklK,inglaterra,local,2/9 (22%),Araya D.Fullback,4,-,4.4,-,-,-,22
KjB2DklK,inglaterra,local,1/1 (100%),Rodriguez D.Forward,2,-,-,-,-,-,1
KjB2DklK,inglaterra,local,2/2 (100%),Ruiz J.Defender,-,-,-,-,-,-,5
KjB2DklK,inglaterra,local,1/3 (33%),Sinclair O.Forward,3,-,-,0/1 (0%),-,-,5
hpJGkndD,inglaterra,local,14/16 (88%),Kane H.Striker,3,0.25,7.9,-,3,2,21
hpJGkndD,inglaterra,local,48/49 (98%),Henderson J.Midfielder,-,0.04,7.9,-,1,1,54
hpJGkndD,inglaterra,local,35/37 (95%),Guehi M.Centre back,5,-,7.6,-,-,-,41
hpJGkndD,inglaterra,local,18/22 (82%),Rashford M.Winger,3,0.13,7.5,1/2 (50%),2,5,37
hpJGkndD,inglaterra,local,27/31 (87%),Spence D.Fullback,2,0.04,7.5,0/1 (0%),2,2,41
hpJGkndD,inglaterra,local,32/32 (100%),Bellingham J.Midfielder,6,0.11,7.3,1/1 (100%),2,1,42
hpJGkndD,inglaterra,local,50/53 (94%),Anderson E.Midfielder,5,0.04,7.2,-,1,-,61
hpJGkndD,inglaterra,local,24/26 (92%),Ngumoha R.Forward,12,0.06,7.1,4/5 (80%),1,3,41
hpJGkndD,inglaterra,local,18/22 (82%),Rogers M.Attacking midfielder,2,0.08,7.1,-,2,4,31
hpJGkndD,inglaterra,local,33/36 (92%),Mainoo K.Midfielder,5,0.04,7.0,1/1 (100%),1,-,47
hpJGkndD,inglaterra,local,41/41 (100%),Burn D.Defender,3,0.15,6.9,-,2,2,49
hpJGkndD,inglaterra,local,32/36 (89%),James R.Defender,4,0.05,6.9,1/1 (100%),1,-,48
hpJGkndD,inglaterra,local,20/22 (91%),Watkins O.Winger,5,0.37,6.9,2/2 (100%),2,4,29
hpJGkndD,inglaterra,local,10/14 (71%),Pickford J.Goalkeeper,-,-,6.8,-,-,-,17
hpJGkndD,inglaterra,local,40/42 (95%),Konsa E.Defender,2,-,6.7,-,-,-,43
hpJGkndD,inglaterra,local,32/33 (97%),Livramento V.Defender,2,-,6.7,0/1 (0%),-,3,38
