match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
KjB2DklK,inglaterra,10.06.2026 20:00,Football / World / Friendly International,England,Costa Rica,3,0,2,81%,1,2,3,4,,30,0,1,1.26,1.57,3,11,0,0.00,,1,3,82%(9/11),0,92%(262/286),88%(103/117),6,4,3,3,63%(5/8),5,9,17,0.98,0.00,0,1,82%,4,8,2,7,7%(1/14),28,0,0,1.10,3.34,4,13,0,0.00,1,0,6,78%(7/9),0,89%(247/276),86%(108/125),,12,6,6,8,43%(3/7),11,20,29,2.19,0.00,0,0,19%,0,1,10,1,,13,0,0,0.01,0.03,11,3,3,-0.02,,0,6,15%(3/20),0,52%(35/67),36%(5/14),0,0,0,1,56%(5/9),10,1,0,0.00,0.98,2,0,18%,0,0,24,0,0%(0/2),14,0,0,0.01,0.00,13,4,4,0.19,0,0,4,25%(4/16),0,56%(35/62),33%(4/12),,0,0,0,0,100%(2/2),2,0,1,0.00,2.19,2
hpJGkndD,inglaterra,06.06.2026 20:00,Football / World / Friendly International,England,New Zealand,1,0,0,67%,2,5,0,5,19%(3/16),18,0,0,0.67,1.05,4,5,1,0.04,1,0,1,60%(12/20),0,90%(293/325),81%(118/146),6,6,3,8,71%(5/7),9,14,20,1.16,0.04,,0,76%,1,6,5,3,10%(1/10),25,0,0,0.54,0.49,6,8,0,0.00,,1,0,67%(8/12),2,95%(316/333),91%(90/99),,4,2,1,5,67%(6/9),4,9,17,0.07,0.00,,0,33%,0,0,20,0,0%(0/2),11,0,0,0.06,0.09,5,4,2,0.16,0,0,6,53%(16/30),0,84%(135/161),65%(15/23),1,1,1,1,67%(2/3),4,2,2,0.04,1.16,,0,24%,0,1,7,1,0%(0/4),22,0,0,0.02,0.03,8,6,1,0.07,,0,1,13%(2/16),1,78%(79/101),47%(8/17),,0,0,0,1,45%(5/11),9,1,2,0.00,0.07,
l0V9sPVq,inglaterra,31.03.2026 18:45,Football / World / Friendly International,England,Japan,0,1,0,69%,0,6,8,2,22%(2/9),20,0,0,0.45,0.30,5,8,0,-0.17,,1,6,38%(5/13),0,91%(355/388),75%(71/95),5,1,0,2,100%(3/3),3,7,15,0.00,0.83,,0,70%,0,4,7,9,28%(5/18),22,0,0,0.55,0.59,2,5,1,0.12,,0,1,56%(9/16),0,88%(289/328),83%(127/153),,10,4,4,2,50%(1/2),9,12,18,0.46,0.12,0,1,31%,1,1,9,1,20%(1/5),18,0,0,0.48,0.36,8,5,0,0.00,,1,10,42%(8/19),0,86%(146/169),77%(23/30),2,2,1,2,56%(5/9),4,4,6,0.83,0.00,,0,30%,0,1,23,0,0%(0/1),21,0,0,0.09,0.22,5,2,3,0.46,,0,3,35%(9/26),0,74%(109/147),56%(22/39),,3,1,1,0,75%(9/12),4,3,9,0.12,0.46,2
IHvvmo8M,inglaterra,27.03.2026 19:45,Football / World / Friendly International,England,Uruguay,1,1,0,63%,0,2,3,5,50%(6/12),33,0,0,0.41,0.36,2,7,0,0.00,,0,2,73%(11/15),1,92%(266/290),86%(72/84),3,1,2,2,55%(6/11),12,5,17,0.38,0.00,,1,45%,2,3,12,2,29%(2/7),25,0,0,0.57,1.50,5,5,0,-0.16,,0,7,38%(5/13),1,84%(161/192),77%(33/43),,5,2,3,3,54%(7/13),4,8,12,1.66,0.84,1,0,37%,0,1,10,0,0%(0/2),19,0,0,0.08,0.17,7,2,2,0.38,,0,5,55%(6/11),0,89%(158/178),74%(20/27),1,2,0,2,69%(9/13),4,3,3,0.00,0.38,,0,55%,1,3,6,0,43%(3/7),18,0,0,0.80,1.11,5,5,2,0.66,,0,7,45%(13/29),1,86%(206/240),81%(43/53),,5,2,1,1,83%(5/6),6,6,9,0.84,1.66,2
K2zQWa9N,inglaterra,16.11.2025 17:00,Football / Europe / World Championship - Qualification,Albania,England,0,2,0,33%,0,0,12,4,0%(0/8),12,0,0,0.04,0.03,5,4,3,0.66,,0,3,32%(11/34),1,72%(109/152),65%(20/31),0,1,0,1,50%(2/4),10,1,4,0.00,0.66,1,0,27%,1,0,10,1,20%(1/5),13,0,0,0.19,0.46,4,6,2,-0.26,0,0,3,43%(9/21),0,76%(102/134),58%(11/19),,4,2,3,1,67%(4/6),6,5,5,0.82,1.74,0,0,67%,0,0,11,3,20%(2/10),28,0,1,0.23,0.40,4,5,0,0.00,,0,6,33%(3/9),2,91%(293/323),77%(58/75),3,1,3,1,86%(6/7),7,4,6,0.66,0.00,1,3,73%,3,3,3,2,38%(3/8),16,0,0,1.59,1.46,6,4,3,0.82,1,0,8,90%(9/10),0,94%(340/363),87%(103/118),,7,3,4,3,33%(2/6),9,10,22,1.74,0.82,1
487OVDPM,inglaterra,13.11.2025 19:45,Football / Europe / World Championship - Qualification,England,Serbia,2,0,0,70%,0,3,8,2,22%(2/9),16,0,0,0.28,0.37,7,4,1,0.02,,1,3,64%(14/22),0,89%(265/298),75%(68/91),6,3,3,3,67%(4/6),7,9,12,0.35,0.02,,3,70%,2,3,1,4,33%(3/9),15,0,0,1.35,0.83,6,6,0,0.00,,1,0,64%(9/14),2,93%(323/349),83%(85/102),,4,4,3,6,100%(5/5),11,10,27,1.06,0.00,0,1,30%,0,2,12,5,10%(1/10),19,0,1,0.22,0.06,4,7,2,-0.65,,0,8,55%(17/31),0,75%(91/121),68%(13/19),2,1,1,2,50%(3/6),10,4,5,0.02,0.35,,0,30%,1,1,6,0,100%(1/1),26,0,1,0.59,0.32,6,6,2,0.06,,0,2,52%(13/25),2,81%(121/149),55%(12/22),,3,2,0,0,62%(8/13),2,3,7,0.00,1.06,1
vmHdRwXp,inglaterra,14.10.2025 18:45,Football / Europe / World Championship - Qualification,Latvia,England,0,5,0,33%,0,1,24,1,33%(2/6),14,1,0,0.08,0.15,7,3,1,-0.25,,0,7,58%(14/24),0,80%(134/168),65%(11/17),1,0,0,0,25%(1/4),9,1,2,0.00,2.75,3,0,23%,0,2,21,1,0%(0/1),17,0,0,0.11,0.26,4,2,2,0.45,,0,8,50%(8/16),0,83%(100/120),78%(18/23),,4,2,1,1,78%(7/9),4,5,7,0.04,1.45,1,0,67%,2,4,7,3,5%(1/20),22,0,0,0.78,1.65,3,7,0,0.00,,0,8,82%(9/11),1,91%(303/333),88%(170/193),7,7,4,8,14%(1/7),6,15,26,2.75,0.00,0,1,77%,1,3,2,6,24%(4/17),17,0,0,0.59,0.75,2,4,1,0.04,,0,4,73%(8/11),0,93%(358/386),87%(164/189),,6,3,3,3,71%(5/7),11,9,22,1.45,0.04,1
WSMUejIP,inglaterra,09.10.2025 18:45,Football / World / Friendly International,England,Wales,3,0,0,65%,4,3,7,5,13%(2/15),19,0,0,1.83,2.74,3,6,0,0.00,,0,3,69%(9/13),1,93%(277/298),88%(86/98),9,3,5,2,67%(2/3),4,11,25,2.44,0.00,1,0,62%,0,4,4,3,29%(2/7),9,0,0,0.34,0.27,7,3,2,0.27,,1,2,74%(14/19),0,94%(313/332),87%(83/95),,6,2,0,0,100%(4/4),8,6,18,0.00,0.27,1,0,35%,0,4,13,0,75%(3/4),15,0,0,0.07,0.14,6,3,2,-0.56,,0,5,32%(6/19),0,82%(132/161),58%(14/24),2,1,0,3,20%(1/5),2,5,6,0.00,2.44,1,0,38%,0,1,8,2,57%(4/7),20,0,0,0.18,0.39,3,7,0,0.00,,0,4,62%(13/21),1,87%(177/203),67%(22/33),,5,2,2,0,86%(6/7),8,5,10,0.27,0.00,0
6kZfUL5F,inglaterra,09.09.2025 18:45,Football / Europe / World Championship - Qualification,Serbia,England,0,5,0,29%,0,1,18,1,50%(1/2),11,0,0,0.05,0.07,5,5,3,-0.84,0,0,1,50%(11/22),0,84%(117/140),67%(16/24),1,1,0,1,50%(1/2),4,2,2,0.00,1.16,1,0,31%,0,1,9,1,17%(1/6),18,0,0,0.06,0.01,6,5,4,-0.17,,0,3,48%(10/21),1,77%(87/113),63%(12/19),1,1,0,0,0,57%(4/7),6,1,2,0.00,2.83,,1,71%,3,3,1,3,15%(2/13),19,0,0,0.65,1.29,5,5,0,0.00,1,0,2,67%(12/18),1,92%(306/332),88%(96/109),7,2,5,3,50%(2/4),6,10,13,1.16,0.00,1,0,69%,4,5,9,3,43%(3/7),25,0,0,0.86,2.93,5,6,0,0.00,,0,1,41%(9/22),1,90%(230/256),88%(60/68),0,9,2,7,5,43%(3/7),4,14,24,2.83,0.00,
tCFjI0fU,inglaterra,06.09.2025 16:00,Football / Europe / World Championship - Qualification,England,Andorra,2,0,1,83%,1,1,1,4,,20,0,0,0.91,0.75,2,4,0,0.00,,0,1,52%(14/27),1,88%(366/414),78%(129/166),4,2,3,2,71%(5/7),10,6,20,0.15,0.00,0,0,82%,2,0,3,4,36%(4/11),17,0,0,0.84,1.20,8,4,0,0.00,1,0,1,53%(8/15),4,92%(344/373),84%(139/165),,5,1,4,0,100%(4/4),11,5,26,1.99,0.00,1,0,17%,0,0,20,0,,18,0,0,0.00,0.01,4,2,2,0.15,,0,3,24%(8/34),1,53%(46/86),41%(7/17),0,1,0,1,83%(5/6),5,1,0,0.00,0.15,1,0,18%,0,0,23,0,50%(1/2),29,0,2,0.04,0.08,4,8,3,0.99,0,0,5,36%(12/33),0,59%(47/79),50%(7/14),,1,1,0,0,83%(10/12),7,1,4,0.00,1.99,0
