match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
OGWOpX4c,iran,local,28/33 (85%),Mohebi M.Winger,7,0.87,9.7,1/1 (100%),5,6,54
OGWOpX4c,iran,local,27/36 (75%),Taremi M.Striker,7,1.58,9.0,-,6,10,56
OGWOpX4c,iran,local,51/61 (84%),Ezatolahi S.Midfielder,17,0.02,7.9,0/1 (0%),1,-,76
OGWOpX4c,iran,local,51/59 (86%),Noorafkan O.Fullback,10,-,7.9,1/1 (100%),-,-,91
OGWOpX4c,iran,local,19/21 (90%),Hardani S.Defender,7,-,7.8,-,-,-,45
OGWOpX4c,iran,local,42/52 (81%),Ghoddos S.Midfielder,10,0.07,7.6,1/3 (33%),2,2,66
OGWOpX4c,iran,local,13/14 (93%),Hosseinzadeh A.Forward,4,0.75,7.5,0/1 (0%),3,3,21
OGWOpX4c,iran,local,7/11 (64%),Moghanlou S.Forward,8,1.03,7.3,-,7,9,23
OGWOpX4c,iran,local,29/30 (97%),Hosseini H.Goalkeeper,-,-,7.0,-,-,-,37
OGWOpX4c,iran,local,60/67 (90%),Aghasi A.Centre back,4,-,6.9,-,-,-,75
OGWOpX4c,iran,local,9/26 (35%),Kang Ju-HyokGoalkeeper,-,-,6.6,-,-,-,37
OGWOpX4c,iran,local,14/26 (54%),Kim Jin-HyukFullback,8,-,6.6,-,-,-,49
OGWOpX4c,iran,local,8/8 (100%),Sin K. N.Midfielder,2,0.04,6.6,-,1,1,15
OGWOpX4c,iran,local,12/17 (71%),Yousefi A.Fullback,2,-,6.6,-,-,-,32
OGWOpX4c,iran,local,12/19 (63%),Hashemnejad M.Winger,9,-,6.5,0/1 (0%),-,1,29
OGWOpX4c,iran,local,6/10 (60%),Razzaghinia A.Attacking midfielder,5,-,6.5,1/1 (100%),-,1,12
OGWOpX4c,iran,local,70/76 (92%),Nemati A.Centre back,6,-,6.4,-,-,-,83
OGWOpX4c,iran,local,4/12 (33%),Pak Kwang-HunAttacking midfielder,10,-,6.3,1/1 (100%),-,2,19
OGWOpX4c,iran,local,6/8 (75%),Kim Kuk-JinForward,4,-,6.0,0/1 (0%),-,-,10
OGWOpX4c,iran,local,11/16 (69%),Paek Chung-SongWinger,6,0.10,5.8,0/1 (0%),1,1,27
OGWOpX4c,iran,local,8/14 (57%),Ri Jo-GukStriker,18,0.05,5.8,0/1 (0%),2,-,28
OGWOpX4c,iran,local,15/22 (68%),Jang Kuk-CholCentre back,7,-,5.7,-,-,1,34
OGWOpX4c,iran,local,10/17 (59%),Kim Sung-HyeFullback,6,-,5.6,1/2 (50%),-,-,47
OGWOpX4c,iran,local,19/27 (70%),Ra M.Midfielder,4,0.09,5.6,-,2,1,37
OGWOpX4c,iran,local,10/14 (71%),Kim Yu-SongCentre back,4,-,5.5,-,-,-,30
OGWOpX4c,iran,local,9/12 (75%),Ri Il-songWinger,12,0.01,5.4,0/2 (0%),1,-,25
OGWOpX4c,iran,local,11/16 (69%),Kye TamMidfielder,10,-,4.4,-,-,2,26
OGWOpX4c,iran,local,5/6 (83%),Choe KukMidfielder,2,0.05,-,0/2 (0%),1,-,9
OGWOpX4c,iran,local,6/6 (100%),Hazbavi M.Defender,-,-,-,-,-,-,6
OGWOpX4c,iran,local,4/4 (100%),Hosseinnejad M.Forward,3,0.05,-,0/1 (0%),1,-,9
OGWOpX4c,iran,local,1/2 (50%),Ri Kwang-MyongForward,2,-,-,1/1 (100%),-,-,3
OGWOpX4c,iran,local,4/7 (57%),Yong I. C.Player,4,-,-,1/2 (50%),-,-,12
