match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
4E3Spdio,iraq,local,20/26 (77%),Torres F.Winger,3,0.31,8.0,1/1 (100%),2,3,34
4E3Spdio,iraq,local,32/40 (80%),Bernal M.Midfielder,8,-,7.3,-,-,-,51
4E3Spdio,iraq,local,20/27 (74%),Baena A.Winger,3,0.13,7.2,-,3,5,42
4E3Spdio,iraq,local,17/20 (85%),Doski M.Fullback,2,0.05,7.1,1/2 (50%),1,-,37
4E3Spdio,iraq,local,77/80 (96%),Martin J.Centre back,2,0.09,7.1,-,1,1,85
4E3Spdio,iraq,local,29/32 (91%),Olmo D.Attacking midfielder,3,0.31,7.1,0/1 (0%),2,2,39
4E3Spdio,iraq,local,35/40 (88%),GaviMidfielder,16,-,7.0,6/6 (100%),-,4,57
4E3Spdio,iraq,local,27/27 (100%),Hashem A.Centre back,2,-,7.0,-,-,-,35
4E3Spdio,iraq,local,57/58 (98%),Garcia E.Defender,1,-,6.9,-,-,-,62
4E3Spdio,iraq,local,62/65 (95%),Laporte A.Centre back,-,-,6.9,-,-,-,69
4E3Spdio,iraq,local,13/18 (72%),Basil A.Goalkeeper,-,-,6.8,-,-,-,23
4E3Spdio,iraq,local,21/24 (88%),Pino Y.Forward,9,0.06,6.8,0/2 (0%),2,1,38
4E3Spdio,iraq,local,25/29 (86%),Grimaldo A.Fullback,1,0.03,6.7,-,1,3,45
4E3Spdio,iraq,local,40/42 (95%),Pubill M.Defender,2,-,6.7,-,-,-,44
4E3Spdio,iraq,local,21/22 (95%),Iqbal Z.Midfielder,3,-,6.6,-,-,-,26
4E3Spdio,iraq,local,32/36 (89%),Porro P.Fullback,3,-,6.6,0/1 (0%),-,1,50
4E3Spdio,iraq,local,19/22 (86%),Rodriguez J.Midfielder,5,0.06,6.6,2/3 (67%),1,-,37
4E3Spdio,iraq,local,31/33 (94%),Gomez S.Defender,1,-,6.5,-,-,1,39
4E3Spdio,iraq,local,17/19 (89%),Guerra J.Midfielder,8,-,6.5,2/2 (100%),-,1,28
4E3Spdio,iraq,local,13/19 (68%),Ismaeel Z.Midfielder,6,-,6.5,-,-,-,30
4E3Spdio,iraq,local,17/18 (94%),Merino M.Midfielder,4,-,6.5,-,-,-,23
4E3Spdio,iraq,local,23/28 (82%),Tahseen Z.Centre back,2,0.09,6.5,-,1,1,38
4E3Spdio,iraq,local,25/26 (96%),Turrientes B.Midfielder,3,-,6.5,-,-,1,27
4E3Spdio,iraq,local,8/11 (73%),Farji M.Winger,7,-,6.4,-,-,1,25
4E3Spdio,iraq,local,9/15 (60%),Hassan J.Goalkeeper,-,-,6.4,-,-,-,18
4E3Spdio,iraq,local,16/19 (84%),Rodriguez J.Defender,-,-,6.4,-,-,-,22
4E3Spdio,iraq,local,7/8 (88%),Yahya A.Defender,1,-,6.4,-,-,-,12
4E3Spdio,iraq,local,10/10 (100%),Younis M.Defender,4,-,6.4,-,-,-,19
4E3Spdio,iraq,local,2/4 (50%),Amyn Y.Midfielder,2,-,6.3,-,-,-,8
4E3Spdio,iraq,local,10/13 (77%),Iglesias B.Striker,-,-,6.3,-,-,-,14
4E3Spdio,iraq,local,9/9 (100%),Qasem A.Forward,2,-,6.3,1/1 (100%),-,-,13
4E3Spdio,iraq,local,12/13 (92%),Saadoon M.Defender,-,-,6.3,-,-,-,16
4E3Spdio,iraq,local,11/13 (85%),Putros F.Defender,3,-,6.2,0/1 (0%),-,1,23
4E3Spdio,iraq,local,4/4 (100%),Roman L.Goalkeeper,-,-,6.2,-,-,-,4
4E3Spdio,iraq,local,18/18 (100%),Sulaka R.Defender,1,-,6.2,-,-,-,18
4E3Spdio,iraq,local,11/13 (85%),Yakob K.Midfielder,6,-,6.2,0/1 (0%),-,-,19
4E3Spdio,iraq,local,4/4 (100%),Al Hamadi A.Striker,3,-,6.0,-,-,-,9
4E3Spdio,iraq,local,11/15 (73%),Ali H.Fullback,1,-,6.0,0/1 (0%),-,-,21
4E3Spdio,iraq,local,3/4 (75%),Garcia G.Forward,3,0.43,6.0,0/2 (0%),1,2,11
4E3Spdio,iraq,local,5/8 (63%),Hussein A.Forward,3,-,6.0,0/1 (0%),-,2,13
4E3Spdio,iraq,local,21/25 (84%),Al Ammari A.Midfielder,4,-,5.9,-,-,-,32
4E3Spdio,iraq,local,8/11 (73%),Bayesh I.Winger,8,0.07,5.7,1/2 (50%),1,-,27
4E3Spdio,iraq,local,26/26 (100%),Garcia J.Goalkeeper,-,-,5.4,-,-,-,30
4E3Spdio,iraq,local,26/34 (76%),Jasim A.Striker,15,-,5.1,0/2 (0%),-,-,49
nu8tqnGs,iraq,local,24/30 (80%),Vaca R.Winger,4,0.10,7.9,1/2 (50%),5,-,54
nu8tqnGs,iraq,local,10/14 (71%),Hussein A.Striker,13,0.25,7.5,-,1,1,25
nu8tqnGs,iraq,local,3/5 (60%),Farji M.Forward,4,0.05,7.3,-,1,2,13
nu8tqnGs,iraq,local,10/13 (77%),Sher A.Midfielder,5,-,7.3,-,-,-,21
nu8tqnGs,iraq,local,19/21 (90%),Al Ammari A.Midfielder,4,0.03,7.2,-,1,-,32
nu8tqnGs,iraq,local,14/15 (93%),Al Hamadi A.Striker,3,0.26,7.2,0/3 (0%),1,2,21
nu8tqnGs,iraq,local,14/25 (56%),Basil A.Goalkeeper,2,-,7.1,-,-,-,35
nu8tqnGs,iraq,local,17/23 (74%),Hashem A.Centre back,2,-,7.0,-,-,-,42
nu8tqnGs,iraq,local,41/51 (80%),Fernandez R.Fullback,10,0.02,6.9,1/3 (33%),1,2,72
nu8tqnGs,iraq,local,34/37 (92%),MiguelitoWinger,12,-,6.9,2/5 (40%),-,2,67
nu8tqnGs,iraq,local,18/27 (67%),Tahseen Z.Centre back,5,-,6.9,-,-,-,39
nu8tqnGs,iraq,local,64/70 (91%),Haquin L.Centre back,12,0.11,6.8,-,1,3,76
nu8tqnGs,iraq,local,4/7 (57%),Jasim A.Midfielder,9,-,6.7,2/4 (50%),-,-,17
nu8tqnGs,iraq,local,1/1 (100%),MemeForward,2,0.13,6.7,-,1,2,8
nu8tqnGs,iraq,local,8/11 (73%),Nava F.Forward,4,0.03,6.7,2/2 (100%),2,3,28
nu8tqnGs,iraq,local,4/5 (80%),Ismaeel Z.Midfielder,4,-,6.6,-,-,-,13
nu8tqnGs,iraq,local,9/10 (90%),Macazaga L.Defender,5,0.07,6.5,-,1,3,18
nu8tqnGs,iraq,local,66/67 (99%),Morales E.Centre back,4,-,6.5,0/1 (0%),-,-,72
nu8tqnGs,iraq,local,13/16 (81%),Paniagua M.Midfielder,11,0.15,6.5,2/3 (67%),2,9,37
nu8tqnGs,iraq,local,32/44 (73%),Robson MatheusMidfielder,5,0.02,6.5,-,1,-,55
nu8tqnGs,iraq,local,7/7 (100%),Amyn Y.Winger,5,-,6.4,-,-,-,14
nu8tqnGs,iraq,local,12/14 (86%),Doski M.Fullback,11,-,6.3,-,-,-,37
nu8tqnGs,iraq,local,26/30 (87%),Medina D.Fullback,11,-,6.3,0/2 (0%),-,1,47
nu8tqnGs,iraq,local,41/42 (98%),Villamil G.Midfielder,7,0.02,6.1,-,1,-,54
nu8tqnGs,iraq,local,10/15 (67%),Ali H.Fullback,6,-,5.9,-,-,-,29
nu8tqnGs,iraq,local,18/21 (86%),Bayesh I.Winger,14,0.03,5.6,-,1,-,35
nu8tqnGs,iraq,local,9/14 (64%),Viscarra G.Goalkeeper,-,-,5.6,-,-,-,20
nu8tqnGs,iraq,local,5/7 (71%),Godoy J.Striker,8,-,5.1,-,-,3,11
nu8tqnGs,iraq,local,4/4 (100%),Monteiro E.Forward,-,0.08,-,-,1,-,6
nu8tqnGs,iraq,local,2/3 (67%),Yakob K.Midfielder,4,-,-,-,-,-,5
SMQlxEjg,iraq,local,90/95 (95%),Ismaeel Z.Midfielder,9,0.07,8.3,1/1 (100%),3,-,114
SMQlxEjg,iraq,local,65/75 (87%),Hashem A.Centre back,14,0.19,8.1,-,3,3,97
SMQlxEjg,iraq,local,13/17 (76%),Al Quraishi A.Wingback,13,-,7.7,2/3 (67%),-,-,54
SMQlxEjg,iraq,local,44/54 (81%),Yahya A.Fullback,13,-,7.6,1/3 (33%),-,1,94
SMQlxEjg,iraq,local,12/20 (60%),Abulaila Y.Goalkeeper,1,-,7.5,-,-,-,30
SMQlxEjg,iraq,local,64/76 (84%),Nabeel K.Midfielder,17,-,7.5,1/3 (33%),-,2,95
SMQlxEjg,iraq,local,14/17 (82%),Al Rosan S.Centre back,6,-,7.4,0/1 (0%),-,1,37
SMQlxEjg,iraq,local,42/50 (84%),Jasim A.Winger,12,0.17,7.3,2/2 (100%),4,3,88
SMQlxEjg,iraq,local,21/25 (84%),Abu Dahab H.Centre back,7,-,7.2,-,-,-,48
SMQlxEjg,iraq,local,12/19 (63%),Nasib A.Centre back,10,-,7.1,-,-,-,46
SMQlxEjg,iraq,local,19/25 (76%),Al Rashdan N.Midfielder,15,-,7.0,1/2 (50%),-,-,49
SMQlxEjg,iraq,local,17/27 (63%),Jamous A.Midfielder,12,-,7.0,0/1 (0%),-,-,46
SMQlxEjg,iraq,local,18/25 (72%),Olwan A.Attacking midfielder,20,0.80,7.0,1/8 (13%),2,4,48
SMQlxEjg,iraq,local,18/26 (69%),Basil A.Goalkeeper,-,-,6.9,-,-,-,33
SMQlxEjg,iraq,local,9/10 (90%),Abdulkareem H.Forward,6,0.01,6.7,1/3 (33%),1,1,19
SMQlxEjg,iraq,local,44/54 (81%),Saadoon M.Fullback,7,0.07,6.6,0/1 (0%),1,1,88
SMQlxEjg,iraq,local,10/15 (67%),Abu Taha M.Wingback,7,0.01,6.5,1/1 (100%),1,-,42
