match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,error_2nd Half,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,local__accurate_through_passes,local__ball_possession,local__big_chances,local__blocked_shots,local__clearances,local__corner_kicks,local__crosses,local__duels_won,local__errors_leading_to_goal,local__errors_leading_to_shot,local__expected_assists_xa,local__expected_goals_xg,local__fouls,local__free_kicks,local__goalkeeper_saves,local__goals_prevented,local__hit_the_woodwork,local__interceptions,local__long_passes,local__offsides,local__passes,local__passes_in_final_third,local__red_cards,local__shots_inside_the_box,local__shots_off_target,local__shots_on_target,local__shots_outside_the_box,local__tackles,local__throw_ins,local__total_shots,local__touches_in_opposition_box,local__xg_on_target_xgot,local__xgot_faced,local__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards,visitante__accurate_through_passes,visitante__ball_possession,visitante__big_chances,visitante__blocked_shots,visitante__clearances,visitante__corner_kicks,visitante__crosses,visitante__duels_won,visitante__errors_leading_to_goal,visitante__errors_leading_to_shot,visitante__expected_assists_xa,visitante__expected_goals_xg,visitante__fouls,visitante__free_kicks,visitante__goalkeeper_saves,visitante__goals_prevented,visitante__hit_the_woodwork,visitante__interceptions,visitante__long_passes,visitante__offsides,visitante__passes,visitante__passes_in_final_third,visitante__red_cards,visitante__shots_inside_the_box,visitante__shots_off_target,visitante__shots_on_target,visitante__shots_outside_the_box,visitante__tackles,visitante__throw_ins,visitante__total_shots,visitante__touches_in_opposition_box,visitante__xg_on_target_xgot,visitante__xgot_faced,visitante__yellow_cards
IX7goKum,iraq,10.06.2026 01:00,Football / World / Friendly International,Iraq,Venezuela,0,2,,,,47%,,,,0,,,,,,,7,11,,,,,,,0,,,,,3,3,,,7,6,,,,1,,36%,,,,2,,,,,,,1,7,,,,,,,1,,,1,,2,2,,,3,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53%,,,,3,,,,,,,8,7,,,,,,,3,,,,,3,2,,,12,5,,,,1,,64%,,,,0,,,,,,,7,2,,,,,,,0,,,0,,2,3,,,1,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4E3Spdio,iraq,04.06.2026 19:00,Football / World / Friendly International,Spain,Iraq,1,1,,,2,72%,2,1,2,3,31%(5/16),21,1,0,0.44,0.76,3,4,0,-0.74,,2,7,61%(11/18),2,89%(325/367),71%(60/84),,6,2,4,1,75%(6/8),7,7,18,1.05,0.26,2,0,60%,1,2,8,2,22%(2/9),25,0,0,0.72,0.66,5,6,1,0.26,,0,3,69%(11/16),2,93%(291/314),82%(60/73),,2,4,0,4,64%(9/14),4,6,7,0.00,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28%,0,0,21,0,0%(0/3),9,0,0,0.02,0.12,4,3,3,0.05,,0,6,42%(8/19),1,81%(117/145),74%(17/23),,0,1,1,2,40%(2/5),7,2,1,0.26,1.05,0,0,40%,0,0,6,3,0%(0/9),18,0,0,0.05,0.09,6,5,0,0.00,,0,2,58%(18/31),0,85%(170/201),68%(25/37),,1,0,1,0,63%(5/8),7,1,4,0.26,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r9x4VPN8,iraq,29.05.2026 16:00,Football / World / Friendly International,Iraq,Andorra,1,0,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[dat",,66%,,,,3,,,,,,,,,,,,,,,,,,,,4,3,,,17,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34%,,,,2,,,,,,,,,,,,,,,,,,,,2,3,,,9,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu8tqnGs,iraq,01.04.2026 03:00,Football / World / World Championship - Qualification - Promotion - Final,Iraq,Bolivia,2,1,,,0,41%,1,0,18,1,50%(1/2),23,0,0,0.31,0.31,11,7,3,-0.61,1,1,4,54%(14/26),0,81%(109/135),74%(20/27),,1,1,2,2,67%(4/6),7,3,2,0.69,0.39,1,0,24%,2,1,29,1,33%(1/3),25,0,0,0.15,0.43,9,5,2,0.31,,0,4,39%(7/18),0,67%(54/81),50%(13/26),,3,1,1,0,73%(8/11),6,3,5,0.19,0.31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59%,2,2,3,5,8%(1/13),20,0,0,0.17,0.31,7,11,1,-0.31,0,0,1,58%(11/19),0,85%(159/186),74%(42/57),,2,2,4,6,75%(3/4),7,8,8,0.39,0.69,0,0,76%,0,3,4,11,5%(1/21),25,0,0,0.52,0.30,5,9,0,-0.81,,0,2,50%(10/20),0,88%(217/247),76%(69/91),,2,2,2,5,33%(2/6),14,7,18,0.31,0.19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMQlxEjg,iraq,12.12.2025 14:30,Football / World / FIFA Arab Cup - Play Offs - Quarter-finals,Jordan,Iraq,1,0,,,0,38%,1,1,18,1,25%(2/8),25,0,0,0.12,0.90,4,3,0,0.00,,0,6,27%(6/22),2,79%(123/155),70%(28/40),,3,0,2,0,25%(2/8),17,3,9,0.88,0.00,,0,21%,0,1,38,1,0%(0/4),29,0,0,0.04,0.14,6,4,3,0.29,,0,5,43%(10/23),1,58%(45/78),48%(14/29),,1,0,2,2,50%(6/12),8,3,7,0.27,0.29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62%,0,1,12,3,9%(1/11),29,0,0,0.11,0.05,3,4,1,-0.12,,0,3,48%(13/27),0,79%(203/256),63%(42/67),,0,1,0,2,80%(12/15),13,2,4,0.00,0.88,,0,79%,3,10,8,9,18%(8/44),34,0,0,0.59,1.20,4,6,2,0.27,,0,5,48%(11/23),0,89%(241/272),78%(66/85),,12,6,3,7,64%(9/14),10,19,19,0.29,0.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fPvKXYYj,iraq,09.12.2025 17:00,Football / World / FIFA Arab Cup - Round 3,Algeria,Iraq,2,0,,,0,70%,1,1,5,3,50%(4/8),23,0,1,0.66,0.67,6,6,0,0.00,1,0,3,77%(20/26),1,92%(295/321),82%(79/96),0,4,3,2,2,67%(4/6),10,6,15,0.74,0.00,,0,68%,3,1,10,3,0%(0/6),29,0,0,0.49,1.18,8,1,1,0.05,,0,2,85%(22/26),3,94%(355/379),83%(99/120),,6,4,3,2,71%(10/14),7,8,19,0.93,0.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30%,0,3,14,0,0%(0/2),22,0,0,0.10,0.13,6,6,1,-0.26,0,0,5,42%(11/26),1,79%(106/135),62%(8/13),1,2,0,0,1,75%(6/8),6,3,4,0.00,0.74,,0,32%,1,1,13,1,0%(0/6),22,0,0,0.03,0.16,1,8,3,0.93,,0,2,43%(10/23),0,81%(138/170),74%(17/23),,1,0,1,1,86%(6/7),15,2,7,0.05,0.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKPnk5Ps,iraq,06.12.2025 16:00,Football / World / FIFA Arab Cup - Round 2,Sudan,Iraq,0,2,,,0,51%,1,1,8,1,57%(4/7),22,0,0,0.19,0.32,5,5,1,0.01,,0,6,45%(13/29),2,79%(160/203),51%(19/37),,5,7,0,3,67%(4/6),8,8,7,0.00,0.01,,0,47%,1,1,9,2,20%(2/10),21,0,0,0.25,0.27,9,6,1,-0.60,,0,6,29%(9/31),2,69%(99/143),42%(15/36),,2,2,1,2,67%(4/6),11,4,7,0.01,1.40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49%,0,0,8,3,25%(2/8),33,0,0,0.12,0.03,5,5,0,0.00,,0,10,50%(17/34),0,75%(147/195),61%(38/62),,0,1,1,2,86%(6/7),9,2,4,0.01,0.00,,1,53%,1,0,18,0,100%(2/2),29,0,0,0.29,0.67,6,9,1,0.01,,0,3,56%(22/39),1,75%(129/171),56%(30/54),,7,5,3,1,50%(3/6),6,8,15,1.40,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCmiltPk,iraq,03.12.2025 14:30,Football / World / FIFA Arab Cup - Round 1,Iraq,Bahrain,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43%,3,3,29,1,30%(3/10),62,0,0,0.81,1.26,15,17,0,-0.17,0,8,35%(25/71),1,77%(279/361),53%(40/76),0,5,2,5,5,78%(14/18),16,10,13,1.62,0.83,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,57%,1,7,21,6,10%(2/20),52,0,0,0.67,1.14,17,15,3,0.62,0,8,46%(23/50),4,82%(384/468),65%(81/124),1,5,3,1,6,73%(11/15),22,11,19,0.83,1.62,1
nHQ6REdJ,iraq,18.11.2025 16:00,Football / Asia / World Championship - Qualification - Fifth stage - Final,Iraq,United Arab Emirates,2,1,,,0,44%,0,1,17,2,18%(2/11),27,0,1,0.32,0.15,4,6,2,0.79,,0,1,52%(12/23),1,77%(127/166),53%(19/36),,1,1,0,1,71%(5/7),9,2,2,0.00,0.79,0,0,58%,3,3,7,2,36%(5/14),23,0,0,0.41,1.30,4,6,1,-0.58,1,0,3,50%(17/34),0,83%(156/187),69%(33/48),,5,3,2,3,20%(1/5),17,8,10,0.93,0.42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,56%,1,0,14,1,29%(2/7),18,0,0,0.48,0.35,6,4,0,0.00,,0,1,36%(10/28),4,79%(178/224),64%(36/56),,4,2,2,0,80%(4/5),15,4,4,0.79,0.00,1,0,42%,1,2,14,2,67%(4/6),31,0,0,0.33,0.68,6,4,0,-1.07,0,1,6,45%(10/22),2,79%(111/140),63%(24/38),,5,5,2,4,50%(4/8),8,9,12,0.42,0.93,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hIXcTzS6,iraq,13.11.2025 16:00,Football / Asia / World Championship - Qualification - Fifth stage - Final,United Arab Emirates,Iraq,1,1,,,0,47%,0,1,18,1,50%(3/6),23,0,0,0.68,0.82,6,4,2,-0.40,1,0,2,48%(15/31),1,81%(135/166),69%(34/49),,6,4,2,1,63%(5/8),10,7,7,0.47,0.60,,0,55%,1,6,9,8,17%(3/18),24,0,0,0.82,0.51,3,7,2,0.29,,0,4,36%(8/22),2,82%(165/201),68%(36/53),,6,4,2,6,82%(9/11),6,12,19,0.10,0.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53%,3,2,4,5,0%(0/13),16,0,0,0.33,0.47,4,6,1,-0.53,0,0,2,39%(15/38),1,81%(145/179),56%(25/45),,6,2,3,1,100%(5/5),14,7,9,0.60,0.47,,0,45%,0,1,20,2,0%(0/6),19,0,0,0.10,0.11,7,3,2,0.10,,0,2,41%(12/29),0,80%(139/173),71%(32/45),,0,0,2,3,67%(2/3),7,3,2,0.29,0.10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
