match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
r5MReUf2,japon,local,16/18 (89%),Sugawara Y.Defender,2,0.04,8.0,0/1 (0%),1,1,41
r5MReUf2,japon,local,69/76 (91%),Tomiyasu T.Centre back,5,0.08,7.7,1/1 (100%),2,4,84
r5MReUf2,japon,local,30/34 (88%),Kubo T.Attacking midfielder,8,0.13,7.6,1/5 (20%),2,8,53
r5MReUf2,japon,local,46/51 (90%),Nakamura K.Wingback,7,0.22,7.5,0/2 (0%),4,4,64
r5MReUf2,japon,local,3/5 (60%),Ogawa K.Forward,4,0.34,7.4,-,2,1,9
r5MReUf2,japon,local,35/55 (64%),Valdimarsson H. R.Goalkeeper,-,-,7.4,-,-,-,69
r5MReUf2,japon,local,73/76 (96%),Itakura K.Centre back,10,0.15,7.3,-,1,1,81
r5MReUf2,japon,local,12/19 (63%),Suzuki Z.Goalkeeper,-,-,7.3,-,-,-,23
r5MReUf2,japon,local,52/56 (93%),Tanaka A.Midfielder,3,0.02,7.2,0/1 (0%),1,-,63
r5MReUf2,japon,local,58/62 (94%),Ito H.Defender,4,-,7.1,-,-,1,78
r5MReUf2,japon,local,54/63 (86%),Thordarson S. T.Centre back,10,-,7.0,-,-,-,76
r5MReUf2,japon,local,20/23 (87%),Seko A.Defender,2,-,6.9,-,-,-,28
r5MReUf2,japon,local,22/25 (88%),Yoshida M.Centre back,3,-,6.8,-,-,-,29
r5MReUf2,japon,local,9/14 (64%),Doan R.Wingback,7,-,6.6,-,-,-,23
r5MReUf2,japon,local,18/20 (90%),Ito J.Attacking midfielder,6,0.03,6.6,1/2 (50%),1,1,31
r5MReUf2,japon,local,37/44 (84%),Endo W.Midfielder,6,-,6.5,-,-,1,48
r5MReUf2,japon,local,67/69 (97%),Magnusson H.Centre back,7,-,6.5,-,-,-,82
r5MReUf2,japon,local,8/9 (89%),Nagatomo Y.Defender,2,0.04,6.5,0/1 (0%),1,2,20
r5MReUf2,japon,local,9/11 (82%),Ueda A.Striker,2,-,6.5,-,-,-,13
r5MReUf2,japon,local,2/4 (50%),Andresson B.Forward,3,-,6.4,-,-,-,5
r5MReUf2,japon,local,33/36 (92%),Baldursson A. F.Midfielder,5,-,6.4,-,-,-,47
