match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
r5MReUf2,japon,31.05.2026 10:25,Football / World / Friendly International,Japan,Iceland,1,0,0,57%,0,2,7,1,29%(2/7),24,0,0,0.50,0.31,7,5,2,0.15,,0,1,25%(5/20),1,89%(322/362),79%(90/114),3,1,4,4,57%(4/7),7,7,13,0.42,0.15,0,1,51%,2,3,13,4,27%(3/11),16,0,0,0.37,0.72,4,4,0,0.00,1,0,5,38%(5/13),1,87%(187/216),76%(50/66),,6,2,3,2,100%(2/2),11,8,11,1.64,0.00,0,0,43%,0,0,14,0,0%(0/1),20,0,0,0.03,0.08,5,7,4,0.42,,0,1,27%(8/30),0,84%(226/270),62%(13/21),0,1,2,3,67%(4/6),3,3,0,0.15,0.42,1,0,49%,0,2,15,1,33%(2/6),23,0,1,0.17,0.26,4,4,3,0.64,0,0,2,39%(13/33),0,81%(169/209),48%(15/31),,3,4,0,3,86%(6/7),6,6,7,0.00,1.64,2
l0V9sPVq,japon,31.03.2026 18:45,Football / World / Friendly International,England,Japan,0,1,0,69%,0,6,8,2,22%(2/9),20,0,0,0.45,0.30,5,8,0,-0.17,,1,6,38%(5/13),0,91%(355/388),75%(71/95),5,1,0,2,100%(3/3),3,7,15,0.00,0.83,,0,70%,0,4,7,9,28%(5/18),22,0,0,0.55,0.59,2,5,1,0.12,,0,1,56%(9/16),0,88%(289/328),83%(127/153),,10,4,4,2,50%(1/2),9,12,18,0.46,0.12,0,1,31%,1,1,9,1,20%(1/5),18,0,0,0.48,0.36,8,5,0,0.00,,1,10,42%(8/19),0,86%(146/169),77%(23/30),2,2,1,2,56%(5/9),4,4,6,0.83,0.00,,0,30%,0,1,23,0,0%(0/1),21,0,0,0.09,0.22,5,2,3,0.46,,0,3,35%(9/26),0,74%(109/147),56%(22/39),,3,1,1,0,75%(9/12),4,3,9,0.12,0.46,2
rDRLnAJk,japon,28.03.2026 17:00,Football / World / Friendly International,Scotland,Japan,0,1,0,45%,1,0,15,0,50%(2/4),12,0,2,0.36,0.65,3,4,4,0.42,,1,3,33%(9/27),0,83%(231/279),42%(8/19),2,1,1,0,80%(4/5),9,2,3,0.25,0.42,,0,45%,0,1,15,3,25%(2/8),25,0,0,0.18,0.24,4,12,2,-0.54,,0,5,50%(10/20),0,83%(179/216),69%(25/36),,4,3,2,2,75%(3/4),4,6,7,0.19,0.46,0,0,55%,1,2,5,6,33%(4/12),23,0,0,0.64,1.27,4,3,1,0.25,,1,7,39%(9/23),0,89%(306/343),73%(52/71),9,5,4,2,56%(5/9),7,11,16,0.42,0.25,,2,55%,2,1,11,2,22%(2/9),20,0,0,0.67,0.86,12,4,2,0.19,,0,5,27%(6/22),1,86%(229/265),73%(48/66),,6,3,3,1,100%(5/5),7,7,16,0.46,0.19,2
OKGq0y0m,japon,18.11.2025 10:15,Football / World / Friendly International,Japan,Bolivia,3,0,1,59%,2,0,5,1,43%(3/7),22,0,1,0.68,1.17,10,7,0,0.00,,1,3,65%(22/34),0,86%(201/234),65%(32/49),5,2,3,0,67%(6/9),12,5,11,0.96,0.00,1,0,44%,1,0,7,0,33%(1/3),13,0,0,0.11,0.54,9,4,0,0.00,,0,2,46%(6/13),1,79%(84/106),50%(7/14),,2,0,3,1,60%(3/5),6,3,6,1.61,0.00,1,0,41%,0,0,6,0,0%(0/2),22,0,0,0.01,0.08,7,10,2,-0.04,,0,6,42%(11/26),1,83%(136/163),57%(8/14),0,2,0,2,83%(5/6),4,2,0,0.00,0.96,1,0,56%,0,5,4,2,25%(1/4),18,0,0,0.07,0.28,4,9,1,-0.39,,0,3,36%(9/25),0,80%(109/137),50%(9/18),,4,5,0,6,100%(4/4),4,10,6,0.00,1.61,0
2ZRZBgCd,japon,14.11.2025 10:20,Football / World / Friendly International,Japan,Ghana,2,0,0,51%,1,1,6,2,14%(1/7),25,0,0,0.41,0.61,5,7,0,0.00,,0,9,42%(5/12),0,84%(237/282),73%(54/74),4,2,2,1,38%(3/8),7,5,11,0.64,0.00,,0,52%,0,0,4,2,50%(2/4),26,0,0,0.38,0.39,9,6,2,0.12,,0,5,57%(4/7),1,90%(210/234),83%(39/47),,5,6,3,4,64%(9/14),8,9,9,0.27,0.12,,0,49%,0,1,6,1,33%(1/3),17,0,0,0.19,0.22,7,5,1,-0.36,,0,11,34%(13/38),0,83%(225/272),52%(13/25),2,2,0,1,75%(6/8),8,3,3,0.00,0.64,,0,48%,0,2,2,0,33%(1/3),19,0,0,0.11,0.14,6,9,2,-0.73,,0,9,41%(12/29),1,85%(187/220),73%(22/30),,1,0,2,3,38%(3/8),12,4,2,0.12,0.27,
l4iAKLHs,japon,14.10.2025 10:30,Football / World / Friendly International,Japan,Brazil,3,2,2,32%,2,2,8,0,0%(0/8),16,0,0,0.58,0.89,3,4,0,-1.40,,0,9,38%(5/13),2,85%(161/190),75%(55/73),3,2,1,2,100%(4/4),12,5,10,0.01,0.60,,0,34%,1,5,13,4,45%(5/11),29,0,0,1.04,1.48,7,3,2,0.19,1,1,3,45%(10/22),1,83%(135/162),72%(38/53),,7,0,5,3,75%(9/12),5,10,16,2.34,0.19,1,2,68%,1,0,12,0,0%(0/2),16,0,0,0.70,0.44,4,3,1,0.01,,0,4,61%(14/23),1,90%(387/429),76%(65/85),2,1,2,1,60%(6/10),8,3,8,0.60,0.01,,1,66%,1,2,11,2,25%(2/8),26,1,0,0.97,0.83,3,7,2,-0.66,0,0,1,46%(6/13),2,91%(296/325),89%(76/85),,4,2,2,2,40%(2/5),11,6,17,0.19,2.34,1
hIuFuuLs,japon,10.10.2025 10:20,Football / World / Friendly International,Japan,Paraguay,2,2,0,54%,1,0,1,3,29%(4/14),28,0,0,0.30,0.40,5,4,0,-0.59,,0,5,48%(11/23),1,83%(240/288),70%(56/80),6,4,3,1,57%(4/7),9,7,10,0.46,0.41,,0,50%,1,1,8,3,42%(5/12),23,0,0,0.83,1.02,9,6,0,-0.96,1,0,6,54%(7/13),1,84%(194/230),70%(48/69),,4,0,3,0,33%(2/6),5,4,13,1.16,0.04,1,1,46%,1,0,13,0,100%(1/1),18,1,0,0.49,0.75,4,5,2,-0.54,,0,8,43%(15/35),0,82%(212/258),46%(6/13),2,1,1,0,56%(5/9),9,2,5,0.41,0.46,,0,50%,0,2,18,1,33%(1/3),29,0,0,0.11,0.28,6,9,2,0.16,1,0,10,48%(14/29),0,84%(206/245),64%(21/33),,2,2,1,3,77%(10/13),9,5,5,0.04,1.16,0
88Gb5U1E,japon,09.09.2025 23:30,Football / World / Friendly International,USA,Japan,2,0,0,62%,2,3,6,1,33%(1/3),14,0,1,0.40,0.85,2,6,4,1.42,,0,3,42%(14/33),0,89%(294/331),75%(56/75),6,1,4,2,67%(2/3),10,8,18,1.05,1.42,1,0,47%,2,1,17,2,0%(0/4),30,0,0,0.94,1.12,6,7,2,0.13,,1,5,38%(8/21),1,85%(193/228),79%(48/61),,9,3,7,2,86%(6/7),6,11,23,2.13,0.13,0,1,38%,1,1,5,3,27%(3/11),23,1,1,0.90,0.88,6,2,3,0.05,,0,3,57%(17/30),2,84%(159/189),79%(30/38),5,2,4,2,100%(6/6),5,7,12,1.42,1.05,1,0,53%,0,0,15,3,33%(5/15),28,0,0,0.52,0.20,7,6,6,1.13,,1,5,59%(13/22),0,85%(210/246),76%(65/85),,2,2,2,2,91%(10/11),8,4,14,0.13,2.13,1
fuPxNgTG,japon,07.09.2025 02:00,Football / World / Friendly International,Mexico,Japan,0,0,0,55%,0,3,7,0,25%(1/4),29,0,0,0.41,0.22,8,10,1,0.03,,0,5,50%(12/24),1,83%(216/259),76%(22/29),1,1,0,3,78%(7/9),14,4,6,0.00,0.03,,0,48%,0,1,10,1,25%(1/4),24,0,0,0.26,0.26,10,10,1,0.16,,0,4,40%(12/30),1,82%(183/222),70%(28/40),1,3,2,1,1,60%(3/5),10,4,8,0.12,0.16,0,2,45%,0,2,8,3,0%(0/1),20,0,0,0.80,0.51,10,8,0,0.00,,0,8,53%(10/19),1,83%(178/214),59%(30/51),3,2,1,2,60%(3/5),8,5,6,0.03,0.00,,0,52%,1,1,12,0,0%(0/3),25,0,0,0.22,0.30,10,10,1,0.12,,0,5,43%(9/21),0,87%(211/243),69%(44/64),0,4,2,1,0,33%(2/6),7,4,8,0.16,0.12,1
tMKiW70U,japon,15.07.2025 10:24,Football / Asia / EAFF E-1 Football Championship,South Korea,Japan,0,1,0,49%,0,2,11,1,0%(0/7),18,0,0,0.03,0.21,6,9,0,-0.68,,1,4,38%(15/40),1,78%(155/199),52%(12/23),1,2,0,3,100%(3/3),13,4,3,0.00,0.32,0,0,67%,0,2,6,10,14%(3/22),23,0,0,0.87,0.46,6,5,0,0.00,,0,3,39%(13/33),1,79%(211/266),59%(53/90),,5,2,1,0,100%(6/6),20,5,17,0.22,0.00,2,0,51%,0,0,13,1,13%(1/8),27,0,0,0.12,0.08,9,6,0,0.00,,0,5,64%(23/36),1,84%(172/204),71%(37/52),2,2,1,1,80%(4/5),12,3,7,0.32,0.00,2,0,33%,0,1,29,1,50%(1/2),29,0,0,0.05,0.09,5,6,1,0.22,,0,6,26%(8/31),0,70%(99/141),52%(22/42),,1,0,0,0,67%(6/9),8,1,1,0.00,0.22,0
