match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
IuITm4Fd,jordania,local,30/32 (94%),Arias J.Attacking midfielder,5,0.54,8.8,1/2 (50%),3,3,45
IuITm4Fd,jordania,local,40/48 (83%),Rodriguez J.Winger,7,0.02,7.8,2/3 (67%),1,-,60
IuITm4Fd,jordania,local,16/22 (73%),Arias S.Defender,3,-,7.4,-,-,2,31
IuITm4Fd,jordania,local,5/8 (63%),Suarez L.Striker,5,-,7.3,1/1 (100%),-,1,15
IuITm4Fd,jordania,local,10/12 (83%),Carrascal J.Forward,7,0.11,7.1,1/1 (100%),1,1,23
IuITm4Fd,jordania,local,55/64 (86%),Lerma J.Midfielder,4,-,7.1,-,-,-,70
IuITm4Fd,jordania,local,46/53 (87%),Mojica J.Fullback,7,-,7.1,-,-,-,73
IuITm4Fd,jordania,local,23/30 (77%),Munoz D.Fullback,5,-,7.1,-,-,1,41
IuITm4Fd,jordania,local,71/78 (91%),Lucumi J.Centre back,1,-,7.0,-,-,-,82
IuITm4Fd,jordania,local,46/48 (96%),Sanchez D.Centre back,2,0.04,7.0,-,1,1,55
IuITm4Fd,jordania,local,19/23 (83%),Quintero J.Midfielder,-,-,6.9,-,-,-,25
IuITm4Fd,jordania,local,12/19 (63%),Haddad E.Wingback,3,0.01,6.8,-,1,-,35
IuITm4Fd,jordania,local,42/48 (88%),Ditta W.Defender,2,-,6.7,-,-,-,54
IuITm4Fd,jordania,local,12/19 (63%),Campaz J.Forward,5,0.03,6.6,1/2 (50%),1,3,34
IuITm4Fd,jordania,local,4/5 (80%),Hernandez C.Forward,2,0.41,6.6,-,3,2,14
IuITm4Fd,jordania,local,17/19 (89%),Montero A.Goalkeeper,1,-,6.6,-,-,-,27
IuITm4Fd,jordania,local,18/23 (78%),Saadeh I.Midfielder,8,-,6.6,-,-,-,34
IuITm4Fd,jordania,local,12/13 (92%),Vargas C.Goalkeeper,-,-,6.6,-,-,-,14
IuITm4Fd,jordania,local,17/17 (100%),Mina Y.Defender,1,0.05,6.5,-,1,2,20
IuITm4Fd,jordania,local,18/21 (86%),Puerta G.Midfielder,7,0.04,6.5,1/3 (33%),1,3,32
IuITm4Fd,jordania,local,8/12 (67%),Abu Hasheesh M.Defender,4,-,6.4,-,-,-,20
IuITm4Fd,jordania,local,7/8 (88%),Abualnadi M.Defender,1,-,6.4,-,-,-,11
IuITm4Fd,jordania,local,8/11 (73%),Al Mardi M.Midfielder,7,0.04,6.4,-,1,-,20
IuITm4Fd,jordania,local,7/15 (47%),Al Rashdan N.Midfielder,1,-,6.4,0/1 (0%),-,-,21
IuITm4Fd,jordania,local,2/3 (67%),Gomez A.Forward,1,0.07,6.4,-,1,1,4
IuITm4Fd,jordania,local,17/24 (71%),Obaid S.Centre back,1,0.02,6.4,-,1,-,38
IuITm4Fd,jordania,local,11/14 (79%),Portilla J.Midfielder,5,-,6.4,1/1 (100%),-,-,17
IuITm4Fd,jordania,local,21/27 (78%),Al Rawabdeh N.Midfielder,4,-,6.3,-,-,-,35
IuITm4Fd,jordania,local,6/6 (100%),Azaizeh A.Forward,4,0.02,6.3,1/1 (100%),1,-,13
IuITm4Fd,jordania,local,18/22 (82%),Rios R.Midfielder,11,0.42,6.3,1/4 (25%),1,2,34
IuITm4Fd,jordania,local,18/22 (82%),Diaz L.Winger,6,-,6.2,1/1 (100%),-,2,31
IuITm4Fd,jordania,local,16/17 (94%),ShararhMidfielder,7,-,6.2,2/2 (100%),-,-,26
IuITm4Fd,jordania,local,6/8 (75%),Abu Dahab H.Defender,1,-,6.1,-,-,-,10
IuITm4Fd,jordania,local,11/16 (69%),Olwan A.Striker,9,-,6.1,1/3 (33%),-,1,27
IuITm4Fd,jordania,local,6/6 (100%),Tamari M.Midfielder,6,0.08,6.1,0/2 (0%),3,2,17
IuITm4Fd,jordania,local,10/11 (91%),Abulaila Y.Goalkeeper,-,-,6.0,-,-,-,14
IuITm4Fd,jordania,local,24/26 (92%),Al Arab Y.Centre back,5,-,6.0,-,-,-,32
IuITm4Fd,jordania,local,9/11 (82%),Al Daoud M.Midfielder,2,0.59,6.0,-,1,1,17
IuITm4Fd,jordania,local,7/10 (70%),Bani Attiah N.Goalkeeper,-,-,6.0,-,-,-,15
IuITm4Fd,jordania,local,17/20 (85%),Al Rosan S.Defender,2,-,5.9,-,-,-,25
IuITm4Fd,jordania,local,12/15 (80%),Abu Taha M.Wingback,5,0.02,5.8,-,1,1,23
IuITm4Fd,jordania,local,5/6 (83%),Al Fakhouri O.Midfielder,9,-,5.8,0/3 (0%),-,-,16
IuITm4Fd,jordania,local,34/41 (83%),Nasib A.Centre back,3,-,5.4,1/1 (100%),-,-,54
IuITm4Fd,jordania,local,19/20 (95%),Jamous A.Midfielder,5,0.02,4.6,-,1,-,24
f5mVVVgB,jordania,local,14/17 (82%),Embolo B.Striker,6,1.32,8.3,-,3,8,31
f5mVVVgB,jordania,local,3/3 (100%),Al Fakhouri O.Forward,1,0.20,7.9,-,3,3,7
f5mVVVgB,jordania,local,60/65 (92%),Xhaka G.Midfielder,2,0.85,7.8,-,2,1,72
f5mVVVgB,jordania,local,34/41 (83%),Freuler R.Midfielder,5,-,7.7,-,-,1,48
f5mVVVgB,jordania,local,11/12 (92%),Fassnacht C.Forward,2,0.58,7.6,0/1 (0%),2,3,19
f5mVVVgB,jordania,local,31/34 (91%),Jashari A.Midfielder,-,-,7.6,-,-,-,38
f5mVVVgB,jordania,local,24/28 (86%),Ndoye D.Wingback,2,0.28,7.6,0/2 (0%),2,5,37
f5mVVVgB,jordania,local,42/44 (95%),Aebischer M.Wingback,1,0.43,7.4,-,1,1,52
f5mVVVgB,jordania,local,17/18 (94%),Mvogo Y.Goalkeeper,-,-,7.2,-,-,-,21
f5mVVVgB,jordania,local,10/13 (77%),Tamari M.Striker,10,0.68,7.2,1/2 (50%),3,4,26
f5mVVVgB,jordania,local,66/69 (96%),Akanji M.Centre back,4,0.18,7.1,-,1,1,76
f5mVVVgB,jordania,local,44/46 (96%),Elvedi N.Centre back,4,-,7.1,-,-,-,51
f5mVVVgB,jordania,local,30/31 (97%),Manzambi J.Attacking midfielder,5,0.10,7.0,1/1 (100%),3,2,44
f5mVVVgB,jordania,local,51/56 (91%),Rodriguez R.Defender,5,-,6.9,-,-,-,63
f5mVVVgB,jordania,local,10/12 (83%),Amdouni Z.Forward,4,0.11,6.7,2/2 (100%),2,3,20
f5mVVVgB,jordania,local,41/43 (95%),Jaquez L.Defender,4,-,6.7,-,-,-,48
f5mVVVgB,jordania,local,19/21 (90%),Vargas R.Attacking midfielder,4,-,6.7,1/2 (50%),-,2,36
f5mVVVgB,jordania,local,43/47 (91%),Zakaria D.Centre back,5,-,6.7,-,-,-,53
f5mVVVgB,jordania,local,32/35 (91%),Al Arab Y.Centre back,8,0.15,6.6,1/1 (100%),1,2,50
f5mVVVgB,jordania,local,19/20 (95%),Keller M.Goalkeeper,-,-,6.6,-,-,-,26
f5mVVVgB,jordania,local,9/10 (90%),Muheim M.Defender,-,0.04,6.6,-,1,1,16
f5mVVVgB,jordania,local,21/22 (95%),Sow D.Midfielder,3,0.05,6.6,-,1,-,25
f5mVVVgB,jordania,local,35/38 (92%),Comert E.Defender,2,-,6.5,-,-,-,43
f5mVVVgB,jordania,local,2/2 (100%),Itten C.Forward,2,0.03,6.5,-,1,1,7
f5mVVVgB,jordania,local,21/23 (91%),Widmer S.Defender,2,-,6.5,-,-,-,29
f5mVVVgB,jordania,local,4/5 (80%),Al Daoud M.Midfielder,-,-,6.4,-,-,1,10
f5mVVVgB,jordania,local,10/15 (67%),Abu Hasheesh M.Defender,2,-,6.3,-,-,-,17
f5mVVVgB,jordania,local,20/25 (80%),Al Rawabdeh N.Midfielder,3,-,6.3,-,-,1,36
f5mVVVgB,jordania,local,10/12 (83%),Azaizeh A.Forward,3,0.04,6.3,0/2 (0%),1,1,18
f5mVVVgB,jordania,local,17/20 (85%),Badawi A.Defender,1,-,6.3,-,-,-,24
f5mVVVgB,jordania,local,16/18 (89%),Obaid S.Defender,2,-,6.3,-,-,-,22
f5mVVVgB,jordania,local,2/2 (100%),Qashi Y.Midfielder,2,-,6.3,-,-,-,4
f5mVVVgB,jordania,local,1/2 (50%),ShararhMidfielder,1,-,6.3,0/2 (0%),-,-,6
f5mVVVgB,jordania,local,12/20 (60%),Abualnadi M.Centre back,4,-,6.2,-,-,1,25
f5mVVVgB,jordania,local,8/11 (73%),Al Mardi M.Midfielder,4,-,6.2,1/1 (100%),-,-,17
f5mVVVgB,jordania,local,20/27 (74%),Haddad E.Wingback,1,0.04,6.2,-,1,2,33
f5mVVVgB,jordania,local,4/4 (100%),Olwan A.Striker,2,0.04,6.0,0/1 (0%),1,1,9
f5mVVVgB,jordania,local,18/22 (82%),Abulaila Y.Goalkeeper,2,-,5.8,-,-,-,33
f5mVVVgB,jordania,local,12/16 (75%),Abu Taha M.Wingback,7,0.22,5.6,2/5 (40%),1,1,35
f5mVVVgB,jordania,local,19/21 (90%),Al Rosan S.Centre back,6,-,5.6,-,-,1,34
f5mVVVgB,jordania,local,21/24 (88%),Saadeh I.Midfielder,1,0.04,5.6,-,1,-,29
f5mVVVgB,jordania,local,7/12 (58%),Al Rashdan N.Midfielder,2,-,5.2,0/1 (0%),-,-,17
f5mVVVgB,jordania,local,-,Abu Dahab H.Defender,-,-,-,-,-,-,-
zqATDN3K,jordania,local,15/17 (88%),Hamdallah A.Forward,10,2.23,8.8,1/3 (33%),4,13,37
zqATDN3K,jordania,local,69/73 (95%),Saadane M.Centre back,7,0.39,8.0,-,2,4,91
zqATDN3K,jordania,local,21/26 (81%),Olwan A.Striker,14,1.56,7.7,1/2 (50%),4,4,43
zqATDN3K,jordania,local,25/28 (89%),Tannane O.Attacking midfielder,10,0.26,7.6,-,3,1,48
zqATDN3K,jordania,local,21/25 (84%),Chouiar M.Forward,7,0.13,7.3,1/1 (100%),3,1,41
zqATDN3K,jordania,local,34/43 (79%),Bach A.Midfielder,9,-,7.2,0/2 (0%),-,-,65
zqATDN3K,jordania,local,71/78 (91%),El Mahdioui A.Midfielder,16,-,7.2,-,-,-,98
zqATDN3K,jordania,local,95/101 (94%),Hrimat M.Midfielder,12,0.12,7.2,2/2 (100%),2,3,120
zqATDN3K,jordania,local,25/34 (74%),Zouhzouh A.Winger,17,0.11,7.2,0/3 (0%),3,3,63
zqATDN3K,jordania,local,34/44 (77%),Bougrine S.Midfielder,7,0.01,7.1,-,1,-,62
zqATDN3K,jordania,local,7/12 (58%),Smeeri I.Wingback,3,-,7.0,-,-,1,23
zqATDN3K,jordania,local,44/59 (75%),Al Rashdan N.Midfielder,20,0.04,6.9,1/5 (20%),2,1,84
zqATDN3K,jordania,local,25/35 (71%),Abu Taha M.Wingback,17,0.01,6.8,2/4 (50%),1,1,76
zqATDN3K,jordania,local,19/19 (100%),Bentayg M.Defender,1,-,6.8,-,-,-,24
zqATDN3K,jordania,local,20/26 (77%),Benabid E. M.Goalkeeper,-,-,6.7,-,-,-,35
zqATDN3K,jordania,local,13/21 (62%),Azarou W.Striker,17,-,6.6,-,-,5,37
zqATDN3K,jordania,local,13/16 (81%),Al Fakhouri O.Forward,4,-,6.5,1/2 (50%),-,-,21
zqATDN3K,jordania,local,7/13 (54%),Al Quraishi A.Defender,6,-,6.5,1/1 (100%),-,-,23
zqATDN3K,jordania,local,31/35 (89%),Bouftini S.Centre back,3,-,6.5,-,-,-,46
zqATDN3K,jordania,local,39/59 (66%),Boulacsout M.Fullback,14,-,6.5,2/4 (50%),-,1,97
zqATDN3K,jordania,local,14/20 (70%),Abu Hasheesh M.Defender,4,0.02,6.4,-,1,-,26
zqATDN3K,jordania,local,17/21 (81%),Hajabi A.Defender,1,-,6.4,-,-,1,24
zqATDN3K,jordania,local,4/6 (67%),Louadni M.Defender,4,-,6.4,-,-,-,9
zqATDN3K,jordania,local,44/49 (90%),Nasib A.Centre back,10,-,6.4,-,-,1,78
zqATDN3K,jordania,local,28/37 (76%),Ayed R.Midfielder,5,-,6.3,-,-,-,41
zqATDN3K,jordania,local,1/3 (33%),El Berkaoui K.Winger,-,0.05,6.3,-,1,-,4
zqATDN3K,jordania,local,35/41 (85%),Jamous A.Midfielder,12,-,6.3,1/1 (100%),-,-,54
zqATDN3K,jordania,local,10/16 (63%),ShararhAttacking midfielder,5,-,6.3,1/3 (33%),-,1,22
zqATDN3K,jordania,local,55/68 (81%),Al Rosan S.Centre back,12,0.01,6.1,-,1,-,88
zqATDN3K,jordania,local,36/43 (84%),El Moussaoui H.Fullback,2,-,6.1,-,-,-,55
zqATDN3K,jordania,local,9/21 (43%),Abulaila Y.Goalkeeper,1,-,5.9,-,-,-,31
zqATDN3K,jordania,local,14/18 (78%),Al Mardi M.Attacking midfielder,7,0.03,5.8,0/3 (0%),2,-,38
zqATDN3K,jordania,local,34/43 (79%),Abu Dahab H.Centre back,13,0.09,5.4,-,2,4,64
zqATDN3K,jordania,local,2/3 (67%),Ersan A.Forward,2,-,-,-,-,1,8
UL1pp98c,jordania,local,12/18 (67%),Al Mardi M.Midfielder,8,0.03,7.6,0/2 (0%),1,3,32
UL1pp98c,jordania,local,60/74 (81%),Kanno M.Midfielder,14,-,7.5,2/2 (100%),-,3,87
UL1pp98c,jordania,local,19/27 (70%),Abu Taha M.Wingback,13,-,7.1,2/6 (33%),-,2,57
UL1pp98c,jordania,local,15/25 (60%),Abulaila Y.Goalkeeper,-,-,7.1,-,-,-,27
UL1pp98c,jordania,local,5/8 (63%),Smeeri I.Wingback,8,-,7.1,0/2 (0%),-,-,30
UL1pp98c,jordania,local,20/22 (91%),Al Dawsari S.Winger,13,0.14,7.0,4/8 (50%),2,5,53
UL1pp98c,jordania,local,20/23 (87%),Abu Dahab H.Centre back,6,-,6.9,0/1 (0%),-,-,47
UL1pp98c,jordania,local,33/33 (100%),Al Juwayr M.Midfielder,-,-,6.9,-,-,1,36
UL1pp98c,jordania,local,13/20 (65%),Al Rosan S.Centre back,8,-,6.9,-,-,-,38
UL1pp98c,jordania,local,14/18 (78%),Nasib A.Centre back,9,-,6.9,-,-,-,44
UL1pp98c,jordania,local,22/23 (96%),Al Aqidi N.Goalkeeper,-,-,6.8,-,-,-,36
UL1pp98c,jordania,local,73/81 (90%),Tambakti H.Centre back,4,-,6.8,-,-,-,93
UL1pp98c,jordania,local,27/38 (71%),Boushal N.Fullback,9,0.02,6.7,-,1,-,67
UL1pp98c,jordania,local,19/25 (76%),Al Dawsari N.Midfielder,10,-,6.6,1/3 (33%),-,-,44
UL1pp98c,jordania,local,6/7 (86%),Al Hamdan A.Forward,2,0.03,6.6,-,1,1,11
UL1pp98c,jordania,local,47/49 (96%),Al Khaibari A.Midfielder,5,0.05,6.6,0/1 (0%),2,-,61
UL1pp98c,jordania,local,8/11 (73%),ShararhMidfielder,8,0.08,6.6,2/4 (50%),1,-,25
UL1pp98c,jordania,local,3/6 (50%),Ersan A.Midfielder,3,0.03,6.5,-,1,1,15
UL1pp98c,jordania,local,8/17 (47%),Olwan A.Striker,20,0.11,6.5,4/6 (67%),1,2,38
UL1pp98c,jordania,local,6/6 (100%),Abu Hasheesh M.Defender,1,-,6.4,0/1 (0%),-,-,11
UL1pp98c,jordania,local,17/21 (81%),Al Oboud A.Forward,3,-,6.3,-,-,2,31
UL1pp98c,jordania,local,18/28 (64%),Ayed R.Midfielder,8,-,6.3,-,-,-,37
UL1pp98c,jordania,local,11/17 (65%),Abu Al Shamat S.Winger,7,-,6.2,0/3 (0%),-,2,24
UL1pp98c,jordania,local,24/29 (83%),Al Rashdan N.Midfielder,13,0.42,6.2,0/1 (0%),2,1,49
UL1pp98c,jordania,local,57/60 (95%),Al Ahmad W.Centre back,10,-,5.9,-,-,1,69
UL1pp98c,jordania,local,34/54 (63%),Majrashi A.Fullback,16,-,5.9,0/1 (0%),-,1,92
UL1pp98c,jordania,local,11/15 (73%),Al Buraikan F.Striker,12,0.35,5.7,0/1 (0%),1,3,29
UL1pp98c,jordania,local,8/9 (89%),Abu Al Shamat M.Midfielder,2,-,-,0/1 (0%),-,-,14
UL1pp98c,jordania,local,1/2 (50%),Al Shehri S.Forward,2,0.37,-,-,1,2,4
UL1pp98c,jordania,local,1/1 (100%),Hajabi A.Defender,1,-,-,-,-,-,2
UL1pp98c,jordania,local,1/1 (100%),Jamous A.Midfielder,3,-,-,-,-,-,5
SMQlxEjg,jordania,local,90/95 (95%),Ismaeel Z.Midfielder,9,0.07,8.3,1/1 (100%),3,-,114
SMQlxEjg,jordania,local,65/75 (87%),Hashem A.Centre back,14,0.19,8.1,-,3,3,97
