match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,local__accurate_through_passes,local__ball_possession,local__big_chances,local__blocked_shots,local__clearances,local__corner_kicks,local__crosses,local__duels_won,local__errors_leading_to_goal,local__errors_leading_to_shot,local__expected_assists_xa,local__expected_goals_xg,local__fouls,local__free_kicks,local__goalkeeper_saves,local__goals_prevented,local__hit_the_woodwork,local__interceptions,local__long_passes,local__offsides,local__passes,local__passes_in_final_third,local__shots_inside_the_box,local__shots_off_target,local__shots_on_target,local__shots_outside_the_box,local__tackles,local__throw_ins,local__total_shots,local__touches_in_opposition_box,local__xg_on_target_xgot,local__xgot_faced,local__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards,visitante__accurate_through_passes,visitante__ball_possession,visitante__big_chances,visitante__blocked_shots,visitante__clearances,visitante__corner_kicks,visitante__crosses,visitante__duels_won,visitante__errors_leading_to_goal,visitante__errors_leading_to_shot,visitante__expected_assists_xa,visitante__expected_goals_xg,visitante__fouls,visitante__free_kicks,visitante__goalkeeper_saves,visitante__goals_prevented,visitante__hit_the_woodwork,visitante__interceptions,visitante__long_passes,visitante__offsides,visitante__passes,visitante__passes_in_final_third,visitante__shots_inside_the_box,visitante__shots_off_target,visitante__shots_on_target,visitante__shots_outside_the_box,visitante__tackles,visitante__throw_ins,visitante__total_shots,visitante__touches_in_opposition_box,visitante__xg_on_target_xgot,visitante__xgot_faced,visitante__yellow_cards
IuITm4Fd,jordania,07.06.2026 23:00,Football / World / Friendly International,Colombia,Jordan,2,0,,0,67%,2,0,7,1,75%(3/4),27,0,1,0.52,0.41,4,6,0,0.00,0,4,50%(11/22),3,86%(281/327),70%(62/88),,4,1,3,0,75%(9/12),7,4,10,0.75,0.00,,1,60%,3,2,3,2,33%(2/6),26,0,2,0.98,1.28,3,11,2,0.02,1,0,6,44%(12/27),0,85%(251/294),65%(33/51),0,8,6,2,2,100%(4/4),7,10,14,0.59,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33%,0,1,11,1,50%(2/4),12,0,1,0.12,0.09,6,4,1,-0.25,1,6,33%(6/18),0,77%(120/155),64%(21/33),,2,3,0,2,17%(1/6),10,4,4,0.00,0.75,,1,40%,2,1,9,0,0%(0/5),22,0,1,0.57,0.74,11,3,1,-0.41,0,0,5,36%(5/14),0,81%(160/197),76%(31/41),1,1,3,2,5,47%(7/15),9,6,1,0.02,0.59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5mVVVgB,jordania,31.05.2026 13:00,Football / World / Friendly International,Switzerland,Jordan,4,1,,1,74%,3,1,5,4,30%(3/10),19,0,1,1.07,2.27,5,6,1,0.28,1,1,86%(24/28),3,92%(355/386),82%(97/119),,6,4,5,4,86%(6/7),11,10,19,2.00,0.28,,1,64%,3,0,6,2,0%(0/7),16,0,0,0.76,1.70,5,5,2,-0.03,,0,4,54%(13/24),0,92%(289/313),86%(32/37),,8,4,5,1,67%(4/6),2,9,10,1.19,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26%,2,0,12,0,33%(1/3),17,0,0,0.28,0.67,6,5,2,-1.00,0,8,28%(7/25),0,73%(98/134),50%(14/28),,2,2,1,1,50%(3/6),8,3,6,0.28,2.00,,0,36%,1,3,9,4,38%(3/8),10,1,1,0.72,0.72,5,5,4,0.19,,0,4,38%(5/13),1,86%(148/173),77%(33/43),,6,3,3,3,67%(2/3),4,9,12,0.97,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bcCgdIa,jordania,31.03.2026 17:30,Football / World / Friendly International,Jordan,Nigeria,2,2,,,45%,,,,5,,,,,,,,,,,,,,,,,,,3,2,,,,5,,,,,,39%,,,,4,,,,,,,,,,,,,,,,,,0,,1,2,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55%,,,,1,,,,,,,,,,,,,,,,,,,1,3,,,,4,,,,,,61%,,,,5,,,,,,,,,,,,,,,,,,1,,3,1,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wpa4eImm,jordania,27.03.2026 17:30,Football / World / Friendly International,Jordan,Costa Rica,2,2,,,54%,,,,4,,,,,,,,,,,,,,,,,,,2,1,,,,3,,,,0,,40%,,,,3,,,,,,,,,,,,,,,,,,,,1,2,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46%,,,,0,,,,,,,,,,,,,,,,,,,1,1,,,,2,,,,1,,60%,,,,2,,,,,,,,,,,,,,,,,,,,0,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zqATDN3K,jordania,18.12.2025 16:00,Football / World / FIFA Arab Cup - Play Offs - Final,Jordan,Morocco,2,3,,0,43%,0,1,18,0,13%(1/8),17,0,1,0.08,0.02,5,5,1,-0.57,0,6,18%(4/22),0,80%(171/213),50%(24/48),,1,0,1,1,50%(3/6),12,2,3,0.02,0.43,,0,37%,3,2,15,1,25%(1/4),21,0,0,0.40,1.62,9,3,1,0.54,1,0,4,28%(9/32),0,70%(100/142),52%(23/44),,4,2,3,3,50%(4/8),10,7,6,1.79,1.54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57%,0,1,15,5,0%(0/11),25,0,0,0.10,0.33,5,5,1,0.02,0,9,54%(15/28),1,86%(241/281),72%(39/54),,3,1,3,2,44%(4/9),7,5,8,0.43,0.02,,0,63%,2,2,9,2,55%(6/11),30,0,0,0.45,1.96,3,9,1,-0.21,0,2,2,70%(16/23),2,84%(201/239),74%(50/68),,6,6,2,4,60%(3/5),11,10,17,1.54,1.79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UL1pp98c,jordania,15.12.2025 17:30,Football / World / FIFA Arab Cup - Play Offs - Semi-finals,Saudi Arabia,Jordan,0,1,,0,66%,0,0,9,1,17%(1/6),27,0,1,0.21,0.04,6,6,1,0.10,0,6,52%(13/25),0,81%(205/252),52%(33/63),,0,2,0,2,56%(5/9),17,2,5,0.00,0.10,1,0,72%,1,1,9,3,15%(3/20),30,0,0,0.81,0.91,3,3,3,0.20,0,0,4,58%(14/24),1,87%(241/278),78%(62/80),1,3,4,1,3,60%(9/15),13,6,16,0.33,1.20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34%,0,0,14,1,0%(0/4),24,0,0,0.08,0.03,6,6,0,0.00,0,6,21%(6/28),2,68%(88/129),46%(12/26),,1,0,1,0,58%(7/12),12,1,2,0.10,0.00,0,0,28%,1,1,28,3,11%(1/9),28,0,1,0.25,0.63,3,3,1,0.33,1,0,5,35%(8/23),0,72%(79/109),62%(28/45),0,3,0,4,2,50%(5/10),12,5,7,1.20,0.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMQlxEjg,jordania,12.12.2025 14:30,Football / World / FIFA Arab Cup - Play Offs - Quarter-finals,Jordan,Iraq,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30%,1,2,56,2,17%(2/12),54,0,0,0.16,1.04,10,7,3,0.29,0,11,36%(16/45),3,72%(168/233),61%(42/69),4,0,4,2,40%(8/20),25,6,16,1.15,0.29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70%,3,11,20,12,16%(9/55),63,0,0,0.70,1.25,7,10,3,0.15,0,8,48%(24/50),0,84%(444/528),71%(108/152),12,7,3,9,72%(21/29),23,21,23,0.29,1.15,0
OtllweBT,jordania,09.12.2025 14:30,Football / World / FIFA Arab Cup - Round 3,Egypt,Jordan,0,3,,1,61%,2,3,5,5,36%(5/14),29,0,1,0.85,1.39,4,9,2,0.08,1,4,50%(10/20),0,86%(222/257),68%(52/76),,6,3,4,4,40%(4/10),14,10,9,1.10,2.08,1,1,65%,3,3,12,1,39%(7/18),25,0,0,1.04,1.18,4,3,1,0.14,,1,3,46%(6/13),0,85%(210/247),79%(85/108),,6,4,3,4,80%(8/10),14,10,26,0.99,1.14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39%,3,5,17,1,33%(2/6),15,0,1,0.24,1.67,9,4,4,1.10,0,10,45%(10/22),0,84%(138/165),77%(23/30),,8,2,4,3,50%(3/6),7,11,14,2.08,1.10,0,0,35%,1,0,26,3,33%(2/6),29,0,1,0.08,1.25,3,4,3,0.99,,0,4,30%(6/20),0,76%(102/135),62%(23/37),,2,3,2,3,86%(12/14),7,5,6,1.14,0.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8nTNOwLH,jordania,06.12.2025 11:00,Football / World / FIFA Arab Cup - Round 2,Kuwait,Jordan,1,3,,0,49%,0,0,19,1,0%(0/3),19,0,1,0.02,0.00,3,6,1,-0.82,0,6,33%(10/30),0,81%(154/190),29%(6/21),,0,0,0,0,56%(5/9),11,0,1,0.00,0.18,1,0,64%,0,0,15,1,43%(3/7),24,1,0,0.27,0.17,5,3,2,0.06,1,0,1,62%(18/29),0,86%(224/259),65%(26/40),,3,1,2,0,64%(7/11),8,3,7,0.90,2.06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51%,3,3,10,5,23%(3/13),23,0,0,0.43,0.87,6,3,0,0.00,1,8,63%(15/24),1,83%(152/183),67%(37/55),,7,6,2,4,100%(4/4),15,11,17,0.18,0.00,0,0,36%,3,3,7,5,36%(5/14),24,0,0,0.53,1.72,3,5,1,-0.10,0,0,5,39%(9/23),1,71%(96/136),62%(38/61),,10,4,4,1,100%(10/10),8,11,19,2.06,0.90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5gpLeko,jordania,03.12.2025 17:00,Football / World / FIFA Arab Cup - Round 1,Jordan,United Arab Emirates,2,1,,0,46%,2,1,15,2,0%(0/4),29,0,0,0.33,1.77,9,5,0,0.00,0,4,29%(7/24),1,83%(151/183),59%(24/41),0,3,1,3,2,58%(7/12),5,5,8,1.34,0.00,0,0,55%,2,1,13,2,29%(2/7),22,0,0,0.46,1.69,7,5,1,0.04,,0,4,43%(12/28),1,84%(179/214),69%(29/42),,4,2,3,2,38%(3/8),10,6,7,1.12,1.04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54%,0,1,6,0,0%(0/3),28,0,0,0.04,0.08,5,9,2,0.34,0,3,39%(7/18),0,79%(172/217),53%(19/36),1,0,1,0,2,55%(6/11),14,2,5,0.00,1.34,1,0,45%,1,2,15,2,44%(4/9),26,1,0,0.61,0.54,5,7,2,0.12,,0,3,42%(8/19),1,80%(138/173),69%(20/29),,5,2,2,1,75%(6/8),8,6,9,1.04,1.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
