match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
OAt8UvFb,marruecos,local,55/56 (98%),Berge S.Midfielder,3,-,7.4,-,-,-,61
OAt8UvFb,marruecos,local,12/14 (86%),Diaz B.Winger,5,0.27,7.2,1/1 (100%),3,4,30
OAt8UvFb,marruecos,local,7/8 (88%),Bobb O.Midfielder,2,-,7.1,-,-,2,10
OAt8UvFb,marruecos,local,25/31 (81%),Ryerson J.Fullback,13,-,7.1,0/4 (0%),-,5,70
OAt8UvFb,marruecos,local,17/20 (85%),Bouaddi A.Midfielder,3,-,7.0,-,-,-,30
OAt8UvFb,marruecos,local,18/19 (95%),Ezzalzouli A.Winger,3,0.50,7.0,1/1 (100%),5,4,33
OAt8UvFb,marruecos,local,34/39 (87%),Odegaard M.Midfielder,2,0.23,7.0,0/1 (0%),1,2,50
OAt8UvFb,marruecos,local,31/36 (86%),Aursnes F.Midfielder,5,-,6.9,-,-,-,44
OAt8UvFb,marruecos,local,9/10 (90%),Mazraoui N.Fullback,3,-,6.8,-,-,-,14
OAt8UvFb,marruecos,local,11/13 (85%),Saibari I.Striker,5,0.03,6.8,1/1 (100%),1,1,22
OAt8UvFb,marruecos,local,28/31 (90%),Hakimi A.Fullback,6,0.03,6.7,1/2 (50%),1,-,42
OAt8UvFb,marruecos,local,13/16 (81%),Schjelderup A.Forward,5,0.03,6.6,-,1,8,28
OAt8UvFb,marruecos,local,46/49 (94%),Ajer K.Centre back,3,0.17,6.5,-,1,1,56
OAt8UvFb,marruecos,local,5/5 (100%),Bjorkan F.Defender,1,-,6.5,-,-,1,8
OAt8UvFb,marruecos,local,7/7 (100%),Aasgaard T.Midfielder,1,-,6.4,-,-,1,9
OAt8UvFb,marruecos,local,3/3 (100%),Amaimouni A.Forward,4,0.02,6.4,0/2 (0%),1,1,8
OAt8UvFb,marruecos,local,31/34 (91%),Belammari Y.Midfielder,3,-,6.4,-,-,-,47
OAt8UvFb,marruecos,local,11/11 (100%),Berg P.Midfielder,-,-,6.4,-,-,-,11
OAt8UvFb,marruecos,local,13/15 (87%),El Khannouss B.Midfielder,2,-,6.4,-,-,1,17
OAt8UvFb,marruecos,local,11/12 (92%),El Mourabet S.Midfielder,2,-,6.4,-,-,1,16
OAt8UvFb,marruecos,local,3/3 (100%),Larsen J.Forward,1,0.03,6.4,-,1,-,6
OAt8UvFb,marruecos,local,11/18 (61%),Nyland O.Goalkeeper,-,-,6.4,-,-,-,26
OAt8UvFb,marruecos,local,26/27 (96%),Diop I.Centre back,-,-,6.3,-,-,-,36
OAt8UvFb,marruecos,local,20/22 (91%),El Aynaoui N.Midfielder,6,0.37,6.3,-,1,2,32
OAt8UvFb,marruecos,local,3/4 (75%),El Kaabi A.Forward,4,-,6.3,-,-,-,5
OAt8UvFb,marruecos,local,6/8 (75%),El Ouahdi Z.Defender,1,-,6.3,-,-,-,12
OAt8UvFb,marruecos,local,13/13 (100%),Halhal R.Defender,-,-,6.3,-,-,-,15
OAt8UvFb,marruecos,local,13/17 (76%),Ostigard L.Defender,4,-,6.3,-,-,-,19
OAt8UvFb,marruecos,local,22/25 (88%),Ounahi A.Attacking midfielder,3,-,6.3,-,-,-,33
OAt8UvFb,marruecos,local,21/23 (91%),Riad C.Centre back,5,-,6.3,-,-,-,31
OAt8UvFb,marruecos,local,16/18 (89%),Saadane M.Midfielder,2,-,6.3,-,-,-,23
OAt8UvFb,marruecos,local,4/4 (100%),Selvik E.Goalkeeper,-,-,6.3,-,-,-,5
OAt8UvFb,marruecos,local,21/24 (88%),Amrabat S.Midfielder,2,0.08,6.2,-,1,-,29
OAt8UvFb,marruecos,local,12/13 (92%),Rahimi S.Forward,11,-,6.2,0/5 (0%),-,1,26
OAt8UvFb,marruecos,local,26/30 (87%),Wolfe D.Fullback,5,-,6.2,-,-,2,41
OAt8UvFb,marruecos,local,23/30 (77%),BonoGoalkeeper,-,-,6.1,-,-,-,35
