match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
b1x9Omno,mexico,local,10/10 (100%),Jimenez R.Striker,10,0.97,8.2,2/3 (67%),3,6,21
b1x9Omno,mexico,local,35/35 (100%),Gutierrez B.Winger,6,0.40,8.2,2/3 (67%),3,7,51
b1x9Omno,mexico,local,72/73 (99%),Vasquez J.Centre back,3,0.11,7.8,-,1,2,77
b1x9Omno,mexico,local,44/49 (90%),Alvarado R.Midfielder,6,-,7.5,0/3 (0%),-,3,60
b1x9Omno,mexico,local,14/17 (82%),Chavez L.Midfielder,1,0.05,7.4,0/1 (0%),2,-,21
b1x9Omno,mexico,local,51/54 (94%),Fidalgo A.Midfielder,3,-,7.0,1/1 (100%),-,1,56
b1x9Omno,mexico,local,5/7 (71%),Stanic P.Attacking midfielder,3,0.38,6.9,-,1,1,13
b1x9Omno,mexico,local,4/6 (67%),Chavez Garcia M.Midfielder,4,-,6.8,2/2 (100%),-,2,15
b1x9Omno,mexico,local,13/14 (93%),Vega A.Forward,1,0.10,6.8,-,1,2,18
b1x9Omno,mexico,local,31/34 (91%),Lira E.Midfielder,1,-,6.7,-,-,-,35
b1x9Omno,mexico,local,19/21 (90%),Alvarez E.Midfielder,4,-,6.6,0/1 (0%),-,-,27
b1x9Omno,mexico,local,2/3 (67%),Martinez G.Forward,2,0.23,6.6,-,2,1,11
b1x9Omno,mexico,local,11/11 (100%),Mora G.Midfielder,1,-,6.6,-,-,-,14
b1x9Omno,mexico,local,13/20 (65%),Stankovic F.Goalkeeper,-,-,6.6,-,-,-,28
b1x9Omno,mexico,local,33/36 (92%),Quinones J.Winger,8,0.36,6.5,0/1 (0%),4,4,50
b1x9Omno,mexico,local,8/9 (89%),Reyes I.Defender,2,-,6.5,-,-,-,11
b1x9Omno,mexico,local,7/8 (88%),Milikic M.Defender,1,-,6.4,-,-,-,8
