match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
b1x9Omno,mexico,05.06.2026 02:00,Football / World / Friendly International,Mexico,Serbia,5,1,0.0,75%,3,1,4,5,47%(7/15),17,1.0,0,1.17,1.02,8,2,0,-0.22,1.0,0.0,0,89%(17/19),0,94%(342/364),84%(72/86),9,4,5,1,50%(2/4),6,10,22,1.14,0.78,1.0,0,54%,1,1,3,1,,13,0.0,0,0.32,1.24,4,3,0,0.0,,2.0,2,50%(6/12),1,89%(181/203),73%(30/41),,3,4,2,4,100%(6/6),9,7,10,1.14,0.0,1.0,0.0,25%,1,0,14,1,0%(0/1),23,0.0,0,0.01,0.38,2,8,4,0.14,0.0,0.0,5,39%(7/18),1,80%(98/123),17%(3/18),1,0,1,0,56%(5/9),5,1,2,0.78,1.14,1.0,0,46%,0,0,5,0,,13,0.0,0,0.12,0.07,3,4,0,-0.86,,0.0,6,59%(13/22),1,87%(156/179),58%(15/26),,2,2,0,0,80%(4/5),7,2,5,0.0,1.14,1.0
C8AbHNbh,mexico,31.05.2026 02:00,Football / World / Friendly International,Mexico,Australia,1,0,0.0,76%,1,7,8,5,,13,0.0,1,0.37,0.36,2,4,0,0.0,1.0,0.0,2,59%(13/22),2,94%(375/400),82%(50/61),4,1,3,7,83%(5/6),8,11,10,0.79,0.0,0.0,0,42%,0,1,19,0,100%(1/1),22,0.0,0,0.26,0.23,5,6,1,0.12,,0.0,2,24%(4/17),2,82%(166/203),61%(19/31),,1,1,0,1,80%(4/5),6,2,1,0.0,0.12,1.0,0.0,24%,1,1,12,0,,18,0.0,0,0.11,0.17,4,2,2,-0.21,0.0,0.0,2,25%(5/20),1,78%(102/130),36%(5/14),1,2,0,2,86%(6/7),9,3,4,0.0,0.79,1.0,0,58%,1,2,4,3,13%(1/8),21,0.0,0,0.44,0.39,6,5,0,0.0,,0.0,0,43%(9/21),0,84%(236/281),72%(48/67),,3,1,1,1,86%(6/7),12,4,9,0.12,0.0,0.0
EiTNwQjd,mexico,23.05.2026 02:00,Football / World / Friendly International,Mexico,Ghana,2,0,0.0,61%,1,2,2,5,20%(2/10),16,0.0,0,0.31,0.87,10,5,0,0.0,,1.0,5,76%(16/21),1,93%(267/288),80%(59/74),5,3,5,5,78%(7/9),9,10,17,1.58,0.0,0.0,0,58%,0,0,8,4,33%(3/9),16,0.0,0,0.45,0.63,8,4,3,0.21,,0.0,3,71%(12/17),1,92%(244/265),86%(36/42),,6,3,3,0,86%(6/7),4,6,13,0.63,0.21,1.0,0.0,39%,0,0,15,1,0%(0/2),16,1.0,0,0.01,0.02,5,10,4,0.58,,0.0,4,36%(5/14),1,89%(166/187),64%(7/11),1,1,0,0,67%(2/3),4,1,2,0.0,1.58,1.0,0,42%,0,1,6,2,67%(2/3),23,0.0,0,0.09,0.15,4,8,2,-0.37,,1.0,6,35%(7/20),0,87%(166/191),52%(17/33),,3,2,3,3,71%(5/7),15,6,6,0.21,0.63,0.0
0WvEOTM5,mexico,01.04.2026 01:00,Football / World / Friendly International,Mexico,Belgium,1,1,0.0,53%,1,4,3,2,0%(0/5),28,0.0,0,0.34,0.85,7,11,0,0.0,,0.0,6,48%(11/23),1,87%(257/295),73%(41/56),6,2,3,3,67%(8/12),6,9,12,1.06,0.0,1.0,0,42%,0,0,7,1,25%(1/4),21,0.0,0,0.12,0.05,7,9,1,-0.25,,0.0,6,32%(8/25),2,80%(167/208),68%(36/53),,0,1,0,1,50%(4/8),6,1,7,0.0,0.75,1.0,0.0,47%,0,0,9,0,0%(0/1),20,0.0,0,0.08,0.03,11,7,2,0.06,,0.0,4,45%(10/22),1,86%(229/266),73%(29/40),0,1,0,1,67%(4/6),5,1,1,0.0,1.06,1.0,0,58%,0,1,7,2,20%(2/10),21,0.0,0,0.38,0.26,9,7,0,0.0,,0.0,8,55%(12/22),0,86%(249/288),79%(58/73),,1,1,2,3,83%(5/6),4,4,9,0.75,0.0,2.0
fVqJ27Hq,mexico,29.03.2026 01:00,Football / World / Friendly International,Mexico,Portugal,0,0,0.0,39%,0,1,5,0,50%(1/2),16,0.0,0,0.12,0.12,4,4,1,0.01,,0.0,3,64%(21/33),3,83%(155/186),78%(49/63),0,2,1,4,63%(5/8),18,4,4,0.04,0.01,,0,27%,1,1,10,0,33%(1/3),26,0.0,0,0.43,0.4,8,5,1,0.22,,0.0,3,48%(10/21),0,71%(88/124),58%(18/31),,2,2,0,1,55%(6/11),5,3,3,0.0,0.22,1.0,0.0,61%,1,0,4,1,50%(2/4),14,0.0,0,0.55,0.63,4,4,1,0.04,,1.0,3,50%(10/20),0,91%(267/292),83%(57/69),3,3,1,1,67%(4/6),7,4,10,0.01,0.04,,0,73%,1,1,4,3,38%(3/8),23,0.0,0,0.84,0.77,5,8,0,0.0,,0.0,4,71%(15/21),1,90%(295/329),86%(98/114),,4,4,1,2,40%(2/5),5,6,17,0.22,0.0,1.0
d2jVl7wA,mexico,26.02.2026 02:00,Football / World / Friendly International,Mexico,Iceland,4,0,0.0,60%,4,3,5,5,36%(5/14),16,0.0,2,0.97,2.25,2,4,2,0.4,1.0,0.0,4,50%(13/26),2,88%(271/308),82%(78/95),5,4,4,6,0%(0/1),15,11,16,1.35,0.4,,0,54%,6,3,4,3,67%(4/6),23,0.0,0,0.68,2.42,5,6,0,0.0,1.0,0.0,5,39%(12/31),3,86%(219/254),78%(63/81),,11,3,7,2,89%(8/9),5,13,28,2.87,0.0,1.0,0.0,40%,1,0,17,1,0%(0/3),11,0.0,0,0.05,0.38,4,2,2,-0.65,0.0,0.0,6,46%(12/26),0,84%(179/214),42%(8/19),2,0,2,0,100%(2/2),8,2,3,0.4,1.35,,0,46%,1,1,17,1,29%(2/7),17,1.0,0,0.22,0.42,6,5,5,0.87,0.0,0.0,1,54%(13/24),0,87%(184/211),73%(19/26),,2,1,0,0,50%(1/2),7,2,3,0.0,2.87,1.0
250dCNM9,mexico,25.01.2026 19:30,Football / World / Friendly International,Bolivia,Mexico,0,1,0.0,44%,0,2,10,2,43%(3/7),21,0.0,0,0.34,0.3,5,3,1,0.31,,0.0,3,56%(14/25),0,84%(151/180),68%(19/28),4,1,3,2,92%(11/12),17,6,5,0.48,0.31,0.0,0,51%,0,2,6,2,25%(1/4),14,0.0,0,0.24,0.44,6,9,0,-0.54,,1.0,1,41%(11/27),0,84%(142/169),53%(18/34),1.0,4,4,1,3,100%(3/3),10,7,4,0.03,0.46,1.0,0.0,56%,1,0,5,2,67%(4/6),22,0.0,0,0.23,0.56,3,5,3,0.48,,0.0,3,63%(17/27),0,83%(188/226),45%(17/38),1,0,1,0,83%(10/12),10,1,3,0.31,0.48,2.0,0,49%,1,1,5,2,14%(1/7),21,0.0,0,0.12,0.23,9,6,1,0.03,,0.0,2,81%(13/16),2,86%(139/161),62%(13/21),0.0,1,1,1,1,100%(7/7),4,3,2,0.46,0.03,3.0
pO4TFuEb,mexico,23.01.2026 01:00,Football / World / Friendly International,Panama,Mexico,0,1,0.0,32%,0,0,12,0,,11,0.0,0,0.02,0.02,7,6,0,0.0,,0.0,1,30%(7/23),1,78%(116/149),41%(7/17),0,1,0,1,100%(2/2),9,1,2,0.0,0.0,1.0,0,24%,0,0,12,1,33%(1/3),22,0.0,0,0.07,0.05,3,7,3,0.27,,0.0,3,32%(8/25),0,69%(72/105),42%(8/19),,0,2,1,3,43%(3/7),10,3,1,0.01,0.27,0.0,0.0,68%,1,0,2,5,,24,0.0,0,0.34,0.33,6,7,0,0.0,,0.0,3,52%(13/25),2,90%(285/317),73%(66/90),2,3,0,1,70%(7/10),10,3,7,0.0,0.0,1.0,0,76%,1,1,12,4,50%(7/14),20,0.0,0,0.57,0.63,7,3,1,0.01,,0.0,0,53%(9/17),2,91%(311/341),82%(64/78),,4,2,3,2,88%(7/8),9,6,11,0.27,0.01,1.0
nPCcuJjm,mexico,19.11.2025 01:30,Football / World / Friendly International,Mexico,Paraguay,1,2,0.0,72%,1,0,15,2,67%(2/3),25,0.0,0,0.55,0.73,8,13,2,0.13,,1.0,2,60%(18/30),0,87%(223/255),65%(28/43),2,1,2,1,100%(6/6),11,3,7,0.82,0.13,2.0,0,71%,2,2,8,1,25%(3/12),14,0.0,0,0.57,1.34,6,6,3,0.37,0.0,0.0,4,43%(10/23),0,88%(225/257),75%(47/63),,4,2,2,2,100%(3/3),9,6,10,0.78,2.37,1.0,0.0,28%,0,1,9,2,33%(2/6),29,0.0,0,0.22,0.17,13,8,2,0.82,,0.0,1,47%(9/19),1,63%(59/93),45%(18/40),1,3,2,5,80%(8/10),11,6,5,0.13,0.82,1.0,0,29%,4,1,12,1,0%(0/3),23,0.0,0,1.26,1.58,6,6,1,-0.22,1.0,0.0,3,41%(12/29),0,64%(70/109),51%(23/45),,7,2,5,1,78%(7/9),8,8,13,2.37,0.78,2.0
65iOQJyf,mexico,16.11.2025 01:00,Football / World / Friendly International,Mexico,Uruguay,0,0,0.0,52%,0,0,2,0,33%(2/6),25,0.0,0,0.17,0.12,11,11,1,0.05,,0.0,2,52%(12/23),1,87%(191/220),53%(18/34),2,2,2,2,64%(7/11),12,4,6,0.17,0.05,1.0,0,53%,1,2,9,0,14%(1/7),27,0.0,0,0.13,0.37,8,8,1,0.03,,0.0,1,56%(9/16),1,86%(172/200),71%(24/34),,3,3,1,3,42%(5/12),8,6,5,0.02,0.03,2.0,0.0,48%,0,0,8,0,100%(1/1),26,0.0,0,0.09,0.03,11,11,2,0.17,,0.0,1,56%(15/27),0,85%(176/208),59%(20/34),0,0,1,1,75%(6/8),7,1,0,0.05,0.17,0.0,0,47%,0,0,7,0,0%(0/2),17,0.0,0,0.12,0.05,8,8,1,0.02,,0.0,2,67%(18/27),1,84%(150/179),60%(27/45),,2,1,1,0,50%(3/6),11,2,3,0.03,0.02,6.0
