match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
Eo8XRPwQ,netherlands,local,23/29 (79%),Gakpo C.Winger,5,1.71,9.1,1/1 (100%),3,5,42
Eo8XRPwQ,netherlands,local,64/66 (97%),de Jong F.Midfielder,6,-,7.7,-,-,-,75
Eo8XRPwQ,netherlands,local,83/89 (93%),van Hecke J. P.Centre back,4,-,7.7,-,-,1,95
Eo8XRPwQ,netherlands,local,25/29 (86%),Dumfries D.Fullback,5,-,7.4,1/1 (100%),-,2,45
Eo8XRPwQ,netherlands,local,64/70 (91%),Gravenberch R.Midfielder,9,0.03,7.4,0/1 (0%),1,-,89
Eo8XRPwQ,netherlands,local,80/87 (92%),van Dijk V.Centre back,6,0.02,7.4,-,1,1,98
Eo8XRPwQ,netherlands,local,1/1 (100%),Sergeev I.Forward,2,0.58,7.3,-,1,1,5
Eo8XRPwQ,netherlands,local,52/58 (90%),van de Ven M.Fullback,2,-,7.1,-,-,-,73
Eo8XRPwQ,netherlands,local,15/19 (79%),Summerville C.Winger,9,0.70,6.9,-,4,4,35
Eo8XRPwQ,netherlands,local,29/32 (91%),Verbruggen B.Goalkeeper,1,-,6.7,-,-,-,35
Eo8XRPwQ,netherlands,local,7/7 (100%),Brobbey B.Forward,1,0.61,6.6,-,1,1,9
Eo8XRPwQ,netherlands,local,7/8 (88%),Malen D.Striker,6,0.86,6.6,1/4 (25%),1,4,19
Eo8XRPwQ,netherlands,local,6/11 (55%),Flekken M.Goalkeeper,-,-,6.5,-,-,-,14
Eo8XRPwQ,netherlands,local,8/11 (73%),Iskanderov J.Midfielder,-,-,6.5,-,-,-,11
Eo8XRPwQ,netherlands,local,34/38 (89%),Reijnders T.Midfielder,3,0.68,6.5,-,4,3,56
Eo8XRPwQ,netherlands,local,17/30 (57%),Yusupov U.Goalkeeper,-,-,6.4,-,-,-,34
Eo8XRPwQ,netherlands,local,4/6 (67%),Khamdamov D.Forward,3,0.09,6.3,-,1,2,14
Eo8XRPwQ,netherlands,local,40/51 (78%),Shukurov O.Midfielder,6,0.24,6.2,1/1 (100%),3,-,60
Eo8XRPwQ,netherlands,local,26/29 (90%),Khusanov A.Centre back,6,-,6.1,-,-,-,39
Eo8XRPwQ,netherlands,local,31/34 (91%),Mozgovoy A.Midfielder,3,-,6.0,-,-,1,43
Eo8XRPwQ,netherlands,local,13/17 (76%),Shomurodov E.Striker,6,0.01,5.9,0/1 (0%),1,1,22
Eo8XRPwQ,netherlands,local,4/4 (100%),Urunov O.Attacking midfielder,9,-,5.9,0/4 (0%),-,2,19
Eo8XRPwQ,netherlands,local,6/11 (55%),Fayzullaev A.Attacking midfielder,7,0.02,5.8,1/2 (50%),1,-,24
Eo8XRPwQ,netherlands,local,16/24 (67%),Nasrullaev S.Wingback,1,-,5.8,-,-,-,34
Eo8XRPwQ,netherlands,local,23/29 (79%),Urozov J.Centre back,7,-,5.8,1/1 (100%),-,-,53
Eo8XRPwQ,netherlands,local,24/27 (89%),Ashurmatov R.Centre back,4,-,5.4,-,-,-,41
Eo8XRPwQ,netherlands,local,11/14 (79%),Sayfiev F.Wingback,3,0.04,5.0,0/1 (0%),1,-,27
Eo8XRPwQ,netherlands,local,4/4 (100%),Til G.Midfielder,-,-,4.8,-,-,-,4
fqGrfvc5,netherlands,local,25/39 (64%),Zidane L.Goalkeeper,-,-,8.8,-,-,-,51
fqGrfvc5,netherlands,local,17/27 (63%),Hadj Moussa A.Forward,6,0.02,8.1,1/2 (50%),1,2,38
fqGrfvc5,netherlands,local,78/85 (92%),van Hecke J. P.Centre back,6,0.07,7.9,-,1,3,99
fqGrfvc5,netherlands,local,60/65 (92%),Bentaleb N.Midfielder,6,0.02,7.3,-,1,-,82
fqGrfvc5,netherlands,local,28/29 (97%),Ait-Nouri R.Fullback,9,-,7.1,2/3 (67%),-,1,47
fqGrfvc5,netherlands,local,44/45 (98%),Ake N.Defender,3,-,7.1,-,-,-,51
fqGrfvc5,netherlands,local,53/56 (95%),de Jong F.Midfielder,6,-,7.1,0/1 (0%),-,-,66
fqGrfvc5,netherlands,local,19/22 (86%),Reijnders T.Midfielder,4,0.10,7.1,0/1 (0%),2,1,33
fqGrfvc5,netherlands,local,14/19 (74%),Chaibi F.Forward,2,0.02,6.9,-,1,1,26
fqGrfvc5,netherlands,local,16/22 (73%),Mahrez R.Winger,4,-,6.9,1/1 (100%),-,1,29
fqGrfvc5,netherlands,local,36/37 (97%),van Dijk V.Centre back,5,-,6.9,-,-,-,43
fqGrfvc5,netherlands,local,19/20 (95%),Belghali R.Defender,5,-,6.8,1/1 (100%),-,-,32
fqGrfvc5,netherlands,local,18/19 (95%),Gakpo C.Winger,6,0.51,6.8,-,4,9,35
fqGrfvc5,netherlands,local,12/16 (75%),Hadjam J.Defender,2,-,6.7,0/2 (0%),-,1,27
fqGrfvc5,netherlands,local,13/17 (76%),Maza I.Midfielder,5,0.02,6.7,0/1 (0%),1,-,24
fqGrfvc5,netherlands,local,10/15 (67%),Summerville C.Winger,3,-,6.7,-,-,2,19
fqGrfvc5,netherlands,local,26/28 (93%),Tougai M.Defender,2,-,6.7,-,-,-,34
fqGrfvc5,netherlands,local,15/15 (100%),Zerrouki R.Midfielder,4,-,6.7,-,-,1,21
fqGrfvc5,netherlands,local,13/16 (81%),Amoura M.Winger,10,0.33,6.6,0/2 (0%),3,4,31
fqGrfvc5,netherlands,local,19/19 (100%),Aouar H.Midfielder,2,-,6.6,-,-,-,23
fqGrfvc5,netherlands,local,15/19 (79%),Hato J.Defender,3,-,6.6,-,-,-,30
fqGrfvc5,netherlands,local,18/21 (86%),Kluivert J.Forward,7,0.14,6.6,1/2 (50%),2,1,31
fqGrfvc5,netherlands,local,28/35 (80%),Wieffer M.Fullback,8,-,6.6,0/1 (0%),-,1,57
fqGrfvc5,netherlands,local,2/3 (67%),Benbouali N.Forward,3,0.04,6.5,-,1,-,8
fqGrfvc5,netherlands,local,17/20 (85%),van de Ven M.Fullback,3,-,6.5,0/2 (0%),-,1,40
fqGrfvc5,netherlands,local,9/10 (90%),Verbruggen B.Goalkeeper,-,-,6.5,-,-,-,12
fqGrfvc5,netherlands,local,9/13 (69%),Abada A.Fullback,4,-,6.4,-,-,-,23
fqGrfvc5,netherlands,local,55/63 (87%),Belaid Z.Centre back,4,-,6.4,-,-,1,73
fqGrfvc5,netherlands,local,16/23 (70%),Gravenberch R.Midfielder,2,0.02,6.4,0/1 (0%),1,-,28
fqGrfvc5,netherlands,local,19/23 (83%),Depay M.Forward,5,0.09,6.3,0/1 (0%),2,1,32
fqGrfvc5,netherlands,local,10/11 (91%),Koopmeiners T.Midfielder,1,-,6.3,-,-,-,17
fqGrfvc5,netherlands,local,11/14 (79%),Timber Q.Midfielder,2,0.05,6.3,-,1,-,18
fqGrfvc5,netherlands,local,11/13 (85%),Geertruida L.Defender,2,-,6.2,-,-,-,19
fqGrfvc5,netherlands,local,18/19 (95%),Gouiri A.Striker,3,-,6.2,-,-,-,23
fqGrfvc5,netherlands,local,7/9 (78%),Malen D.Striker,2,0.98,6.2,-,4,7,18
fqGrfvc5,netherlands,local,24/26 (92%),Mandi A.Centre back,-,-,6.1,-,-,-,32
