match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,local__accurate_through_passes,local__ball_possession,local__big_chances,local__blocked_shots,local__clearances,local__corner_kicks,local__crosses,local__duels_won,local__errors_leading_to_goal,local__errors_leading_to_shot,local__expected_assists_xa,local__expected_goals_xg,local__fouls,local__free_kicks,local__goalkeeper_saves,local__goals_prevented,local__headed_goals,local__hit_the_woodwork,local__interceptions,local__long_passes,local__offsides,local__passes,local__passes_in_final_third,local__shots_inside_the_box,local__shots_off_target,local__shots_on_target,local__shots_outside_the_box,local__tackles,local__throw_ins,local__total_shots,local__touches_in_opposition_box,local__xg_on_target_xgot,local__xgot_faced,local__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards,visitante__accurate_through_passes,visitante__ball_possession,visitante__big_chances,visitante__blocked_shots,visitante__clearances,visitante__corner_kicks,visitante__crosses,visitante__duels_won,visitante__errors_leading_to_goal,visitante__errors_leading_to_shot,visitante__expected_assists_xa,visitante__expected_goals_xg,visitante__fouls,visitante__free_kicks,visitante__goalkeeper_saves,visitante__goals_prevented,visitante__headed_goals,visitante__hit_the_woodwork,visitante__interceptions,visitante__long_passes,visitante__offsides,visitante__passes,visitante__passes_in_final_third,visitante__shots_inside_the_box,visitante__shots_off_target,visitante__shots_on_target,visitante__shots_outside_the_box,visitante__tackles,visitante__throw_ins,visitante__total_shots,visitante__touches_in_opposition_box,visitante__xg_on_target_xgot,visitante__xgot_faced,visitante__yellow_cards
Eo8XRPwQ,netherlands,08.06.2026 18:45,Football / World / Friendly International,Netherlands,Uzbekistan,2,1,0,69%,3,1,6,0,33%(1/3),19,0,0,1.58,2.16,7,8,0,0.00,,0,4,70%(14/20),0,91%(291/319),75%(56/75),,3,4,1,3,63%(5/8),8,6,11,0.69,0.00,,0,60%,5,2,8,3,44%(4/9),16,0,0,1.26,2.46,6,6,0,-0.06,,0,3,53%(10/19),2,89%(202/228),72%(38/53),1,8,4,3,1,100%(4/4),4,9,10,0.92,0.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31%,0,3,8,3,0%(0/6),16,0,0,0.24,0.15,8,7,0,-0.31,,0,5,28%(7/25),1,76%(105/138),44%(12/27),,0,2,0,5,100%(4/4),10,5,3,0.00,0.69,,0,40%,1,1,6,0,0%(0/6),6,0,0,0.07,0.83,6,6,1,-0.08,,0,7,35%(9/26),1,79%(119/150),66%(19/29),0,2,1,1,1,100%(2/2),11,3,4,0.94,0.92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fqGrfvc5,netherlands,03.06.2026 18:45,Football / World / Friendly International,Netherlands,Algeria,0,1,0,48%,2,2,9,3,25%(2/8),19,0,0,0.94,1.62,3,2,1,0.02,,1,6,62%(8/13),2,88%(202/229),76%(57/75),,6,2,4,2,83%(5/6),17,8,15,0.95,0.02,,0,57%,1,4,8,3,13%(1/8),15,0,1,0.56,0.57,8,7,0,-0.52,,0,3,40%(8/20),0,86%(241/281),75%(66/88),,4,3,2,5,25%(2/8),12,9,11,0.67,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,52%,0,1,11,2,25%(1/4),18,0,2,0.46,0.26,2,3,4,0.95,,0,1,52%(15/29),2,87%(214/247),68%(23/34),,1,0,1,1,67%(6/9),10,2,6,0.02,0.95,,0,43%,0,3,10,1,0%(0/2),22,0,1,0.54,0.22,7,8,2,0.67,,0,6,55%(18/33),0,81%(178/220),64%(42/66),,3,2,1,3,50%(4/8),9,6,6,0.48,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PWJ81Ur,netherlands,31.03.2026 18:45,Football / World / Friendly International,Netherlands,Ecuador,1,1,0,33%,1,0,10,1,33%(1/3),25,0,3,0.14,0.02,3,11,2,0.64,,0,4,35%(8/23),2,73%(108/148),57%(16/28),1,0,0,1,1,75%(6/8),4,1,3,0.03,1.64,0,0,23%,0,1,12,1,0%(0/1),21,0,0,0.03,0.11,3,5,0,0.00,,0,3,48%(10/21),0,69%(68/99),41%(13/32),,1,0,0,0,56%(5/9),5,1,1,0.00,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67%,2,1,8,1,14%(1/7),17,0,1,0.45,1.15,11,3,1,0.03,,1,3,20%(3/15),2,89%(264/296),81%(89/110),0,3,2,3,3,0%(0/6),10,6,6,1.64,0.03,1,0,77%,0,5,12,9,23%(3/13),20,0,0,0.73,0.43,5,3,0,0.00,,0,3,56%(9/16),1,92%(291/316),87%(122/141),,5,5,0,5,50%(3/6),6,10,20,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rujmEN6L,netherlands,27.03.2026 19:45,Football / World / Friendly International,Netherlands,Norway,2,1,0,53%,3,3,11,5,27%(3/11),14,0,0,0.64,0.86,6,3,0,-0.24,1,0,2,43%(10/23),0,87%(226/261),80%(90/113),,6,1,3,1,50%(1/2),11,7,12,0.97,0.76,,0,41%,2,2,7,3,29%(2/7),20,0,0,0.76,1.21,5,6,1,0.31,,0,3,68%(13/19),0,84%(160/191),75%(42/56),,6,3,2,1,80%(4/5),9,7,16,1.00,0.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47%,0,1,14,1,40%(4/10),32,0,0,0.42,0.66,3,6,2,-0.03,0,0,6,37%(11/30),0,82%(187/227),69%(36/52),,3,2,1,1,50%(7/14),5,4,15,0.76,0.97,,0,59%,0,0,8,1,60%(3/5),18,1,0,0.36,0.17,6,5,1,0.00,,0,5,50%(15/30),1,86%(236/274),81%(44/54),,1,0,1,0,57%(4/7),6,1,8,0.31,1.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StJedUO9,netherlands,17.11.2025 19:45,Football / Europe / World Championship - Qualification,Netherlands,Lithuania,4,0,1,79%,3,1,3,2,25%(3/12),21,0,0,1.06,0.91,4,5,0,0.00,,1,3,76%(13/17),0,90%(297/331),77%(89/116),,5,2,5,3,50%(1/2),12,8,20,1.45,0.00,0,1,58%,3,3,12,3,30%(3/10),25,0,1,1.29,2.25,6,5,1,0.06,,1,3,50%(8/16),0,83%(200/241),72%(68/94),,10,6,3,2,40%(2/5),12,12,34,2.09,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21%,1,1,22,1,33%(1/3),15,1,0,0.22,0.19,5,4,4,0.45,,0,5,48%(10/21),1,69%(59/85),67%(8/12),,1,1,0,1,86%(6/7),7,2,2,0.00,1.45,1,0,42%,1,2,15,2,0%(0/7),17,0,0,0.21,0.48,5,6,0,-0.91,,0,3,50%(14/28),0,76%(133/174),70%(23/33),,2,4,1,5,50%(4/8),6,7,5,0.06,2.09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fTKmbjfc,netherlands,14.11.2025 19:45,Football / Europe / World Championship - Qualification,Poland,Netherlands,1,1,1,37%,2,1,14,0,40%(2/5),24,0,0,0.70,0.94,5,7,0,0.00,,0,4,54%(14/26),1,83%(156/187),70%(19/27),,3,2,2,2,50%(7/14),5,5,6,0.32,0.00,1,0,43%,0,4,9,2,17%(2/12),16,0,0,0.76,0.64,5,7,2,-0.02,,0,1,82%(18/22),2,92%(207/225),86%(56/65),,4,0,3,3,25%(1/4),5,7,16,0.93,0.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,63%,0,1,7,3,0%(0/11),21,0,0,0.80,0.08,7,5,1,-0.68,,0,2,65%(11/17),0,92%(294/321),84%(108/129),,1,1,0,1,75%(6/8),6,2,9,0.00,0.32,0,0,57%,2,0,13,0,33%(3/9),15,0,1,0.76,0.73,7,5,3,0.93,,0,1,40%(2/5),0,95%(286/300),90%(89/99),,6,3,3,0,40%(2/5),3,6,15,0.98,0.93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vLj3jvyi,netherlands,12.10.2025 16:00,Football / Europe / World Championship - Qualification,Netherlands,Finland,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69%,5,6,6,12,41%(13/32),38,0,2,2.26,2.51,8,13,3,0.21,1,1,5,79%(30/38),2,91%(609/667),86%(187/217),10,5,6,7,50%(4/8),14,17,47,2.48,0.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31%,1,1,27,1,33%(2/6),27,0,0,0.55,0.64,13,8,2,-1.52,0,0,10,24%(9/37),1,80%(248/309),74%(43/58),3,3,3,4,71%(10/14),11,7,6,0.21,2.48,2
8x0Xe0DT,netherlands,09.10.2025 18:45,Football / Europe / World Championship - Qualification,Malta,Netherlands,0,4,0,32%,1,3,6,1,33%(1/3),15,0,0,0.10,0.31,9,2,1,-0.19,,0,6,28%(5/18),0,72%(93/129),61%(11/18),,2,2,0,3,71%(5/7),6,5,5,0.00,0.81,1,0,43%,0,1,13,0,20%(1/5),20,1,0,0.10,0.05,6,4,3,-0.10,0,0,5,29%(7/24),1,82%(142/173),62%(23/37),,1,1,0,1,67%(8/12),6,2,3,0.00,2.90,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,68%,1,3,4,2,36%(5/14),22,0,1,0.82,1.21,2,9,0,0.00,,1,4,67%(8/12),1,93%(258/277),83%(57/69),,6,3,2,2,67%(2/3),12,8,26,0.81,0.00,0,0,57%,3,4,7,4,43%(3/7),24,0,0,0.90,2.19,4,6,0,0.00,1,0,3,61%(11/18),3,88%(206/234),81%(55/68),,11,4,6,3,67%(4/6),8,14,32,2.90,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nNBOcMrH,netherlands,07.09.2025 16:00,Football / Europe / World Championship - Qualification,Lithuania,Netherlands,2,3,0,21%,0,0,31,0,100%(1/1),21,1,1,0.16,0.14,6,5,2,0.02,1,0,4,4%(1/25),0,57%(54/95),13%(2/15),,2,0,2,0,44%(4/9),4,2,3,0.92,2.02,1,0,33%,0,1,24,1,0%(0/10),20,0,0,0.10,0.20,7,5,2,-0.37,0,0,3,43%(12/28),0,81%(108/134),67%(26/39),,2,0,1,0,60%(3/5),5,2,13,0.26,0.63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79%,2,2,3,5,17%(3/18),22,0,0,0.84,0.73,5,6,0,-1.08,0,0,7,65%(13/20),0,88%(304/347),80%(128/161),,4,2,4,4,57%(4/7),12,8,23,2.02,0.92,0,0,67%,1,1,14,2,33%(3/9),30,0,0,0.77,0.39,5,7,1,0.26,1,1,0,65%(13/20),0,87%(248/284),79%(77/98),,5,2,3,1,60%(3/5),10,6,21,0.63,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vc8GarE4,netherlands,04.09.2025 18:45,Football / Europe / World Championship - Qualification,Netherlands,Poland,1,1,0,72%,2,3,8,2,33%(3/9),16,0,0,0.53,0.68,5,3,1,0.19,1,2,2,78%(7/9),5,95%(358/378),87%(96/110),,5,2,3,3,67%(6/9),7,8,13,1.03,0.19,,0,76%,1,2,8,5,18%(2/11),22,0,0,0.85,0.56,6,8,0,-0.55,,0,2,73%(8/11),0,93%(312/336),83%(72/87),,4,2,2,2,100%(3/3),10,6,23,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28%,1,0,12,1,43%(3/7),19,1,1,0.23,0.22,3,5,2,0.03,0,0,2,36%(5/14),2,79%(115/145),59%(13/22),,2,2,1,1,38%(3/8),5,3,9,0.19,1.03,,0,24%,0,1,21,3,13%(1/8),27,0,1,0.07,0.08,8,6,2,0.45,,0,2,44%(11/25),0,72%(72/100),55%(11/20),,1,1,1,2,45%(5/11),4,3,5,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
