match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
OAt8UvFb,noruega,07.06.2026 19:00,Football / World / Friendly International,Morocco,Norway,1,1,1,46%,2,2,14,1,40%(2/5),23,0,1,0.91,0.81,0,7,1,0.15,,0,5,67%(12/18),1,91%(199/218),84%(38/45),5,3,4,4,80%(8/10),4,9,10,0.34,0.15,0,0,46%,1,0,11,2,25%(1/4),15,0,0,0.17,0.48,6,5,0,-0.65,,0,5,40%(8/20),0,86%(137/160),78%(21/27),2,3,1,2,63%(5/8),9,4,5,0.14,0.35,1,0,54%,0,1,8,6,31%(4/13),11,0,0,0.41,0.36,7,0,3,-0.66,,0,2,41%(7/17),0,91%(219/241),77%(50/65),4,2,1,0,63%(5/8),8,4,10,0.15,0.34,1,0,54%,2,3,2,5,9%(1/11),21,0,0,0.30,0.44,5,6,1,0.14,,0,2,63%(10/16),1,87%(157/181),78%(47/60),3,1,1,2,58%(7/12),7,5,17,0.35,0.14,0
dOKMzug3,noruega,01.06.2026 17:00,Football / World / Friendly International,Norway,Sweden,3,1,0,57%,5,4,5,2,,29,0,1,1.44,1.87,4,3,1,0.17,2,0,2,67%(16/24),0,86%(253/293),79%(77/98),12,3,5,0,64%(7/11),11,12,25,2.67,0.17,,0,54%,2,3,3,4,22%(2/9),18,0,0,0.64,0.86,2,3,2,-0.22,,0,3,65%(17/26),2,91%(262/288),87%(60/69),8,5,2,2,50%(2/4),8,10,25,0.19,0.78,0,0,43%,1,0,23,0,,15,1,0,0.06,0.26,3,4,2,-0.36,0,0,3,40%(6/15),1,86%(199/232),71%(20/28),4,2,2,0,83%(5/6),6,4,6,0.17,2.64,,0,46%,0,2,11,1,0%(0/2),16,0,0,0.14,0.23,3,2,2,0.18,,0,3,47%(8/17),1,91%(230/253),77%(37/48),4,0,3,1,57%(4/7),8,5,8,0.39,0.18,1
GA50LvEl,noruega,31.03.2026 16:00,Football / World / Friendly International,Norway,Switzerland,0,0,1,33%,1,2,15,2,0%(0/5),17,0,0,0.34,0.10,4,3,1,0.08,,0,6,36%(8/22),1,83%(135/162),70%(14/20),1,0,0,1,75%(6/8),14,2,7,0.00,0.08,,1,55%,1,0,10,2,25%(1/4),17,0,0,1.43,0.41,1,5,0,0.00,,0,2,70%(14/20),1,87%(217/250),78%(32/41),2,2,1,1,57%(4/7),14,3,10,0.02,0.00,,0,67%,1,1,9,1,0%(0/4),24,0,1,0.53,0.60,3,4,0,0.00,,0,3,55%(17/31),0,87%(294/337),75%(66/88),2,4,1,4,60%(9/15),14,6,7,0.08,0.00,,1,45%,0,2,5,1,25%(1/4),19,0,0,0.18,0.14,5,1,1,0.02,,0,3,53%(10/19),1,84%(165/196),82%(37/45),2,2,0,2,60%(9/15),6,4,13,0.00,0.02,
rujmEN6L,noruega,27.03.2026 19:45,Football / World / Friendly International,Netherlands,Norway,2,1,0,53%,3,3,11,5,27%(3/11),14,0,0,0.64,0.86,6,3,0,-0.24,1,0,2,43%(10/23),0,87%(226/261),80%(90/113),6,1,3,1,50%(1/2),11,7,12,0.97,0.76,,0,41%,2,2,7,3,29%(2/7),20,0,0,0.76,1.21,5,6,1,0.31,,0,3,68%(13/19),0,84%(160/191),75%(42/56),6,3,2,1,80%(4/5),9,7,16,1.00,0.31,0,0,47%,0,1,14,1,40%(4/10),32,0,0,0.42,0.66,3,6,2,-0.03,0,0,6,37%(11/30),0,82%(187/227),69%(36/52),3,2,1,1,50%(7/14),5,4,15,0.76,0.97,,0,59%,0,0,8,1,60%(3/5),18,1,0,0.36,0.17,6,5,1,0.00,,0,5,50%(15/30),1,86%(236/274),81%(44/54),1,0,1,0,57%(4/7),6,1,8,0.31,1.00,1
jR2YfaRq,noruega,16.11.2025 19:45,Football / Europe / World Championship - Qualification,Italy,Norway,1,4,0,61%,2,2,8,3,25%(3/12),18,0,0,0.76,0.63,8,5,0,0.00,,0,1,83%(19/23),0,90%(275/306),76%(57/75),4,4,1,3,67%(4/6),9,7,8,0.20,0.00,1,0,55%,0,3,13,3,45%(5/11),14,1,0,0.48,0.67,7,3,1,-1.67,,0,2,58%(11/19),0,86%(198/229),71%(42/59),5,2,3,3,75%(3/4),3,8,12,1.60,2.33,2,0,39%,0,0,11,0,0%(0/1),30,1,0,0.05,0.01,5,8,0,-0.80,,0,1,44%(14/32),0,82%(167/204),47%(15/32),0,1,0,1,57%(4/7),9,1,3,0.00,0.20,0,0,45%,3,0,8,2,22%(2/9),19,0,0,1.02,1.58,3,7,3,1.60,,0,5,52%(13/25),0,87%(166/190),78%(46/59),8,7,5,4,0%(0/2),4,12,23,2.33,1.60,2
OKfypUQj,noruega,13.11.2025 17:00,Football / Europe / World Championship - Qualification,Norway,Estonia,4,1,0,70%,2,6,9,6,26%(5/19),23,0,0,0.88,1.01,7,7,1,0.26,,0,1,60%(6/10),0,91%(289/317),85%(93/110),10,5,2,3,25%(1/4),10,13,33,0.16,0.26,,0,66%,4,0,5,2,,33,0,0,1.18,1.02,2,10,1,-0.01,3,0,2,37%(7/19),2,91%(312/344),83%(68/82),5,0,5,0,50%(3/6),9,5,11,3.33,0.99,,0,30%,0,1,18,0,33%(1/3),21,0,0,0.06,0.06,7,7,2,0.16,,0,3,29%(6/21),1,78%(108/139),54%(14/26),1,0,1,1,56%(5/9),5,2,5,0.26,0.16,,0,34%,1,1,9,0,,24,0,0,0.04,0.65,10,2,1,-0.67,0,1,3,30%(6/20),0,80%(145/181),54%(20/37),3,1,2,1,82%(9/11),7,4,5,0.99,3.33,
CpmMgrVs,noruega,14.10.2025 16:00,Football / World / Friendly International,Norway,New Zealand,1,1,0,64%,1,4,7,1,56%(5/9),28,0,0,0.46,0.36,8,7,1,0.19,,0,3,49%(19/39),0,84%(231/275),72%(59/82),4,1,1,2,64%(7/11),10,6,19,0.28,1.19,,0,66%,1,8,14,5,10%(1/10),21,0,0,0.49,0.87,3,6,3,0.28,,1,2,58%(11/19),0,92%(254/275),90%(74/82),11,4,5,6,50%(3/6),10,17,26,1.37,0.28,1,0,36%,1,0,7,0,0%(0/5),16,0,0,0.04,0.50,7,8,1,0.28,,0,3,33%(6/18),2,76%(119/156),51%(18/35),1,1,2,2,60%(3/5),15,3,4,1.19,0.28,,0,34%,3,1,15,3,27%(3/11),17,0,0,0.84,0.96,6,3,4,0.37,,1,3,62%(13/21),1,85%(115/135),75%(18/24),5,2,3,1,50%(4/8),6,6,8,0.28,1.37,1
4zE4kj3T,noruega,11.10.2025 16:00,Football / Europe / World Championship - Qualification,Norway,Israel,5,0,2,44%,2,4,3,3,30%(3/10),18,0,0,1.31,1.58,6,5,1,0.02,,0,3,58%(11/19),0,84%(143/171),69%(40/58),7,3,3,3,67%(2/3),9,10,25,1.19,0.02,,0,63%,3,1,0,2,,20,0,0,0.56,0.68,4,6,0,0.00,2,0,4,70%(7/10),1,93%(284/304),78%(42/54),5,3,2,1,60%(3/5),7,6,12,0.39,0.00,0,0,56%,0,1,14,1,0%(0/2),20,1,0,0.19,0.15,5,6,2,0.19,,0,3,62%(16/26),0,87%(194/223),79%(42/53),1,2,1,3,50%(3/6),2,4,5,0.02,1.19,,0,37%,0,0,5,0,,12,1,0,0.04,0.00,6,4,0,-1.61,0,0,3,39%(7/18),1,86%(159/185),77%(24/31),0,0,0,0,50%(3/6),6,0,0,0.00,0.39,1
lbnN7XIc,noruega,09.09.2025 18:45,Football / Europe / World Championship - Qualification,Norway,Moldova,11,1,3,67%,6,2,7,1,27%(3/11),21,0,0,2.71,3.62,4,3,0,0.00,,0,5,62%(8/13),0,91%(308/337),87%(100/115),11,3,8,2,91%(10/11),9,13,39,3.90,0.00,,0,76%,11,7,5,3,57%(4/7),31,0,0,3.19,5.95,2,7,0,0.00,1,1,3,80%(8/10),0,90%(286/317),87%(133/153),18,5,9,3,100%(6/6),7,21,42,6.04,0.00,0,0,33%,0,1,15,0,20%(1/5),21,1,0,0.11,0.09,3,4,3,-1.10,,0,4,45%(9/20),0,82%(137/168),71%(24/34),2,1,0,0,58%(7/12),6,2,5,0.00,3.90,,0,24%,0,0,10,1,0%(0/1),16,1,0,0.05,0.00,7,2,3,1.04,0,0,2,24%(6/25),0,69%(70/102),61%(19/31),0,0,0,0,43%(3/7),6,0,1,0.00,6.04,1
h06ka47K,noruega,04.09.2025 16:00,Football / World / Friendly International,Norway,Finland,1,0,0,59%,2,4,2,6,,13,0,0,1.02,1.44,3,6,0,0.00,,0,1,74%(14/19),2,92%(278/303),89%(128/144),8,4,2,2,100%(2/2),8,10,35,1.25,0.00,,0,55%,0,2,4,3,7%(1/14),22,0,1,0.31,0.28,10,7,1,0.03,,1,2,78%(18/23),3,92%(246/266),90%(76/84),3,2,0,1,80%(4/5),6,4,11,0.00,0.03,1,0,41%,0,0,19,0,,21,0,0,0.05,0.00,6,3,1,0.25,,0,2,40%(10/25),1,84%(187/222),73%(27/37),0,0,0,0,58%(7/12),4,0,0,0.00,1.25,,0,45%,0,1,14,0,67%(2/3),22,0,0,0.26,0.19,7,10,0,0.00,,0,2,48%(11/23),0,89%(199/223),83%(29/35),2,1,1,1,40%(2/5),6,3,8,0.03,0.00,1
