match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
hpJGkndD,nueva_zelanda,local,14/16 (88%),Kane H.Striker,3,0.25,7.9,-,3,2,21
hpJGkndD,nueva_zelanda,local,48/49 (98%),Henderson J.Midfielder,-,0.04,7.9,-,1,1,54
hpJGkndD,nueva_zelanda,local,35/37 (95%),Guehi M.Centre back,5,-,7.6,-,-,-,41
hpJGkndD,nueva_zelanda,local,18/22 (82%),Rashford M.Winger,3,0.13,7.5,1/2 (50%),2,5,37
hpJGkndD,nueva_zelanda,local,27/31 (87%),Spence D.Fullback,2,0.04,7.5,0/1 (0%),2,2,41
hpJGkndD,nueva_zelanda,local,32/32 (100%),Bellingham J.Midfielder,6,0.11,7.3,1/1 (100%),2,1,42
hpJGkndD,nueva_zelanda,local,50/53 (94%),Anderson E.Midfielder,5,0.04,7.2,-,1,-,61
hpJGkndD,nueva_zelanda,local,24/26 (92%),Ngumoha R.Forward,12,0.06,7.1,4/5 (80%),1,3,41
hpJGkndD,nueva_zelanda,local,18/22 (82%),Rogers M.Attacking midfielder,2,0.08,7.1,-,2,4,31
hpJGkndD,nueva_zelanda,local,33/36 (92%),Mainoo K.Midfielder,5,0.04,7.0,1/1 (100%),1,-,47
hpJGkndD,nueva_zelanda,local,41/41 (100%),Burn D.Defender,3,0.15,6.9,-,2,2,49
hpJGkndD,nueva_zelanda,local,32/36 (89%),James R.Defender,4,0.05,6.9,1/1 (100%),1,-,48
hpJGkndD,nueva_zelanda,local,20/22 (91%),Watkins O.Winger,5,0.37,6.9,2/2 (100%),2,4,29
hpJGkndD,nueva_zelanda,local,10/14 (71%),Pickford J.Goalkeeper,-,-,6.8,-,-,-,17
hpJGkndD,nueva_zelanda,local,40/42 (95%),Konsa E.Defender,2,-,6.7,-,-,-,43
hpJGkndD,nueva_zelanda,local,32/33 (97%),Livramento V.Defender,2,-,6.7,0/1 (0%),-,3,38
hpJGkndD,nueva_zelanda,local,31/36 (86%),Quansah J.Fullback,3,-,6.7,-,-,-,42
hpJGkndD,nueva_zelanda,local,20/22 (91%),Gordon A.Forward,5,0.09,6.6,0/2 (0%),2,4,36
hpJGkndD,nueva_zelanda,local,39/40 (98%),Stones J.Centre back,1,0.09,6.6,-,1,2,41
hpJGkndD,nueva_zelanda,local,11/29 (38%),Crocombe M.Goalkeeper,-,-,6.5,-,-,-,39
hpJGkndD,nueva_zelanda,local,8/8 (100%),Old B.Forward,5,-,6.5,1/1 (100%),-,-,17
hpJGkndD,nueva_zelanda,local,20/21 (95%),Surman F.Centre back,3,-,6.5,-,-,-,37
