match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,error_2nd Half,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
hpJGkndD,nueva_zelanda,06.06.2026 20:00,Football / World / Friendly International,England,New Zealand,1,0,,,0,67%,2,5,0,5,19%(3/16),18,0,0,0.67,1.05,4,5,1,0.04,1,0,1,60%(12/20),0,90%(293/325),81%(118/146),,6,6,3,8,71%(5/7),9,14,20,1.16,0.04,,0,76%,1,6,5,3,10%(1/10),25,0,0,0.54,0.49,6,8,0,0.00,1,0,67%(8/12),2,95%(316/333),91%(90/99),4,2,1,5,67%(6/9),4,9,17,0.07,0.00,,0,33%,0,0,20,0,0%(0/2),11,0,0,0.06,0.09,5,4,2,0.16,0,0,6,53%(16/30),0,84%(135/161),65%(15/23),,1,1,1,1,67%(2/3),4,2,2,0.04,1.16,,0,24%,0,1,7,1,0%(0/4),22,0,0,0.02,0.03,8,6,1,0.07,0,1,13%(2/16),1,78%(79/101),47%(8/17),0,0,0,1,45%(5/11),9,1,2,0.00,0.07,
63JNxuGi,nueva_zelanda,03.06.2026 00:00,Football / World / Friendly International,Haiti,New Zealand,4,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xjJMMS8F,nueva_zelanda,30.03.2026 06:15,Football / World / FIFA Series - Group Stage,New Zealand,Chile,4,1,,,0,62%,3,2,6,5,11%(1/9),18,0,1,0.92,1.05,4,6,2,0.26,,0,4,45%(5/11),3,85%(180/213),67%(33/49),0,5,0,4,1,100%(4/4),11,6,9,1.22,0.26,1,1,65%,2,2,7,2,0%(0/7),18,0,0,0.44,1.22,4,2,1,-0.11,0,2,25%(2/8),0,88%(233/265),74%(31/42),6,1,3,0,89%(8/9),8,6,9,1.18,0.89,1,0,38%,0,0,16,1,50%(1/2),17,0,0,0.23,0.15,6,4,2,-0.78,,0,3,35%(7/20),0,71%(94/133),50%(8/16),1,1,1,2,2,100%(7/7),11,3,3,0.26,1.22,2,0,35%,1,0,5,1,0%(0/3),21,0,0,0.05,0.44,2,4,1,-0.82,0,8,48%(14/29),1,76%(110/145),50%(15/30),1,0,2,1,63%(5/8),14,2,5,0.89,1.18,0
lWHoLFXA,nueva_zelanda,27.03.2026 06:15,Football / World / FIFA Series - Group Stage,New Zealand,Finland,0,2,,,0,43%,0,1,6,1,14%(1/7),16,0,1,0.08,0.10,8,2,1,0.04,0,0,6,59%(17/29),1,78%(144/184),55%(24/44),,3,3,0,1,83%(5/6),11,4,5,0.00,1.04,,0,57%,0,1,8,1,0%(0/3),31,0,0,0.06,0.22,4,8,0,-0.83,0,1,42%(11/26),0,82%(199/242),55%(24/44),4,4,2,3,57%(4/7),13,7,7,0.04,0.17,1,0,57%,1,1,10,4,33%(3/9),26,0,0,0.23,0.33,2,8,0,0.00,1,0,4,56%(14/25),0,85%(206/243),75%(44/59),,3,3,2,3,57%(4/7),14,6,9,1.04,0.00,,0,43%,2,1,11,3,0%(0/7),10,0,1,0.09,0.39,8,4,2,0.04,1,6,45%(9/20),2,81%(144/177),64%(16/25),2,2,1,2,67%(2/3),9,4,7,0.17,0.04,3
pAyQLUqL,nueva_zelanda,19.11.2025 01:30,Football / World / Friendly International,Ecuador,New Zealand,2,0,,,0,72%,0,2,1,3,17%(2/12),25,0,0,0.55,0.50,6,6,1,0.45,,0,3,56%(18/32),0,85%(262/309),75%(67/89),,3,5,1,5,67%(6/9),11,8,11,0.01,0.45,1,0,73%,2,6,3,5,7%(1/14),15,0,0,0.61,2.19,1,4,1,0.02,1,1,69%(27/39),0,88%(293/334),76%(77/101),9,3,7,7,71%(5/7),8,16,23,2.56,0.02,,0,28%,0,1,13,1,50%(3/6),18,0,0,0.13,0.12,6,6,1,0.01,,0,5,13%(3/24),0,58%(67/116),36%(14/39),,3,2,1,1,100%(8/8),6,4,3,0.45,0.01,0,0,27%,0,4,20,2,0%(0/4),13,0,0,0.05,0.34,4,1,6,0.56,0,7,47%(8/17),0,77%(96/124),50%(11/22),3,1,1,3,80%(4/5),1,6,3,0.02,2.56,
lnWjjwX8,nueva_zelanda,16.11.2025 00:30,Football / World / Friendly International,Colombia,New Zealand,2,1,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""[dat",1,64%,0,6,19,7,21%(3/14),38,0,0,1.75,1.90,16,13,2,-0.39,,0,6,48%(20/42),4,91%(497/548),83%(135/163),,11,8,8,11,67%(8/12),12,22,26,1.70,0.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36%,1,4,19,7,10%(1/10),35,0,0,0.79,0.55,13,16,6,-0.30,,0,10,39%(17/44),2,80%(233/293),56%(41/73),,5,3,3,5,71%(10/14),12,10,15,0.61,1.70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CpmMgrVs,nueva_zelanda,14.10.2025 16:00,Football / World / Friendly International,Norway,New Zealand,1,1,,,0,64%,1,4,7,1,56%(5/9),28,0,0,0.46,0.36,8,7,1,0.19,,0,3,49%(19/39),0,84%(231/275),72%(59/82),,4,1,1,2,64%(7/11),10,6,19,0.28,1.19,,0,66%,1,8,14,5,10%(1/10),21,0,0,0.49,0.87,3,6,3,0.28,1,2,58%(11/19),0,92%(254/275),90%(74/82),11,4,5,6,50%(3/6),10,17,26,1.37,0.28,1,0,36%,1,0,7,0,0%(0/5),16,0,0,0.04,0.50,7,8,1,0.28,,0,3,33%(6/18),2,76%(119/156),51%(18/35),,1,1,2,2,60%(3/5),15,3,4,1.19,0.28,,0,34%,3,1,15,3,27%(3/11),17,0,0,0.84,0.96,6,3,4,0.37,1,3,62%(13/21),1,85%(115/135),75%(18/24),5,2,3,1,50%(4/8),6,6,8,0.28,1.37,1
xbVd5ST9,nueva_zelanda,09.10.2025 18:45,Football / World / Friendly International,Poland,New Zealand,1,0,,,,56%,,5,16,1,,,,,,,6,8,,,,,,,1,84%(243/289),,,,4,2,,,,11,,,,1,,62%,,1,9,6,,,,,,,8,8,,,,,,1,78%(217/280),,,2,1,,,,4,,,,0,,44%,,2,10,1,,,,,,,8,7,,,,,,,1,84%(165/197),,,,1,2,,,,5,,,,1,,38%,,1,7,3,,,,,,,7,11,,,,,,0,84%(217/257),,,5,0,,,,6,,,,2
4UdSdAIi,nueva_zelanda,09.09.2025 07:00,Football / World / Friendly International,New Zealand,Australia,1,3,,,0,52%,1,2,13,1,25%(2/8),29,1,0,0.40,0.86,6,6,1,0.14,,0,4,38%(9/24),0,81%(163/202),65%(48/74),,4,2,2,2,69%(9/13),19,6,11,1.33,1.14,1,0,59%,1,0,4,1,13%(1/8),17,0,0,0.27,0.35,6,3,2,-1.43,0,4,48%(13/27),2,87%(246/283),61%(31/51),1,0,2,1,50%(5/10),6,2,5,0.85,0.57,2,1,48%,1,1,17,1,33%(1/3),29,0,0,0.28,0.37,6,6,2,1.33,,1,4,48%(12/25),0,78%(145/186),67%(18/27),,3,3,2,3,67%(8/12),15,6,3,1.14,1.33,1,0,41%,1,1,10,1,25%(1/4),21,0,0,0.11,0.44,3,6,1,-0.15,1,3,59%(13/22),2,84%(163/195),81%(30/37),4,2,4,3,75%(6/8),6,7,9,0.57,0.85,0
K6O9vT2N,nueva_zelanda,05.09.2025 09:45,Football / World / Friendly International,Australia,New Zealand,1,0,,,0,43%,0,0,15,1,0%(0/5),24,0,0,0.06,0.07,4,4,2,0.88,,1,3,48%(14/29),0,85%(211/247),80%(32/40),,0,1,1,2,63%(5/8),5,2,2,0.06,0.88,0,0,49%,0,1,22,1,22%(2/9),34,0,0,0.47,0.27,7,8,2,0.66,0,7,64%(18/28),0,80%(178/222),54%(20/37),4,2,2,0,44%(4/9),15,5,12,1.17,0.66,,1,57%,1,0,3,3,0%(0/9),18,0,0,0.35,0.35,4,4,1,0.06,,0,2,48%(19/40),0,87%(288/330),66%(44/67),,0,3,2,5,57%(4/7),14,5,6,0.88,0.06,1,0,51%,1,1,18,2,8%(1/12),30,0,0,0.09,0.27,8,7,1,0.17,0,4,18%(4/22),1,76%(174/228),57%(33/58),3,1,2,1,50%(8/16),17,4,10,0.66,1.17,
