match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
4UXzDy1d,panama,local,40/42 (95%),Lucas PaquetaMidfielder,6,0.26,9.1,1/1 (100%),2,2,51
4UXzDy1d,panama,local,12/17 (71%),Vinicius JuniorWinger,7,0.10,8.5,3/7 (43%),3,7,30
4UXzDy1d,panama,local,30/36 (83%),CasemiroMidfielder,7,0.69,8.4,1/1 (100%),1,2,47
4UXzDy1d,panama,local,11/13 (85%),Thiago I.Forward,6,0.85,8.0,1/2 (50%),2,5,26
4UXzDy1d,panama,local,19/25 (76%),Danilo SantosMidfielder,5,0.46,7.8,1/1 (100%),2,4,36
4UXzDy1d,panama,local,8/9 (89%),RayanForward,4,0.21,7.8,3/3 (100%),3,1,16
4UXzDy1d,panama,local,25/29 (86%),Wesley FrancaFullback,6,-,7.4,-,-,2,43
4UXzDy1d,panama,local,6/8 (75%),AlissonGoalkeeper,-,-,7.3,-,-,-,16
4UXzDy1d,panama,local,38/40 (95%),Douglas SantosDefender,4,-,7.2,2/2 (100%),-,-,46
4UXzDy1d,panama,local,11/13 (85%),RaphinhaAttacking midfielder,6,0.40,7.1,1/1 (100%),3,6,25
4UXzDy1d,panama,local,50/60 (83%),Harvey C.Midfielder,8,0.02,7.0,-,1,-,71
4UXzDy1d,panama,local,27/30 (90%),IbanezDefender,7,-,7.0,0/1 (0%),-,-,39
4UXzDy1d,panama,local,30/35 (86%),Alex SandroFullback,3,-,6.9,-,-,-,41
4UXzDy1d,panama,local,27/31 (87%),Bruno GuimaraesMidfielder,4,0.03,6.8,-,1,2,33
4UXzDy1d,panama,local,16/17 (94%),EdersonGoalkeeper,-,-,6.8,-,-,-,26
4UXzDy1d,panama,local,33/36 (92%),FabinhoMidfielder,2,-,6.8,-,-,-,43
4UXzDy1d,panama,local,30/34 (88%),BremerCentre back,2,-,6.7,-,-,-,38
4UXzDy1d,panama,local,2/5 (40%),Barria K.Forward,3,0.01,6.6,-,1,1,8
4UXzDy1d,panama,local,43/46 (93%),DaniloDefender,4,-,6.5,1/1 (100%),-,-,50
