match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
MJw4zC55,panama,06.06.2026 19:00,Football / World / Friendly International,Panama,Bosnia & Herzegovina,1,1,,,42%,,,,4,,,,,,,,,,,,,,,,,,,2,4,,,8,6,,,,,,46%,,,,5,,,,,,,,,,,,,,,,,,,1,1,,,8,2,,,,1,,58%,,,,8,,,,,,,,,,,,,,,,,,,2,1,,,5,3,,,,,,54%,,,,2,,,,,,,,,,,,,,,,,,,1,4,,,12,5,,,,0
As1zNuIa,panama,04.06.2026 00:45,Football / World / Friendly International,Panama,Dominican Republic,4,2,,,57%,,,,1,,,,,,,,,,,,,,,,,,,2,2,,,,4,,,,0,,63%,,,,5,,,,,,,,,,,,,,,,,,,5,3,,,,8,,,,1,,43%,,,,2,,,,,,,,,,,,,,,,,,,4,1,,,,5,,,,1,,37%,,,,0,,,,,,,,,,,,,,,,,,,3,2,,,,5,,,,0
4UXzDy1d,panama,31.05.2026 21:30,Football / World / Friendly International,Brazil,Panama,6,2,,1,50%,2,1,5,1,0%(0/1),25,0,1,0.53,1.23,7,3,4,0.79,1,0,9,48%(10/21),0,84%(223/264),68%(52/77),6,3,4,2,70%(7/10),6,8,24,1.81,0.79,0,3,61%,4,1,10,0,0%(0/1),23,0,1,1.22,2.35,7,2,4,-0.69,,0,1,72%(18/25),1,91%(287/316),73%(33/45),7,3,8,5,43%(3/7),4,12,15,3.71,0.31,,1,50%,0,0,11,0,0%(0/3),23,1,1,0.23,0.31,3,7,2,-0.19,0,0,3,46%(19/41),1,87%(226/261),69%(33/48),2,4,4,6,64%(7/11),6,8,6,0.79,1.81,1,0,39%,0,3,3,1,33%(2/6),19,1,0,0.12,0.27,2,7,4,-0.29,,0,4,56%(10/18),1,86%(168/195),66%(29/44),2,0,5,6,60%(3/5),6,8,5,0.31,3.71,
rmPFz0vm,panama,31.03.2026 17:30,Football / World / Friendly International,South Africa,Panama,1,2,,0,57%,1,2,4,1,0%(0/3),27,0,0,0.18,0.18,4,8,1,0.06,,0,6,50%(14/28),2,88%(276/314),66%(35/53),1,1,0,2,69%(9/13),8,3,3,0.00,0.06,0,0,50%,0,1,6,0,100%(1/1),8,0,0,0.34,0.15,7,5,1,-0.42,0,0,2,55%(6/11),0,84%(87/104),58%(15/26),1,1,2,2,100%(1/1),4,4,6,0.56,1.58,3,0,43%,1,1,9,0,0%(0/2),20,0,0,0.30,0.18,8,4,1,0.00,,0,6,67%(14/21),0,85%(202/239),67%(32/48),2,1,1,1,43%(3/7),7,3,6,0.06,0.00,2,0,50%,2,0,4,1,43%(3/7),11,0,0,0.71,0.81,5,7,0,-0.44,1,0,1,65%(11/17),0,82%(80/97),61%(11/18),4,4,4,1,67%(2/3),3,8,8,1.58,0.56,2
0rIvuc36,panama,27.03.2026 17:00,Football / World / Friendly International,South Africa,Panama,1,1,,1,71%,4,0,1,1,,26,0,0,0.81,1.48,7,8,1,-0.77,,0,1,57%(12/21),1,90%(299/334),77%(63/82),5,4,4,3,63%(5/8),5,8,8,0.45,0.23,1,1,57%,1,1,3,4,30%(3/10),18,0,0,0.47,0.37,5,8,0,0.00,,0,4,63%(12/19),3,85%(218/256),75%(64/85),2,2,1,2,50%(2/4),8,4,12,0.84,0.00,0,0,29%,0,0,10,0,,19,0,1,0.03,0.09,8,7,4,0.45,,0,7,38%(8/21),3,77%(107/139),41%(7/17),1,0,2,1,50%(3/6),3,2,2,0.23,0.45,1,0,43%,0,0,12,1,50%(1/2),16,0,0,0.34,0.14,8,5,0,-0.16,,1,7,35%(8/23),2,82%(159/193),59%(17/29),1,1,0,0,83%(5/6),11,1,7,0.00,0.84,1
pO4TFuEb,panama,23.01.2026 01:00,Football / World / Friendly International,Panama,Mexico,0,1,,0,32%,0,0,12,0,,11,0,0,0.02,0.02,7,6,0,0.00,,0,1,30%(7/23),1,78%(116/149),41%(7/17),0,1,0,1,100%(2/2),9,1,2,0.00,0.00,1,0,24%,0,0,12,1,33%(1/3),22,0,0,0.07,0.05,3,7,3,0.27,,0,3,32%(8/25),0,69%(72/105),42%(8/19),0,2,1,3,43%(3/7),10,3,1,0.01,0.27,0,0,68%,1,0,2,5,,24,0,0,0.34,0.33,6,7,0,0.00,,0,3,52%(13/25),2,90%(285/317),73%(66/90),2,3,0,1,70%(7/10),10,3,7,0.00,0.00,1,0,76%,1,1,12,4,50%(7/14),20,0,0,0.57,0.63,7,3,1,0.01,,0,0,53%(9/17),2,91%(311/341),82%(64/78),4,2,3,2,88%(7/8),9,6,11,0.27,0.01,1
K83pc0QE,panama,18.01.2026 21:00,Football / World / Friendly International,Bolivia,Panama,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
YDttOqR0,panama,19.11.2025 01:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 6,Panama,El Salvador,3,0,,0,69%,4,1,6,2,38%(3/8),32,0,1,1.54,2.06,13,11,0,0.00,,1,5,77%(20/26),0,88%(236/268),77%(57/74),11,5,7,2,100%(5/5),10,13,23,1.25,0.00,1,0,69%,4,0,6,2,20%(1/5),16,0,0,1.37,1.34,9,6,2,0.04,,1,2,68%(17/25),3,90%(255/282),81%(59/73),6,5,3,2,57%(4/7),3,8,15,1.19,0.04,,0,31%,0,1,12,1,17%(1/6),23,0,0,0.04,0.24,11,13,4,-0.75,,0,2,28%(9/32),0,64%(77/121),38%(13/34),2,2,0,1,100%(4/4),10,3,3,0.00,1.25,2,0,31%,1,0,11,0,25%(1/4),20,0,1,0.36,0.28,6,9,2,0.19,,0,3,38%(6/16),0,84%(102/122),54%(13/24),2,2,2,2,20%(1/5),5,4,4,0.04,1.19,
6aQarECF,panama,14.11.2025 02:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 5,Guatemala,Panama,2,3,,1,61%,2,5,7,5,17%(2/12),28,0,0,0.47,0.71,6,5,1,-1.08,,0,5,34%(11/32),1,82%(190/231),59%(34/58),4,1,2,4,31%(5/16),11,8,12,0.38,0.92,,1,63%,2,2,13,4,24%(4/17),31,0,0,0.74,2.16,5,5,1,-0.66,1,0,6,31%(5/16),0,81%(186/229),69%(58/84),8,8,6,8,38%(5/13),14,16,17,2.22,0.34,0,0,39%,0,0,20,0,0%(0/2),26,0,1,0.06,0.27,5,6,2,0.38,,0,6,36%(10/28),1,75%(116/155),49%(22/45),4,3,3,2,57%(4/7),11,6,5,0.92,0.38,,0,37%,0,0,32,2,0%(0/6),30,0,1,0.07,0.13,5,5,3,0.22,0,0,6,54%(19/35),2,70%(97/139),56%(27/48),1,1,2,2,70%(7/10),7,3,4,0.34,2.22,2
pfu5MWkd,panama,15.10.2025 01:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 4,Panama,Suriname,1,1,,0,68%,4,2,8,4,41%(7/17),20,0,0,0.86,1.21,8,8,1,0.67,,0,4,48%(13/27),0,83%(258/312),68%(67/98),10,6,4,2,100%(2/2),5,12,21,0.89,1.67,,2,66%,3,3,6,3,19%(5/26),22,0,0,2.04,1.86,6,3,2,0.57,,0,1,80%(20/25),0,87%(252/291),82%(113/137),10,9,4,6,71%(5/7),7,16,30,1.15,0.57,0,1,32%,2,0,21,1,0%(0/4),29,0,1,0.39,1.21,8,8,4,0.89,,0,8,39%(13/33),2,70%(104/148),58%(18/31),2,1,2,1,60%(6/10),5,3,5,1.67,0.89,,0,34%,0,1,31,2,0%(0/5),21,0,0,0.14,0.32,3,6,3,0.15,,0,3,33%(13/39),1,72%(111/154),62%(33/53),0,2,2,5,67%(4/6),8,5,4,0.57,1.15,1
