match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
fsx18kCr,paraguay,local,15/15 (100%),Lee Kang-InMidfielder,3,-,7.9,2/2 (100%),-,-,21
fsx18kCr,paraguay,local,6/8 (75%),Oh Hyeon-GyuForward,4,1.10,7.4,1/1 (100%),3,2,19
fsx18kCr,paraguay,local,64/70 (91%),Kim Jin-GyuMidfielder,6,-,7.2,1/1 (100%),-,1,78
fsx18kCr,paraguay,local,72/78 (92%),Kim Min-JaeDefender,5,0.20,7.2,-,1,1,89
fsx18kCr,paraguay,local,11/14 (79%),Eom Ji-SungMidfielder,5,0.72,7.1,-,2,4,22
fsx18kCr,paraguay,local,37/38 (97%),Hwang In-BeomMidfielder,2,0.01,7.1,-,1,-,45
fsx18kCr,paraguay,local,73/78 (94%),Park Jin-SeobMidfielder,5,-,7.1,-,-,-,88
fsx18kCr,paraguay,local,12/14 (86%),Lee Dong-GyeongMidfielder,1,0.01,7.0,-,1,1,18
fsx18kCr,paraguay,local,36/44 (82%),Kim Moon-HwanDefender,7,-,6.8,0/1 (0%),-,-,63
fsx18kCr,paraguay,local,23/35 (66%),Kim Seung-GyuGoalkeeper,1,-,6.8,-,-,-,41
fsx18kCr,paraguay,local,24/28 (86%),KakuMidfielder,2,-,6.7,-,-,-,36
fsx18kCr,paraguay,local,27/31 (87%),Cho Yu-MinDefender,5,-,6.6,1/2 (50%),-,-,36
fsx18kCr,paraguay,local,57/62 (92%),Lee Han-BeomDefender,8,-,6.6,-,-,-,65
fsx18kCr,paraguay,local,8/9 (89%),Son Heung-MinForward,3,-,6.5,-,-,2,11
fsx18kCr,paraguay,local,10/11 (91%),Gonzalez D.Forward,4,0.21,6.4,-,3,2,18
fsx18kCr,paraguay,local,43/49 (88%),Lee Myung-JaeDefender,4,-,6.4,-,-,-,58
fsx18kCr,paraguay,local,22/27 (81%),Almiron M.Forward,6,0.05,6.3,-,1,1,37
fsx18kCr,paraguay,local,25/27 (93%),Bobadilla D.Midfielder,3,-,6.3,-,-,-,32
fsx18kCr,paraguay,local,17/22 (77%),Galarza M.Midfielder,6,0.06,6.3,-,1,2,29
fsx18kCr,paraguay,local,12/14 (86%),Gomez D.Midfielder,4,0.03,6.3,-,1,1,22
fsx18kCr,paraguay,local,7/11 (64%),Lee Jae-SungMidfielder,6,-,6.3,0/1 (0%),-,-,17
fsx18kCr,paraguay,local,47/55 (85%),Ojeda B.Midfielder,6,-,6.3,1/1 (100%),-,-,61
fsx18kCr,paraguay,local,7/8 (88%),Cuenca Martinez H. F.Midfielder,8,-,6.2,0/1 (0%),-,-,16
fsx18kCr,paraguay,local,38/50 (76%),Gomez G.Defender,5,-,6.2,-,-,3,55
fsx18kCr,paraguay,local,38/47 (81%),Alderete O.Defender,3,-,6.1,-,-,-,55
fsx18kCr,paraguay,local,47/53 (89%),Benitez A.Defender,2,-,6.1,-,-,3,64
fsx18kCr,paraguay,local,6/7 (86%),Won Du-JaeMidfielder,1,-,6.1,-,-,-,9
fsx18kCr,paraguay,local,4/7 (57%),Martinez R.Forward,6,0.35,6.0,-,1,1,11
fsx18kCr,paraguay,local,11/20 (55%),Gill O.Goalkeeper,1,-,5.7,-,-,-,28
fsx18kCr,paraguay,local,33/38 (87%),Alonso J.Defender,5,-,5.6,-,-,-,57
fsx18kCr,paraguay,local,4/5 (80%),Sanabria A.Forward,3,0.84,5.6,-,1,3,10
fsx18kCr,paraguay,local,2/2 (100%),Angel RomeroForward,1,0.16,-,-,1,2,5
fsx18kCr,paraguay,local,6/6 (100%),Lee Tae-SeokDefender,-,-,-,-,-,-,10
fsx18kCr,paraguay,local,5/5 (100%),Leon D.Defender,1,0.01,-,-,1,-,7
jN66M4NB,paraguay,local,9/13 (69%),Galarza M.Midfielder,12,0.25,8.0,0/4 (0%),1,1,30
jN66M4NB,paraguay,local,62/70 (89%),Bobadilla D.Midfielder,13,0.03,7.8,1/2 (50%),1,-,82
