match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
AmtzDMjA,paraguay,05.06.2026 22:15,Football / World / Friendly International,Paraguay,Nicaragua,4,0,,,66%,,,,9,,,,,,,5,3,,,,,,,1,,,,3,7,,,11,10,,,,0,,79%,,,,5,,,,,,,4,11,,,,,,,1,,,,,2,5,,,7,7,,,,0,,34%,,,,0,,,,,,,2,6,,,,,,,1,,,,0,0,,,2,0,,,,1,,21%,,,,0,,,,,,,10,5,,,,,,,1,,,,,0,0,,,8,0,,,,1
nRARC4sB,paraguay,31.03.2026 18:00,Football / World / Friendly International,Morocco,Paraguay,2,1,,0,72%,0,0,7,1,0%(0/7),13,0,0,0.15,0.08,6,4,2,0.65,,0,4,52%(14/27),0,91%(340/375),76%(74/97),1,1,1,1,67%(4/6),8,2,3,0.50,0.65,2,0,49%,2,0,13,0,67%(2/3),24,0,1,0.41,1.03,2,7,4,-0.18,0,0,6,39%(9/23),1,83%(177/212),59%(16/27),,4,1,3,0,56%(5/9),6,4,8,2.04,0.82,1,0,28%,1,0,11,0,33%(1/3),28,0,0,0.09,0.34,4,6,1,0.50,,0,4,60%(12/20),2,78%(110/141),53%(9/17),3,1,2,0,88%(7/8),11,3,5,0.65,0.50,2,0,51%,1,1,6,3,45%(5/11),18,0,0,0.57,0.57,7,2,1,0.04,1,0,2,63%(10/16),1,83%(173/209),74%(49/66),,5,2,5,3,63%(5/8),11,8,15,0.82,2.04,4
MmZAhAYb,paraguay,27.03.2026 19:00,Football / World / Friendly International,Greece,Paraguay,0,1,,,60%,,0,10,2,,,,,,,1,10,,,,,,,0,88%(267/304),,,4,2,,,7,6,,,,,,47%,,2,5,4,,,,,,,8,5,,,,,,,0,87%(226/260),,,,5,1,,,2,8,,,,1,,40%,,2,14,1,,,,,,,9,1,,,,,,,1,85%(210/247),,,3,1,,,11,6,,,,,,53%,,0,12,2,,,,,,,2,8,,,,,,,1,78%(132/169),,,,1,2,,,8,3,,,,0
nPCcuJjm,paraguay,19.11.2025 01:30,Football / World / Friendly International,Mexico,Paraguay,1,2,,0,72%,1,0,15,2,67%(2/3),25,0,0,0.55,0.73,8,13,2,0.13,,1,2,60%(18/30),0,87%(223/255),65%(28/43),2,1,2,1,100%(6/6),11,3,7,0.82,0.13,2,0,71%,2,2,8,1,25%(3/12),14,0,0,0.57,1.34,6,6,3,0.37,0,0,4,43%(10/23),0,88%(225/257),75%(47/63),,4,2,2,2,100%(3/3),9,6,10,0.78,2.37,1,0,28%,0,1,9,2,33%(2/6),29,0,0,0.22,0.17,13,8,2,0.82,,0,1,47%(9/19),1,63%(59/93),45%(18/40),1,3,2,5,80%(8/10),11,6,5,0.13,0.82,1,0,29%,4,1,12,1,0%(0/3),23,0,0,1.26,1.58,6,6,1,-0.22,1,0,3,41%(12/29),0,64%(70/109),51%(23/45),,7,2,5,1,78%(7/9),8,8,13,2.37,0.78,2
rRpNY1Oj,paraguay,15.11.2025 22:00,Football / World / Friendly International,USA,Paraguay,2,1,,0,54%,1,2,5,2,14%(1/7),23,0,0,0.52,0.46,11,6,0,-0.02,1,0,4,53%(8/15),0,88%(262/299),71%(63/89),3,0,2,1,67%(4/6),11,4,8,0.57,0.98,2,0,58%,2,1,18,3,0%(0/5),31,0,0,0.16,0.65,2,5,2,0.11,,0,3,38%(8/21),1,83%(222/268),65%(46/71),0,3,1,2,1,75%(9/12),6,4,15,0.89,0.11,1,0,46%,1,2,12,1,25%(1/4),27,0,0,0.32,0.55,6,11,1,-0.43,1,0,7,60%(21/35),1,87%(219/253),53%(8/15),2,0,1,1,67%(8/12),8,3,3,0.98,0.57,1,0,42%,0,2,17,7,29%(4/14),20,0,0,0.18,0.15,5,2,0,-0.11,,0,8,47%(15/32),2,72%(134/186),58%(32/55),1,2,1,2,3,60%(6/10),13,5,8,0.11,0.89,2
fsx18kCr,paraguay,14.10.2025 11:00,Football / World / Friendly International,South Korea,Paraguay,2,0,,0,63%,1,1,4,1,20%(1/5),14,0,1,0.37,0.76,10,2,1,0.73,,0,2,64%(29/45),1,89%(304/340),73%(65/89),2,1,1,1,60%(3/5),7,3,7,0.90,0.73,,1,51%,2,0,18,0,0%(0/4),16,0,0,0.50,1.28,10,6,0,0.00,,1,1,62%(28/45),0,87%(199/229),84%(36/43),,3,3,2,2,0%(0/1),8,5,4,1.51,0.00,2,0,37%,1,0,8,1,0%(0/2),16,1,0,0.03,0.38,2,10,0,-0.10,,0,3,32%(7/22),2,84%(171/203),65%(15/23),1,1,1,1,50%(2/4),7,2,3,0.73,0.90,,0,49%,1,2,3,0,29%(2/7),20,0,0,0.35,1.28,6,10,1,0.51,,1,5,44%(8/18),0,81%(175/216),65%(33/51),,5,6,0,3,100%(5/5),5,8,15,0.00,1.51,1
hIuFuuLs,paraguay,10.10.2025 10:20,Football / World / Friendly International,Japan,Paraguay,2,2,,0,54%,1,0,1,3,29%(4/14),28,0,0,0.30,0.40,5,4,0,-0.59,,0,5,48%(11/23),1,83%(240/288),70%(56/80),6,4,3,1,57%(4/7),9,7,10,0.46,0.41,,0,50%,1,1,8,3,42%(5/12),23,0,0,0.83,1.02,9,6,0,-0.96,1,0,6,54%(7/13),1,84%(194/230),70%(48/69),,4,0,3,0,33%(2/6),5,4,13,1.16,0.04,1,1,46%,1,0,13,0,100%(1/1),18,1,0,0.49,0.75,4,5,2,-0.54,,0,8,43%(15/35),0,82%(212/258),46%(6/13),2,1,1,0,56%(5/9),9,2,5,0.41,0.46,,0,50%,0,2,18,1,33%(1/3),29,0,0,0.11,0.28,6,9,2,0.16,1,0,10,48%(14/29),0,84%(206/245),64%(21/33),,2,2,1,3,77%(10/13),9,5,5,0.04,1.16,0
jN66M4NB,paraguay,09.09.2025 23:30,Football / South America / World Championship - Qualification - Round 18,Peru,Paraguay,0,1,,1,49%,0,0,15,2,50%(2/4),28,0,0,0.42,0.07,3,9,3,0.39,,0,6,47%(8/17),1,82%(184/224),60%(32/53),2,2,1,1,75%(9/12),10,3,5,0.13,0.39,0,0,60%,0,3,4,4,36%(4/11),29,0,0,1.41,0.64,3,3,0,-0.15,,0,1,47%(18/38),0,84%(240/287),64%(42/66),,5,4,2,4,73%(8/11),12,9,12,0.24,0.85,,0,51%,0,1,12,3,0%(0/7),28,0,0,0.12,0.09,9,3,1,0.13,,0,4,64%(14/22),1,84%(198/237),59%(24/41),2,1,3,3,50%(5/10),5,5,4,0.39,0.13,1,0,40%,0,0,18,4,38%(3/8),26,0,0,0.21,0.33,3,3,2,0.24,,0,5,46%(12/26),1,75%(141/188),60%(31/52),,2,0,2,0,83%(10/12),14,2,5,0.85,0.24,
feDcOQha,paraguay,04.09.2025 23:30,Football / South America / World Championship - Qualification - Round 17,Paraguay,Ecuador,0,0,,0,40%,1,1,8,5,0%(0/9),32,0,0,0.24,0.46,7,4,1,0.01,,0,3,35%(9/26),1,68%(78/114),40%(12/30),2,0,2,1,60%(6/10),10,3,6,0.39,0.01,1,0,36%,0,2,6,1,33%(3/9),25,0,0,0.14,0.17,8,4,0,0.00,,1,7,33%(8/24),0,72%(98/136),53%(20/38),,2,1,1,2,75%(9/12),6,4,5,0.04,0.00,2,0,60%,0,3,13,1,25%(1/4),21,0,0,0.06,0.08,4,7,2,0.39,,0,1,32%(6/19),2,83%(151/183),67%(18/27),1,0,1,3,63%(5/8),7,4,3,0.01,0.39,0,0,64%,1,1,12,0,0%(0/3),28,0,0,0.13,0.16,4,8,1,0.04,,0,6,47%(8/17),0,87%(221/254),64%(14/22),,2,1,0,0,43%(3/7),9,2,3,0.00,0.04,1
xKtX758I,paraguay,11.06.2025 00:45,Football / South America / World Championship - Qualification - Round 16,Brazil,Paraguay,1,0,,0,73%,3,1,14,3,25%(4/16),32,0,0,1.42,1.89,5,9,0,0.00,,0,1,65%(11/17),0,87%(264/302),81%(86/106),5,3,2,1,63%(5/8),12,6,21,1.01,0.00,2,0,73%,0,2,18,8,11%(1/9),32,0,1,0.27,0.31,6,7,1,0.08,,0,5,57%(13/23),0,83%(232/278),67%(48/72),,3,1,2,2,86%(6/7),19,5,11,0.35,0.08,,0,27%,0,2,24,1,75%(3/4),29,1,0,0.50,0.10,9,5,1,0.01,,0,1,33%(8/24),0,64%(70/110),35%(9/26),2,0,0,0,63%(5/8),13,2,7,0.00,1.01,1,0,27%,0,1,25,2,0%(0/5),37,0,0,0.09,0.12,7,6,2,0.35,,0,2,23%(6/26),0,55%(56/102),51%(20/39),,2,1,1,1,59%(10/17),14,3,6,0.08,0.35,
