match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
COGgSqom,portugal,local,36/37 (97%),Samu CostaMidfielder,6,0.04,7.7,-,1,1,47
COGgSqom,portugal,local,35/38 (92%),Cancelo J.Defender,4,-,7.5,0/2 (0%),-,1,52
COGgSqom,portugal,local,24/27 (89%),Dalot D.Fullback,-,-,7.4,-,-,1,34
COGgSqom,portugal,local,24/30 (80%),Conceicao F.Forward,12,0.11,7.3,1/3 (33%),2,5,45
COGgSqom,portugal,local,9/10 (90%),Neto P.Winger,4,0.09,7.3,0/1 (0%),1,1,18
COGgSqom,portugal,local,24/28 (86%),Semedo N.Fullback,5,-,7.2,1/1 (100%),-,-,33
COGgSqom,portugal,local,23/29 (79%),Fernandes B.Attacking midfielder,3,0.02,7.0,0/1 (0%),1,2,38
COGgSqom,portugal,local,14/16 (88%),Mendes N.Defender,2,-,6.9,1/2 (50%),-,1,25
COGgSqom,portugal,local,35/37 (95%),VitinhaMidfielder,3,-,6.9,1/1 (100%),-,-,43
COGgSqom,portugal,local,38/40 (95%),Araujo T.Defender,3,-,6.8,-,-,2,46
COGgSqom,portugal,local,38/40 (95%),Dias R.Centre back,4,-,6.8,1/1 (100%),-,-,45
COGgSqom,portugal,local,19/24 (79%),Joao FelixForward,4,0.13,6.8,-,3,2,36
COGgSqom,portugal,local,28/31 (90%),Ndidi W.Midfielder,8,0.04,6.7,1/1 (100%),2,-,43
COGgSqom,portugal,local,36/38 (95%),Neves R.Midfielder,2,-,6.7,-,-,-,43
COGgSqom,portugal,local,14/17 (82%),Adams A.Striker,4,0.23,6.6,-,2,2,24
COGgSqom,portugal,local,31/32 (97%),Costa D.Goalkeeper,-,-,6.6,-,-,-,34
COGgSqom,portugal,local,13/16 (81%),Dele-Bashiru F.Attacking midfielder,3,-,6.6,0/2 (0%),-,2,21
COGgSqom,portugal,local,28/30 (93%),Inacio G.Centre back,4,-,6.6,-,-,-,36
COGgSqom,portugal,local,26/26 (100%),Neves J.Midfielder,4,-,6.5,-,-,-,34
COGgSqom,portugal,local,3/3 (100%),Ramos G.Forward,2,-,6.5,0/1 (0%),-,-,5
COGgSqom,portugal,local,20/22 (91%),Silva B.Midfielder,1,-,6.5,-,-,1,24
COGgSqom,portugal,local,34/35 (97%),Veiga R.Defender,2,-,6.5,-,-,-,38
COGgSqom,portugal,local,1/3 (33%),Chukwueze S.Forward,3,-,6.4,1/2 (50%),-,-,6
COGgSqom,portugal,local,4/5 (80%),Onuachu P.Forward,4,-,6.4,-,-,-,7
COGgSqom,portugal,local,13/14 (93%),Onyeka F.Midfielder,2,-,6.4,-,-,2,20
COGgSqom,portugal,local,32/36 (89%),Onyemaechi B.Fullback,8,-,6.4,1/2 (50%),-,-,53
COGgSqom,portugal,local,20/24 (83%),TrincaoWinger,4,0.05,6.4,1/1 (100%),1,-,32
COGgSqom,portugal,local,36/40 (90%),Iwobi A.Midfielder,5,-,6.3,1/3 (33%),-,-,49
COGgSqom,portugal,local,25/30 (83%),Okoye M.Goalkeeper,-,-,6.3,-,-,-,44
COGgSqom,portugal,local,16/17 (94%),Ronaldo C.Striker,-,1.16,6.3,-,4,4,24
COGgSqom,portugal,local,30/34 (88%),Ajayi S.Centre back,1,-,6.2,-,-,-,41
COGgSqom,portugal,local,8/9 (89%),Bewene A.Forward,2,-,6.1,0/1 (0%),-,-,22
COGgSqom,portugal,local,4/7 (57%),Moffi T.Forward,2,-,6.0,-,-,1,15
COGgSqom,portugal,local,26/27 (96%),Nnadi T.Midfielder,7,-,6.0,-,-,-,35
COGgSqom,portugal,local,15/18 (83%),Onyedika R.Midfielder,1,-,6.0,-,-,-,21
COGgSqom,portugal,local,10/13 (77%),ZaiduDefender,5,-,6.0,-,-,-,23
COGgSqom,portugal,local,17/21 (81%),Akpan C.Fullback,4,-,5.9,0/1 (0%),-,-,31
COGgSqom,portugal,local,39/43 (91%),Bassey C.Centre back,8,0.06,5.8,2/2 (100%),1,-,52
COGgSqom,portugal,local,8/10 (80%),Simon M.Striker,3,-,5.8,0/1 (0%),-,3,16
COGgSqom,portugal,local,3/3 (100%),Nunes M.Midfielder,1,-,-,1/1 (100%),-,-,6
COGgSqom,portugal,local,2/2 (100%),Otele P.Forward,-,-,-,-,-,-,3
rwGUvxUs,portugal,local,67/73 (92%),Dias R.Centre back,6,0.20,8.2,2/2 (100%),1,3,90
rwGUvxUs,portugal,local,48/59 (81%),Fernandes B.Attacking midfielder,8,0.05,8.1,0/1 (0%),2,-,81
rwGUvxUs,portugal,local,34/37 (92%),Neves R.Midfielder,4,0.02,8.0,-,1,-,49
rwGUvxUs,portugal,local,28/32 (88%),Conceicao F.Winger,11,0.02,7.7,3/5 (60%),1,10,52
rwGUvxUs,portugal,local,15/16 (94%),Guedes G.Forward,3,0.54,7.7,-,1,4,18
rwGUvxUs,portugal,local,18/27 (67%),Vigouroux L.Goalkeeper,-,-,7.4,-,-,-,43
rwGUvxUs,portugal,local,34/44 (77%),Cancelo J.Fullback,10,0.11,7.2,2/3 (67%),1,2,68
rwGUvxUs,portugal,local,10/12 (83%),Cepeda L.Forward,1,0.05,7.1,-,2,1,15
rwGUvxUs,portugal,local,30/33 (91%),Samu CostaMidfielder,7,0.02,7.1,-,1,1,40
rwGUvxUs,portugal,local,34/35 (97%),Silva B.Midfielder,3,0.01,7.1,1/1 (100%),1,-,41
rwGUvxUs,portugal,local,18/18 (100%),Neto P.Forward,6,0.17,7.0,2/3 (67%),2,3,31
rwGUvxUs,portugal,local,34/35 (97%),Veiga R.Centre back,4,-,6.9,-,-,1,37
rwGUvxUs,portugal,local,5/8 (63%),Ronaldo C.Striker,-,0.18,6.8,-,3,3,12
rwGUvxUs,portugal,local,25/26 (96%),Inacio G.Defender,3,0.07,6.7,-,1,1,30
rwGUvxUs,portugal,local,9/11 (82%),Sa J.Goalkeeper,-,-,6.7,-,-,-,11
rwGUvxUs,portugal,local,21/24 (88%),Semedo N.Fullback,3,0.01,6.6,1/1 (100%),1,2,31
rwGUvxUs,portugal,local,20/24 (83%),Arce A.Striker,9,0.09,6.5,1/1 (100%),1,3,38
rwGUvxUs,portugal,local,19/22 (86%),Dalot D.Defender,3,0.14,6.5,0/1 (0%),1,2,32
rwGUvxUs,portugal,local,20/21 (95%),Echeverria R.Midfielder,2,0.19,6.5,-,1,1,24
rwGUvxUs,portugal,local,1/3 (33%),Faundez F.Fullback,5,-,6.5,0/1 (0%),-,-,17
rwGUvxUs,portugal,local,3/4 (75%),Joao FelixForward,3,-,6.5,-,-,-,7
rwGUvxUs,portugal,local,21/26 (81%),Sierralta F.Defender,2,-,6.5,1/1 (100%),-,-,34
rwGUvxUs,portugal,local,12/12 (100%),Silva R.Goalkeeper,-,-,6.5,-,-,-,18
rwGUvxUs,portugal,local,19/19 (100%),Osorio D.Winger,7,-,6.3,-,-,-,31
rwGUvxUs,portugal,local,33/36 (92%),Suazo G.Fullback,16,-,6.1,3/4 (75%),-,1,59
rwGUvxUs,portugal,local,38/45 (84%),Pizarro V.Midfielder,7,0.07,5.9,0/1 (0%),2,1,57
rwGUvxUs,portugal,local,11/15 (73%),Tapia G.Striker,14,0.09,5.8,-,2,3,27
rwGUvxUs,portugal,local,4/11 (36%),Gutierrez M.Winger,8,0.03,5.7,0/1 (0%),1,4,23
rwGUvxUs,portugal,local,33/35 (94%),Maripan G.Centre back,3,-,5.6,-,-,-,43
rwGUvxUs,portugal,local,23/26 (88%),Leao R.Winger,9,0.03,5.3,2/4 (50%),1,4,43
rwGUvxUs,portugal,local,16/20 (80%),Loyola F.Midfielder,7,-,5.3,1/1 (100%),-,1,30
rwGUvxUs,portugal,local,4/9 (44%),Roman I.Centre back,-,-,4.8,-,-,-,14
rwGUvxUs,portugal,local,3/4 (75%),Araujo T.Defender,-,-,-,-,-,-,4
rwGUvxUs,portugal,local,7/9 (78%),Hormazabal F.Defender,-,-,-,-,-,2,11
rwGUvxUs,portugal,local,7/7 (100%),Mendez V.Midfielder,-,-,-,-,-,-,9
rwGUvxUs,portugal,local,3/4 (75%),Morales I.Forward,1,-,-,-,-,-,6
rwGUvxUs,portugal,local,3/4 (75%),Reichmuth N.Midfielder,1,0.17,-,-,2,2,9
p0WXJ60C,portugal,local,55/63 (87%),Fernandes B.Attacking midfielder,9,1.92,9.5,1/1 (100%),7,13,92
p0WXJ60C,portugal,local,60/69 (87%),Neves J.Midfielder,8,0.49,9.3,-,6,5,81
p0WXJ60C,portugal,local,11/14 (79%),Ramos G.Striker,4,1.77,8.8,1/1 (100%),7,10,28
p0WXJ60C,portugal,local,70/75 (93%),Veiga R.Centre back,12,0.35,8.5,-,1,3,88
p0WXJ60C,portugal,local,57/57 (100%),Semedo N.Fullback,5,0.05,8.2,1/3 (33%),2,3,75
p0WXJ60C,portugal,local,17/20 (85%),Conceicao F.Forward,3,0.25,7.6,2/2 (100%),3,2,28
p0WXJ60C,portugal,local,18/25 (72%),Leao R.Winger,3,0.10,7.4,0/2 (0%),2,2,35
p0WXJ60C,portugal,local,31/35 (89%),Silva B.Winger,3,0.28,7.3,-,1,2,43
p0WXJ60C,portugal,local,12/12 (100%),Joao FelixForward,3,0.26,7.2,1/1 (100%),1,2,16
p0WXJ60C,portugal,local,33/36 (92%),Cancelo J.Fullback,8,0.09,7.1,2/3 (67%),2,3,62
p0WXJ60C,portugal,local,80/86 (93%),Dias R.Centre back,3,-,7.1,-,-,1,90
p0WXJ60C,portugal,local,86/92 (93%),VitinhaMidfielder,1,0.09,7.0,1/1 (100%),1,2,96
p0WXJ60C,portugal,local,12/15 (80%),Forbs C.Forward,3,-,6.9,-,-,3,19
p0WXJ60C,portugal,local,12/15 (80%),Spertsyan E.Winger,3,0.54,6.9,1/2 (50%),1,3,23
p0WXJ60C,portugal,local,11/13 (85%),Ranos G.Striker,10,-,6.6,1/5 (20%),-,3,26
p0WXJ60C,portugal,local,24/26 (92%),Neves R.Midfielder,-,0.05,6.5,-,1,1,30
p0WXJ60C,portugal,local,14/15 (93%),Nunes M.Midfielder,1,-,6.4,-,-,-,18
p0WXJ60C,portugal,local,2/2 (100%),Aghasaryan N.Midfielder,1,0.12,6.3,-,1,-,11
p0WXJ60C,portugal,local,18/19 (95%),Costa D.Goalkeeper,-,-,6.2,-,-,-,22
p0WXJ60C,portugal,local,4/5 (80%),Eloyan A.Forward,2,-,6.2,1/1 (100%),-,-,11
p0WXJ60C,portugal,local,9/9 (100%),Harutyunyan G.Defender,-,-,6.2,-,-,-,15
p0WXJ60C,portugal,local,6/6 (100%),Shaghoyan Z.Forward,4,-,6.2,1/3 (33%),-,-,14
p0WXJ60C,portugal,local,7/9 (78%),Sevikyan E.Forward,8,-,6.1,2/4 (50%),-,2,17
p0WXJ60C,portugal,local,16/20 (80%),Muradyan S.Centre back,7,0.06,5.7,-,1,1,36
p0WXJ60C,portugal,local,7/10 (70%),Serobyan A.Winger,4,-,5.5,1/2 (50%),-,-,17
p0WXJ60C,portugal,local,10/16 (63%),Piloyan E.Fullback,3,-,5.3,-,-,-,23
p0WXJ60C,portugal,local,14/28 (50%),Avagyan H.Goalkeeper,1,-,4.9,-,-,-,39
p0WXJ60C,portugal,local,17/19 (89%),Mkrtchyan S.Centre back,3,-,4.9,-,-,-,27
p0WXJ60C,portugal,local,16/20 (80%),Muradyan K.Midfielder,5,0.03,4.8,-,1,1,31
p0WXJ60C,portugal,local,13/16 (81%),Tiknizyan N.Fullback,7,-,4.8,0/2 (0%),-,1,30
p0WXJ60C,portugal,local,13/21 (62%),Hovhannisyan K.Midfielder,8,-,4.5,0/1 (0%),-,-,35
p0WXJ60C,portugal,local,3/5 (60%),Bandikyan A.Midfielder,-,-,-,-,-,-,5
CnYPLSVa,portugal,local,6/9 (67%),Parrott T.Striker,4,1.42,8.5,1/1 (100%),3,5,17
CnYPLSVa,portugal,local,16/34 (47%),Kelleher C.Goalkeeper,1,-,8.3,-,-,-,43
CnYPLSVa,portugal,local,17/20 (85%),O'Shea D.Centre back,10,0.04,8.3,-,1,3,39
CnYPLSVa,portugal,local,104/110 (95%),Dias R.Centre back,7,-,7.8,-,-,-,126
CnYPLSVa,portugal,local,92/99 (93%),Neves R.Midfielder,6,0.08,7.8,1/1 (100%),2,1,114
CnYPLSVa,portugal,local,12/19 (63%),Scales L.Wingback,8,-,7.6,1/1 (100%),-,5,32
CnYPLSVa,portugal,local,140/149 (94%),VitinhaMidfielder,1,0.40,7.6,-,4,2,161
CnYPLSVa,portugal,local,24/26 (92%),Collins N.Centre back,4,0.05,7.4,-,1,2,42
CnYPLSVa,portugal,local,15/21 (71%),Coleman S.Wingback,8,-,7.0,1/1 (100%),-,-,40
CnYPLSVa,portugal,local,14/18 (78%),O'Brien J.Centre back,5,0.03,7.0,-,1,1,33
CnYPLSVa,portugal,local,13/21 (62%),Azaz F.Attacking midfielder,9,0.22,6.8,2/2 (100%),3,6,33
CnYPLSVa,portugal,local,45/51 (88%),Cancelo J.Fullback,3,-,6.8,1/3 (33%),-,7,60
CnYPLSVa,portugal,local,57/58 (98%),Dalot D.Fullback,11,0.20,6.8,1/1 (100%),4,4,75
CnYPLSVa,portugal,local,17/21 (81%),Semedo N.Defender,10,-,6.8,1/1 (100%),-,4,37
CnYPLSVa,portugal,local,24/29 (83%),Cullen J.Midfielder,4,-,6.7,-,-,1,45
CnYPLSVa,portugal,local,25/28 (89%),Joao FelixWinger,7,0.31,6.7,0/1 (0%),5,8,41
CnYPLSVa,portugal,local,36/40 (90%),Veiga R.Defender,8,0.07,6.7,-,2,-,49
CnYPLSVa,portugal,local,2/4 (50%),Coventry C.Midfielder,1,0.04,6.6,-,1,2,7
CnYPLSVa,portugal,local,84/85 (99%),Neves J.Midfielder,7,0.02,6.6,-,1,2,94
CnYPLSVa,portugal,local,35/43 (81%),Silva B.Winger,3,-,6.6,0/1 (0%),-,3,52
CnYPLSVa,portugal,local,4/4 (100%),Ramos G.Forward,2,0.11,6.5,-,3,1,7
CnYPLSVa,portugal,local,1/1 (100%),Idah A.Forward,1,-,6.4,-,-,-,3
CnYPLSVa,portugal,local,33/37 (89%),Inacio G.Centre back,3,-,6.3,-,-,-,40
CnYPLSVa,portugal,local,11/14 (79%),Ogbene C.Attacking midfielder,12,0.10,6.3,1/3 (33%),3,3,28
CnYPLSVa,portugal,local,13/17 (76%),TrincaoForward,1,0.04,6.3,1/1 (100%),1,1,21
CnYPLSVa,portugal,local,12/17 (71%),Leao R.Forward,5,-,6.2,0/1 (0%),-,-,23
CnYPLSVa,portugal,local,9/14 (64%),Taylor J.Midfielder,4,-,6.2,-,-,-,23
CnYPLSVa,portugal,local,0/2 (0%),Ebosele F.Defender,4,-,6.1,-,-,-,7
CnYPLSVa,portugal,local,16/17 (94%),Costa D.Goalkeeper,-,-,6.0,-,-,-,23
CnYPLSVa,portugal,local,19/22 (86%),Ronaldo C.Striker,3,0.37,5.1,-,5,5,28
CnYPLSVa,portugal,local,0/1 (0%),Dunne J.Defender,2,-,-,-,-,-,4
CnYPLSVa,portugal,local,1/1 (100%),Johnston M.Forward,-,0.12,-,0/1 (0%),1,1,4
WxQHNl1m,portugal,local,15/17 (88%),Ronaldo C.Striker,6,1.72,8.5,0/1 (0%),7,6,27
WxQHNl1m,portugal,local,40/48 (83%),Mendes N.Fullback,9,-,8.4,2/4 (50%),-,2,73
WxQHNl1m,portugal,local,28/33 (85%),Szoboszlai D.Midfielder,4,0.53,8.4,0/1 (0%),4,3,48
WxQHNl1m,portugal,local,17/28 (61%),Toth B.Goalkeeper,-,-,7.8,-,-,-,50
WxQHNl1m,portugal,local,71/76 (93%),Dias R.Centre back,12,0.03,7.7,-,1,-,90
WxQHNl1m,portugal,local,95/100 (95%),VitinhaMidfielder,3,0.07,7.6,0/1 (0%),2,-,110
WxQHNl1m,portugal,local,5/7 (71%),Lukacs D.Forward,5,-,7.3,1/3 (33%),-,4,16
WxQHNl1m,portugal,local,49/55 (89%),Semedo N.Fullback,5,0.06,7.3,-,2,6,76
WxQHNl1m,portugal,local,33/35 (94%),Fernandes B.Attacking midfielder,2,0.07,7.2,-,1,2,42
WxQHNl1m,portugal,local,18/22 (82%),Sallai R.Winger,12,0.27,7.0,4/4 (100%),6,2,45
WxQHNl1m,portugal,local,9/15 (60%),Bolla B.Winger,5,0.14,6.8,-,2,1,22
WxQHNl1m,portugal,local,10/11 (91%),Conceicao F.Forward,2,0.05,6.8,-,1,4,16
WxQHNl1m,portugal,local,35/36 (97%),Neto P.Winger,4,0.11,6.8,0/1 (0%),2,4,49
WxQHNl1m,portugal,local,54/59 (92%),Neves R.Midfielder,9,0.10,6.8,1/1 (100%),1,3,66
WxQHNl1m,portugal,local,52/59 (88%),Silva B.Winger,11,-,6.8,1/2 (50%),-,5,73
WxQHNl1m,portugal,local,12/20 (60%),Varga B.Striker,21,0.22,6.8,2/2 (100%),2,6,30
WxQHNl1m,portugal,local,21/30 (70%),Costa D.Goalkeeper,1,-,6.7,-,-,-,39
WxQHNl1m,portugal,local,4/7 (57%),Schafer A.Midfielder,5,-,6.7,1/1 (100%),-,-,16
WxQHNl1m,portugal,local,24/26 (92%),Toth A.Midfielder,7,-,6.7,-,-,-,32
WxQHNl1m,portugal,local,7/8 (88%),Joao FelixForward,4,0.30,6.5,-,3,3,19
WxQHNl1m,portugal,local,31/38 (82%),Szalai At.Centre back,4,0.73,6.5,-,3,3,48
WxQHNl1m,portugal,local,5/6 (83%),Dardai M.Defender,-,-,6.4,-,-,-,11
WxQHNl1m,portugal,local,18/18 (100%),Nego L.Fullback,8,-,6.4,0/1 (0%),-,-,37
WxQHNl1m,portugal,local,25/29 (86%),Orban W.Centre back,3,-,6.4,-,-,1,43
WxQHNl1m,portugal,local,10/13 (77%),Palhinha J.Midfielder,2,-,6.4,-,-,1,18
WxQHNl1m,portugal,local,45/46 (98%),Veiga R.Centre back,7,-,6.4,-,-,-,56
WxQHNl1m,portugal,local,5/5 (100%),Vitalis M.Midfielder,-,-,6.4,-,-,-,8
WxQHNl1m,portugal,local,1/2 (50%),Ramos G.Forward,2,-,6.3,-,-,-,4
WxQHNl1m,portugal,local,7/7 (100%),Tavares N.Defender,2,-,6.3,-,-,-,10
WxQHNl1m,portugal,local,18/23 (78%),Kerkez M.Fullback,3,-,6.1,-,-,-,39
WxQHNl1m,portugal,local,28/31 (90%),Styles C.Midfielder,4,-,5.6,-,-,-,35
QwbptcHE,portugal,local,88/94 (94%),Neves R.Midfielder,7,0.47,9.3,-,5,2,115
QwbptcHE,portugal,local,81/83 (98%),Dias R.Centre back,7,0.27,8.6,-,2,2,96
QwbptcHE,portugal,local,59/65 (91%),Mendes N.Fullback,11,0.02,8.4,0/1 (0%),1,2,96
QwbptcHE,portugal,local,20/40 (50%),Kelleher C.Goalkeeper,2,-,7.8,-,-,-,57
QwbptcHE,portugal,local,16/17 (94%),TrincaoForward,1,0.09,7.6,-,2,4,25
QwbptcHE,portugal,local,30/35 (86%),Inacio G.Centre back,11,0.04,7.3,-,1,1,41
QwbptcHE,portugal,local,38/45 (84%),Veiga R.Defender,7,-,7.3,-,-,-,49
QwbptcHE,portugal,local,74/79 (94%),VitinhaMidfielder,1,0.15,7.3,-,3,1,84
QwbptcHE,portugal,local,53/60 (88%),Fernandes B.Attacking midfielder,6,0.12,7.2,1/1 (100%),4,4,78
QwbptcHE,portugal,local,38/40 (95%),Neto P.Winger,6,0.02,7.2,1/3 (33%),1,4,58
QwbptcHE,portugal,local,32/33 (97%),Dalot D.Fullback,4,-,7.1,-,-,4,51
