match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
COGgSqom,portugal,10.06.2026 19:45,Football / World / Friendly International,Portugal,Nigeria,2,1,0,61%,2,0,5,1,14%(1/7),23,0,0,0.33,0.94,4,12,1,-0.06,,0,4,85%(23/27),3,91%(259/284),70%(30/43),,4,4,2,2,80%(4/5),5,6,7,0.69,0.94,0,0,61%,1,1,2,2,43%(3/7),15,0,0,0.32,0.66,7,7,0,0.00,,1,6,60%(15/25),1,91%(276/304),80%(71/89),,5,2,4,2,80%(4/5),7,7,14,0.66,0.00,2,0,39%,1,1,4,2,0%(0/4),7,0,0,0.12,0.33,12,4,1,-0.31,,0,3,64%(14/22),1,89%(159/178),80%(24/30),,2,2,2,3,100%(2/2),6,5,7,0.94,0.69,1,0,39%,0,0,11,0,0%(0/1),23,0,0,0.15,0.00,7,7,3,-0.34,,0,5,55%(11/20),0,84%(163/195),61%(17/28),,0,0,0,0,80%(8/10),12,0,3,0.00,0.66,1
rwGUvxUs,portugal,06.06.2026 17:45,Football / World / Friendly International,Portugal,Chile,2,1,0,73%,1,3,5,5,18%(3/17),30,0,0,0.49,0.47,3,13,0,0.00,,1,2,76%(19/25),3,89%(255/288),83%(97/117),1,4,3,3,5,40%(2/5),8,9,21,0.55,0.00,,1,52%,2,2,6,4,14%(1/7),19,0,2,0.77,1.11,5,4,3,-0.38,,0,6,83%(15/18),0,90%(208/230),86%(70/81),,7,2,5,2,88%(7/8),2,9,15,1.52,0.62,,0,27%,0,0,15,1,0%(0/3),15,0,0,0.01,0.00,13,3,3,0.55,,0,13,33%(7/21),0,70%(75/107),25%(5/20),1,0,0,0,0,57%(4/7),3,0,2,0.00,0.55,,0,48%,0,2,7,2,25%(1/4),20,1,0,0.45,0.70,4,5,3,-0.48,,0,2,61%(14/23),1,88%(193/220),81%(68/84),,6,5,4,5,67%(4/6),10,11,17,0.62,1.52,
W4Oz5JT7,portugal,31.03.2026 23:00,Football / World / Friendly International,USA,Portugal,0,2,0,38%,0,2,12,2,40%(2/5),12,0,0,0.35,0.47,6,2,1,0.17,,0,1,44%(8/18),2,83%(166/199),76%(32/42),,3,4,2,5,33%(2/6),5,8,10,0.56,1.17,1,0,39%,0,1,13,0,33%(1/3),12,0,0,0.16,0.21,9,4,2,0.31,,0,0,42%(8/19),0,82%(154/187),72%(34/47),,1,2,1,3,100%(5/5),8,4,8,0.03,1.31,,0,62%,1,0,7,3,18%(2/11),17,0,1,0.25,0.26,2,6,2,0.56,,0,5,39%(7/18),1,89%(287/324),84%(65/77),,3,1,2,0,75%(6/8),14,3,6,1.17,0.56,1,1,61%,0,1,4,5,0%(0/7),19,0,1,0.40,0.47,4,9,1,0.03,,0,5,50%(13/26),0,88%(256/291),70%(50/71),,3,4,3,5,25%(1/4),10,8,6,1.31,0.03,
fVqJ27Hq,portugal,29.03.2026 01:00,Football / World / Friendly International,Mexico,Portugal,0,0,0,39%,0,1,5,0,50%(1/2),16,0,0,0.12,0.12,4,4,1,0.01,,0,3,64%(21/33),3,83%(155/186),78%(49/63),,0,2,1,4,63%(5/8),18,4,4,0.04,0.01,,0,27%,1,1,10,0,33%(1/3),26,0,0,0.43,0.40,8,5,1,0.22,,0,3,48%(10/21),0,71%(88/124),58%(18/31),,2,2,0,1,55%(6/11),5,3,3,0.00,0.22,1,0,61%,1,0,4,1,50%(2/4),14,0,0,0.55,0.63,4,4,1,0.04,,1,3,50%(10/20),0,91%(267/292),83%(57/69),,3,3,1,1,67%(4/6),7,4,10,0.01,0.04,,0,73%,1,1,4,3,38%(3/8),23,0,0,0.84,0.77,5,8,0,0.00,,0,4,71%(15/21),1,90%(295/329),86%(98/114),,4,4,1,2,40%(2/5),5,6,17,0.22,0.00,1
p0WXJ60C,portugal,16.11.2025 14:00,Football / Europe / World Championship - Qualification,Portugal,Armenia,9,1,0,76%,4,5,3,2,64%(7/11),21,0,0,1.09,3.00,2,6,0,-0.85,1,2,2,57%(12/21),2,91%(298/329),81%(77/95),,10,4,8,7,100%(4/4),13,17,23,4.21,0.15,,0,75%,4,3,4,5,45%(5/11),23,0,0,1.24,2.69,5,4,1,0.16,,1,3,69%(9/13),1,91%(300/330),83%(87/105),,14,7,7,3,50%(5/10),7,17,29,2.95,0.16,0,0,24%,1,1,14,0,67%(2/3),9,1,0,0.68,0.66,6,2,3,-0.79,0,0,2,20%(3/15),0,75%(76/101),81%(13/16),,1,0,1,1,80%(4/5),7,2,5,0.15,4.21,,0,25%,0,0,14,1,0%(0/2),13,1,0,0.13,0.09,4,5,3,-1.05,,0,4,36%(5/14),1,74%(84/113),86%(32/37),,1,1,1,1,50%(1/2),5,2,6,0.16,2.95,1
CnYPLSVa,portugal,13.11.2025 19:45,Football / Europe / World Championship - Qualification,Ireland,Portugal,2,0,0,23%,2,1,21,1,100%(2/2),16,0,0,0.93,1.55,2,2,3,1.26,1,1,5,39%(9/23),1,74%(89/120),53%(16/30),,6,2,3,0,100%(2/2),5,6,14,1.70,1.26,2,0,23%,0,4,20,4,83%(5/6),25,0,0,0.31,0.47,3,4,2,0.24,,0,5,29%(9/31),2,67%(76/114),52%(14/27),0,7,4,0,1,67%(4/6),6,8,15,0.00,0.24,1,0,77%,0,7,4,6,14%(2/14),13,0,0,1.15,0.91,2,2,1,-0.30,0,0,5,89%(8/9),1,94%(381/407),92%(217/236),,11,5,3,4,71%(5/7),4,15,27,1.26,1.70,2,0,77%,1,5,6,3,13%(2/15),23,0,0,0.69,0.70,4,3,0,0.00,,0,2,30%(3/10),1,90%(351/391),85%(175/206),1,3,5,2,9,63%(5/8),9,12,11,0.24,0.00,0
WxQHNl1m,portugal,14.10.2025 18:45,Football / Europe / World Championship - Qualification,Portugal,Hungary,2,2,0,68%,2,2,10,3,33%(4/12),18,1,1,1.37,1.78,3,3,2,0.31,0,0,2,74%(14/19),1,91%(287/315),89%(142/160),,6,4,3,3,75%(3/4),9,9,20,1.66,1.31,1,0,63%,2,2,9,2,25%(3/12),18,0,0,0.59,0.72,4,9,2,0.58,,2,2,59%(13/22),0,90%(258/287),86%(84/98),,5,4,5,6,100%(3/3),5,11,16,1.22,1.58,1,0,32%,1,1,12,2,75%(3/4),22,0,0,0.34,0.74,3,3,1,-0.34,1,0,1,52%(15/29),0,74%(111/150),50%(14/28),,5,4,3,3,100%(8/8),5,8,8,1.31,1.66,0,0,37%,4,1,16,2,31%(5/16),23,0,0,0.61,1.14,9,4,5,1.22,,1,2,54%(7/13),1,86%(136/158),70%(23/33),,6,4,4,3,75%(3/4),6,9,12,1.58,1.22,2
QwbptcHE,portugal,11.10.2025 18:45,Football / Europe / World Championship - Qualification,Portugal,Ireland,1,0,0,64%,1,4,4,6,18%(4/22),23,0,0,0.52,0.90,3,4,0,0.00,,1,4,50%(5/10),2,92%(295/322),90%(158/175),,5,7,2,8,67%(6/9),7,13,13,0.04,0.00,0,0,77%,2,4,6,3,33%(7/21),24,0,0,1.60,2.07,3,5,0,0.00,1,0,2,45%(9/20),2,92%(323/352),91%(176/193),,12,9,4,5,29%(2/7),9,17,27,2.20,0.00,2,0,36%,0,0,14,0,0%(0/3),20,0,0,0.06,0.03,4,3,2,0.04,,0,2,39%(13/33),2,80%(150/187),55%(22/40),,0,1,0,1,60%(3/5),2,1,5,0.00,0.04,1,0,23%,0,1,19,0,0%(0/1),18,0,0,0.01,0.05,5,3,3,1.20,0,0,4,36%(10/28),2,71%(76/107),55%(11/20),,1,0,0,0,67%(4/6),7,1,1,0.00,2.20,4
prLcIgP7,portugal,09.09.2025 18:45,Football / Europe / World Championship - Qualification,Hungary,Portugal,2,3,0,31%,1,0,17,1,67%(2/3),24,0,0,0.12,0.15,3,4,3,0.89,1,0,3,40%(12/30),1,75%(113/151),29%(6/21),,2,1,1,0,,9,2,4,0.49,1.89,,0,31%,1,0,20,0,43%(3/7),15,0,0,0.29,0.33,3,5,1,-0.36,1,0,4,39%(9/23),0,79%(128/162),58%(22/38),,2,2,1,1,67%(4/6),5,3,5,0.87,1.64,1,1,69%,3,1,4,2,6%(1/18),14,0,0,1.48,1.18,4,3,0,-0.51,0,0,3,71%(15/21),1,94%(307/326),91%(136/150),,7,3,4,1,,9,8,19,1.89,0.49,,0,69%,1,2,7,4,27%(3/11),15,0,0,0.57,1.20,5,3,0,-0.13,0,0,5,65%(17/26),3,91%(337/371),78%(70/90),,3,2,3,4,25%(1/4),10,7,10,1.64,0.87,2
xIHkKFfe,portugal,06.09.2025 16:00,Football / Europe / World Championship - Qualification,Armenia,Portugal,0,5,0,25%,0,1,13,2,0%(0/3),18,1,0,0.05,0.04,6,2,2,-0.50,0,0,5,43%(9/21),2,82%(101/123),72%(18/25),,0,0,0,1,75%(9/12),5,1,2,0.00,2.50,1,0,34%,0,1,9,0,0%(0/1),15,0,1,0.10,0.15,4,5,2,0.20,,0,5,47%(8/17),1,86%(120/140),93%(25/27),,2,2,3,4,71%(5/7),7,6,5,0.12,2.20,,0,75%,3,2,7,1,50%(6/12),20,0,0,1.88,2.78,2,6,0,0.00,1,0,3,83%(19/23),0,95%(349/366),89%(119/134),,9,3,5,1,50%(3/6),6,10,25,2.50,0.00,0,0,66%,6,2,3,3,83%(5/6),24,0,0,2.25,3.56,5,4,3,0.12,,1,1,63%(10/16),1,90%(241/268),70%(45/64),,11,8,4,3,60%(3/5),10,14,29,2.20,0.12,
