match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
WrpbU7b2,qatar,local,27/35 (77%),Abunada M.Goalkeeper,-,-,8.0,-,-,-,45
WrpbU7b2,qatar,local,30/36 (83%),Diaz M.Midfielder,12,-,7.5,-,-,-,48
WrpbU7b2,qatar,local,68/73 (93%),Pedro MiguelCentre back,3,-,7.5,-,-,-,86
WrpbU7b2,qatar,local,3/9 (33%),Gonzalez M.Goalkeeper,2,-,7.1,-,-,-,17
WrpbU7b2,qatar,local,6/7 (86%),Al Haydos H.Midfielder,1,-,7.0,-,-,-,14
WrpbU7b2,qatar,local,24/29 (83%),Boudiaf K.Midfielder,4,-,7.0,-,-,-,35
WrpbU7b2,qatar,local,58/67 (87%),Clavel R.Centre back,2,-,7.0,-,-,-,73
WrpbU7b2,qatar,local,40/44 (91%),Madibo A. O.Defender,9,-,7.0,1/1 (100%),-,-,56
WrpbU7b2,qatar,local,28/37 (76%),Afif A.Striker,3,0.11,6.8,0/1 (0%),1,2,49
WrpbU7b2,qatar,local,2/4 (50%),Gil M.Forward,3,0.07,6.8,0/1 (0%),1,1,8
WrpbU7b2,qatar,local,38/44 (86%),Sibrian J.Centre back,5,0.01,6.7,-,1,-,55
WrpbU7b2,qatar,local,41/47 (87%),Cruz J.Centre back,9,-,6.6,-,-,1,62
WrpbU7b2,qatar,local,30/32 (94%),Fathi A.Midfielder,5,0.02,6.5,0/1 (0%),1,-,43
WrpbU7b2,qatar,local,10/10 (100%),Al Hussain A.Defender,1,-,6.4,1/1 (100%),-,-,14
WrpbU7b2,qatar,local,1/1 (100%),Cerros D.Forward,-,-,6.4,-,-,1,3
WrpbU7b2,qatar,local,21/23 (91%),Gaber J.Midfielder,14,-,6.4,1/1 (100%),-,-,40
WrpbU7b2,qatar,local,3/4 (75%),Jamshid T.Forward,2,-,6.4,-,-,-,7
WrpbU7b2,qatar,local,43/49 (88%),Laye I.Midfielder,6,0.15,6.4,-,1,1,61
WrpbU7b2,qatar,local,3/4 (75%),Portillo I.Midfielder,2,0.05,6.4,-,1,1,7
WrpbU7b2,qatar,local,18/22 (82%),Al Oui A.Fullback,2,-,6.3,0/1 (0%),-,-,33
WrpbU7b2,qatar,local,20/22 (91%),Edmilson JuniorWinger,10,0.02,6.3,-,1,1,37
WrpbU7b2,qatar,local,70/76 (92%),Khoukhi B.Centre back,7,0.02,6.3,-,1,2,91
WrpbU7b2,qatar,local,-,Gil C.Forward,5,0.62,6.2,0/2 (0%),4,3,11
WrpbU7b2,qatar,local,13/15 (87%),Ordaz N.Striker,10,-,6.2,1/2 (50%),-,-,29
WrpbU7b2,qatar,local,10/13 (77%),Vasquez Velasquez L. S.Striker,5,0.34,6.2,-,2,3,19
WrpbU7b2,qatar,local,32/36 (89%),Al Amin H.Fullback,7,-,6.1,1/1 (100%),-,-,56
WrpbU7b2,qatar,local,19/27 (70%),Cerritos M.Midfielder,3,-,6.0,-,-,1,35
WrpbU7b2,qatar,local,26/30 (87%),Flores Sanchez D. A.Wingback,12,-,6.0,0/1 (0%),-,1,54
