match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
WrpbU7b2,qatar,06.06.2026 20:00,Football / World / Friendly International,Qatar,El Salvador,0,0,,0,53%,0,0,17,0,25%(1/4),22,0,1,0.15,0.30,5,9,1,0.24,,0,4,62%(21/34),1,86%(206/239),55%(12/22),,2,4,0,2,67%(4/6),9,4,3,0.00,0.24,1,0,65%,3,1,12,3,50%(4/8),31,0,2,0.22,0.70,5,10,2,0.85,,0,3,71%(24/34),1,88%(245/278),63%(25/40),,4,2,1,0,58%(7/12),8,4,7,0.18,0.85,0,1,47%,1,0,7,2,0%(0/8),18,0,0,0.19,0.35,9,5,0,0.00,,0,6,53%(16/30),0,83%(172/207),58%(28/48),,1,2,1,2,63%(5/8),9,3,3,0.24,0.00,0,1,35%,2,4,10,2,0%(0/6),20,0,0,0.29,0.79,10,5,1,0.18,,0,7,54%(15/28),0,80%(119/148),39%(9/23),,5,2,2,3,38%(3/8),9,8,9,0.85,0.18,1
GfnVQqCE,qatar,28.05.2026 18:45,Football / World / Friendly International,Ireland,Qatar,1,0,,0,55%,0,1,5,4,25%(2/8),20,0,0,0.59,0.65,6,6,0,0.00,1,0,2,66%(19/29),1,88%(214/243),65%(43/66),1,4,2,3,2,50%(2/4),10,6,11,1.22,0.00,,0,49%,1,2,11,3,60%(3/5),27,0,0,0.76,1.25,3,10,1,0.42,,0,2,54%(13/24),0,86%(178/206),67%(32/48),0,4,3,0,1,67%(4/6),10,5,11,0.00,0.42,,1,45%,0,0,14,0,25%(1/4),19,0,0,0.22,0.13,6,6,2,0.22,0,0,3,60%(15/25),2,85%(166/196),86%(25/29),0,1,3,0,2,50%(4/8),10,3,6,0.00,1.22,,0,51%,0,1,13,3,25%(2/8),22,0,0,0.20,0.27,10,3,0,0.00,,0,5,68%(21/31),1,91%(192/212),74%(35/47),1,4,3,1,1,56%(5/9),6,5,7,0.42,0.00,
f1dXtwC4,qatar,07.12.2025 17:00,Football / World / FIFA Arab Cup - Round 3,Qatar,Tunisia,0,3,,0,53%,0,0,6,1,33%(1/3),32,0,0,0.16,0.09,1,10,1,0.89,,0,5,71%(22/31),0,83%(219/264),55%(28/51),,1,1,1,1,36%(4/11),8,2,11,0.03,1.89,0,0,69%,1,3,7,9,40%(6/15),23,0,1,0.44,0.51,3,6,2,-0.47,0,1,3,44%(7/16),0,85%(197/233),74%(57/77),0,8,4,3,2,80%(4/5),8,10,12,0.60,1.53,0,0,47%,2,1,10,2,56%(5/9),17,0,0,0.60,1.30,10,1,1,0.03,,0,2,55%(16/29),1,85%(187/221),69%(33/48),,7,3,3,0,25%(1/4),9,7,11,1.89,0.03,1,0,31%,1,2,14,2,13%(1/8),17,0,0,0.25,1.23,6,3,3,0.60,1,0,6,30%(7/23),2,72%(76/105),70%(21/30),1,4,0,4,2,100%(4/4),11,6,9,1.53,0.60,1
pYX6GT7N,qatar,04.12.2025 17:00,Football / World / FIFA Arab Cup - Round 2,Syria,Qatar,1,1,,2,38%,2,1,17,2,33%(2/6),11,0,0,0.92,1.17,4,4,1,0.01,,0,5,38%(11/29),1,76%(122/161),60%(21/35),,2,1,1,1,50%(2/4),5,3,4,0.00,0.01,,0,39%,1,1,19,2,13%(1/8),23,0,0,0.08,0.29,5,7,2,-0.02,0,0,2,36%(9/25),1,76%(109/143),58%(14/24),,1,1,1,2,86%(6/7),12,3,4,0.17,0.98,0,2,62%,2,1,9,2,17%(2/12),18,0,1,0.61,0.57,4,4,0,0.00,,1,2,71%(24/34),2,87%(229/263),81%(60/74),,7,9,1,4,40%(2/5),11,11,15,0.01,0.00,,0,61%,2,2,11,5,29%(6/21),34,0,1,0.92,1.10,7,5,0,-0.83,1,0,3,57%(16/28),0,85%(183/216),83%(68/82),,4,0,4,2,50%(8/16),7,6,27,0.98,0.17,2
QPUVyyz1,qatar,01.12.2025 15:45,Football / World / FIFA Arab Cup - Round 1,Qatar,Palestine,0,1,,0,66%,0,2,13,3,14%(1/7),24,0,0,0.09,0.12,4,8,0,0.00,,0,2,56%(10/18),2,88%(223/253),67%(31/46),,2,3,1,4,60%(3/5),11,6,4,0.15,0.00,0,0,61%,1,0,16,3,31%(4/13),22,0,0,0.62,0.43,2,4,1,0.21,,0,5,52%(12/23),0,85%(233/274),57%(27/47),,3,2,2,1,40%(2/5),12,4,14,0.05,0.21,,0,34%,0,1,12,1,0%(0/4),10,0,0,0.11,0.02,8,4,1,0.15,,0,3,38%(9/24),0,77%(100/130),60%(18/30),,0,0,0,1,0%(0/3),11,1,1,0.00,0.15,1,0,39%,1,3,23,2,43%(6/14),22,0,0,0.85,0.96,4,2,2,0.05,,0,1,24%(5/21),0,78%(134/172),79%(41/52),,5,3,1,2,40%(2/5),8,7,15,0.21,0.05,
0YqIw0Nj,qatar,17.11.2025 16:30,Football / World / Friendly International,Qatar,Zimbabwe,1,2,,1,73%,0,0,10,2,25%(2/8),16,0,0,0.28,0.21,8,4,0,-0.65,0,0,7,66%(27/41),4,90%(273/304),66%(25/38),,4,1,3,0,40%(2/5),7,4,7,1.24,0.35,0,0,66%,1,1,20,4,45%(5/11),30,1,0,0.37,0.46,7,6,1,-0.83,,0,1,48%(13/27),0,87%(233/268),76%(28/37),,2,1,2,2,64%(7/11),13,4,10,0.42,0.17,,0,27%,0,0,11,1,29%(2/7),22,0,0,0.17,0.35,4,8,2,0.24,1,0,2,24%(5/21),1,68%(75/111),31%(8/26),,3,2,1,0,75%(3/4),11,3,4,0.35,1.24,1,0,34%,0,1,8,5,10%(1/10),26,0,0,0.08,0.13,6,7,2,0.42,,0,3,37%(10/27),0,72%(96/134),51%(22/43),,3,1,2,1,60%(6/10),15,4,9,0.17,0.42,
2RealJKD,qatar,14.10.2025 17:00,Football / Asia / World Championship - Qualification - Fourth stage - Round 3,Qatar,United Arab Emirates,2,1,,0,46%,1,1,11,0,25%(2/8),24,0,0,0.18,0.39,5,4,1,0.13,,0,2,32%(7/22),0,80%(149/187),57%(20/35),,4,3,1,1,50%(5/10),9,5,6,0.26,0.13,1,0,33%,1,0,12,1,60%(3/5),30,0,0,0.31,0.15,2,9,2,0.43,2,0,1,40%(12/30),0,69%(61/89),53%(16/30),1,2,0,2,0,60%(6/10),8,2,3,1.35,1.43,1,0,54%,0,0,20,1,33%(2/6),22,0,0,0.30,0.15,4,5,1,0.26,,0,2,50%(16/32),0,87%(199/228),69%(31/45),,2,2,1,1,40%(2/5),13,3,3,0.13,0.26,0,0,67%,1,2,8,1,45%(5/11),21,1,0,0.84,0.74,9,2,0,-0.65,0,0,3,62%(16/26),1,85%(150/176),80%(48/60),0,8,7,3,4,50%(1/2),14,12,14,1.43,1.35,3
Yo4rh1Ll,qatar,08.10.2025 15:00,Football / Asia / World Championship - Qualification - Fourth stage - Round 1,Oman,Qatar,0,0,,0,30%,0,0,19,2,29%(2/7),18,0,0,0.05,0.12,10,4,0,0.00,,0,2,37%(7/19),0,81%(102/126),55%(11/20),,3,2,1,0,75%(6/8),12,3,7,0.21,0.00,0,1,30%,0,2,19,0,0%(0/1),12,0,0,0.23,0.05,5,5,2,0.93,,0,1,43%(13/30),0,65%(91/139),44%(20/45),,1,1,0,2,50%(1/2),19,3,4,0.00,0.93,2,0,70%,0,2,11,4,18%(2/11),24,0,1,0.23,0.23,4,10,1,0.21,,0,6,39%(11/28),0,88%(266/303),68%(44/65),,2,5,0,5,100%(9/9),13,7,8,0.00,0.21,1,0,70%,2,1,15,1,38%(6/16),28,0,0,0.49,1.09,5,5,0,0.00,,0,6,58%(19/33),1,84%(263/312),60%(40/67),,5,3,2,1,86%(6/7),10,6,11,0.93,0.00,1
UJSWNeG5,qatar,07.09.2025 15:15,Football / World / Friendly International,Qatar,Russia,1,4,,0,41%,0,0,20,1,33%(1/3),16,0,0,0.05,0.00,3,5,2,0.28,0,0,3,49%(19/39),0,82%(194/236),75%(21/28),,0,0,0,0,17%(1/6),7,0,0,0.00,2.28,,0,42%,3,0,9,2,33%(2/6),23,0,1,0.63,0.98,2,9,1,-0.01,,0,5,58%(18/31),0,84%(164/195),74%(29/39),,3,2,2,1,83%(5/6),9,4,4,1.74,0.99,0,0,59%,4,2,6,2,19%(3/16),16,0,0,1.32,1.68,5,3,0,0.00,1,1,8,78%(18/23),0,92%(307/334),87%(110/127),,10,7,5,4,0%(0/2),10,14,20,2.28,0.00,,0,58%,1,1,5,4,17%(1/6),9,0,0,0.59,0.67,9,2,1,0.74,,0,3,73%(22/30),2,91%(249/274),79%(62/78),,2,2,2,3,100%(2/2),11,5,9,0.99,1.74,2
OMPOPHog,qatar,03.09.2025 15:15,Football / World / Friendly International,Qatar,Bahrain,2,2,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
