match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
xlHCZ7lR,rd_congo,local,48/51 (94%),Kayembe J.Fullback,9,0.09,8.0,2/2 (100%),1,2,80
xlHCZ7lR,rd_congo,local,5/7 (71%),Sepulveda M.Midfielder,3,0.04,7.5,2/2 (100%),1,-,15
xlHCZ7lR,rd_congo,local,38/42 (90%),Mendez V.Midfielder,3,-,7.4,-,-,-,53
xlHCZ7lR,rd_congo,local,19/22 (86%),Osorio D.Winger,11,0.04,7.2,0/2 (0%),2,-,39
xlHCZ7lR,rd_congo,local,49/55 (89%),Sierralta F.Centre back,6,-,7.2,-,-,-,73
xlHCZ7lR,rd_congo,local,27/33 (82%),Cepeda L.Attacking midfielder,4,0.01,6.7,-,1,-,46
xlHCZ7lR,rd_congo,local,9/12 (75%),Faundez F.Fullback,8,-,6.7,1/1 (100%),-,-,28
xlHCZ7lR,rd_congo,local,34/42 (81%),Pizarro V.Midfielder,6,0.01,6.7,1/1 (100%),1,1,51
xlHCZ7lR,rd_congo,local,29/35 (83%),Suazo G.Fullback,9,-,6.7,1/2 (50%),-,1,51
xlHCZ7lR,rd_congo,local,10/12 (83%),Cipenga B.Midfielder,7,0.13,6.6,1/4 (25%),2,2,23
xlHCZ7lR,rd_congo,local,19/30 (63%),Vigouroux L.Goalkeeper,2,-,6.6,1/1 (100%),-,-,40
xlHCZ7lR,rd_congo,local,35/38 (92%),Wan-Bissaka A.Fullback,9,-,6.6,1/2 (50%),-,-,58
xlHCZ7lR,rd_congo,local,8/9 (89%),Gutierrez M.Forward,2,-,6.5,0/1 (0%),-,1,18
xlHCZ7lR,rd_congo,local,7/11 (64%),Hormazabal F.Defender,7,-,6.5,-,-,1,23
xlHCZ7lR,rd_congo,local,10/12 (83%),Ulloa D.Defender,3,-,6.5,1/1 (100%),-,1,19
xlHCZ7lR,rd_congo,local,5/9 (56%),Bakambu C.Forward,1,0.04,6.4,-,1,1,14
xlHCZ7lR,rd_congo,local,6/7 (86%),Echeverria R.Midfielder,2,-,6.4,-,-,-,12
xlHCZ7lR,rd_congo,local,18/22 (82%),Kayembe E.Midfielder,3,-,6.4,-,-,-,25
xlHCZ7lR,rd_congo,local,14/16 (88%),Loyola F.Midfielder,2,-,6.4,-,-,-,18
xlHCZ7lR,rd_congo,local,28/36 (78%),Moutoussamy S.Midfielder,2,-,6.4,1/1 (100%),-,-,41
xlHCZ7lR,rd_congo,local,13/14 (93%),Tapia G.Striker,14,0.18,6.4,-,1,4,26
xlHCZ7lR,rd_congo,local,18/22 (82%),Tshibola A.Midfielder,5,-,6.4,-,-,-,26
xlHCZ7lR,rd_congo,local,4/8 (50%),Bongonda T.Winger,9,0.02,6.3,0/2 (0%),1,2,21
xlHCZ7lR,rd_congo,local,12/13 (92%),Millan L.Midfielder,3,-,6.3,1/2 (50%),-,-,17
xlHCZ7lR,rd_congo,local,11/14 (79%),Mukau N.Midfielder,1,-,6.3,0/1 (0%),-,1,18
xlHCZ7lR,rd_congo,local,17/18 (94%),Sadiki N.Midfielder,5,0.10,6.3,-,2,-,25
xlHCZ7lR,rd_congo,local,16/20 (80%),Kakuta G.Midfielder,5,-,6.2,1/1 (100%),-,2,26
xlHCZ7lR,rd_congo,local,10/13 (77%),Lichnovsky I.Defender,-,-,6.2,-,-,-,23
xlHCZ7lR,rd_congo,local,3/5 (60%),Morales I.Forward,1,-,6.2,-,-,-,6
xlHCZ7lR,rd_congo,local,2/3 (67%),Wissa Y.Striker,7,-,6.2,2/4 (50%),-,3,13
xlHCZ7lR,rd_congo,local,31/33 (94%),Maripan G.Centre back,2,-,6.1,-,-,-,37
xlHCZ7lR,rd_congo,local,21/23 (91%),Mbuku N.Winger,17,0.03,6.0,2/5 (40%),1,1,43
xlHCZ7lR,rd_congo,local,51/58 (88%),Tuanzebe A.Centre back,5,0.09,6.0,-,2,2,70
xlHCZ7lR,rd_congo,local,43/55 (78%),Mbemba Ch.Centre back,3,-,5.9,1/1 (100%),-,-,64
xlHCZ7lR,rd_congo,local,9/14 (64%),Elia M.Forward,9,-,5.7,1/1 (100%),-,2,21
xlHCZ7lR,rd_congo,local,20/25 (80%),Reichmuth N.Winger,9,-,5.5,1/2 (50%),-,4,40
xlHCZ7lR,rd_congo,local,28/34 (82%),Mpasi-Nzau L.Goalkeeper,-,-,5.4,-,-,-,39
K0OFPazG,rd_congo,local,16/19 (84%),Jorgensen F.Goalkeeper,-,-,7.8,-,-,-,32
K0OFPazG,rd_congo,local,57/62 (92%),Jensen M.Midfielder,2,-,7.5,-,-,1,72
K0OFPazG,rd_congo,local,23/33 (70%),Mpasi-Nzau L.Goalkeeper,1,-,7.4,-,-,-,45
K0OFPazG,rd_congo,local,25/29 (86%),Wissa Y.Striker,14,0.01,7.3,5/9 (56%),1,3,55
K0OFPazG,rd_congo,local,45/51 (88%),Eriksen C.Midfielder,4,0.02,7.1,-,1,3,58
K0OFPazG,rd_congo,local,71/76 (93%),Kristensen R.Fullback,6,-,7.1,-,-,3,96
K0OFPazG,rd_congo,local,59/63 (94%),Hojbjerg P.Midfielder,6,0.03,7.0,-,2,1,73
K0OFPazG,rd_congo,local,75/82 (91%),Provstgaard O.Centre back,2,-,7.0,-,-,-,92
K0OFPazG,rd_congo,local,58/59 (98%),Christensen A.Centre back,1,-,6.9,-,-,-,66
K0OFPazG,rd_congo,local,28/34 (82%),Daghim A.Winger,15,0.41,6.9,2/4 (50%),3,8,57
K0OFPazG,rd_congo,local,14/15 (93%),Kayembe J.Defender,3,0.07,6.9,1/2 (50%),1,2,29
K0OFPazG,rd_congo,local,45/53 (85%),Maehle J.Fullback,9,0.04,6.9,-,1,-,77
K0OFPazG,rd_congo,local,47/51 (92%),Kapuadi S.Centre back,5,-,6.8,0/1 (0%),-,-,64
K0OFPazG,rd_congo,local,37/47 (79%),Mbemba Ch.Centre back,1,-,6.7,-,-,-,57
K0OFPazG,rd_congo,local,48/57 (84%),Moutoussamy S.Midfielder,3,0.02,6.7,-,1,-,66
K0OFPazG,rd_congo,local,25/30 (83%),Andersen J.Defender,1,-,6.6,-,-,-,32
K0OFPazG,rd_congo,local,24/27 (89%),Kayembe E.Midfielder,4,-,6.6,-,-,-,35
K0OFPazG,rd_congo,local,11/11 (100%),Sadiki N.Midfielder,6,0.04,6.6,0/2 (0%),1,-,19
K0OFPazG,rd_congo,local,6/8 (75%),Gronbaek A.Midfielder,-,0.03,6.5,-,1,-,13
K0OFPazG,rd_congo,local,34/38 (89%),Mukau N.Midfielder,5,-,6.5,2/2 (100%),-,-,45
K0OFPazG,rd_congo,local,31/33 (94%),Tuanzebe A.Centre back,-,-,6.5,-,-,-,39
K0OFPazG,rd_congo,local,9/12 (75%),Osula W.Forward,6,0.03,6.4,0/4 (0%),1,2,27
K0OFPazG,rd_congo,local,5/9 (56%),Pickel C.Midfielder,2,-,6.4,1/1 (100%),-,1,13
K0OFPazG,rd_congo,local,2/3 (67%),Banza S.Forward,-,0.15,6.3,-,2,3,5
K0OFPazG,rd_congo,local,9/12 (75%),Dorgu P.Winger,2,0.13,6.3,-,1,2,20
K0OFPazG,rd_congo,local,2/2 (100%),Hogh K.Forward,-,-,6.3,-,-,-,3
K0OFPazG,rd_congo,local,6/9 (67%),Hojlund R.Striker,3,0.12,6.3,-,2,2,17
K0OFPazG,rd_congo,local,5/10 (50%),Bakambu C.Striker,4,0.53,6.2,1/1 (100%),1,3,14
K0OFPazG,rd_congo,local,11/13 (85%),Froholdt V.Midfielder,3,-,6.2,-,-,-,18
K0OFPazG,rd_congo,local,25/32 (78%),Masuaku A.Wingback,7,0.01,6.2,2/2 (100%),1,-,48
K0OFPazG,rd_congo,local,36/43 (84%),Kalulu G.Wingback,4,-,6.0,-,-,1,57
K0OFPazG,rd_congo,local,15/16 (94%),Hogsberg L.Defender,-,-,-,-,-,-,17
K0OFPazG,rd_congo,local,3/4 (75%),Mbuku N.Forward,1,-,-,-,-,-,8
K0OFPazG,rd_congo,local,2/2 (100%),Wan-Bissaka A.Defender,-,-,-,-,-,-,5
nHRhJvF8,rd_congo,local,59/70 (84%),Tuanzebe A.Centre back,5,0.29,8.1,-,1,1,81
nHRhJvF8,rd_congo,local,44/54 (81%),Masuaku A.Fullback,10,0.01,7.6,0/2 (0%),1,2,81
nHRhJvF8,rd_congo,local,43/58 (74%),Mbemba Ch.Centre back,9,0.03,7.6,-,2,1,75
nHRhJvF8,rd_congo,local,16/22 (73%),Mbuku N.Winger,14,-,7.6,-,-,1,35
nHRhJvF8,rd_congo,local,26/39 (67%),Mpasi-Nzau L.Goalkeeper,-,-,7.5,-,-,-,55
nHRhJvF8,rd_congo,local,15/25 (60%),Webster R.Fullback,21,-,7.5,-,-,-,57
nHRhJvF8,rd_congo,local,35/40 (88%),Wan-Bissaka A.Fullback,8,-,7.4,0/1 (0%),-,2,65
nHRhJvF8,rd_congo,local,41/53 (77%),Moutoussamy S.Midfielder,7,-,7.2,-,-,1,64
nHRhJvF8,rd_congo,local,70/83 (84%),Pinnock E.Centre back,2,0.02,7.2,-,1,1,102
nHRhJvF8,rd_congo,local,25/30 (83%),Wissa Y.Attacking midfielder,14,0.09,7.2,3/8 (38%),3,8,50
nHRhJvF8,rd_congo,local,7/10 (70%),Cipenga B.Midfielder,14,-,7.1,3/5 (60%),-,3,25
nHRhJvF8,rd_congo,local,48/53 (91%),Palmer K.Midfielder,15,0.10,7.0,2/3 (67%),1,3,72
nHRhJvF8,rd_congo,local,10/12 (83%),Bakambu C.Striker,5,0.19,6.9,-,5,8,29
nHRhJvF8,rd_congo,local,19/23 (83%),Mukau N.Midfielder,10,-,6.9,2/2 (100%),-,-,31
nHRhJvF8,rd_congo,local,46/55 (84%),Blake A.Goalkeeper,1,-,6.8,-,-,-,69
